,LRCX US Equity
,BEST_PE_RATIO
2020-01-01,7.355
2020-01-02,7.493
2020-01-03,7.413
2020-01-04,7.413
2020-01-05,7.413
2020-01-06,7.274
2020-01-07,7.452
2020-01-08,7.546
2020-01-09,7.494
2020-01-10,7.404
2020-01-11,7.404
2020-01-12,7.404
2020-01-13,7.478
2020-01-14,7.565
2020-01-15,7.505
2020-01-16,7.696
2020-01-17,7.748
2020-01-18,7.748
2020-01-19,7.748
2020-01-20,7.748
2020-01-21,7.765
2020-01-22,7.832
2020-01-23,7.859
2020-01-24,7.711
2020-01-25,7.711
2020-01-26,7.711
2020-01-27,7.39
2020-01-28,7.589
2020-01-29,7.502
2020-01-30,7.822
2020-01-31,7.501
2020-02-01,7.501
2020-02-02,7.501
2020-02-03,7.759
2020-02-04,8.185
2020-02-05,8.191
2020-02-06,8.138
2020-02-07,7.934
2020-02-08,7.934
2020-02-09,7.934
2020-02-10,8.045
2020-02-11,8.192
2020-02-12,8.417
2020-02-13,8.592
2020-02-14,8.535
2020-02-15,8.535
2020-02-16,8.535
2020-02-17,8.535
2020-02-18,8.184
2020-02-19,8.398
2020-02-20,8.263
2020-02-21,7.969
2020-02-22,7.969
2020-02-23,7.969
2020-02-24,7.558
2020-02-25,7.351
2020-02-26,7.461
2020-02-27,7.187
2020-02-28,7.381
2020-02-29,7.381
2020-03-01,7.381
2020-03-02,7.555
2020-03-03,7.332
2020-03-04,7.703
2020-03-05,7.524
2020-03-06,7.406
2020-03-07,7.406
2020-03-08,7.406
2020-03-09,6.731
2020-03-10,7.234
2020-03-11,6.959
2020-03-12,5.983
2020-03-13,6.585
2020-03-14,6.585
2020-03-15,6.585
2020-03-16,5.372
2020-03-17,5.768
2020-03-18,4.884
2020-03-19,4.905
2020-03-20,4.726
2020-03-21,4.726
2020-03-22,4.726
2020-03-23,4.851
2020-03-24,5.836
2020-03-25,5.91
2020-03-26,6.588
2020-03-27,6.104
2020-03-28,6.104
2020-03-29,6.104
2020-03-30,6.46
2020-03-31,6.073
2020-04-01,5.651
2020-04-02,5.582
2020-04-03,5.52
2020-04-04,5.52
2020-04-05,5.52
2020-04-06,6.345
2020-04-07,6.484
2020-04-08,6.75
2020-04-09,6.536
2020-04-10,6.536
2020-04-11,6.536
2020-04-12,6.536
2020-04-13,6.549
2020-04-14,6.896
2020-04-15,6.651
2020-04-16,6.85
2020-04-17,7.061
2020-04-18,7.061
2020-04-19,7.061
2020-04-20,6.75
2020-04-21,6.165
2020-04-22,6.878
2020-04-23,8.295
2020-04-24,8.38
2020-04-25,8.38
2020-04-26,8.38
2020-04-27,8.309
2020-04-28,8.228
2020-04-29,8.798
2020-04-30,8.022
2020-05-01,7.385
2020-05-02,7.385
2020-05-03,7.385
2020-05-04,7.37
2020-05-05,7.63
2020-05-06,7.685
2020-05-07,7.782
2020-05-08,8.34
2020-05-09,8.34
2020-05-10,8.34
2020-05-11,8.24
2020-05-12,8.044
2020-05-13,7.799
2020-05-14,8.453
2020-05-15,7.914
2020-05-16,7.914
2020-05-17,7.914
2020-05-18,8.091
2020-05-19,8.222
2020-05-20,8.521
2020-05-21,8.192
2020-05-22,8.206
2020-05-23,8.206
2020-05-24,8.206
2020-05-25,8.206
2020-05-26,8.37
2020-05-27,8.677
2020-05-28,8.385
2020-05-29,8.6
2020-05-30,8.6
2020-05-31,8.6
2020-06-01,8.515
2020-06-02,8.53
2020-06-03,9.015
2020-06-04,9.171
2020-06-05,9.582
2020-06-06,9.582
2020-06-07,9.582
2020-06-08,9.352
2020-06-09,9.501
2020-06-10,9.468
2020-06-11,8.875
2020-06-12,8.941
2020-06-13,8.941
2020-06-14,8.941
2020-06-15,9.149
2020-06-16,9.638
2020-06-17,9.899
2020-06-18,9.932
2020-06-19,9.946
2020-06-20,9.946
2020-06-21,9.946
2020-06-22,9.853
2020-06-23,9.969
2020-06-24,9.647
2020-06-25,9.862
2020-06-26,9.544
2020-06-27,9.544
2020-06-28,9.544
2020-06-29,9.732
2020-06-30,10.205
2020-07-01,10.016
2020-07-02,10.212
2020-07-03,10.212
2020-07-04,10.212
2020-07-05,10.212
2020-07-06,10.568
2020-07-07,10.345
2020-07-08,10.531
2020-07-09,10.593
2020-07-10,10.726
2020-07-11,10.726
2020-07-12,10.726
2020-07-13,10.636
2020-07-14,10.918
2020-07-15,10.828
2020-07-16,10.881
2020-07-17,10.924
2020-07-18,10.924
2020-07-19,10.924
2020-07-20,11.16
2020-07-21,11.264
2020-07-22,11.419
2020-07-23,11.194
2020-07-24,10.907
2020-07-25,10.907
2020-07-26,10.907
2020-07-27,11.297
2020-07-28,11.008
2020-07-29,11.384
2020-07-30,11.943
2020-07-31,11.184
2020-08-01,11.184
2020-08-02,11.184
2020-08-03,11.31
2020-08-04,11.415
2020-08-05,11.371
2020-08-06,11.203
2020-08-07,11.044
2020-08-08,11.044
2020-08-09,11.044
2020-08-10,11.142
2020-08-11,10.942
2020-08-12,11.313
2020-08-13,11.18
2020-08-14,11.079
2020-08-15,11.079
2020-08-16,11.079
2020-08-17,11.241
2020-08-18,11.107
2020-08-19,11.036
2020-08-20,10.63
2020-08-21,10.48
2020-08-22,10.48
2020-08-23,10.48
2020-08-24,10.409
2020-08-25,10.453
2020-08-26,10.432
2020-08-27,10.125
2020-08-28,10.402
2020-08-29,10.402
2020-08-30,10.402
2020-08-31,9.973
2020-09-01,10.098
2020-09-02,10.755
2020-09-03,10.127
2020-09-04,9.878
2020-09-05,9.878
2020-09-06,9.878
2020-09-07,9.878
2020-09-08,8.976
2020-09-09,8.923
2020-09-10,8.822
2020-09-11,8.718
2020-09-12,8.718
2020-09-13,8.718
2020-09-14,9.056
2020-09-15,9.161
2020-09-16,9.091
2020-09-17,9.07
2020-09-18,9.11
2020-09-19,9.11
2020-09-20,9.11
2020-09-21,9.339
2020-09-22,9.45
2020-09-23,9.4
2020-09-24,9.701
2020-09-25,9.793
2020-09-26,9.793
2020-09-27,9.793
2020-09-28,9.981
2020-09-29,10.053
2020-09-30,9.875
2020-10-01,10.095
2020-10-02,9.785
2020-10-03,9.785
2020-10-04,9.785
2020-10-05,10.187
2020-10-06,10.15
2020-10-07,10.293
2020-10-08,10.58
2020-10-09,10.797
2020-10-10,10.797
2020-10-11,10.797
2020-10-12,11.017
2020-10-13,11.139
2020-10-14,11.14
2020-10-15,11.177
2020-10-16,10.864
2020-10-17,10.864
2020-10-18,10.864
2020-10-19,10.823
2020-10-20,10.823
2020-10-21,10.913
2020-10-22,10.442
2020-10-23,10.323
2020-10-24,10.323
2020-10-25,10.323
2020-10-26,10.139
2020-10-27,10.028
2020-10-28,9.885
2020-10-29,10.303
2020-10-30,9.977
2020-10-31,9.977
2020-11-01,9.977
2020-11-02,10.236
2020-11-03,10.807
2020-11-04,11.093
2020-11-05,11.658
2020-11-06,11.941
2020-11-07,11.941
2020-11-08,11.941
2020-11-09,12.141
2020-11-10,11.896
2020-11-11,12.367
2020-11-12,12.205
2020-11-13,12.434
2020-11-14,12.434
2020-11-15,12.434
2020-11-16,12.813
2020-11-17,12.598
2020-11-18,12.551
2020-11-19,12.766
2020-11-20,12.648
2020-11-21,12.648
2020-11-22,12.648
2020-11-23,13.088
2020-11-24,13.021
2020-11-25,13.031
2020-11-26,13.031
2020-11-27,13.316
2020-11-28,13.316
2020-11-29,13.316
2020-11-30,13.203
2020-12-01,13.64
2020-12-02,13.977
2020-12-03,14.119
2020-12-04,14.583
2020-12-05,14.583
2020-12-06,14.583
2020-12-07,14.836
2020-12-08,14.962
2020-12-09,14.44
2020-12-10,14.333
2020-12-11,14.378
2020-12-12,14.378
2020-12-13,14.378
2020-12-14,14.383
2020-12-15,14.484
2020-12-16,14.425
2020-12-17,14.218
2020-12-18,14.064
2020-12-19,14.064
2020-12-20,14.064
2020-12-21,14.13
2020-12-22,13.947
2020-12-23,13.776
2020-12-24,14.046
2020-12-25,14.046
2020-12-26,14.046
2020-12-27,14.046
2020-12-28,13.922
2020-12-29,13.838
2020-12-30,14.166
2020-12-31,13.81
2021-01-01,13.81
2021-01-02,13.81
2021-01-03,13.81
2021-01-04,13.978
2021-01-05,14.461
2021-01-06,14.518
2021-01-07,15.043
2021-01-08,14.668
2021-01-09,14.668
2021-01-10,14.668
2021-01-11,15.103
2021-01-12,15.686
2021-01-13,15.396
2021-01-14,16.311
2021-01-15,16.01
2021-01-16,16.01
2021-01-17,16.01
2021-01-18,16.01
2021-01-19,16.961
2021-01-20,16.463
2021-01-21,16.498
2021-01-22,16.488
2021-01-23,16.488
2021-01-24,16.488
2021-01-25,16.602
2021-01-26,16.16
2021-01-27,15.636
2021-01-28,15.403
2021-01-29,14.05
2021-01-30,14.05
2021-01-31,14.05
2021-02-01,14.558
2021-02-02,14.983
2021-02-03,14.642
2021-02-04,15.083
2021-02-05,14.8
2021-02-06,14.8
2021-02-07,14.8
2021-02-08,15.468
2021-02-09,15.331
2021-02-10,15.46
2021-02-11,16.613
2021-02-12,17.018
2021-02-13,17.018
2021-02-14,17.018
2021-02-15,17.018
2021-02-16,17.181
2021-02-17,17.01
2021-02-18,16.774
2021-02-19,17.373
2021-02-20,17.373
2021-02-21,17.373
2021-02-22,16.485
2021-02-23,16.335
2021-02-24,17.329
2021-02-25,15.9
2021-02-26,16.467
2021-02-27,16.467
2021-02-28,16.467
2021-03-01,17.385
2021-03-02,16.646
2021-03-03,16.004
2021-03-04,15.353
2021-03-05,15.901
2021-03-06,15.901
2021-03-07,15.901
2021-03-08,14.592
2021-03-09,15.779
2021-03-10,15.059
2021-03-11,15.544
2021-03-12,15.237
2021-03-13,15.237
