,HDS US Equity
,BEST_PE_RATIO
2020-01-01,12.887
2020-01-02,12.916
2020-01-03,12.893
2020-01-04,12.893
2020-01-05,12.893
2020-01-06,12.845
2020-01-07,12.823
2020-01-08,12.804
2020-01-09,12.817
2020-01-10,12.763
2020-01-11,12.763
2020-01-12,12.763
2020-01-13,12.788
2020-01-14,12.766
2020-01-15,12.712
2020-01-16,13.003
2020-01-17,12.798
2020-01-18,12.798
2020-01-19,12.798
2020-01-20,12.798
2020-01-21,12.699
2020-01-22,12.741
2020-01-23,12.895
2020-01-24,12.737
2020-01-25,12.737
2020-01-26,12.737
2020-01-27,12.515
2020-01-28,12.747
2020-01-29,12.947
2020-01-30,13.141
2020-01-31,12.937
2020-02-01,12.937
2020-02-02,12.937
2020-02-03,13.01
2020-02-04,13.307
2020-02-05,13.601
2020-02-06,13.395
2020-02-07,13.173
2020-02-08,13.173
2020-02-09,13.173
2020-02-10,13.065
2020-02-11,13.16
2020-02-12,13.144
2020-02-13,13.115
2020-02-14,13.299
2020-02-15,13.299
2020-02-16,13.299
2020-02-17,13.299
2020-02-18,13.284
2020-02-19,13.357
2020-02-20,13.648
2020-02-21,13.645
2020-02-22,13.645
2020-02-23,13.645
2020-02-24,13.363
2020-02-25,13.169
2020-02-26,12.984
2020-02-27,12.509
2020-02-28,12.12
2020-02-29,12.12
2020-03-01,12.12
2020-03-02,12.62
2020-03-03,12.311
2020-03-04,12.767
2020-03-05,12.1
2020-03-06,11.89
2020-03-07,11.89
2020-03-08,11.89
2020-03-09,10.932
2020-03-10,11.2
2020-03-11,10.57
2020-03-12,9.631
2020-03-13,10.086
2020-03-14,10.086
2020-03-15,10.086
2020-03-16,9.003
2020-03-17,9.238
2020-03-18,7.777
2020-03-19,9.676
2020-03-20,8.899
2020-03-21,8.899
2020-03-22,8.899
2020-03-23,8.143
2020-03-24,8.908
2020-03-25,9.635
2020-03-26,9.539
2020-03-27,9.297
2020-03-28,9.297
2020-03-29,9.297
2020-03-30,9.75
2020-03-31,10.201
2020-04-01,9.192
2020-04-02,9.374
2020-04-03,9.348
2020-04-04,9.348
2020-04-05,9.348
2020-04-06,10.741
2020-04-07,11.099
2020-04-08,11.587
2020-04-09,11.949
2020-04-10,11.949
2020-04-11,11.949
2020-04-12,11.949
2020-04-13,11.293
2020-04-14,11.359
2020-04-15,10.795
2020-04-16,10.667
2020-04-17,11.345
2020-04-18,11.345
2020-04-19,11.345
2020-04-20,10.758
2020-04-21,10.316
2020-04-22,10.491
2020-04-23,10.484
2020-04-24,10.61
2020-04-25,10.61
2020-04-26,10.61
2020-04-27,10.815
2020-04-28,11.333
2020-04-29,11.43
2020-04-30,11.68
2020-05-01,11.212
2020-05-02,11.212
2020-05-03,11.212
2020-05-04,11.418
2020-05-05,11.446
2020-05-06,11.442
2020-05-07,11.569
2020-05-08,11.739
2020-05-09,11.739
2020-05-10,11.739
2020-05-11,11.581
2020-05-12,10.961
2020-05-13,10.349
2020-05-14,10.482
2020-05-15,10.842
2020-05-16,10.842
2020-05-17,10.842
2020-05-18,11.827
2020-05-19,11.68
2020-05-20,12.411
2020-05-21,12.482
2020-05-22,12.396
2020-05-23,12.396
2020-05-24,12.396
2020-05-25,12.396
2020-05-26,12.917
2020-05-27,13.133
2020-05-28,13.088
2020-05-29,12.969
2020-05-30,12.969
2020-05-31,12.969
2020-06-01,13.022
2020-06-02,13.657
2020-06-03,14.09
2020-06-04,14.407
2020-06-05,14.905
2020-06-06,14.905
2020-06-07,14.905
2020-06-08,14.663
2020-06-09,14.414
2020-06-10,13.847
2020-06-11,12.87
2020-06-12,12.984
2020-06-13,12.984
2020-06-14,12.984
2020-06-15,13.147
2020-06-16,13.558
2020-06-17,13.451
2020-06-18,13.371
2020-06-19,13.235
2020-06-20,13.235
2020-06-21,13.235
2020-06-22,13.029
2020-06-23,13.071
2020-06-24,12.655
2020-06-25,12.862
2020-06-26,12.566
2020-06-27,12.566
2020-06-28,12.566
2020-06-29,12.794
2020-06-30,13.1
2020-07-01,12.749
2020-07-02,12.69
2020-07-03,12.69
2020-07-04,12.69
2020-07-05,12.69
2020-07-06,13.026
2020-07-07,12.778
2020-07-08,12.687
2020-07-09,12.479
2020-07-10,12.441
2020-07-11,12.441
2020-07-12,12.441
2020-07-13,12.827
2020-07-14,13.183
2020-07-15,13.497
2020-07-16,13.35
2020-07-17,13.397
2020-07-18,13.397
2020-07-19,13.397
2020-07-20,13.288
2020-07-21,13.361
2020-07-22,13.451
2020-07-23,13.469
2020-07-24,13.346
2020-07-25,13.346
2020-07-26,13.346
2020-07-27,13.346
2020-07-28,12.927
2020-07-29,13.207
2020-07-30,13.222
2020-07-31,13.136
2020-08-01,13.136
2020-08-02,13.136
2020-08-03,13.342
2020-08-04,13.66
2020-08-05,13.844
2020-08-06,13.787
2020-08-07,13.982
2020-08-08,13.982
2020-08-09,13.982
2020-08-10,14.311
2020-08-11,15.752
2020-08-12,15.645
2020-08-13,15.512
2020-08-14,15.509
2020-08-15,15.509
2020-08-16,15.509
2020-08-17,15.233
2020-08-18,15.082
2020-08-19,14.859
2020-08-20,14.874
2020-08-21,14.932
2020-08-22,14.932
2020-08-23,14.932
2020-08-24,14.969
2020-08-25,14.871
2020-08-26,14.726
2020-08-27,14.713
2020-08-28,14.675
2020-08-29,14.675
2020-08-30,14.675
2020-08-31,14.406
2020-09-01,14.671
2020-09-02,15.033
2020-09-03,14.517
2020-09-04,14.317
2020-09-05,14.317
2020-09-06,14.317
2020-09-07,14.317
2020-09-08,14.313
2020-09-09,16.918
2020-09-10,16.537
2020-09-11,16.317
2020-09-12,16.317
2020-09-13,16.317
2020-09-14,18.034
2020-09-15,18.217
2020-09-16,18.517
2020-09-17,18.485
2020-09-18,18.124
2020-09-19,18.124
2020-09-20,18.124
2020-09-21,17.525
2020-09-22,17.66
2020-09-23,17.556
2020-09-24,17.786
2020-09-25,19.785
2020-09-26,19.785
2020-09-27,19.785
2020-09-28,19.937
2020-09-29,19.732
2020-09-30,20.117
2020-10-01,20.332
2020-10-02,20.517
2020-10-03,20.517
2020-10-04,20.517
2020-10-05,20.556
2020-10-06,20.063
2020-10-07,20.435
2020-10-08,20.438
2020-10-09,20.419
2020-10-10,20.419
2020-10-11,20.419
2020-10-12,20.51
2020-10-13,20.095
2020-10-14,20.11
2020-10-15,20.086
