,BIIB US Equity
,BEST_PE_RATIO
2020-01-01,9.252
2020-01-02,9.247
2020-01-03,9.14
2020-01-04,9.14
2020-01-05,9.14
2020-01-06,9.139
2020-01-07,9.116
2020-01-08,9.203
2020-01-09,9.254
2020-01-10,9.324
2020-01-11,9.324
2020-01-12,9.324
2020-01-13,9.242
2020-01-14,9.401
2020-01-15,9.216
2020-01-16,8.998
2020-01-17,8.977
2020-01-18,8.977
2020-01-19,8.977
2020-01-20,8.977
2020-01-21,9.031
2020-01-22,9.059
2020-01-23,8.95
2020-01-24,8.759
2020-01-25,8.759
2020-01-26,8.759
2020-01-27,8.739
2020-01-28,8.738
2020-01-29,8.734
2020-01-30,8.791
2020-01-31,8.85
2020-02-01,8.85
2020-02-02,8.85
2020-02-03,8.978
2020-02-04,9.325
2020-02-05,10.464
2020-02-06,10.434
2020-02-07,10.48
2020-02-08,10.48
2020-02-09,10.48
2020-02-10,9.968
2020-02-11,9.773
2020-02-12,9.757
2020-02-13,9.83
2020-02-14,9.794
2020-02-15,9.794
2020-02-16,9.794
2020-02-17,9.794
2020-02-18,9.914
2020-02-19,10.03
2020-02-20,9.901
2020-02-21,9.903
2020-02-22,9.903
2020-02-23,9.903
2020-02-24,9.89
2020-02-25,9.833
2020-02-26,9.935
2020-02-27,9.408
2020-02-28,9.356
2020-02-29,9.356
2020-03-01,9.356
2020-03-02,9.643
2020-03-03,9.287
2020-03-04,9.66
2020-03-05,9.344
2020-03-06,9.351
2020-03-07,9.351
2020-03-08,9.351
2020-03-09,8.74
2020-03-10,8.989
2020-03-11,8.654
2020-03-12,7.908
2020-03-13,8.976
2020-03-14,8.976
2020-03-15,8.976
2020-03-16,8.285
2020-03-17,8.979
2020-03-18,8.783
2020-03-19,8.469
2020-03-20,8.197
2020-03-21,8.197
2020-03-22,8.197
2020-03-23,7.915
2020-03-24,8.121
2020-03-25,8.38
2020-03-26,8.967
2020-03-27,8.726
2020-03-28,8.726
2020-03-29,8.726
2020-03-30,9.64
2020-03-31,9.303
2020-04-01,8.624
2020-04-02,8.953
2020-04-03,8.836
2020-04-04,8.836
2020-04-05,8.836
2020-04-06,8.925
2020-04-07,8.633
2020-04-08,9.085
2020-04-09,9.202
2020-04-10,9.202
2020-04-11,9.202
2020-04-12,9.202
2020-04-13,9.432
2020-04-14,9.657
2020-04-15,9.46
2020-04-16,9.871
2020-04-17,9.994
2020-04-18,9.994
2020-04-19,9.994
2020-04-20,10.185
2020-04-21,9.873
2020-04-22,8.615
2020-04-23,8.446
2020-04-24,8.587
2020-04-25,8.587
2020-04-26,8.587
2020-04-27,8.754
2020-04-28,8.818
2020-04-29,8.803
2020-04-30,8.637
2020-05-01,8.528
2020-05-02,8.528
2020-05-03,8.528
2020-05-04,8.628
2020-05-05,8.858
2020-05-06,8.927
2020-05-07,9.137
2020-05-08,9.137
2020-05-09,9.137
2020-05-10,9.137
2020-05-11,9.544
2020-05-12,9.305
2020-05-13,9.165
2020-05-14,9.19
2020-05-15,9.212
2020-05-16,9.212
2020-05-17,9.212
2020-05-18,9.192
2020-05-19,8.998
2020-05-20,8.982
2020-05-21,8.835
2020-05-22,8.837
2020-05-23,8.837
2020-05-24,8.837
2020-05-25,8.837
2020-05-26,8.585
2020-05-27,8.748
2020-05-28,8.72
2020-05-29,8.911
2020-05-30,8.911
2020-05-31,8.911
2020-06-01,8.747
2020-06-02,8.788
2020-06-03,8.781
2020-06-04,8.695
2020-06-05,8.9
2020-06-06,8.9
2020-06-07,8.9
2020-06-08,8.742
2020-06-09,8.699
2020-06-10,8.744
2020-06-11,8.387
2020-06-12,8.271
2020-06-13,8.271
2020-06-14,8.271
2020-06-15,8.247
2020-06-16,8.355
2020-06-17,8.335
2020-06-18,8.037
2020-06-19,8.536
2020-06-20,8.536
2020-06-21,8.536
2020-06-22,8.49
2020-06-23,8.615
2020-06-24,8.449
2020-06-25,8.436
2020-06-26,8.309
2020-06-27,8.309
2020-06-28,8.309
2020-06-29,8.363
2020-06-30,8.594
2020-07-01,8.505
2020-07-02,8.534
2020-07-03,8.534
2020-07-04,8.534
2020-07-05,8.534
2020-07-06,8.681
2020-07-07,8.634
2020-07-08,9.131
2020-07-09,9.082
2020-07-10,9.088
2020-07-11,9.088
2020-07-12,9.088
2020-07-13,9.011
2020-07-14,9.16
2020-07-15,9.215
2020-07-16,9.105
2020-07-17,9.138
2020-07-18,9.138
2020-07-19,9.138
2020-07-20,9.188
2020-07-21,9.084
2020-07-22,8.876
2020-07-23,8.618
2020-07-24,8.429
2020-07-25,8.429
2020-07-26,8.429
2020-07-27,8.969
2020-07-28,8.786
2020-07-29,8.692
2020-07-30,8.614
2020-07-31,8.608
2020-08-01,8.608
2020-08-02,8.608
2020-08-03,8.717
2020-08-04,8.652
2020-08-05,8.655
2020-08-06,8.701
2020-08-07,9.478
2020-08-08,9.478
2020-08-09,9.478
2020-08-10,9.309
2020-08-11,8.989
2020-08-12,9.09
2020-08-13,8.945
2020-08-14,8.974
2020-08-15,8.974
2020-08-16,8.974
2020-08-17,8.965
2020-08-18,8.956
2020-08-19,8.68
2020-08-20,8.792
2020-08-21,8.778
2020-08-22,8.778
2020-08-23,8.778
2020-08-24,8.754
2020-08-25,8.832
2020-08-26,8.836
2020-08-27,8.839
2020-08-28,8.909
2020-08-29,8.909
2020-08-30,8.909
2020-08-31,9.105
2020-09-01,8.855
2020-09-02,9.04
2020-09-03,8.741
2020-09-04,8.736
2020-09-05,8.736
2020-09-06,8.736
2020-09-07,8.736
2020-09-08,8.511
2020-09-09,8.626
2020-09-10,8.436
2020-09-11,8.543
2020-09-12,8.543
2020-09-13,8.543
2020-09-14,8.811
2020-09-15,8.816
2020-09-16,8.751
2020-09-17,8.718
2020-09-18,8.695
2020-09-19,8.695
2020-09-20,8.695
2020-09-21,8.499
2020-09-22,8.64
2020-09-23,8.622
2020-09-24,8.554
2020-09-25,8.657
2020-09-26,8.657
2020-09-27,8.657
2020-09-28,8.934
2020-09-29,8.944
2020-09-30,8.986
2020-10-01,9.046
2020-10-02,8.795
2020-10-03,8.795
2020-10-04,8.795
2020-10-05,8.998
2020-10-06,8.902
2020-10-07,9.048
2020-10-08,9.085
2020-10-09,9.073
2020-10-10,9.073
2020-10-11,9.073
2020-10-12,9.229
2020-10-13,9.298
2020-10-14,9.16
2020-10-15,8.919
2020-10-16,8.899
2020-10-17,8.899
2020-10-18,8.899
2020-10-19,8.502
2020-10-20,8.951
2020-10-21,8.933
2020-10-22,8.967
2020-10-23,8.906
2020-10-24,8.906
2020-10-25,8.906
2020-10-26,8.734
2020-10-27,8.657
2020-10-28,8.283
2020-10-29,8.324
2020-10-30,8.547
2020-10-31,8.547
2020-11-01,8.547
2020-11-02,8.443
2020-11-03,8.472
2020-11-04,12.158
2020-11-05,11.174
2020-11-06,11.174
2020-11-07,11.174
2020-11-08,11.174
2020-11-09,8.522
2020-11-10,8.524
2020-11-11,8.802
