,TGT US Equity
,BEST_PE_RATIO
2020-01-01,10.285
2020-01-02,10.113
2020-01-03,10.008
2020-01-04,10.008
2020-01-05,10.008
2020-01-06,9.913
2020-01-07,9.931
2020-01-08,9.899
2020-01-09,9.907
2020-01-10,10.005
2020-01-11,10.005
2020-01-12,10.005
2020-01-13,9.936
2020-01-14,10.048
2020-01-15,9.385
2020-01-16,9.331
2020-01-17,9.379
2020-01-18,9.379
2020-01-19,9.379
2020-01-20,9.379
2020-01-21,9.148
2020-01-22,9.137
2020-01-23,9.267
2020-01-24,9.17
2020-01-25,9.17
2020-01-26,9.17
2020-01-27,9.287
2020-01-28,9.26
2020-01-29,9.166
2020-01-30,9.198
2020-01-31,8.883
2020-02-01,8.883
2020-02-02,8.883
2020-02-03,9.025
2020-02-04,9.084
2020-02-05,9.267
2020-02-06,9.236
2020-02-07,9.274
2020-02-08,9.274
2020-02-09,9.274
2020-02-10,9.384
2020-02-11,9.36
2020-02-12,10.945
2020-02-13,10.961
2020-02-14,10.808
2020-02-15,10.808
2020-02-16,10.808
2020-02-17,10.808
2020-02-18,10.981
2020-02-19,10.94
2020-02-20,11.021
2020-02-21,10.905
2020-02-22,10.905
2020-02-23,10.905
2020-02-24,10.604
2020-02-25,10.412
2020-02-26,10.313
2020-02-27,9.843
2020-02-28,9.599
2020-02-29,9.599
2020-03-01,9.599
2020-03-02,10.164
2020-03-03,9.779
2020-03-04,9.962
2020-03-05,9.791
2020-03-06,9.789
2020-03-07,9.789
2020-03-08,9.789
2020-03-09,9.612
2020-03-10,10.009
2020-03-11,9.755
2020-03-12,8.558
2020-03-13,9.334
2020-03-14,9.334
2020-03-15,9.334
2020-03-16,8.666
2020-03-17,9.575
2020-03-18,9.5
2020-03-19,9.286
2020-03-20,8.999
2020-03-21,8.999
2020-03-22,8.999
2020-03-23,8.934
2020-03-24,9.291
2020-03-25,8.412
2020-03-26,8.876
2020-03-27,8.754
2020-03-28,8.754
2020-03-29,8.754
2020-03-30,8.871
2020-03-31,8.59
2020-04-01,8.802
2020-04-02,8.718
2020-04-03,8.553
2020-04-04,8.553
2020-04-05,8.553
2020-04-06,9.009
2020-04-07,9.079
2020-04-08,9.667
2020-04-09,9.628
2020-04-10,9.628
2020-04-11,9.628
2020-04-12,9.628
2020-04-13,9.672
2020-04-14,10.014
2020-04-15,9.816
2020-04-16,10.099
2020-04-17,10.479
2020-04-18,10.479
2020-04-19,10.479
2020-04-20,10.069
2020-04-21,9.877
2020-04-22,9.871
2020-04-23,9.596
2020-04-24,9.962
2020-04-25,9.962
2020-04-26,9.962
2020-04-27,10.152
2020-04-28,10.348
2020-04-29,10.357
2020-04-30,10.139
2020-05-01,10.0
2020-05-02,10.0
2020-05-03,10.0
2020-05-04,10.321
2020-05-05,10.326
2020-05-06,10.494
2020-05-07,10.474
2020-05-08,10.702
2020-05-09,10.702
2020-05-10,10.702
2020-05-11,11.104
2020-05-12,11.031
2020-05-13,11.008
2020-05-14,11.082
2020-05-15,9.757
2020-05-16,9.757
2020-05-17,9.757
2020-05-18,10.1
2020-05-19,9.989
2020-05-20,11.567
2020-05-21,11.581
2020-05-22,11.465
2020-05-23,11.465
2020-05-24,11.465
2020-05-25,11.465
2020-05-26,11.234
2020-05-27,11.457
2020-05-28,11.557
2020-05-29,11.937
2020-05-30,11.937
2020-05-31,11.937
2020-06-01,11.66
2020-06-02,11.598
2020-06-03,11.879
2020-06-04,11.706
2020-06-05,11.859
2020-06-06,11.859
2020-06-07,11.859
2020-06-08,11.941
2020-06-09,11.78
2020-06-10,11.71
2020-06-11,11.516
2020-06-12,11.407
2020-06-13,11.407
2020-06-14,11.407
2020-06-15,11.619
2020-06-16,11.723
2020-06-17,11.631
2020-06-18,11.536
2020-06-19,11.856
2020-06-20,11.856
2020-06-21,11.856
2020-06-22,12.04
2020-06-23,11.949
2020-06-24,11.774
2020-06-25,11.782
2020-06-26,11.508
2020-06-27,11.508
2020-06-28,11.508
2020-06-29,11.66
2020-06-30,11.794
2020-07-01,11.699
2020-07-02,11.715
2020-07-03,11.715
2020-07-04,11.715
2020-07-05,11.715
2020-07-06,11.726
2020-07-07,11.61
2020-07-08,11.575
2020-07-09,11.595
2020-07-10,11.689
2020-07-11,11.689
2020-07-12,11.689
2020-07-13,11.676
2020-07-14,11.809
2020-07-15,11.965
2020-07-16,11.993
2020-07-17,11.965
2020-07-18,11.965
2020-07-19,11.965
2020-07-20,11.783
2020-07-21,11.821
2020-07-22,12.11
2020-07-23,12.032
2020-07-24,12.166
2020-07-25,12.166
2020-07-26,12.166
2020-07-27,12.066
2020-07-28,12.125
2020-07-29,12.163
2020-07-30,12.252
2020-07-31,12.379
2020-08-01,12.379
2020-08-02,12.379
2020-08-03,12.572
2020-08-04,12.829
2020-08-05,12.723
2020-08-06,12.687
2020-08-07,12.957
2020-08-08,12.957
2020-08-09,12.957
2020-08-10,13.074
2020-08-11,12.954
2020-08-12,13.237
2020-08-13,12.969
2020-08-14,13.135
2020-08-15,13.135
2020-08-16,13.135
2020-08-17,13.299
2020-08-18,13.236
2020-08-19,14.41
2020-08-20,14.225
2020-08-21,14.355
2020-08-22,14.355
2020-08-23,14.355
2020-08-24,14.318
2020-08-25,14.282
2020-08-26,14.269
2020-08-27,14.045
2020-08-28,14.095
2020-08-29,14.095
2020-08-30,14.095
2020-08-31,13.664
2020-09-01,13.604
2020-09-02,13.54
2020-09-03,13.196
2020-09-04,13.304
2020-09-05,13.304
2020-09-06,13.304
2020-09-07,13.304
2020-09-08,13.012
2020-09-09,13.333
2020-09-10,13.196
2020-09-11,13.342
2020-09-12,13.342
2020-09-13,13.342
2020-09-14,13.413
2020-09-15,13.47
2020-09-16,13.373
2020-09-17,13.338
2020-09-18,13.448
2020-09-19,13.448
2020-09-20,13.448
2020-09-21,13.542
2020-09-22,13.923
2020-09-23,13.646
2020-09-24,13.735
2020-09-25,13.947
2020-09-26,13.947
2020-09-27,13.947
2020-09-28,14.138
2020-09-29,14.181
2020-09-30,14.225
2020-10-01,14.331
2020-10-02,14.377
2020-10-03,14.377
2020-10-04,14.377
2020-10-05,14.593
2020-10-06,14.314
2020-10-07,14.519
2020-10-08,14.626
2020-10-09,14.793
2020-10-10,14.793
2020-10-11,14.793
2020-10-12,14.871
2020-10-13,14.968
2020-10-14,14.817
2020-10-15,14.951
2020-10-16,14.903
2020-10-17,14.903
2020-10-18,14.903
2020-10-19,14.824
2020-10-20,14.898
2020-10-21,14.755
2020-10-22,14.422
2020-10-23,14.479
