,ETN US Equity
,BEST_PE_RATIO
2020-01-01,9.314
2020-01-02,9.427
2020-01-03,9.357
2020-01-04,9.357
2020-01-05,9.357
2020-01-06,9.375
2020-01-07,9.326
2020-01-08,9.354
2020-01-09,9.36
2020-01-10,9.34
2020-01-11,9.34
2020-01-12,9.34
2020-01-13,9.328
2020-01-14,9.253
2020-01-15,9.233
2020-01-16,9.324
2020-01-17,9.409
2020-01-18,9.409
2020-01-19,9.409
2020-01-20,9.409
2020-01-21,9.294
2020-01-22,9.554
2020-01-23,9.627
2020-01-24,9.523
2020-01-25,9.523
2020-01-26,9.523
2020-01-27,9.306
2020-01-28,9.467
2020-01-29,9.526
2020-01-30,9.561
2020-01-31,9.29
2020-02-01,9.29
2020-02-02,9.29
2020-02-03,9.39
2020-02-04,9.923
2020-02-05,10.063
2020-02-06,10.077
2020-02-07,10.026
2020-02-08,10.026
2020-02-09,10.026
2020-02-10,10.119
2020-02-11,10.18
2020-02-12,10.23
2020-02-13,10.117
2020-02-14,10.182
2020-02-15,10.182
2020-02-16,10.182
2020-02-17,10.182
2020-02-18,10.273
2020-02-19,10.257
2020-02-20,10.335
2020-02-21,10.318
2020-02-22,10.318
2020-02-23,10.318
2020-02-24,9.996
2020-02-25,9.657
2020-02-26,9.497
2020-02-27,9.169
2020-02-28,8.921
2020-02-29,8.921
2020-03-01,8.921
2020-03-02,9.409
2020-03-03,9.13
2020-03-04,9.648
2020-03-05,9.21
2020-03-06,9.122
2020-03-07,9.122
2020-03-08,9.122
2020-03-09,8.174
2020-03-10,8.758
2020-03-11,8.296
2020-03-12,7.531
2020-03-13,8.487
2020-03-14,8.487
2020-03-15,8.487
2020-03-16,7.471
2020-03-17,7.314
2020-03-18,6.826
2020-03-19,7.186
2020-03-20,6.44
2020-03-21,6.44
2020-03-22,6.44
2020-03-23,5.73
2020-03-24,7.063
2020-03-25,7.4
2020-03-26,7.762
2020-03-27,7.394
2020-03-28,7.394
2020-03-29,7.394
2020-03-30,7.769
2020-03-31,7.706
2020-04-01,7.255
2020-04-02,7.299
2020-04-03,7.067
2020-04-04,7.067
2020-04-05,7.067
2020-04-06,7.677
2020-04-07,7.554
2020-04-08,7.949
2020-04-09,8.078
2020-04-10,8.078
2020-04-11,8.078
2020-04-12,8.078
2020-04-13,7.776
2020-04-14,7.919
2020-04-15,7.513
2020-04-16,7.521
2020-04-17,7.862
2020-04-18,7.862
2020-04-19,7.862
2020-04-20,7.726
2020-04-21,7.629
2020-04-22,7.702
2020-04-23,7.752
2020-04-24,7.822
2020-04-25,7.822
2020-04-26,7.822
2020-04-27,8.187
2020-04-28,8.243
2020-04-29,8.509
2020-04-30,8.282
2020-05-01,8.141
2020-05-02,8.141
2020-05-03,8.141
2020-05-04,7.868
2020-05-05,8.015
2020-05-06,7.927
2020-05-07,7.961
2020-05-08,8.158
2020-05-09,8.158
2020-05-10,8.158
2020-05-11,8.042
2020-05-12,7.683
2020-05-13,7.397
2020-05-14,7.501
2020-05-15,7.381
2020-05-16,7.381
2020-05-17,7.381
2020-05-18,8.554
2020-05-19,8.343
2020-05-20,8.517
2020-05-21,8.556
2020-05-22,8.598
2020-05-23,8.598
2020-05-24,8.598
2020-05-25,8.598
2020-05-26,8.953
2020-05-27,9.43
2020-05-28,9.304
2020-05-29,9.279
2020-05-30,9.279
2020-05-31,9.279
2020-06-01,9.253
2020-06-02,9.358
2020-06-03,9.763
2020-06-04,10.054
2020-06-05,10.43
2020-06-06,10.43
2020-06-07,10.43
2020-06-08,10.456
2020-06-09,10.429
2020-06-10,10.053
2020-06-11,9.304
2020-06-12,9.4
2020-06-13,9.4
2020-06-14,9.4
2020-06-15,9.475
2020-06-16,9.72
2020-06-17,9.709
2020-06-18,9.566
2020-06-19,9.764
2020-06-20,9.764
2020-06-21,9.764
2020-06-22,9.517
2020-06-23,9.522
2020-06-24,9.182
2020-06-25,9.341
2020-06-26,9.344
2020-06-27,9.344
2020-06-28,9.344
2020-06-29,9.499
2020-06-30,9.561
2020-07-01,9.519
2020-07-02,9.644
2020-07-03,9.644
2020-07-04,9.644
2020-07-05,9.644
2020-07-06,9.714
2020-07-07,10.49
2020-07-08,10.483
2020-07-09,10.279
2020-07-10,10.375
2020-07-11,10.375
2020-07-12,10.375
2020-07-13,10.494
2020-07-14,10.883
2020-07-15,11.211
2020-07-16,11.23
2020-07-17,11.351
2020-07-18,11.351
2020-07-19,11.351
2020-07-20,11.136
2020-07-21,11.23
2020-07-22,11.279
2020-07-23,11.262
2020-07-24,11.236
2020-07-25,11.236
2020-07-26,11.236
2020-07-27,11.43
2020-07-28,11.203
2020-07-29,12.066
2020-07-30,11.739
2020-07-31,11.574
2020-08-01,11.574
2020-08-02,11.574
2020-08-03,11.79
2020-08-04,11.763
2020-08-05,11.973
2020-08-06,11.994
2020-08-07,12.149
2020-08-08,12.149
2020-08-09,12.149
2020-08-10,12.398
2020-08-11,12.699
2020-08-12,12.745
2020-08-13,12.696
2020-08-14,12.628
2020-08-15,12.628
2020-08-16,12.628
2020-08-17,12.63
2020-08-18,12.606
2020-08-19,12.577
2020-08-20,12.451
2020-08-21,12.613
2020-08-22,12.613
2020-08-23,12.613
2020-08-24,12.9
2020-08-25,12.892
2020-08-26,12.84
2020-08-27,12.801
2020-08-28,12.979
2020-08-29,12.979
2020-08-30,12.979
2020-08-31,12.802
2020-09-01,12.969
2020-09-02,13.237
2020-09-03,12.808
2020-09-04,12.862
2020-09-05,12.862
2020-09-06,12.862
2020-09-07,12.862
2020-09-08,12.599
2020-09-09,12.86
2020-09-10,12.664
2020-09-11,12.855
2020-09-12,12.855
2020-09-13,12.855
2020-09-14,12.938
2020-09-15,12.9
2020-09-16,13.089
2020-09-17,13.167
2020-09-18,12.965
2020-09-19,12.965
2020-09-20,12.965
2020-09-21,12.21
2020-09-22,12.452
2020-09-23,12.386
2020-09-24,12.495
2020-09-25,12.534
2020-09-26,12.534
2020-09-27,12.534
2020-09-28,12.832
2020-09-29,12.687
2020-09-30,12.793
2020-10-01,12.613
2020-10-02,12.871
2020-10-03,12.871
2020-10-04,12.871
2020-10-05,13.145
2020-10-06,13.064
2020-10-07,13.378
2020-10-08,13.444
2020-10-09,13.45
2020-10-10,13.45
2020-10-11,13.45
2020-10-12,14.009
2020-10-13,13.93
2020-10-14,14.006
2020-10-15,14.063
2020-10-16,14.145
2020-10-17,14.145
2020-10-18,14.145
2020-10-19,13.967
2020-10-20,14.077
2020-10-21,14.018
2020-10-22,14.225
2020-10-23,14.216
2020-10-24,14.216
2020-10-25,14.216
2020-10-26,13.907
2020-10-27,13.648
2020-10-28,13.245
2020-10-29,13.492
2020-10-30,13.437
2020-10-31,13.437
2020-11-01,13.437
2020-11-02,13.896
2020-11-03,14.311
2020-11-04,13.438
2020-11-05,13.992
2020-11-06,14.011
2020-11-07,14.011
2020-11-08,14.011
2020-11-09,14.463
2020-11-10,14.636
2020-11-11,14.535
2020-11-12,14.44
2020-11-13,14.721
2020-11-14,14.721
2020-11-15,14.721
2020-11-16,15.114
2020-11-17,14.93
2020-11-18,15.017
2020-11-19,15.193
2020-11-20,15.101
2020-11-21,15.101
2020-11-22,15.101
2020-11-23,15.469
2020-11-24,15.853
2020-11-25,15.717
2020-11-26,15.717
2020-11-27,15.68
2020-11-28,15.68
2020-11-29,15.68
2020-11-30,15.606
2020-12-01,15.553
2020-12-02,15.324
2020-12-03,15.041
2020-12-04,15.311
2020-12-05,15.311
2020-12-06,15.311
2020-12-07,15.128
2020-12-08,15.187
2020-12-09,15.191
2020-12-10,14.838
2020-12-11,14.896
2020-12-12,14.896
2020-12-13,14.896
2020-12-14,14.639
2020-12-15,14.986
2020-12-16,14.836
2020-12-17,14.825
2020-12-18,14.927
2020-12-19,14.927
2020-12-20,14.927
2020-12-21,15.043
2020-12-22,14.995
2020-12-23,15.009
2020-12-24,15.143
2020-12-25,15.143
2020-12-26,15.143
2020-12-27,15.143
2020-12-28,15.099
2020-12-29,15.027
2020-12-30,15.301
2020-12-31,15.409
2021-01-01,15.409
2021-01-02,15.409
2021-01-03,15.409
2021-01-04,15.293
2021-01-05,15.396
2021-01-06,16.223
2021-01-07,16.561
2021-01-08,16.278
2021-01-09,16.278
2021-01-10,16.278
2021-01-11,16.288
2021-01-12,16.62
2021-01-13,16.24
2021-01-14,16.138
2021-01-15,15.95
