,HBI US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,5.517
2020-05-01,5.317
2020-05-02,5.317
2020-05-03,5.317
2020-05-04,5.278
2020-05-05,5.578
2020-05-06,5.328
2020-05-07,5.167
2020-05-08,4.673
2020-05-09,4.673
2020-05-10,4.673
2020-05-11,4.426
2020-05-12,4.269
2020-05-13,4.071
2020-05-14,4.209
2020-05-15,4.204
2020-05-16,4.204
2020-05-17,4.204
2020-05-18,4.682
2020-05-19,4.651
2020-05-20,4.807
2020-05-21,4.928
2020-05-22,4.817
2020-05-23,4.817
2020-05-24,4.817
2020-05-25,4.817
2020-05-26,5.37
2020-05-27,5.676
2020-05-28,5.129
2020-05-29,4.953
2020-05-30,4.953
2020-05-31,4.953
2020-06-01,5.169
2020-06-02,5.385
2020-06-03,6.048
2020-06-04,5.998
2020-06-05,6.49
2020-06-06,6.49
2020-06-07,6.49
2020-06-08,6.636
2020-06-09,6.58
2020-06-10,6.319
2020-06-11,5.626
2020-06-12,5.887
2020-06-13,5.887
2020-06-14,5.887
2020-06-15,5.857
2020-06-16,6.078
2020-06-17,5.952
2020-06-18,5.932
2020-06-19,5.701
2020-06-20,5.701
2020-06-21,5.701
2020-06-22,5.641
2020-06-23,5.661
2020-06-24,5.38
2020-06-25,5.405
2020-06-26,5.254
2020-06-27,5.254
2020-06-28,5.254
2020-06-29,5.601
2020-06-30,5.671
2020-07-01,5.556
2020-07-02,5.559
2020-07-03,5.559
2020-07-04,5.559
2020-07-05,5.559
2020-07-06,5.521
2020-07-07,5.409
2020-07-08,5.516
2020-07-09,5.225
2020-07-10,5.545
2020-07-11,5.545
2020-07-12,5.545
2020-07-13,5.559
2020-07-14,6.088
2020-07-15,6.957
2020-07-16,6.918
2020-07-17,6.801
2020-07-18,6.801
2020-07-19,6.801
2020-07-20,6.782
2020-07-21,6.733
2020-07-22,6.816
2020-07-23,6.83
2020-07-24,6.777
2020-07-25,6.777
2020-07-26,6.777
2020-07-27,6.869
2020-07-28,6.894
2020-07-29,7.102
2020-07-30,6.538
2020-07-31,6.266
2020-08-01,6.266
2020-08-02,6.266
2020-08-03,6.35
2020-08-04,6.323
2020-08-05,6.286
2020-08-06,6.086
2020-08-07,6.414
2020-08-08,6.414
2020-08-09,6.414
2020-08-10,6.798
2020-08-11,6.871
2020-08-12,6.879
2020-08-13,6.72
2020-08-14,6.793
2020-08-15,6.793
2020-08-16,6.793
2020-08-17,6.823
2020-08-18,6.789
2020-08-19,6.798
2020-08-20,6.742
2020-08-21,6.755
2020-08-22,6.755
2020-08-23,6.755
2020-08-24,6.91
2020-08-25,6.897
2020-08-26,6.707
2020-08-27,6.776
2020-08-28,6.772
2020-08-29,6.772
2020-08-30,6.772
2020-08-31,6.587
2020-09-01,6.694
2020-09-02,6.858
2020-09-03,6.681
2020-09-04,6.638
2020-09-05,6.638
2020-09-06,6.638
2020-09-07,6.638
2020-09-08,6.686
2020-09-09,6.625
2020-09-10,6.582
2020-09-11,6.63
2020-09-12,6.63
2020-09-13,6.63
2020-09-14,6.798
2020-09-15,6.767
2020-09-16,6.983
2020-09-17,6.806
2020-09-18,6.75
2020-09-19,6.75
2020-09-20,6.75
2020-09-21,6.587
2020-09-22,6.737
2020-09-23,6.892
2020-09-24,6.711
2020-09-25,6.681
2020-09-26,6.681
2020-09-27,6.681
2020-09-28,6.802
2020-09-29,6.651
2020-09-30,6.785
2020-10-01,6.871
2020-10-02,6.957
2020-10-03,6.957
2020-10-04,6.957
