,FICO US Equity
,BEST_PE_RATIO
2020-01-01,22.667
2020-01-02,23.165
2020-01-03,23.105
2020-01-04,23.105
2020-01-05,23.105
2020-01-06,23.23
2020-01-07,23.502
2020-01-08,23.674
2020-01-09,24.29
2020-01-10,24.29
2020-01-11,24.29
2020-01-12,24.29
2020-01-13,24.29
2020-01-14,24.29
2020-01-15,24.29
2020-01-16,24.29
2020-01-17,24.29
2020-01-18,24.29
2020-01-19,24.29
2020-01-20,24.29
2020-01-21,24.29
2020-01-22,24.29
2020-01-23,24.29
2020-01-24,24.29
2020-01-25,24.29
2020-01-26,24.29
2020-01-27,24.29
2020-01-28,24.29
2020-01-29,24.29
2020-01-30,24.29
2020-01-31,24.29
2020-02-01,24.29
2020-02-02,24.29
2020-02-03,24.29
2020-02-04,24.29
2020-02-05,24.29
2020-02-06,24.29
2020-02-07,24.29
2020-02-08,24.29
2020-02-09,24.29
2020-02-10,24.29
2020-02-11,24.29
2020-02-12,24.29
2020-02-13,24.29
2020-02-14,24.29
2020-02-15,24.29
2020-02-16,24.29
2020-02-17,24.29
2020-02-18,24.29
2020-02-19,24.29
2020-02-20,24.29
2020-02-21,24.29
2020-02-22,24.29
2020-02-23,24.29
2020-02-24,24.29
2020-02-25,24.29
2020-02-26,24.29
2020-02-27,24.29
2020-02-28,24.29
2020-02-29,24.29
2020-03-01,24.29
2020-03-02,24.29
2020-03-03,24.29
2020-03-04,24.29
2020-03-05,24.29
2020-03-06,24.29
2020-03-07,24.29
2020-03-08,24.29
2020-03-09,24.29
2020-03-10,24.29
2020-03-11,24.29
2020-03-12,24.29
2020-03-13,24.29
2020-03-14,24.29
2020-03-15,24.29
2020-03-16,24.29
2020-03-17,24.29
2020-03-18,24.29
2020-03-19,24.29
2020-03-20,24.29
2020-03-21,24.29
2020-03-22,24.29
2020-03-23,24.29
2020-03-24,24.29
2020-03-25,24.29
2020-03-26,24.29
2020-03-27,24.29
2020-03-28,24.29
2020-03-29,24.29
2020-03-30,24.29
2020-03-31,24.29
2020-04-01,24.29
2020-04-02,24.29
2020-04-03,24.29
2020-04-04,24.29
2020-04-05,24.29
2020-04-06,24.29
2020-04-07,24.29
2020-04-08,24.29
2020-04-09,24.29
2020-04-10,24.29
2020-04-11,24.29
2020-04-12,24.29
2020-04-13,24.29
2020-04-14,24.29
2020-04-15,24.29
2020-04-16,24.29
2020-04-17,24.29
2020-04-18,24.29
2020-04-19,24.29
2020-04-20,24.29
2020-04-21,24.29
2020-04-22,24.29
2020-04-23,24.29
2020-04-24,24.29
2020-04-25,24.29
2020-04-26,24.29
2020-04-27,24.29
2020-04-28,24.29
2020-04-29,24.29
2020-04-30,24.29
2020-05-01,24.29
2020-05-02,24.29
2020-05-03,24.29
2020-05-04,24.29
2020-05-05,24.29
2020-05-06,24.29
2020-05-07,24.29
2020-05-08,24.29
2020-05-09,24.29
2020-05-10,24.29
2020-05-11,24.29
2020-05-12,24.29
2020-05-13,24.29
2020-05-14,24.29
2020-05-15,24.29
2020-05-16,24.29
2020-05-17,24.29
2020-05-18,24.29
2020-05-19,24.29
2020-05-20,24.29
2020-05-21,24.29
2020-05-22,24.29
2020-05-23,24.29
2020-05-24,24.29
2020-05-25,24.29
2020-05-26,24.29
2020-05-27,24.29
2020-05-28,24.29
2020-05-29,24.29
2020-05-30,24.29
2020-05-31,24.29
2020-06-01,24.29
2020-06-02,24.29
2020-06-03,24.29
2020-06-04,24.29
2020-06-05,24.29
2020-06-06,24.29
2020-06-07,24.29
2020-06-08,24.29
2020-06-09,24.29
2020-06-10,24.29
