,ECHO US Equity
,BEST_PE_RATIO
2020-01-01,12.321
2020-01-02,12.196
2020-01-03,12.143
2020-01-04,12.143
2020-01-05,12.143
2020-01-06,12.065
2020-01-07,12.143
2020-01-08,12.369
2020-01-09,12.44
2020-01-10,12.464
2020-01-11,12.464
2020-01-12,12.464
2020-01-13,12.827
2020-01-14,13.061
2020-01-15,13.607
2020-01-16,13.932
2020-01-17,14.041
2020-01-18,14.041
2020-01-19,14.041
2020-01-20,14.041
2020-01-21,13.631
2020-01-22,13.715
2020-01-23,13.402
2020-01-24,12.903
2020-01-25,12.903
2020-01-26,12.903
2020-01-27,12.641
2020-01-28,12.966
2020-01-29,12.623
2020-01-30,12.259
2020-01-31,11.661
2020-02-01,11.661
2020-02-02,11.661
2020-02-03,11.77
2020-02-04,12.095
2020-02-05,12.87
2020-02-06,15.542
2020-02-07,15.564
2020-02-08,15.564
2020-02-09,15.564
2020-02-10,15.072
2020-02-11,15.245
2020-02-12,15.569
2020-02-13,15.209
2020-02-14,14.899
2020-02-15,14.899
2020-02-16,14.899
2020-02-17,14.899
2020-02-18,15.094
2020-02-19,14.971
2020-02-20,15.634
2020-02-21,15.706
2020-02-22,15.706
2020-02-23,15.706
2020-02-24,15.05
2020-02-25,14.589
2020-02-26,14.316
2020-02-27,13.61
2020-02-28,13.293
2020-02-29,13.293
2020-03-01,13.293
2020-03-02,13.429
2020-03-03,12.666
2020-03-04,13.321
2020-03-05,12.723
2020-03-06,12.517
2020-03-07,12.517
2020-03-08,12.517
2020-03-09,11.941
2020-03-10,12.317
2020-03-11,11.454
2020-03-12,11.306
2020-03-13,12.458
2020-03-14,12.458
2020-03-15,12.458
2020-03-16,10.915
2020-03-17,12.325
2020-03-18,11.055
2020-03-19,12.288
2020-03-20,11.978
2020-03-21,11.978
2020-03-22,11.978
2020-03-23,12.584
2020-03-24,13.311
2020-03-25,12.884
2020-03-26,13.184
2020-03-27,11.73
2020-03-28,11.73
2020-03-29,11.73
2020-03-30,11.94
2020-03-31,12.746
2020-04-01,11.731
2020-04-02,12.127
2020-04-03,11.963
2020-04-04,11.963
2020-04-05,11.963
2020-04-06,13.682
2020-04-07,13.481
2020-04-08,14.096
2020-04-09,14.766
2020-04-10,14.766
2020-04-11,14.766
2020-04-12,14.766
2020-04-13,14.298
2020-04-14,12.812
2020-04-15,12.258
2020-04-16,12.128
2020-04-17,13.482
2020-04-18,13.482
2020-04-19,13.482
2020-04-20,13.132
2020-04-21,12.785
2020-04-22,12.199
2020-04-23,11.5
2020-04-24,12.675
2020-04-25,12.675
2020-04-26,12.675
2020-04-27,13.376
2020-04-28,13.885
2020-04-29,14.572
2020-04-30,14.16
2020-05-01,13.829
2020-05-02,13.829
2020-05-03,13.829
2020-05-04,13.166
