,EOG US Equity
,BEST_PE_RATIO
2020-01-01,10.518
2020-01-02,10.566
2020-01-03,10.672
2020-01-04,10.672
2020-01-05,10.672
2020-01-06,11.106
2020-01-07,11.212
2020-01-08,10.968
2020-01-09,11.082
2020-01-10,10.833
2020-01-11,10.833
2020-01-12,10.833
2020-01-13,10.739
2020-01-14,9.383
2020-01-15,9.427
2020-01-16,9.489
2020-01-17,9.302
2020-01-18,9.302
2020-01-19,9.302
2020-01-20,9.302
2020-01-21,9.164
2020-01-22,9.06
2020-01-23,8.923
2020-01-24,8.707
2020-01-25,8.707
2020-01-26,8.707
2020-01-27,8.357
2020-01-28,8.402
2020-01-29,8.194
2020-01-30,8.268
2020-01-31,7.95
2020-02-01,7.95
2020-02-02,7.95
2020-02-03,7.782
2020-02-04,8.028
2020-02-05,8.402
2020-02-06,8.273
2020-02-07,8.107
2020-02-08,8.107
2020-02-09,8.107
2020-02-10,8.037
2020-02-11,8.155
2020-02-12,8.22
2020-02-13,8.252
2020-02-14,8.17
2020-02-15,8.17
2020-02-16,8.17
2020-02-17,8.17
2020-02-18,8.127
2020-02-19,8.427
2020-02-20,8.286
2020-02-21,8.092
2020-02-22,8.092
2020-02-23,8.092
2020-02-24,7.623
2020-02-25,7.305
2020-02-26,6.892
2020-02-27,6.543
2020-02-28,6.898
2020-02-29,6.898
2020-03-01,6.898
2020-03-02,5.206
2020-03-03,5.171
2020-03-04,5.307
2020-03-05,5.124
2020-03-06,4.58
2020-03-07,4.58
2020-03-08,4.58
2020-03-09,3.114
2020-03-10,3.445
2020-03-11,3.219
2020-03-12,2.692
2020-03-13,2.882
2020-03-14,2.882
2020-03-15,2.882
2020-03-16,2.709
2020-03-17,2.861
2020-03-18,2.756
2020-03-19,3.077
2020-03-20,3.232
2020-03-21,3.232
2020-03-22,3.232
2020-03-23,3.199
2020-03-24,3.686
2020-03-25,3.676
2020-03-26,3.661
2020-03-27,3.334
2020-03-28,3.334
2020-03-29,3.334
2020-03-30,3.24
2020-03-31,3.327
2020-04-01,3.205
2020-04-02,3.547
2020-04-03,3.695
2020-04-04,3.695
2020-04-05,3.695
2020-04-06,3.652
2020-04-07,3.828
2020-04-08,4.479
2020-04-09,4.433
2020-04-10,4.433
2020-04-11,4.433
2020-04-12,4.433
2020-04-13,4.281
2020-04-14,4.176
2020-04-15,3.98
2020-04-16,3.644
2020-04-17,4.175
2020-04-18,4.175
2020-04-19,4.175
2020-04-20,4.108
2020-04-21,4.041
2020-04-22,4.306
2020-04-23,4.412
2020-04-24,4.305
2020-04-25,4.305
2020-04-26,4.305
2020-04-27,4.423
2020-04-28,4.466
2020-04-29,4.738
2020-04-30,4.718
2020-05-01,4.426
2020-05-02,4.426
2020-05-03,4.426
2020-05-04,4.641
2020-05-05,4.573
2020-05-06,4.552
2020-05-07,4.797
2020-05-08,5.109
2020-05-09,5.109
2020-05-10,5.109
2020-05-11,5.859
2020-05-12,5.845
2020-05-13,5.666
2020-05-14,5.591
2020-05-15,6.858
2020-05-16,6.858
2020-05-17,6.858
2020-05-18,7.542
2020-05-19,7.286
2020-05-20,7.573
2020-05-21,7.525
2020-05-22,7.519
2020-05-23,7.519
2020-05-24,7.519
2020-05-25,7.519
2020-05-26,7.398
2020-05-27,7.584
2020-05-28,7.427
2020-05-29,7.331
2020-05-30,7.331
2020-05-31,7.331
2020-06-01,7.452
2020-06-02,7.883
2020-06-03,7.964
2020-06-04,7.932
2020-06-05,8.53
2020-06-06,8.53
2020-06-07,8.53
2020-06-08,8.933
2020-06-09,8.553
2020-06-10,8.001
2020-06-11,7.357
2020-06-12,7.561
2020-06-13,7.561
2020-06-14,7.561
2020-06-15,7.545
2020-06-16,7.891
2020-06-17,7.584
2020-06-18,7.649
2020-06-19,7.558
2020-06-20,7.558
2020-06-21,7.558
2020-06-22,7.576
2020-06-23,7.582
2020-06-24,7.074
2020-06-25,7.332
2020-06-26,7.047
2020-06-27,7.047
2020-06-28,7.047
2020-06-29,7.218
2020-06-30,7.365
2020-07-01,7.273
2020-07-02,7.258
2020-07-03,7.258
2020-07-04,7.258
2020-07-05,7.258
2020-07-06,7.243
2020-07-07,6.912
2020-07-08,6.81
2020-07-09,6.365
2020-07-10,6.517
2020-07-11,6.517
2020-07-12,6.517
2020-07-13,6.452
2020-07-14,6.727
2020-07-15,6.761
2020-07-16,6.867
2020-07-17,6.772
2020-07-18,6.772
2020-07-19,6.772
2020-07-20,6.85
2020-07-21,7.24
2020-07-22,7.207
2020-07-23,7.015
2020-07-24,7.053
2020-07-25,7.053
2020-07-26,7.053
2020-07-27,6.984
2020-07-28,6.799
2020-07-29,6.975
2020-07-30,6.699
2020-07-31,6.738
2020-08-01,6.738
2020-08-02,6.738
2020-08-03,6.669
2020-08-04,6.97
2020-08-05,7.299
2020-08-06,7.271
2020-08-07,6.973
2020-08-08,6.973
2020-08-09,6.973
2020-08-10,7.292
2020-08-11,7.142
2020-08-12,7.094
2020-08-13,6.719
2020-08-14,7.098
2020-08-15,7.098
2020-08-16,7.098
2020-08-17,6.886
2020-08-18,7.253
2020-08-19,7.137
2020-08-20,6.901
2020-08-21,6.56
2020-08-22,6.56
2020-08-23,6.56
2020-08-24,6.702
2020-08-25,6.709
2020-08-26,6.54
