,CORT US Equity
,BEST_PE_RATIO
2020-01-01,10.549
2020-01-02,10.514
2020-01-03,10.575
2020-01-04,10.575
2020-01-05,10.575
2020-01-06,10.401
2020-01-07,10.34
2020-01-08,10.401
2020-01-09,10.532
2020-01-10,10.75
2020-01-11,10.75
2020-01-12,10.75
2020-01-13,10.881
2020-01-14,10.793
2020-01-15,11.037
2020-01-16,11.456
2020-01-17,11.247
2020-01-18,11.247
2020-01-19,11.247
2020-01-20,11.247
2020-01-21,11.142
2020-01-22,11.421
2020-01-23,11.447
2020-01-24,11.382
2020-01-25,11.382
2020-01-26,11.382
2020-01-27,11.539
2020-01-28,11.718
2020-01-29,11.412
2020-01-30,12.565
2020-01-31,12.218
2020-02-01,12.218
2020-02-02,12.218
2020-02-03,12.314
2020-02-04,12.575
2020-02-05,12.637
2020-02-06,13.269
2020-02-07,13.076
2020-02-08,13.076
2020-02-09,13.076
2020-02-10,13.539
2020-02-11,13.322
2020-02-12,13.057
2020-02-13,12.758
2020-02-14,12.864
2020-02-15,12.864
2020-02-16,12.864
2020-02-17,12.864
2020-02-18,13.187
2020-02-19,13.346
2020-02-20,13.173
2020-02-21,12.468
2020-02-22,12.468
2020-02-23,12.468
2020-02-24,12.193
2020-02-25,12.202
2020-02-26,12.422
2020-02-27,12.239
2020-02-28,11.578
2020-02-29,11.578
2020-03-01,11.578
2020-03-02,12.128
2020-03-03,11.266
2020-03-04,11.734
2020-03-05,11.376
2020-03-06,10.606
2020-03-07,10.606
2020-03-08,10.606
2020-03-09,9.899
2020-03-10,10.404
2020-03-11,10.046
2020-03-12,9.615
2020-03-13,9.908
2020-03-14,9.908
2020-03-15,9.908
2020-03-16,9.275
2020-03-17,9.523
2020-03-18,9.899
2020-03-19,10.11
2020-03-20,9.413
2020-03-21,9.413
2020-03-22,9.413
2020-03-23,9.633
2020-03-24,10.385
2020-03-25,9.468
2020-03-26,10.092
2020-03-27,9.972
2020-03-28,9.972
2020-03-29,9.972
2020-03-30,10.734
2020-03-31,10.908
2020-04-01,10.725
2020-04-02,11.009
2020-04-03,10.688
2020-04-04,10.688
2020-04-05,10.688
2020-04-06,10.587
2020-04-07,10.092
2020-04-08,10.697
2020-04-09,11.202
2020-04-10,11.202
2020-04-11,11.202
2020-04-12,11.202
2020-04-13,10.972
2020-04-14,10.972
2020-04-15,10.954
2020-04-16,11.009
2020-04-17,11.596
2020-04-18,11.596
2020-04-19,11.596
2020-04-20,11.312
2020-04-21,11.083
2020-04-22,11.33
2020-04-23,11.642
2020-04-24,12.055
2020-04-25,12.055
2020-04-26,12.055
2020-04-27,12.367
2020-04-28,11.936
2020-04-29,11.899
2020-04-30,11.615
2020-05-01,11.193
2020-05-02,11.193
2020-05-03,11.193
2020-05-04,11.642
2020-05-05,11.982
2020-05-06,12.425
2020-05-07,11.692
2020-05-08,12.154
2020-05-09,12.154
2020-05-10,12.154
2020-05-11,12.425
2020-05-12,12.29
2020-05-13,12.335
2020-05-14,12.398
2020-05-15,12.724
2020-05-16,12.724
2020-05-17,12.724
2020-05-18,13.086
2020-05-19,13.421
2020-05-20,13.557
2020-05-21,13.828
2020-05-22,14.253
2020-05-23,14.253
2020-05-24,14.253
2020-05-25,14.253
2020-05-26,14.118
2020-05-27,13.71
2020-05-28,13.792
2020-05-29,13.701
2020-05-30,13.701
2020-05-31,13.701
2020-06-01,13.719
2020-06-02,12.959
2020-06-03,13.122
2020-06-04,12.778
2020-06-05,12.842
2020-06-06,12.842
2020-06-07,12.842
2020-06-08,13.348
2020-06-09,13.738
2020-06-10,13.919
2020-06-11,13.348
2020-06-12,13.213
2020-06-13,13.213
2020-06-14,13.213
2020-06-15,13.783
2020-06-16,14.118
2020-06-17,14.244
2020-06-18,14.199
2020-06-19,14.647
2020-06-20,14.647
2020-06-21,14.647
2020-06-22,16.525
2020-06-23,15.575
2020-06-24,15.181
2020-06-25,15.312
2020-06-26,15.068
2020-06-27,15.068
2020-06-28,15.068
2020-06-29,15.158
2020-06-30,15.222
2020-07-01,15.466
2020-07-02,15.548
2020-07-03,15.548
2020-07-04,15.548
2020-07-05,15.548
2020-07-06,15.131
2020-07-07,15.014
2020-07-08,15.24
2020-07-09,15.158
2020-07-10,10.374
2020-07-11,10.374
2020-07-12,10.374
2020-07-13,9.95
2020-07-14,10.258
2020-07-15,10.39
2020-07-16,10.321
2020-07-17,10.365
2020-07-18,10.365
2020-07-19,10.365
2020-07-20,10.61
2020-07-21,10.415
2020-07-22,10.27
2020-07-23,10.22
2020-07-24,10.132
2020-07-25,10.132
2020-07-26,10.132
2020-07-27,10.475
2020-07-28,10.031
2020-07-29,10.151
2020-07-30,10.113
2020-07-31,9.403
2020-08-01,9.403
2020-08-02,9.403
2020-08-03,9.654
2020-08-04,13.703
2020-08-05,12.708
2020-08-06,12.363
2020-08-07,12.336
2020-08-08,12.336
2020-08-09,12.336
2020-08-10,12.23
2020-08-11,11.956
2020-08-12,11.903
2020-08-13,12.124
2020-08-14,12.181
2020-08-15,12.181
2020-08-16,12.181
2020-08-17,12.31
2020-08-18,12.195
2020-08-19,12.124
2020-08-20,12.142
2020-08-21,11.429
2020-08-22,11.429
2020-08-23,11.429
2020-08-24,11.292
2020-08-25,11.372
2020-08-26,11.124
2020-08-27,11.027
2020-08-28,11.159
2020-08-29,11.159
2020-08-30,11.159
2020-08-31,11.239
2020-09-01,11.097
2020-09-02,17.584
2020-09-03,12.43
2020-09-04,13.016
2020-09-05,13.016
2020-09-06,13.016
2020-09-07,13.016
2020-09-08,11.964
2020-09-09,12.919
2020-09-10,11.883
2020-09-11,11.557
2020-09-12,11.557
2020-09-13,11.557
2020-09-14,11.726
2020-09-15,11.544
2020-09-16,11.511
2020-09-17,11.215
2020-09-18,11.72
2020-09-19,11.72
2020-09-20,11.72
2020-09-21,11.72
2020-09-22,11.609
2020-09-23,11.114
2020-09-24,10.928
2020-09-25,11.134
2020-09-26,11.134
2020-09-27,11.134
2020-09-28,11.296
2020-09-29,11.433
2020-09-30,11.339
2020-10-01,11.322
2020-10-02,11.023
2020-10-03,11.023
2020-10-04,11.023
2020-10-05,11.492
2020-10-06,11.544
2020-10-07,11.583
2020-10-08,11.935
2020-10-09,11.954
2020-10-10,11.954
2020-10-11,11.954
2020-10-12,11.896
2020-10-13,12.052
2020-10-14,11.974
2020-10-15,11.805
2020-10-16,11.726
2020-10-17,11.726
2020-10-18,11.726
2020-10-19,11.531
2020-10-20,11.583
2020-10-21,11.362
2020-10-22,11.57
2020-10-23,11.629
2020-10-24,11.629
2020-10-25,11.629
2020-10-26,11.629
2020-10-27,11.596
2020-10-28,11.16
2020-10-29,11.179
2020-10-30,10.932
2020-10-31,10.932
2020-11-01,10.932
2020-11-02,11.342
2020-11-03,12.993
2020-11-04,13.27
2020-11-05,13.197
2020-11-06,13.204
2020-11-07,13.204
2020-11-08,13.204
2020-11-09,13.095
2020-11-10,13.401
2020-11-11,13.861
2020-11-12,13.372
2020-11-13,13.204
2020-11-14,13.204
2020-11-15,13.204
2020-11-16,13.212
2020-11-17,13.168
2020-11-18,13.62
2020-11-19,14.514
2020-11-20,14.817
2020-11-21,14.817
2020-11-22,14.817
2020-11-23,14.241
2020-11-24,14.167
2020-11-25,14.136
2020-11-26,14.136
2020-11-27,12.132
2020-11-28,12.132
2020-11-29,12.132
2020-11-30,11.947
2020-12-01,12.132
2020-12-02,12.069
2020-12-03,12.327
2020-12-04,12.427
2020-12-05,12.427
2020-12-06,12.427
2020-12-07,12.517
2020-12-08,12.834
2020-12-09,12.865
2020-12-10,13.298
2020-12-11,13.361
2020-12-12,13.361
2020-12-13,13.361
2020-12-14,13.536
2020-12-15,13.815
2020-12-16,13.826
2020-12-17,14.164
2020-12-18,13.858
2020-12-19,13.858
2020-12-20,13.858
2020-12-21,14.026
2020-12-22,14.274
2020-12-23,14.406
2020-12-24,14.348
2020-12-25,14.348
2020-12-26,14.348
2020-12-27,14.348
2020-12-28,14.063
2020-12-29,13.747
2020-12-30,13.81
2020-12-31,13.805
2021-01-01,13.805
2021-01-02,13.805
2021-01-03,13.805
2021-01-04,13.768
2021-01-05,12.259
2021-01-06,12.462
2021-01-07,12.83
2021-01-08,12.816
2021-01-09,12.816
2021-01-10,12.816
2021-01-11,12.741
2021-01-12,12.703
2021-01-13,12.722
2021-01-14,13.028
2021-01-15,13.274
2021-01-16,13.274
2021-01-17,13.274
2021-01-18,13.274
2021-01-19,13.561
2021-01-20,13.505
2021-01-21,13.198
2021-01-22,13.236
2021-01-23,13.236
2021-01-24,13.236
2021-01-25,13.472
2021-01-26,13.453
2021-01-27,13.58
2021-01-28,13.542
2021-01-29,13.33
2021-01-30,13.33
2021-01-31,13.33
2021-02-01,13.816
2021-02-02,14.118
2021-02-03,13.698
2021-02-04,13.896
2021-02-05,13.873
2021-02-06,13.873
2021-02-07,13.873
2021-02-08,14.415
2021-02-09,13.972
2021-02-10,14.042
2021-02-11,13.524
2021-02-12,13.208
2021-02-13,13.208
2021-02-14,13.208
2021-02-15,13.208
2021-02-16,13.25
2021-02-17,13.071
2021-02-18,12.604
2021-02-19,12.708
2021-02-20,12.708
2021-02-21,12.708
2021-02-22,12.613
2021-02-23,12.559
2021-02-24,12.55
2021-02-25,12.057
2021-02-26,11.863
2021-02-27,11.863
2021-02-28,11.863
2021-03-01,12.009
2021-03-02,11.689
2021-03-03,11.514
2021-03-04,11.252
2021-03-05,11.58
2021-03-06,11.58
2021-03-07,11.58
2021-03-08,11.203
2021-03-09,11.632
2021-03-10,11.679
2021-03-11,12.019
2021-03-12,12.118
2021-03-13,12.118
2021-03-14,12.118
2021-03-15,12.165
2021-03-16,10.991
2021-03-17,11.082
2021-03-18,10.754
2021-03-19,11.043
2021-03-20,11.043
2021-03-21,11.043
2021-03-22,11.078
2021-03-23,10.832
2021-03-24,10.194
2021-03-25,10.237
2021-03-26,10.552
2021-03-27,10.552
2021-03-28,10.552
2021-03-29,10.28
2021-03-30,10.125
2021-03-31,10.254
2021-04-01,10.53
2021-04-02,10.53
2021-04-03,10.53
2021-04-04,10.53
2021-04-05,10.405
2021-04-06,10.414
2021-04-07,10.052
2021-04-08,9.875
2021-04-09,9.776
2021-04-10,9.776
2021-04-11,9.776
2021-04-12,9.668
2021-04-13,9.603
2021-04-14,9.892
2021-04-15,9.888
2021-04-16,9.813
2021-04-17,9.813
2021-04-18,9.813
2021-04-19,9.871
2021-04-20,9.711
2021-04-21,9.991
2021-04-22,10.293
2021-04-23,10.345
2021-04-24,10.345
2021-04-25,10.345
2021-04-26,10.478
2021-04-27,10.297
2021-04-28,10.241
2021-04-29,10.112
2021-04-30,9.823
2021-05-01,9.823
2021-05-02,9.823
2021-05-03,9.681
2021-05-04,9.573
2021-05-05,9.336
2021-05-06,10.488
2021-05-07,10.369
2021-05-08,10.369
2021-05-09,10.369
2021-05-10,9.813
2021-05-11,10.049
