,BMY US Equity
,BEST_PE_RATIO
2020-01-01,7.631
2020-01-02,7.583
2020-01-03,7.516
2020-01-04,7.516
2020-01-05,7.516
2020-01-06,7.54
2020-01-07,7.989
2020-01-08,7.981
2020-01-09,7.836
2020-01-10,7.809
2020-01-11,7.809
2020-01-12,7.809
2020-01-13,7.92
2020-01-14,7.954
2020-01-15,7.971
2020-01-16,7.995
2020-01-17,7.988
2020-01-18,7.988
2020-01-19,7.988
2020-01-20,7.988
2020-01-21,7.339
2020-01-22,7.339
2020-01-23,7.278
2020-01-24,6.983
2020-01-25,6.983
2020-01-26,6.983
2020-01-27,6.826
2020-01-28,6.945
2020-01-29,6.873
2020-01-30,6.837
2020-01-31,6.745
2020-02-01,6.745
2020-02-02,6.745
2020-02-03,6.813
2020-02-04,6.889
2020-02-05,7.028
2020-02-06,7.212
2020-02-07,7.253
2020-02-08,7.253
2020-02-09,7.253
2020-02-10,7.476
2020-02-11,7.485
2020-02-12,7.486
2020-02-13,7.383
2020-02-14,7.416
2020-02-15,7.416
2020-02-16,7.416
2020-02-17,7.416
2020-02-18,7.382
2020-02-19,7.342
2020-02-20,7.281
2020-02-21,7.333
2020-02-22,7.333
2020-02-23,7.333
2020-02-24,7.11
2020-02-25,6.884
2020-02-26,6.873
2020-02-27,6.6
2020-02-28,6.543
2020-02-29,6.543
2020-03-01,6.543
2020-03-02,6.685
2020-03-03,6.558
2020-03-04,6.811
2020-03-05,6.702
2020-03-06,6.681
2020-03-07,6.681
2020-03-08,6.681
2020-03-09,6.388
2020-03-10,6.418
2020-03-11,6.26
2020-03-12,5.844
2020-03-13,6.092
2020-03-14,6.092
2020-03-15,6.092
2020-03-16,5.662
2020-03-17,5.992
2020-03-18,5.566
2020-03-19,5.405
2020-03-20,5.362
2020-03-21,5.362
2020-03-22,5.362
2020-03-23,5.127
2020-03-24,5.44
2020-03-25,5.453
2020-03-26,5.762
2020-03-27,5.809
2020-03-28,5.809
2020-03-29,5.809
2020-03-30,5.985
2020-03-31,6.134
2020-04-01,6.032
2020-04-02,6.125
2020-04-03,6.161
2020-04-04,6.161
2020-04-05,6.161
2020-04-06,6.421
2020-04-07,6.313
2020-04-08,6.463
