,LAZ US Equity
,BEST_PE_RATIO
2020-01-01,7.864
2020-01-02,8.022
2020-01-03,7.957
2020-01-04,7.957
2020-01-05,7.957
2020-01-06,8.087
2020-01-07,8.144
2020-01-08,8.376
2020-01-09,8.533
2020-01-10,8.506
2020-01-11,8.506
2020-01-12,8.506
2020-01-13,8.697
2020-01-14,8.689
2020-01-15,8.657
2020-01-16,8.768
2020-01-17,8.707
2020-01-18,8.707
2020-01-19,8.707
2020-01-20,8.707
2020-01-21,8.522
2020-01-22,8.498
2020-01-23,8.342
2020-01-24,8.25
2020-01-25,8.25
2020-01-26,8.25
2020-01-27,8.122
2020-01-28,8.197
2020-01-29,8.4
2020-01-30,8.423
2020-01-31,8.258
2020-02-01,8.258
2020-02-02,8.258
2020-02-03,8.13
2020-02-04,8.333
2020-02-05,8.614
2020-02-06,8.634
2020-02-07,8.565
2020-02-08,8.565
2020-02-09,8.565
2020-02-10,8.602
2020-02-11,8.492
2020-02-12,8.567
2020-02-13,8.441
2020-02-14,8.419
2020-02-15,8.419
2020-02-16,8.419
2020-02-17,8.419
2020-02-18,8.427
2020-02-19,8.447
2020-02-20,8.349
2020-02-21,8.242
2020-02-22,8.242
2020-02-23,8.242
2020-02-24,7.806
2020-02-25,7.569
2020-02-26,7.522
2020-02-27,7.251
2020-02-28,7.128
2020-02-29,7.128
2020-03-01,7.128
2020-03-02,7.551
2020-03-03,7.331
2020-03-04,7.452
2020-03-05,6.931
2020-03-06,6.744
2020-03-07,6.744
2020-03-08,6.744
2020-03-09,5.958
2020-03-10,6.439
2020-03-11,5.894
2020-03-12,4.885
2020-03-13,5.645
2020-03-14,5.645
2020-03-15,5.645
2020-03-16,5.074
2020-03-17,5.14
2020-03-18,4.843
2020-03-19,4.955
2020-03-20,4.477
2020-03-21,4.477
2020-03-22,4.477
2020-03-23,4.191
2020-03-24,4.736
2020-03-25,4.706
2020-03-26,5.002
2020-03-27,4.845
2020-03-28,4.845
2020-03-29,4.845
2020-03-30,4.722
2020-03-31,4.688
2020-04-01,4.471
2020-04-02,4.559
2020-04-03,4.485
2020-04-04,4.485
2020-04-05,4.485
2020-04-06,4.666
2020-04-07,5.0
2020-04-08,5.301
2020-04-09,5.345
2020-04-10,5.345
2020-04-11,5.345
2020-04-12,5.345
2020-04-13,5.144
2020-04-14,5.251
2020-04-15,5.038
2020-04-16,5.191
2020-04-17,5.538
2020-04-18,5.538
2020-04-19,5.538
2020-04-20,5.52
2020-04-21,5.386
2020-04-22,5.257
2020-04-23,5.243
2020-04-24,4.799
2020-04-25,4.799
2020-04-26,4.799
2020-04-27,4.917
2020-04-28,5.178
2020-04-29,5.532
2020-04-30,5.472
2020-05-01,5.036
2020-05-02,5.036
2020-05-03,5.036
2020-05-04,4.987
2020-05-05,4.939
2020-05-06,4.893
2020-05-07,5.154
2020-05-08,5.411
2020-05-09,5.411
2020-05-10,5.411
2020-05-11,5.413
2020-05-12,5.162
2020-05-13,4.998
2020-05-14,5.026
2020-05-15,5.182
2020-05-16,5.182
2020-05-17,5.182
2020-05-18,5.33
2020-05-19,5.081
2020-05-20,5.178
2020-05-21,5.184
2020-05-22,5.19
2020-05-23,5.19
2020-05-24,5.19
2020-05-25,5.19
2020-05-26,5.429
2020-05-27,5.77
2020-05-28,5.6
2020-05-29,5.443
2020-05-30,5.443
2020-05-31,5.443
2020-06-01,5.608
2020-06-02,5.739
2020-06-03,6.236
2020-06-04,6.329
2020-06-05,6.625
2020-06-06,6.625
2020-06-07,6.625
2020-06-08,6.688
2020-06-09,6.564
2020-06-10,6.021
2020-06-11,5.628
2020-06-12,5.78
2020-06-13,5.78
2020-06-14,5.78
2020-06-15,5.847
2020-06-16,6.027
2020-06-17,6.08
2020-06-18,6.143
2020-06-19,6.1
2020-06-20,6.1
2020-06-21,6.1
2020-06-22,6.007
2020-06-23,5.934
2020-06-24,5.727
2020-06-25,5.729
2020-06-26,5.518
2020-06-27,5.518
2020-06-28,5.518
2020-06-29,5.646
2020-06-30,5.802
2020-07-01,5.711
2020-07-02,5.843
2020-07-03,5.843
2020-07-04,5.843
2020-07-05,5.843
2020-07-06,5.91
2020-07-07,5.707
2020-07-08,5.76
2020-07-09,5.547
2020-07-10,5.729
2020-07-11,5.729
2020-07-12,5.729
2020-07-13,5.737
2020-07-14,5.788
2020-07-15,5.94
2020-07-16,5.92
2020-07-17,5.78
2020-07-18,5.78
2020-07-19,5.78
2020-07-20,5.695
2020-07-21,5.908
2020-07-22,5.711
2020-07-23,5.806
2020-07-24,5.664
2020-07-25,5.664
2020-07-26,5.664
2020-07-27,5.727
2020-07-28,5.707
2020-07-29,5.806
2020-07-30,5.614
2020-07-31,5.942
2020-08-01,5.942
2020-08-02,5.942
2020-08-03,6.181
2020-08-04,6.181
2020-08-05,6.327
2020-08-06,6.319
2020-08-07,6.451
2020-08-08,6.451
2020-08-09,6.451
2020-08-10,6.607
2020-08-11,6.646
2020-08-12,6.644
2020-08-13,6.642
2020-08-14,6.621
2020-08-15,6.621
2020-08-16,6.621
2020-08-17,6.593
2020-08-18,6.481
2020-08-19,6.447
2020-08-20,6.37
2020-08-21,6.358
2020-08-22,6.358
2020-08-23,6.358
2020-08-24,6.504
2020-08-25,6.5
2020-08-26,6.461
2020-08-27,6.475
2020-08-28,6.549
2020-08-29,6.549
2020-08-30,6.549
2020-08-31,6.516
2020-09-01,6.609
2020-09-02,6.71
2020-09-03,6.572
2020-09-04,6.521
2020-09-05,6.521
2020-09-06,6.521
2020-09-07,6.521
2020-09-08,6.401
2020-09-09,6.547
2020-09-10,6.387
2020-09-11,6.73
2020-09-12,6.73
2020-09-13,6.73
2020-09-14,6.947
2020-09-15,6.895
2020-09-16,6.992
2020-09-17,7.08
2020-09-18,7.119
2020-09-19,7.119
2020-09-20,7.119
2020-09-21,6.71
2020-09-22,6.733
2020-09-23,6.554
2020-09-24,6.523
2020-09-25,6.414
2020-09-26,6.414
2020-09-27,6.414
2020-09-28,6.586
2020-09-29,6.691
2020-09-30,6.8
2020-10-01,6.811
2020-10-02,7.066
2020-10-03,7.066
2020-10-04,7.066
2020-10-05,7.121
2020-10-06,7.099
2020-10-07,7.191
2020-10-08,7.486
2020-10-09,7.512
2020-10-10,7.512
2020-10-11,7.512
2020-10-12,7.656
2020-10-13,7.539
2020-10-14,7.572
2020-10-15,7.656
2020-10-16,7.603
2020-10-17,7.603
2020-10-18,7.603
2020-10-19,7.533
2020-10-20,7.551
2020-10-21,7.428
2020-10-22,7.418
2020-10-23,7.383
2020-10-24,7.383
2020-10-25,7.383
2020-10-26,7.146
2020-10-27,7.156
2020-10-28,6.897
2020-10-29,7.021
2020-10-30,6.928
2020-10-31,6.928
2020-11-01,6.928
2020-11-02,7.243
2020-11-03,7.381
2020-11-04,7.381
2020-11-05,7.689
2020-11-06,7.377
2020-11-07,7.377
2020-11-08,7.377
2020-11-09,7.646
2020-11-10,7.633
2020-11-11,7.76
2020-11-12,7.558
2020-11-13,7.708
2020-11-14,7.708
2020-11-15,7.708
2020-11-16,7.839
2020-11-17,7.773
2020-11-18,7.668
2020-11-19,7.596
2020-11-20,7.687
2020-11-21,7.687
2020-11-22,7.687
2020-11-23,7.771
2020-11-24,8.002
2020-11-25,8.044
2020-11-26,8.044
2020-11-27,7.906
2020-11-28,7.906
2020-11-29,7.906
2020-11-30,7.777
2020-12-01,8.025
2020-12-02,8.129
2020-12-03,8.429
2020-12-04,8.5
2020-12-05,8.5
2020-12-06,8.5
2020-12-07,8.439
2020-12-08,8.592
2020-12-09,8.535
2020-12-10,8.454
2020-12-11,8.492
2020-12-12,8.492
2020-12-13,8.492
2020-12-14,8.508
2020-12-15,8.558
2020-12-16,8.598
2020-12-17,8.562
2020-12-18,8.465
