,SUPN US Equity
,BEST_PE_RATIO
2020-01-01,5.322
2020-01-02,5.32
2020-01-03,5.295
2020-01-04,5.295
2020-01-05,5.295
2020-01-06,5.311
2020-01-07,5.241
2020-01-08,5.32
2020-01-09,4.988
2020-01-10,5.116
2020-01-11,5.116
2020-01-12,5.116
2020-01-13,4.981
2020-01-14,5.018
2020-01-15,5.186
2020-01-16,5.173
2020-01-17,5.156
2020-01-18,5.156
2020-01-19,5.156
2020-01-20,5.156
2020-01-21,5.209
2020-01-22,5.141
2020-01-23,5.108
2020-01-24,4.973
2020-01-25,4.973
2020-01-26,4.973
2020-01-27,4.947
2020-01-28,5.018
2020-01-29,5.023
2020-01-30,4.945
2020-01-31,4.825
2020-02-01,4.825
2020-02-02,4.825
2020-02-03,4.852
2020-02-04,4.945
2020-02-05,5.036
2020-02-06,5.057
2020-02-07,5.049
2020-02-08,5.049
2020-02-09,5.049
2020-02-10,5.025
2020-02-11,4.947
2020-02-12,4.987
2020-02-13,5.051
2020-02-14,5.063
2020-02-15,5.063
2020-02-16,5.063
2020-02-17,5.063
2020-02-18,4.97
2020-02-19,5.139
2020-02-20,5.049
2020-02-21,5.061
2020-02-22,5.061
2020-02-23,5.061
2020-02-24,5.053
2020-02-25,5.187
2020-02-26,4.399
2020-02-27,4.057
2020-02-28,4.055
2020-02-29,4.055
2020-03-01,4.055
2020-03-02,4.215
2020-03-03,4.109
2020-03-04,4.289
2020-03-05,4.109
2020-03-06,3.919
2020-03-07,3.919
2020-03-08,3.919
2020-03-09,3.593
2020-03-10,3.683
2020-03-11,3.64
2020-03-12,3.608
2020-03-13,3.687
2020-03-14,3.687
2020-03-15,3.687
2020-03-16,3.39
2020-03-17,3.293
2020-03-18,3.257
2020-03-19,3.75
2020-03-20,3.545
2020-03-21,3.545
2020-03-22,3.545
2020-03-23,3.721
2020-03-24,3.834
2020-03-25,3.75
2020-03-26,3.667
2020-03-27,3.622
2020-03-28,3.622
2020-03-29,3.622
2020-03-30,3.867
2020-03-31,4.832
2020-04-01,4.644
2020-04-02,4.59
2020-04-03,4.652
2020-04-04,4.652
2020-04-05,4.652
2020-04-06,4.915
2020-04-07,4.843
2020-04-08,4.988
2020-04-09,5.052
2020-04-10,5.052
2020-04-11,5.052
2020-04-12,5.052
2020-04-13,5.026
2020-04-14,5.195
2020-04-15,5.066
2020-04-16,5.061
2020-04-17,5.378
2020-04-18,5.378
2020-04-19,5.378
2020-04-20,4.777
2020-04-21,4.942
2020-04-22,4.904
2020-04-23,5.101
2020-04-24,5.129
2020-04-25,5.129
2020-04-26,5.129
2020-04-27,5.299
2020-04-28,5.275
2020-04-29,7.468
2020-04-30,7.414
2020-05-01,7.357
2020-05-02,7.357
2020-05-03,7.357
2020-05-04,7.015
2020-05-05,6.747
2020-05-06,7.013
2020-05-07,7.061
2020-05-08,6.992
2020-05-09,6.992
2020-05-10,6.992
2020-05-11,7.055
2020-05-12,6.946
2020-05-13,7.01
2020-05-14,6.942
2020-05-15,7.082
2020-05-16,7.082
2020-05-17,7.082
2020-05-18,6.378
2020-05-19,6.557
2020-05-20,6.383
2020-05-21,6.49
2020-05-22,6.428
2020-05-23,6.428
2020-05-24,6.428
2020-05-25,6.428
2020-05-26,6.644
2020-05-27,6.515
2020-05-28,6.56
2020-05-29,6.458
2020-05-30,6.458
2020-05-31,6.458
2020-06-01,6.388
2020-06-02,6.361
2020-06-03,6.45
2020-06-04,6.391
2020-06-05,6.356
2020-06-06,6.356
2020-06-07,6.356
2020-06-08,6.664
2020-06-09,6.592
2020-06-10,6.34
2020-06-11,5.971
2020-06-12,6.112
2020-06-13,6.112
2020-06-14,6.112
2020-06-15,5.692
2020-06-16,6.06
2020-06-17,5.912
2020-06-18,5.887
2020-06-19,5.85
2020-06-20,5.85
2020-06-21,5.85
2020-06-22,5.889
2020-06-23,5.949
2020-06-24,5.744
2020-06-25,5.865
2020-06-26,5.734
2020-06-27,5.734
2020-06-28,5.734
2020-06-29,5.741
2020-06-30,5.86
2020-07-01,5.914
2020-07-02,5.825
2020-07-03,5.825
2020-07-04,5.825
2020-07-05,5.825
2020-07-06,5.818
2020-07-07,5.69
2020-07-08,5.769
2020-07-09,5.882
