,SPR US Equity
,BEST_PE_RATIO
2020-01-01,6.712
2020-01-02,6.843
2020-01-03,6.815
2020-01-04,6.815
2020-01-05,6.815
2020-01-06,6.798
2020-01-07,6.905
2020-01-08,6.812
2020-01-09,6.704
2020-01-10,6.419
2020-01-11,6.419
2020-01-12,6.419
2020-01-13,6.241
2020-01-14,6.26
2020-01-15,6.159
2020-01-16,6.262
2020-01-17,6.198
2020-01-18,6.198
2020-01-19,6.198
2020-01-20,6.198
2020-01-21,5.961
2020-01-22,6.067
2020-01-23,6.237
2020-01-24,6.488
2020-01-25,6.488
2020-01-26,6.488
2020-01-27,6.349
2020-01-28,6.288
2020-01-29,6.229
2020-01-30,5.994
2020-01-31,6.016
2020-02-01,6.016
2020-02-02,6.016
2020-02-03,5.888
2020-02-04,6.034
2020-02-05,6.18
2020-02-06,6.453
2020-02-07,6.381
2020-02-08,6.381
2020-02-09,6.381
2020-02-10,6.394
2020-02-11,6.314
2020-02-12,6.354
2020-02-13,6.349
2020-02-14,6.254
2020-02-15,6.254
2020-02-16,6.254
2020-02-17,6.254
2020-02-18,6.134
2020-02-19,6.043
2020-02-20,5.989
2020-02-21,6.022
2020-02-22,6.022
2020-02-23,6.022
2020-02-24,5.763
2020-02-25,5.454
2020-02-26,5.437
2020-02-27,5.161
2020-02-28,4.866
2020-02-29,4.866
2020-03-01,4.866
2020-03-02,4.879
2020-03-03,4.623
2020-03-04,4.7
2020-03-05,4.191
2020-03-06,4.363
2020-03-07,4.363
2020-03-08,4.363
2020-03-09,3.881
2020-03-10,4.062
2020-03-11,4.632
2020-03-12,3.992
2020-03-13,4.193
2020-03-14,4.193
2020-03-15,4.193
2020-03-16,3.176
2020-03-17,2.841
2020-03-18,2.228
2020-03-19,2.262
2020-03-20,2.222
2020-03-21,2.222
2020-03-22,2.222
2020-03-23,2.509
2020-03-24,3.027
2020-03-25,3.789
2020-03-26,4.363
2020-03-27,3.519
2020-03-28,3.519
2020-03-29,3.519
2020-03-30,2.87
2020-03-31,2.832
2020-04-01,2.321
2020-04-02,2.217
2020-04-03,2.181
2020-04-04,2.181
2020-04-05,2.181
2020-04-06,2.302
2020-04-07,2.173
2020-04-08,2.521
2020-04-09,2.672
2020-04-10,2.672
2020-04-11,2.672
2020-04-12,2.672
2020-04-13,2.405
2020-04-14,2.328
2020-04-15,2.437
2020-04-16,2.224
2020-04-17,2.637
2020-04-18,2.637
2020-04-19,2.637
2020-04-20,2.431
2020-04-21,2.256
2020-04-22,2.203
2020-04-23,2.253
2020-04-24,2.107
2020-04-25,2.107
2020-04-26,2.107
2020-04-27,2.229
2020-04-28,2.388
2020-04-29,2.749
2020-04-30,2.581
2020-05-01,2.384
2020-05-02,2.384
2020-05-03,2.384
2020-05-04,2.368
2020-05-05,2.19
2020-05-06,2.162
2020-05-07,2.221
2020-05-08,2.425
2020-05-09,2.425
2020-05-10,2.425
2020-05-11,2.248
2020-05-12,2.16
2020-05-13,2.031
2020-05-14,2.124
2020-05-15,2.166
2020-05-16,2.166
2020-05-17,2.166
2020-05-18,2.506
2020-05-19,2.369
2020-05-20,2.372
2020-05-21,2.44
