,MRO US Equity
,BEST_PE_RATIO
2020-01-01,13.56
2020-01-02,13.66
2020-01-03,13.73
2020-01-04,13.73
2020-01-05,13.73
2020-01-06,13.939
2020-01-07,13.77
2020-01-08,13.26
2020-01-09,13.43
2020-01-10,13.16
2020-01-11,13.16
2020-01-12,13.16
2020-01-13,13.17
2020-01-14,13.26
2020-01-15,13.22
2020-01-16,13.32
2020-01-17,13.19
2020-01-18,13.19
2020-01-19,13.19
2020-01-20,13.19
2020-01-21,12.831
2020-01-22,12.432
2020-01-23,12.63
2020-01-24,12.33
2020-01-25,12.33
2020-01-26,12.33
2020-01-27,12.082
2020-01-28,12.164
2020-01-29,12.144
2020-01-30,12.257
2020-01-31,11.751
2020-02-01,11.751
2020-02-02,11.751
2020-02-03,11.854
2020-02-04,12.164
2020-02-05,12.568
2020-02-06,12.319
2020-02-07,12.071
2020-02-08,12.071
2020-02-09,12.071
2020-02-10,11.761
2020-02-11,11.958
2020-02-12,11.999
2020-02-13,12.832
2020-02-14,10.568
2020-02-15,10.568
2020-02-16,10.568
2020-02-17,10.568
2020-02-18,10.279
2020-02-19,10.449
2020-02-20,10.229
2020-02-21,10.089
2020-02-22,10.089
2020-02-23,10.089
2020-02-24,9.441
2020-02-25,8.902
2020-02-26,8.393
2020-02-27,7.914
2020-02-28,8.263
2020-02-29,8.263
2020-03-01,8.263
2020-03-02,8.323
2020-03-03,8.063
2020-03-04,8.093
2020-03-05,7.784
2020-03-06,6.816
2020-03-07,6.816
2020-03-08,6.816
2020-03-09,3.623
2020-03-10,4.391
2020-03-11,4.562
2020-03-12,4.439
2020-03-13,5.053
2020-03-14,5.053
2020-03-15,5.053
2020-03-16,4.461
2020-03-17,4.038
2020-03-18,3.848
2020-03-19,4.272
2020-03-20,3.971
2020-03-21,3.971
2020-03-22,3.971
2020-03-23,3.736
2020-03-24,4.026
2020-03-25,3.993
2020-03-26,4.328
2020-03-27,3.926
2020-03-28,3.926
2020-03-29,3.926
