,ROST US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,15.596
2020-01-10,15.416
2020-01-11,15.416
2020-01-12,15.416
2020-01-13,15.32
2020-01-14,15.191
2020-01-15,15.039
2020-01-16,15.075
2020-01-17,15.028
2020-01-18,15.028
2020-01-19,15.028
2020-01-20,15.028
2020-01-21,15.043
2020-01-22,14.993
2020-01-23,15.096
2020-01-24,14.783
2020-01-25,14.783
2020-01-26,14.783
2020-01-27,14.667
2020-01-28,14.619
2020-01-29,14.592
2020-01-30,14.581
2020-01-31,14.327
2020-02-01,14.327
2020-02-02,14.327
2020-02-03,14.536
2020-02-04,14.858
2020-02-05,15.163
2020-02-06,15.093
2020-02-07,14.996
2020-02-08,14.996
2020-02-09,14.996
2020-02-10,15.102
2020-02-11,15.286
2020-02-12,15.332
2020-02-13,15.401
2020-02-14,15.552
2020-02-15,15.552
2020-02-16,15.552
2020-02-17,15.552
2020-02-18,15.642
2020-02-19,15.7
2020-02-20,15.811
2020-02-21,15.738
2020-02-22,15.738
2020-02-23,15.738
2020-02-24,15.531
2020-02-25,14.909
2020-02-26,15.222
2020-02-27,14.295
2020-02-28,13.891
2020-02-29,13.891
2020-03-01,13.891
2020-03-02,14.3
2020-03-03,13.054
2020-03-04,13.094
2020-03-05,12.154
2020-03-06,12.252
2020-03-07,12.252
2020-03-08,12.252
2020-03-09,11.331
2020-03-10,12.173
2020-03-11,11.78
2020-03-12,10.918
2020-03-13,11.095
2020-03-14,11.095
2020-03-15,11.095
2020-03-16,8.863
2020-03-17,8.339
2020-03-18,7.189
2020-03-19,8.341
2020-03-20,8.199
2020-03-21,8.199
2020-03-22,8.199
2020-03-23,8.074
2020-03-24,9.185
2020-03-25,10.431
2020-03-26,10.984
2020-03-27,10.593
2020-03-28,10.593
2020-03-29,10.593
2020-03-30,10.89
2020-03-31,11.16
2020-04-01,10.405
2020-04-02,10.188
2020-04-03,9.592
2020-04-04,9.592
2020-04-05,9.592
2020-04-06,11.187
2020-04-07,10.883
2020-04-08,12.289
2020-04-09,12.247
2020-04-10,12.247
2020-04-11,12.247
2020-04-12,12.247
2020-04-13,12.006
2020-04-14,12.554
2020-04-15,12.222
2020-04-16,12.033
2020-04-17,12.658
2020-04-18,12.658
2020-04-19,12.658
2020-04-20,11.939
2020-04-21,11.413
2020-04-22,11.574
2020-04-23,11.403
2020-04-24,11.798
2020-04-25,11.798
2020-04-26,11.798
2020-04-27,12.535
2020-04-28,12.771
2020-04-29,13.393
2020-04-30,12.608
2020-05-01,12.277
2020-05-02,12.277
2020-05-03,12.277
2020-05-04,12.198
2020-05-05,12.251
2020-05-06,12.263
2020-05-07,12.4
2020-05-08,12.622
2020-05-09,12.622
2020-05-10,12.622
2020-05-11,12.524
2020-05-12,11.954
2020-05-13,11.554
2020-05-14,11.664
2020-05-15,11.773
2020-05-16,11.773
2020-05-17,11.773
2020-05-18,12.507
2020-05-19,12.405
2020-05-20,12.543
2020-05-21,14.026
2020-05-22,13.318
2020-05-23,13.318
2020-05-24,13.318
2020-05-25,13.318
2020-05-26,13.421
2020-05-27,13.689
2020-05-28,13.941
2020-05-29,13.755
2020-05-30,13.755
2020-05-31,13.755
2020-06-01,13.789
2020-06-02,14.018
2020-06-03,14.207
2020-06-04,14.039
2020-06-05,14.538
2020-06-06,14.538
2020-06-07,14.538
2020-06-08,14.578
2020-06-09,14.412
2020-06-10,14.192
2020-06-11,13.388
2020-06-12,13.12
2020-06-13,13.12
2020-06-14,13.12
2020-06-15,12.957
2020-06-16,13.849
2020-06-17,13.716
2020-06-18,13.106
2020-06-19,13.238
2020-06-20,13.238
2020-06-21,13.238
2020-06-22,12.864
2020-06-23,12.975
2020-06-24,12.349
2020-06-25,11.955
2020-06-26,11.881
2020-06-27,11.881
2020-06-28,11.881
2020-06-29,12.093
2020-06-30,12.093
2020-07-01,12.369
2020-07-02,12.567
2020-07-03,12.567
2020-07-04,12.567
2020-07-05,12.567
2020-07-06,12.788
2020-07-07,12.254
2020-07-08,12.203
2020-07-09,12.001
2020-07-10,12.294
2020-07-11,12.294
2020-07-12,12.294
2020-07-13,12.015
2020-07-14,11.357
2020-07-15,11.851
2020-07-16,11.979
2020-07-17,12.153
2020-07-18,12.153
2020-07-19,12.153
2020-07-20,12.011
2020-07-21,12.255
2020-07-22,12.576
2020-07-23,12.429
2020-07-24,12.205
2020-07-25,12.205
2020-07-26,12.205
2020-07-27,12.058
2020-07-28,12.166
2020-07-29,12.527
2020-07-30,12.6
2020-07-31,12.702
2020-08-01,12.702
2020-08-02,12.702
2020-08-03,12.449
2020-08-04,12.52
2020-08-05,12.562
2020-08-06,12.32
2020-08-07,12.67
2020-08-08,12.67
2020-08-09,12.67
2020-08-10,13.105
2020-08-11,13.259
2020-08-12,13.326
2020-08-13,13.184
2020-08-14,13.324
2020-08-15,13.324
2020-08-16,13.324
2020-08-17,13.759
2020-08-18,13.358
2020-08-19,13.575
2020-08-20,13.153
2020-08-21,14.097
2020-08-22,14.097
2020-08-23,14.097
2020-08-24,14.435
2020-08-25,14.748
2020-08-26,14.523
2020-08-27,14.685
2020-08-28,15.165
2020-08-29,15.165
2020-08-30,15.165
2020-08-31,14.721
2020-09-01,14.751
2020-09-02,15.283
2020-09-03,15.159
