,RHI US Equity
,BEST_PE_RATIO
2020-01-01,10.684
2020-01-02,10.785
2020-01-03,10.711
2020-01-04,10.711
2020-01-05,10.711
2020-01-06,10.626
2020-01-07,10.633
2020-01-08,10.645
2020-01-09,10.753
2020-01-10,10.672
2020-01-11,10.672
2020-01-12,10.672
2020-01-13,10.57
2020-01-14,10.592
2020-01-15,10.662
2020-01-16,10.74
2020-01-17,10.716
2020-01-18,10.716
2020-01-19,10.716
2020-01-20,10.716
2020-01-21,10.587
2020-01-22,10.543
2020-01-23,10.581
2020-01-24,10.481
2020-01-25,10.481
2020-01-26,10.481
2020-01-27,10.35
2020-01-28,10.328
2020-01-29,10.328
2020-01-30,10.408
2020-01-31,10.071
2020-02-01,10.071
2020-02-02,10.071
2020-02-03,10.036
2020-02-04,10.236
2020-02-05,10.537
2020-02-06,10.355
2020-02-07,10.21
2020-02-08,10.21
2020-02-09,10.21
2020-02-10,10.236
2020-02-11,10.346
2020-02-12,10.536
2020-02-13,10.412
2020-02-14,10.377
2020-02-15,10.377
2020-02-16,10.377
2020-02-17,10.377
2020-02-18,10.236
2020-02-19,10.256
2020-02-20,10.215
2020-02-21,10.206
2020-02-22,10.206
2020-02-23,10.206
2020-02-24,9.711
2020-02-25,9.161
2020-02-26,8.956
2020-02-27,8.698
2020-02-28,8.638
2020-02-29,8.638
2020-03-01,8.638
2020-03-02,8.752
2020-03-03,8.301
2020-03-04,8.599
2020-03-05,8.172
2020-03-06,8.407
2020-03-07,8.407
2020-03-08,8.407
2020-03-09,7.655
2020-03-10,8.243
2020-03-11,7.97
2020-03-12,7.465
2020-03-13,8.094
2020-03-14,8.094
2020-03-15,8.094
2020-03-16,7.444
2020-03-17,7.103
2020-03-18,6.748
2020-03-19,6.546
2020-03-20,5.998
2020-03-21,5.998
2020-03-22,5.998
2020-03-23,5.863
2020-03-24,6.723
2020-03-25,6.841
2020-03-26,7.457
2020-03-27,6.694
2020-03-28,6.694
2020-03-29,6.694
2020-03-30,6.917
2020-03-31,6.477
2020-04-01,6.55
2020-04-02,6.491
2020-04-03,6.515
2020-04-04,6.515
2020-04-05,6.515
2020-04-06,6.546
2020-04-07,6.893
2020-04-08,7.104
2020-04-09,7.426
2020-04-10,7.426
2020-04-11,7.426
2020-04-12,7.426
2020-04-13,7.023
2020-04-14,7.162
2020-04-15,7.066
2020-04-16,6.932
2020-04-17,7.558
2020-04-18,7.558
2020-04-19,7.558
2020-04-20,7.492
2020-04-21,7.512
2020-04-22,7.521
2020-04-23,7.881
2020-04-24,7.719
2020-04-25,7.719
2020-04-26,7.719
2020-04-27,7.883
2020-04-28,8.02
2020-04-29,8.364
2020-04-30,8.188
2020-05-01,7.687
2020-05-02,7.687
2020-05-03,7.687
2020-05-04,7.658
2020-05-05,7.684
2020-05-06,7.602
2020-05-07,7.822
2020-05-08,8.207
2020-05-09,8.207
2020-05-10,8.207
2020-05-11,8.042
2020-05-12,7.77
2020-05-13,7.543
2020-05-14,7.727
2020-05-15,7.819
2020-05-16,7.819
2020-05-17,7.819
2020-05-18,8.413
2020-05-19,8.343
2020-05-20,8.485
2020-05-21,8.401
2020-05-22,8.27
2020-05-23,8.27
2020-05-24,8.27
2020-05-25,8.27
2020-05-26,8.821
2020-05-27,9.032
2020-05-28,8.971
2020-05-29,8.851
2020-05-30,8.851
2020-05-31,8.851
2020-06-01,9.041
2020-06-02,9.276
2020-06-03,9.611
2020-06-04,9.744
2020-06-05,10.098
2020-06-06,10.098
2020-06-07,10.098
2020-06-08,10.452
2020-06-09,10.084
2020-06-10,9.674
2020-06-11,8.915
2020-06-12,8.947
2020-06-13,8.947
2020-06-14,8.947
2020-06-15,9.001
2020-06-16,9.135
2020-06-17,9.161
2020-06-18,9.015
2020-06-19,8.913
2020-06-20,8.913
2020-06-21,8.913
2020-06-22,8.94
2020-06-23,9.056
2020-06-24,8.629
2020-06-25,8.781
2020-06-26,8.826
2020-06-27,8.826
2020-06-28,8.826
2020-06-29,9.041
2020-06-30,9.215
2020-07-01,8.981
2020-07-02,9.022
2020-07-03,9.022
2020-07-04,9.022
2020-07-05,9.022
2020-07-06,9.142
2020-07-07,8.824
2020-07-08,8.814
2020-07-09,8.594
2020-07-10,8.84
2020-07-11,8.84
2020-07-12,8.84
2020-07-13,8.992
2020-07-14,9.069
2020-07-15,9.437
2020-07-16,9.536
2020-07-17,9.447
2020-07-18,9.447
2020-07-19,9.447
2020-07-20,9.259
2020-07-21,9.349
2020-07-22,9.341
2020-07-23,9.393
2020-07-24,8.394
2020-07-25,8.394
2020-07-26,8.394
2020-07-27,8.329
2020-07-28,8.141
2020-07-29,8.27
2020-07-30,8.108
2020-07-31,8.098
2020-08-01,8.098
2020-08-02,8.098
2020-08-03,8.119
2020-08-04,8.248
2020-08-05,8.471
2020-08-06,8.406
2020-08-07,8.53
2020-08-08,8.53
2020-08-09,8.53
2020-08-10,8.772
2020-08-11,8.918
2020-08-12,8.998
2020-08-13,8.977
2020-08-14,9.015
2020-08-15,9.015
2020-08-16,9.015
2020-08-17,9.053
2020-08-18,9.047
2020-08-19,9.028
2020-08-20,8.933
2020-08-21,8.812
2020-08-22,8.812
2020-08-23,8.812
2020-08-24,9.001
2020-08-25,8.77
2020-08-26,8.645
2020-08-27,8.648
2020-08-28,8.648
2020-08-29,8.648
2020-08-30,8.648
2020-08-31,8.522
2020-09-01,8.56
2020-09-02,8.799
2020-09-03,8.525
2020-09-04,8.522
2020-09-05,8.522
2020-09-06,8.522
2020-09-07,8.522
2020-09-08,8.305
2020-09-09,8.395
2020-09-10,8.166
2020-09-11,8.289
2020-09-12,8.289
2020-09-13,8.289
2020-09-14,8.57
2020-09-15,8.645
2020-09-16,8.661
2020-09-17,8.632
2020-09-18,8.597
2020-09-19,8.597
2020-09-20,8.597
2020-09-21,8.325
2020-09-22,8.427
2020-09-23,8.262
2020-09-24,8.291
2020-09-25,8.408
2020-09-26,8.408
2020-09-27,8.408
2020-09-28,8.528
2020-09-29,8.421
2020-09-30,8.48
2020-10-01,8.416
2020-10-02,8.741
2020-10-03,8.741
2020-10-04,8.741
2020-10-05,8.906
2020-10-06,8.821
2020-10-07,9.141
2020-10-08,9.249
2020-10-09,9.313
2020-10-10,9.313
2020-10-11,9.313
2020-10-12,9.414
2020-10-13,9.281
2020-10-14,9.141
2020-10-15,9.097
2020-10-16,9.076
2020-10-17,9.076
2020-10-18,9.076
2020-10-19,8.879
2020-10-20,9.018
2020-10-21,8.861
2020-10-22,9.021
2020-10-23,8.707
2020-10-24,8.707
2020-10-25,8.707
2020-10-26,8.561
2020-10-27,8.462
2020-10-28,8.204
2020-10-29,8.31
2020-10-30,8.519
2020-10-31,8.519
2020-11-01,8.519
2020-11-02,8.673
2020-11-03,8.838
2020-11-04,8.598
2020-11-05,8.776
2020-11-06,8.695
2020-11-07,8.695
2020-11-08,8.695
2020-11-09,10.438
2020-11-10,10.761
2020-11-11,10.582
2020-11-12,10.334
2020-11-13,10.619
2020-11-14,10.619
2020-11-15,10.619
2020-11-16,11.122
2020-11-17,11.013
2020-11-18,10.986
2020-11-19,10.473
2020-11-20,10.25
2020-11-21,10.25
2020-11-22,10.25
2020-11-23,10.992
2020-11-24,11.237
2020-11-25,11.121
2020-11-26,11.121
2020-11-27,11.067
2020-11-28,11.067
2020-11-29,11.067
2020-11-30,10.842
2020-12-01,10.943
2020-12-02,10.945
2020-12-03,10.928
