,CNP US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,13.292
2020-01-18,13.292
2020-01-19,13.292
2020-01-20,13.292
2020-01-21,11.07
2020-01-22,10.73
2020-01-23,11.038
2020-01-24,10.845
2020-01-25,10.845
2020-01-26,10.845
2020-01-27,10.742
2020-01-28,10.783
2020-01-29,10.894
2020-01-30,10.931
2020-01-31,10.853
2020-02-01,10.853
2020-02-02,10.853
2020-02-03,11.952
2020-02-04,12.034
2020-02-05,12.138
2020-02-06,12.188
2020-02-07,12.125
2020-02-08,12.125
2020-02-09,12.125
2020-02-10,12.188
2020-02-11,12.266
2020-02-12,12.306
2020-02-13,12.334
2020-02-14,12.334
2020-02-15,12.334
2020-02-16,12.334
2020-02-17,12.334
2020-02-18,12.288
2020-02-19,11.822
2020-02-20,11.504
2020-02-21,11.303
2020-02-22,11.303
2020-02-23,11.303
2020-02-24,11.394
2020-02-25,12.3
2020-02-26,12.094
2020-02-27,12.134
2020-02-28,11.562
2020-02-29,11.562
2020-03-01,11.562
2020-03-02,11.928
2020-03-03,11.602
2020-03-04,11.964
2020-03-05,11.386
2020-03-06,10.823
2020-03-07,10.823
2020-03-08,10.823
2020-03-09,9.056
2020-03-10,9.397
2020-03-11,9.422
2020-03-12,7.934
2020-03-13,8.297
2020-03-14,8.297
2020-03-15,8.297
2020-03-16,6.659
2020-03-17,7.816
2020-03-18,6.653
2020-03-19,6.525
2020-03-20,6.659
2020-03-21,6.659
2020-03-22,6.659
2020-03-23,6.456
2020-03-24,7.272
2020-03-25,8.073
2020-03-26,8.478
2020-03-27,8.697
2020-03-28,8.697
2020-03-29,8.697
2020-03-30,8.79
2020-03-31,8.367
2020-04-01,7.647
2020-04-02,7.653
2020-04-03,7.279
2020-04-04,7.279
2020-04-05,7.279
2020-04-06,8.286
2020-04-07,8.378
2020-04-08,9.109
2020-04-09,9.646
2020-04-10,9.646
2020-04-11,9.646
2020-04-12,9.646
2020-04-13,9.147
2020-04-14,9.207
2020-04-15,8.595
2020-04-16,8.552
2020-04-17,8.952
2020-04-18,8.952
2020-04-19,8.952
2020-04-20,8.53
2020-04-21,8.4
2020-04-22,8.768
2020-04-23,8.893
2020-04-24,9.034
2020-04-25,9.034
2020-04-26,9.034
2020-04-27,9.38
2020-04-28,9.429
2020-04-29,9.581
2020-04-30,9.223
2020-05-01,8.914
2020-05-02,8.914
2020-05-03,8.914
2020-05-04,8.86
2020-05-05,8.877
2020-05-06,8.654
2020-05-07,8.995
2020-05-08,9.389
2020-05-09,9.389
2020-05-10,9.389
2020-05-11,9.182
2020-05-12,8.885
2020-05-13,8.441
2020-05-14,8.631
2020-05-15,8.391
2020-05-16,8.391
2020-05-17,8.391
2020-05-18,8.736
2020-05-19,8.511
2020-05-20,8.526
2020-05-21,8.445
2020-05-22,8.526
2020-05-23,8.526
2020-05-24,8.526
2020-05-25,8.526
2020-05-26,8.813
2020-05-27,8.818
2020-05-28,9.08
2020-05-29,8.959
2020-05-30,8.959
2020-05-31,8.959
2020-06-01,9.095
2020-06-02,9.12
2020-06-03,9.302
2020-06-04,9.095
2020-06-05,9.196
2020-06-06,9.196
2020-06-07,9.196
2020-06-08,9.619
2020-06-09,9.388
2020-06-10,9.267
2020-06-11,8.954
2020-06-12,9.07
2020-06-13,9.07
2020-06-14,9.07
2020-06-15,9.206
2020-06-16,9.267
2020-06-17,9.302
2020-06-18,9.246
2020-06-19,8.964
2020-06-20,8.964
2020-06-21,8.964
2020-06-22,9.095
2020-06-23,9.161
2020-06-24,9.236
2020-06-25,9.146
2020-06-26,8.919
2020-06-27,8.919
2020-06-28,8.919
2020-06-29,9.383
2020-06-30,9.408
2020-07-01,9.959
2020-07-02,10.057
2020-07-03,10.057
2020-07-04,10.057
2020-07-05,10.057
2020-07-06,10.13
2020-07-07,10.073
2020-07-08,9.99
2020-07-09,9.794
2020-07-10,9.959
2020-07-11,9.959
2020-07-12,9.959
2020-07-13,9.928
2020-07-14,9.964
2020-07-15,9.975
2020-07-16,9.969
2020-07-17,10.264
2020-07-18,10.264
2020-07-19,10.264
2020-07-20,9.558
2020-07-21,9.668
2020-07-22,9.972
2020-07-23,10.072
2020-07-24,9.838
2020-07-25,9.838
2020-07-26,9.838
2020-07-27,9.504
2020-07-28,9.643
2020-07-29,9.683
2020-07-30,9.534
2020-07-31,9.474
2020-08-01,9.474
2020-08-02,9.474
2020-08-03,9.628
2020-08-04,9.713
2020-08-05,9.479
2020-08-06,10.102
2020-08-07,10.171
2020-08-08,10.171
2020-08-09,10.171
2020-08-10,9.758
2020-08-11,9.586
2020-08-12,9.489
2020-08-13,9.647
2020-08-14,9.554
2020-08-15,9.554
2020-08-16,9.554
2020-08-17,9.605
2020-08-18,9.414
2020-08-19,9.489
2020-08-20,9.288
2020-08-21,9.274
2020-08-22,9.274
2020-08-23,9.274
2020-08-24,9.475
2020-08-25,9.377
2020-08-26,9.203
2020-08-27,9.26
2020-08-28,9.349
2020-08-29,9.349
2020-08-30,9.349
2020-08-31,9.405
2020-09-01,9.372
2020-09-02,9.583
2020-09-03,9.442
2020-09-04,9.311
2020-09-05,9.311
