,BR US Equity
,BEST_PE_RATIO
2020-01-01,16.277
2020-01-02,16.308
2020-01-03,16.321
2020-01-04,16.321
2020-01-05,16.321
2020-01-06,16.469
2020-01-07,16.25
2020-01-08,16.354
2020-01-09,16.712
2020-01-10,16.645
2020-01-11,16.645
2020-01-12,16.645
2020-01-13,16.762
2020-01-14,16.712
2020-01-15,16.735
2020-01-16,16.875
2020-01-17,17.09
2020-01-18,17.09
2020-01-19,17.09
2020-01-20,17.09
2020-01-21,17.295
2020-01-22,17.289
2020-01-23,17.124
2020-01-24,17.094
2020-01-25,17.094
2020-01-26,17.094
2020-01-27,16.882
2020-01-28,16.929
2020-01-29,16.899
2020-01-30,16.889
2020-01-31,15.698
2020-02-01,15.698
2020-02-02,15.698
2020-02-03,15.34
2020-02-04,15.46
2020-02-05,15.902
2020-02-06,15.775
2020-02-07,15.527
2020-02-08,15.527
2020-02-09,15.527
2020-02-10,15.578
2020-02-11,15.785
2020-02-12,16.262
2020-02-13,16.123
2020-02-14,16.111
2020-02-15,16.111
2020-02-16,16.111
2020-02-17,16.111
2020-02-18,16.141
2020-02-19,16.19
2020-02-20,15.992
2020-02-21,15.759
2020-02-22,15.759
2020-02-23,15.759
2020-02-24,15.341
2020-02-25,14.816
2020-02-26,14.827
2020-02-27,14.188
2020-02-28,13.75
2020-02-29,13.75
2020-03-01,13.75
2020-03-02,13.999
2020-03-03,13.507
2020-03-04,13.985
2020-03-05,13.358
2020-03-06,13.223
2020-03-07,13.223
2020-03-08,13.223
2020-03-09,12.058
2020-03-10,13.108
2020-03-11,12.868
2020-03-12,12.68
2020-03-13,13.736
2020-03-14,13.736
2020-03-15,13.736
2020-03-16,13.199
2020-03-17,13.887
2020-03-18,13.962
2020-03-19,12.93
2020-03-20,12.56
2020-03-21,12.56
2020-03-22,12.56
2020-03-23,11.659
2020-03-24,13.122
2020-03-25,12.999
2020-03-26,13.412
2020-03-27,12.671
2020-03-28,12.671
2020-03-29,12.671
2020-03-30,13.414
2020-03-31,13.122
2020-04-01,12.636
2020-04-02,12.744
2020-04-03,12.784
2020-04-04,12.784
2020-04-05,12.784
2020-04-06,13.645
2020-04-07,13.942
2020-04-08,14.128
2020-04-09,14.655
2020-04-10,14.655
2020-04-11,14.655
2020-04-12,14.655
2020-04-13,14.196
2020-04-14,14.799
2020-04-15,14.746
2020-04-16,14.813
2020-04-17,15.213
2020-04-18,15.213
2020-04-19,15.213
2020-04-20,15.192
2020-04-21,14.856
2020-04-22,15.139
2020-04-23,15.256
2020-04-24,15.42
2020-04-25,15.42
2020-04-26,15.42
2020-04-27,15.822
2020-04-28,15.563
2020-04-29,15.985
2020-04-30,16.051
2020-05-01,15.644
2020-05-02,15.644
2020-05-03,15.644
2020-05-04,15.754
2020-05-05,15.961
2020-05-06,16.051
2020-05-07,16.147
2020-05-08,16.531
2020-05-09,16.531
2020-05-10,16.531
2020-05-11,17.177
2020-05-12,16.974
2020-05-13,16.435
2020-05-14,16.544
2020-05-15,16.642
2020-05-16,16.642
2020-05-17,16.642
2020-05-18,17.203
2020-05-19,17.221
2020-05-20,17.422
2020-05-21,16.965
2020-05-22,16.824
2020-05-23,16.824
2020-05-24,16.824
2020-05-25,16.824
2020-05-26,16.868
2020-05-27,16.808
2020-05-28,17.177
2020-05-29,17.442
2020-05-30,17.442
2020-05-31,17.442
2020-06-01,17.604
2020-06-02,17.756
2020-06-03,17.903
2020-06-04,17.859
2020-06-05,18.244
2020-06-06,18.244
2020-06-07,18.244
2020-06-08,18.362
2020-06-09,17.789
2020-06-10,17.54
2020-06-11,17.205
2020-06-12,17.596
2020-06-13,17.596
2020-06-14,17.596
2020-06-15,17.707
2020-06-16,18.099
2020-06-17,18.244
2020-06-18,18.22
2020-06-19,17.842
2020-06-20,17.842
2020-06-21,17.842
2020-06-22,18.042
2020-06-23,18.033
2020-06-24,17.751
2020-06-25,18.053
2020-06-26,18.032
2020-06-27,18.032
2020-06-28,18.032
2020-06-29,18.195
2020-06-30,18.256
2020-07-01,18.412
2020-07-02,18.549
2020-07-03,18.549
2020-07-04,18.549
2020-07-05,18.549
2020-07-06,18.617
2020-07-07,18.389
2020-07-08,18.603
2020-07-09,18.455
2020-07-10,18.237
2020-07-11,18.237
2020-07-12,18.237
2020-07-13,18.101
2020-07-14,18.341
2020-07-15,18.626
2020-07-16,18.439
2020-07-17,18.677
2020-07-18,18.677
2020-07-19,18.677
2020-07-20,18.709
2020-07-21,18.8
2020-07-22,18.994
2020-07-23,18.765
2020-07-24,18.789
2020-07-25,18.789
2020-07-26,18.789
2020-07-27,19.151
2020-07-28,18.971
2020-07-29,19.18
