,BKNG US Equity
,BEST_PE_RATIO
2020-01-01,14.115
2020-01-02,14.258
2020-01-03,14.196
2020-01-04,14.196
2020-01-05,14.196
2020-01-06,14.071
2020-01-07,14.213
2020-01-08,14.178
2020-01-09,14.178
2020-01-10,14.178
2020-01-11,14.178
2020-01-12,14.178
2020-01-13,14.178
2020-01-14,14.178
2020-01-15,14.178
2020-01-16,14.178
2020-01-17,14.178
2020-01-18,14.178
2020-01-19,14.178
2020-01-20,14.178
2020-01-21,14.178
2020-01-22,14.178
2020-01-23,14.178
2020-01-24,14.178
2020-01-25,14.178
2020-01-26,14.178
2020-01-27,14.178
2020-01-28,14.178
2020-01-29,14.178
2020-01-30,14.178
2020-01-31,14.178
2020-02-01,14.178
2020-02-02,14.178
2020-02-03,14.178
2020-02-04,14.178
2020-02-05,14.178
2020-02-06,14.178
2020-02-07,14.178
2020-02-08,14.178
2020-02-09,14.178
2020-02-10,14.178
2020-02-11,14.178
2020-02-12,14.178
2020-02-13,14.178
2020-02-14,14.178
2020-02-15,14.178
2020-02-16,14.178
2020-02-17,14.178
2020-02-18,14.178
2020-02-19,14.178
2020-02-20,14.178
2020-02-21,14.178
2020-02-22,14.178
2020-02-23,14.178
2020-02-24,12.056
2020-02-25,11.612
2020-02-26,11.287
2020-02-27,10.38
2020-02-28,10.604
2020-02-29,10.604
2020-03-01,10.604
2020-03-02,9.985
2020-03-03,9.719
2020-03-04,10.003
2020-03-05,9.514
2020-03-06,9.31
2020-03-07,9.31
2020-03-08,9.31
2020-03-09,8.823
2020-03-10,9.35
2020-03-11,8.652
2020-03-12,7.679
2020-03-13,8.649
2020-03-14,8.649
2020-03-15,8.649
2020-03-16,7.847
2020-03-17,8.326
2020-03-18,7.233
2020-03-19,6.985
2020-03-20,6.903
2020-03-21,6.903
2020-03-22,6.903
2020-03-23,6.755
2020-03-24,7.384
2020-03-25,8.007
2020-03-26,8.243
2020-03-27,7.751
2020-03-28,7.751
2020-03-29,7.751
2020-03-30,8.079
2020-03-31,8.308
2020-04-01,7.853
2020-04-02,7.781
2020-04-03,7.6
