,WTS US Equity
,BEST_PE_RATIO
2020-01-01,13.918
2020-01-02,13.964
2020-01-03,13.996
2020-01-04,13.996
2020-01-05,13.996
2020-01-06,13.858
2020-01-07,13.745
2020-01-08,13.796
2020-01-09,13.819
2020-01-10,13.731
2020-01-11,13.731
2020-01-12,13.731
2020-01-13,13.951
2020-01-14,13.946
2020-01-15,13.922
2020-01-16,14.082
2020-01-17,14.155
2020-01-18,14.155
2020-01-19,14.155
2020-01-20,14.155
2020-01-21,14.11
2020-01-22,14.271
2020-01-23,14.207
2020-01-24,14.154
2020-01-25,14.154
2020-01-26,14.154
2020-01-27,14.064
2020-01-28,14.089
2020-01-29,13.879
2020-01-30,14.135
2020-01-31,13.911
2020-02-01,13.911
2020-02-02,13.911
2020-02-03,14.027
2020-02-04,14.222
2020-02-05,14.468
2020-02-06,14.385
2020-02-07,13.983
2020-02-08,13.983
2020-02-09,13.983
2020-02-10,14.161
2020-02-11,14.993
2020-02-12,15.101
2020-02-13,14.949
2020-02-14,14.928
2020-02-15,14.928
2020-02-16,14.928
2020-02-17,14.928
2020-02-18,14.906
2020-02-19,14.756
2020-02-20,14.892
2020-02-21,14.804
2020-02-22,14.804
2020-02-23,14.804
2020-02-24,14.302
2020-02-25,13.799
2020-02-26,13.67
2020-02-27,13.398
2020-02-28,13.133
2020-02-29,13.133
2020-03-01,13.133
2020-03-02,13.373
2020-03-03,13.479
2020-03-04,13.934
2020-03-05,13.488
2020-03-06,13.274
2020-03-07,13.274
2020-03-08,13.274
2020-03-09,12.976
2020-03-10,13.386
2020-03-11,12.748
2020-03-12,11.208
2020-03-13,12.194
2020-03-14,12.194
2020-03-15,12.194
2020-03-16,10.295
2020-03-17,11.67
2020-03-18,10.628
2020-03-19,10.572
2020-03-20,10.54
2020-03-21,10.54
2020-03-22,10.54
2020-03-23,10.129
2020-03-24,11.013
2020-03-25,10.917
2020-03-26,11.791
2020-03-27,11.287
2020-03-28,11.287
2020-03-29,11.287
2020-03-30,11.44
2020-03-31,11.838
2020-04-01,10.462
2020-04-02,10.871
2020-04-03,10.603
2020-04-04,10.603
2020-04-05,10.603
2020-04-06,11.271
2020-04-07,10.983
2020-04-08,11.309
2020-04-09,11.747
2020-04-10,11.747
2020-04-11,11.747
2020-04-12,11.747
2020-04-13,11.371
2020-04-14,11.396
2020-04-15,10.884
2020-04-16,10.722
2020-04-17,11.322
2020-04-18,11.322
2020-04-19,11.322
2020-04-20,10.985
2020-04-21,10.631
2020-04-22,10.852
2020-04-23,10.673
2020-04-24,10.875
2020-04-25,10.875
2020-04-26,10.875
2020-04-27,11.074
2020-04-28,11.519
2020-04-29,12.201
2020-04-30,11.523
2020-05-01,11.47
2020-05-02,11.47
2020-05-03,11.47
2020-05-04,11.429
2020-05-05,11.408
2020-05-06,11.33
2020-05-07,10.933
2020-05-08,11.305
2020-05-09,11.305
2020-05-10,11.305
2020-05-11,10.867
2020-05-12,10.512
2020-05-13,10.274
2020-05-14,10.267
2020-05-15,10.33
2020-05-16,10.33
2020-05-17,10.33
2020-05-18,11.017
2020-05-19,10.832
2020-05-20,11.045
2020-05-21,11.049
2020-05-22,11.123
2020-05-23,11.123
2020-05-24,11.123
2020-05-25,11.123
2020-05-26,11.587
2020-05-27,12.035
2020-05-28,11.839
2020-05-29,11.661
2020-05-30,11.661
2020-05-31,11.661
2020-06-01,11.533
2020-06-02,11.746
2020-06-03,12.112
2020-06-04,12.11
2020-06-05,12.778
2020-06-06,12.778
2020-06-07,12.778
2020-06-08,12.76
2020-06-09,12.341
2020-06-10,11.962
2020-06-11,11.176
2020-06-12,11.243
2020-06-13,11.243
2020-06-14,11.243
2020-06-15,11.322
2020-06-16,11.479
2020-06-17,11.368
2020-06-18,11.285
2020-06-19,11.347
2020-06-20,11.347
2020-06-21,11.347
2020-06-22,11.386
2020-06-23,11.508
2020-06-24,10.95
2020-06-25,11.125
2020-06-26,10.974
2020-06-27,10.974
2020-06-28,10.974
2020-06-29,11.32
2020-06-30,11.358
2020-07-01,11.149
2020-07-02,11.299
2020-07-03,11.299
2020-07-04,11.299
2020-07-05,11.299
2020-07-06,11.333
2020-07-07,11.073
2020-07-08,11.055
2020-07-09,11.055
2020-07-10,11.194
2020-07-11,11.194
2020-07-12,11.194
2020-07-13,11.19
2020-07-14,11.417
2020-07-15,15.205
2020-07-16,15.18
2020-07-17,15.149
2020-07-18,15.149
2020-07-19,15.149
2020-07-20,15.045
2020-07-21,15.262
