,SFM US Equity
,BEST_PE_RATIO
2020-01-01,6.604
2020-01-02,6.345
2020-01-03,6.312
2020-01-04,6.312
2020-01-05,6.312
2020-01-06,6.377
2020-01-07,6.259
2020-01-08,6.253
2020-01-09,6.15
2020-01-10,6.058
2020-01-11,6.058
2020-01-12,6.058
2020-01-13,5.918
2020-01-14,6.041
2020-01-15,6.082
2020-01-16,6.092
2020-01-17,6.003
2020-01-18,6.003
2020-01-19,6.003
2020-01-20,6.003
2020-01-21,5.922
2020-01-22,5.908
2020-01-23,5.901
2020-01-24,5.812
2020-01-25,5.812
2020-01-26,5.812
2020-01-27,5.659
2020-01-28,5.577
2020-01-29,5.362
2020-01-30,5.389
2020-01-31,5.334
2020-02-01,5.334
2020-02-02,5.334
2020-02-03,5.061
2020-02-04,4.956
2020-02-05,5.242
2020-02-06,5.16
2020-02-07,5.096
2020-02-08,5.096
2020-02-09,5.096
2020-02-10,6.613
2020-02-11,6.779
2020-02-12,6.904
2020-02-13,6.913
2020-02-14,6.913
2020-02-15,6.913
2020-02-16,6.913
2020-02-17,6.913
2020-02-18,7.145
2020-02-19,7.096
2020-02-20,5.476
2020-02-21,6.14
2020-02-22,6.14
2020-02-23,6.14
2020-02-24,5.925
2020-02-25,5.717
2020-02-26,5.498
2020-02-27,5.614
2020-02-28,5.454
2020-02-29,5.454
2020-03-01,5.454
2020-03-02,5.672
2020-03-03,5.613
2020-03-04,5.741
2020-03-05,5.887
2020-03-06,5.881
2020-03-07,5.881
2020-03-08,5.881
2020-03-09,5.621
2020-03-10,5.706
2020-03-11,5.485
2020-03-12,4.546
2020-03-13,4.966
2020-03-14,4.966
2020-03-15,4.966
2020-03-16,5.584
2020-03-17,6.461
2020-03-18,6.038
2020-03-19,6.014
2020-03-20,6.007
2020-03-21,6.007
2020-03-22,6.007
2020-03-23,5.659
2020-03-24,6.003
2020-03-25,5.85
2020-03-26,6.27
2020-03-27,6.133
2020-03-28,6.133
2020-03-29,6.133
2020-03-30,6.348
2020-03-31,6.345
2020-04-01,6.374
2020-04-02,6.474
2020-04-03,6.491
2020-04-04,6.491
2020-04-05,6.491
2020-04-06,6.618
2020-04-07,6.573
2020-04-08,6.563
2020-04-09,6.485
2020-04-10,6.485
2020-04-11,6.485
2020-04-12,6.485
2020-04-13,6.42
2020-04-14,6.509
2020-04-15,6.478
2020-04-16,6.945
2020-04-17,6.976
2020-04-18,6.976
2020-04-19,6.976
2020-04-20,6.846
2020-04-21,6.986
2020-04-22,7.14
2020-04-23,7.304
2020-04-24,7.403
2020-04-25,7.403
2020-04-26,7.403
2020-04-27,7.297
2020-04-28,7.259
2020-04-29,7.082
2020-04-30,7.092
2020-05-01,7.177
2020-05-02,7.177
2020-05-03,7.177
2020-05-04,7.427
2020-05-05,7.597
2020-05-06,9.242
2020-05-07,9.377
2020-05-08,9.741
2020-05-09,9.741
2020-05-10,9.741
2020-05-11,10.259
2020-05-12,9.896
2020-05-13,9.903
2020-05-14,9.528
2020-05-15,9.617
2020-05-16,9.617
2020-05-17,9.617
2020-05-18,9.725
2020-05-19,9.787
2020-05-20,9.791
2020-05-21,9.482
2020-05-22,9.397
2020-05-23,9.397
2020-05-24,9.397
2020-05-25,9.397
2020-05-26,9.455
2020-05-27,9.602
2020-05-28,9.578
2020-05-29,9.721
2020-05-30,9.721
2020-05-31,9.721
2020-06-01,9.857
2020-06-02,9.969
2020-06-03,9.911
2020-06-04,9.644
2020-06-05,9.652
2020-06-06,9.652
2020-06-07,9.652
2020-06-08,9.603
2020-06-09,9.625
2020-06-10,9.404
2020-06-11,9.23
2020-06-12,8.901
2020-06-13,8.901
2020-06-14,8.901
2020-06-15,8.851
2020-06-16,9.112
2020-06-17,9.029
