,VNOM US Equity
,BEST_PE_RATIO
2020-01-01,7.349
2020-01-02,7.692
2020-01-03,7.763
2020-01-04,7.763
2020-01-05,7.763
2020-01-06,7.945
2020-01-07,7.939
2020-01-08,7.841
2020-01-09,7.727
2020-01-10,7.587
2020-01-11,7.587
2020-01-12,7.587
2020-01-13,7.564
2020-01-14,7.432
2020-01-15,7.322
2020-01-16,7.343
2020-01-17,7.179
2020-01-18,7.179
2020-01-19,7.179
2020-01-20,7.179
2020-01-21,7.105
2020-01-22,7.066
2020-01-23,6.887
2020-01-24,6.675
2020-01-25,6.675
2020-01-26,6.675
2020-01-27,6.529
2020-01-28,6.897
2020-01-29,7.193
2020-01-30,7.128
2020-01-31,6.815
2020-02-01,6.815
2020-02-02,6.815
2020-02-03,6.784
2020-02-04,7.012
2020-02-05,7.325
2020-02-06,7.247
2020-02-07,6.909
2020-02-08,6.909
2020-02-09,6.909
2020-02-10,6.79
2020-02-11,6.7
2020-02-12,7.006
2020-02-13,7.115
2020-02-14,7.365
2020-02-15,7.365
2020-02-16,7.365
2020-02-17,7.365
2020-02-18,7.656
2020-02-19,7.778
2020-02-20,7.644
2020-02-21,7.623
2020-02-22,7.623
2020-02-23,7.623
2020-02-24,7.12
2020-02-25,6.54
2020-02-26,6.459
2020-02-27,6.006
2020-02-28,5.983
2020-02-29,5.983
2020-03-01,5.983
2020-03-02,5.986
2020-03-03,6.006
2020-03-04,6.041
2020-03-05,5.704
2020-03-06,4.922
2020-03-07,4.922
2020-03-08,4.922
2020-03-09,2.711
2020-03-10,2.825
2020-03-11,2.718
2020-03-12,2.503
2020-03-13,2.876
2020-03-14,2.876
2020-03-15,2.876
2020-03-16,2.768
2020-03-17,2.396
2020-03-18,1.815
2020-03-19,2.121
2020-03-20,2.721
2020-03-21,2.721
2020-03-22,2.721
2020-03-23,2.455
2020-03-24,2.962
2020-03-25,3.124
2020-03-26,3.199
2020-03-27,2.801
2020-03-28,2.801
2020-03-29,2.801
2020-03-30,2.868
2020-03-31,3.143
2020-04-01,3.223
2020-04-02,3.792
2020-04-03,3.669
2020-04-04,3.669
2020-04-05,3.669
2020-04-06,3.683
2020-04-07,3.749
2020-04-08,4.029
2020-04-09,3.816
2020-04-10,3.816
2020-04-11,3.816
2020-04-12,3.816
2020-04-13,3.697
2020-04-14,3.82
2020-04-15,3.55
2020-04-16,3.223
2020-04-17,3.413
2020-04-18,3.413
2020-04-19,3.413
2020-04-20,3.28
2020-04-21,3.375
2020-04-22,3.65
2020-04-23,3.892
2020-04-24,3.863
2020-04-25,3.863
2020-04-26,3.863
2020-04-27,3.863
2020-04-28,3.991
2020-04-29,4.147
2020-04-30,4.399
2020-05-01,4.076
2020-05-02,4.076
2020-05-03,4.076
2020-05-04,4.076
2020-05-05,3.877
2020-05-06,3.773
2020-05-07,3.887
2020-05-08,4.19
2020-05-09,4.19
2020-05-10,4.19
2020-05-11,4.238
2020-05-12,4.171
2020-05-13,4.013
2020-05-14,3.97
2020-05-15,4.123
2020-05-16,4.123
2020-05-17,4.123
2020-05-18,4.657
