,EXEL US Equity
,BEST_PE_RATIO
2020-01-01,9.473
2020-01-02,9.495
2020-01-03,9.145
2020-01-04,9.145
2020-01-05,9.145
2020-01-06,9.438
2020-01-07,10.04
2020-01-08,10.188
2020-01-09,10.016
2020-01-10,9.849
2020-01-11,9.849
2020-01-12,9.849
2020-01-13,9.93
2020-01-14,10.565
2020-01-15,10.965
2020-01-16,10.989
2020-01-17,10.656
2020-01-18,10.656
2020-01-19,10.656
2020-01-20,10.656
2020-01-21,10.624
2020-01-22,10.602
2020-01-23,10.522
2020-01-24,9.688
2020-01-25,9.688
2020-01-26,9.688
2020-01-27,9.538
2020-01-28,9.613
2020-01-29,9.559
2020-01-30,9.247
2020-01-31,9.247
2020-02-01,9.247
2020-02-02,9.247
2020-02-03,9.398
2020-02-04,9.462
2020-02-05,9.909
2020-02-06,10.016
2020-02-07,10.226
2020-02-08,10.226
2020-02-09,10.226
2020-02-10,10.328
2020-02-11,10.425
2020-02-12,10.806
2020-02-13,10.887
2020-02-14,11.167
2020-02-15,11.167
2020-02-16,11.167
2020-02-17,11.167
2020-02-18,11.414
2020-02-19,11.72
2020-02-20,11.548
2020-02-21,11.339
2020-02-22,11.339
2020-02-23,11.339
2020-02-24,10.791
2020-02-25,10.374
2020-02-26,11.466
2020-02-27,11.301
2020-02-28,11.405
2020-02-29,11.405
2020-03-01,11.405
2020-03-02,11.834
2020-03-03,11.497
2020-03-04,12.202
2020-03-05,11.767
2020-03-06,11.442
2020-03-07,11.442
2020-03-08,11.442
2020-03-09,10.865
2020-03-10,11.282
2020-03-11,10.626
2020-03-12,9.356
2020-03-13,10.288
2020-03-14,10.288
2020-03-15,10.288
2020-03-16,8.871
2020-03-17,9.055
2020-03-18,9.006
2020-03-19,9.307
2020-03-20,9.294
2020-03-21,9.294
2020-03-22,9.294
2020-03-23,9.411
2020-03-24,9.724
2020-03-25,9.675
2020-03-26,10.601
2020-03-27,10.571
2020-03-28,10.571
2020-03-29,10.571
2020-03-30,10.902
2020-03-31,10.564
2020-04-01,10.098
2020-04-02,10.215
2020-04-03,10.135
2020-04-04,10.135
2020-04-05,10.135
2020-04-06,10.84
2020-04-07,10.804
2020-04-08,11.429
2020-04-09,11.055
2020-04-10,11.055
2020-04-11,11.055
2020-04-12,11.055
2020-04-13,10.908
2020-04-14,11.442
2020-04-15,11.178
2020-04-16,11.368
2020-04-17,11.926
2020-04-18,11.926
2020-04-19,11.926
2020-04-20,14.463
2020-04-21,15.067
2020-04-22,15.166
2020-04-23,16.178
2020-04-24,16.276
2020-04-25,16.276
2020-04-26,16.276
2020-04-27,16.791
2020-04-28,16.331
2020-04-29,15.991
2020-04-30,15.15
2020-05-01,14.785
2020-05-02,14.785
2020-05-03,14.785
2020-05-04,15.724
2020-05-05,13.104
2020-05-06,13.247
2020-05-07,12.797
2020-05-08,13.151
2020-05-09,13.151
2020-05-10,13.151
2020-05-11,13.869
2020-05-12,13.586
2020-05-13,13.419
2020-05-14,12.521
2020-05-15,13.03
2020-05-16,13.03
2020-05-17,13.03
2020-05-18,12.994
2020-05-19,12.585
2020-05-20,12.645
2020-05-21,12.453
2020-05-22,12.453
2020-05-23,12.453
2020-05-24,12.453
2020-05-25,12.453
2020-05-26,12.301
2020-05-27,12.342
2020-05-28,12.307
2020-05-29,12.499
2020-05-30,12.499
2020-05-31,12.499
2020-06-01,11.814
2020-06-02,11.88
2020-06-03,11.341
2020-06-04,11.052
2020-06-05,10.95
2020-06-06,10.95
2020-06-07,10.95
2020-06-08,11.067
2020-06-09,11.074
2020-06-10,11.322
2020-06-11,10.582
2020-06-12,10.959
2020-06-13,10.959
2020-06-14,10.959
2020-06-15,11.16
2020-06-16,11.464
2020-06-17,11.003
2020-06-18,10.999
2020-06-19,11.836
2020-06-20,11.836
2020-06-21,11.836
2020-06-22,11.831
2020-06-23,11.698
2020-06-24,11.478
2020-06-25,11.645
2020-06-26,11.199
2020-06-27,11.199
2020-06-28,11.199
2020-06-29,11.126
2020-06-30,11.62
2020-07-01,11.503
2020-07-02,11.493
