,HII US Equity
,BEST_PE_RATIO
2020-01-01,11.11
2020-01-02,11.331
2020-01-03,11.669
2020-01-04,11.669
2020-01-05,11.669
2020-01-06,11.736
2020-01-07,11.845
2020-01-08,11.911
2020-01-09,12.223
2020-01-10,11.999
2020-01-11,11.999
2020-01-12,11.999
2020-01-13,12.171
2020-01-14,12.019
2020-01-15,12.139
2020-01-16,12.248
2020-01-17,12.303
2020-01-18,12.303
2020-01-19,12.303
2020-01-20,12.303
2020-01-21,12.337
2020-01-22,12.211
2020-01-23,12.272
2020-01-24,12.244
2020-01-25,12.244
2020-01-26,12.244
2020-01-27,12.139
2020-01-28,12.148
2020-01-29,11.707
2020-01-30,11.772
2020-01-31,11.559
2020-02-01,11.559
2020-02-02,11.559
2020-02-03,11.574
2020-02-04,11.738
2020-02-05,11.938
2020-02-06,11.877
2020-02-07,11.919
2020-02-08,11.919
2020-02-09,11.919
2020-02-10,11.909
2020-02-11,11.872
2020-02-12,11.961
2020-02-13,11.087
2020-02-14,11.151
2020-02-15,11.151
2020-02-16,11.151
2020-02-17,11.151
2020-02-18,10.757
2020-02-19,10.438
2020-02-20,10.514
2020-02-21,10.452
2020-02-22,10.452
2020-02-23,10.452
2020-02-24,10.4
2020-02-25,9.868
2020-02-26,9.732
2020-02-27,9.577
2020-02-28,9.145
2020-02-29,9.145
2020-03-01,9.145
2020-03-02,9.328
2020-03-03,9.237
2020-03-04,9.768
2020-03-05,9.33
2020-03-06,9.09
2020-03-07,9.09
2020-03-08,9.09
2020-03-09,8.67
2020-03-10,9.317
2020-03-11,8.806
2020-03-12,7.86
2020-03-13,7.948
2020-03-14,7.948
2020-03-15,7.948
2020-03-16,6.971
2020-03-17,7.168
2020-03-18,7.669
2020-03-19,7.54
2020-03-20,7.089
2020-03-21,7.089
2020-03-22,7.089
2020-03-23,6.851
2020-03-24,7.358
2020-03-25,7.895
2020-03-26,8.689
2020-03-27,8.258
2020-03-28,8.258
2020-03-29,8.258
2020-03-30,8.169
2020-03-31,7.853
2020-04-01,7.462
2020-04-02,7.785
2020-04-03,7.802
2020-04-04,7.802
2020-04-05,7.802
2020-04-06,8.348
