,PARAA US Equity
,BEST_PE_RATIO
2020-01-01,4.732
2020-01-02,4.777
2020-01-03,4.782
2020-01-04,4.782
2020-01-05,4.782
2020-01-06,4.855
2020-01-07,4.897
2020-01-08,4.809
2020-01-09,4.719
2020-01-10,4.734
2020-01-11,4.734
2020-01-12,4.734
2020-01-13,4.72
2020-01-14,4.655
2020-01-15,4.625
2020-01-16,4.661
2020-01-17,4.592
2020-01-18,4.592
2020-01-19,4.592
2020-01-20,4.592
2020-01-21,4.528
2020-01-22,4.478
2020-01-23,4.292
2020-01-24,4.162
2020-01-25,4.162
2020-01-26,4.162
2020-01-27,4.161
2020-01-28,4.198
2020-01-29,4.124
2020-01-30,4.484
2020-01-31,4.44
2020-02-01,4.44
2020-02-02,4.44
2020-02-03,4.817
2020-02-04,4.88
2020-02-05,5.061
2020-02-06,5.035
2020-02-07,5.086
2020-02-08,5.086
2020-02-09,5.086
2020-02-10,4.973
2020-02-11,5.135
2020-02-12,5.145
2020-02-13,5.073
2020-02-14,5.111
2020-02-15,5.111
2020-02-16,5.111
2020-02-17,5.111
2020-02-18,5.408
2020-02-19,5.466
2020-02-20,4.665
2020-02-21,4.54
2020-02-22,4.54
2020-02-23,4.54
2020-02-24,4.54
2020-02-25,4.54
2020-02-26,4.54
2020-02-27,4.54
2020-02-28,4.54
2020-02-29,4.54
2020-03-01,4.54
2020-03-02,4.54
2020-03-03,4.54
2020-03-04,4.54
2020-03-05,4.54
2020-03-06,4.54
2020-03-07,4.54
2020-03-08,4.54
2020-03-09,4.54
2020-03-10,4.54
2020-03-11,4.54
2020-03-12,4.54
2020-03-13,4.54
2020-03-14,4.54
2020-03-15,4.54
2020-03-16,4.54
2020-03-17,4.54
2020-03-18,4.54
2020-03-19,4.54
2020-03-20,4.54
2020-03-21,4.54
2020-03-22,4.54
2020-03-23,4.54
2020-03-24,4.54
2020-03-25,4.54
2020-03-26,4.54
2020-03-27,4.54
2020-03-28,4.54
2020-03-29,4.54
2020-03-30,4.54
2020-03-31,4.54
2020-04-01,4.54
