,CAT US Equity
,BEST_PE_RATIO
2020-01-01,5.916
2020-01-02,6.031
2020-01-03,5.947
2020-01-04,5.947
2020-01-05,5.947
2020-01-06,5.943
2020-01-07,5.864
2020-01-08,5.916
2020-01-09,5.902
2020-01-10,5.854
2020-01-11,5.854
2020-01-12,5.854
2020-01-13,5.882
2020-01-14,5.876
2020-01-15,5.832
2020-01-16,5.924
2020-01-17,5.962
2020-01-18,5.962
2020-01-19,5.962
2020-01-20,5.962
2020-01-21,5.884
2020-01-22,5.754
2020-01-23,5.759
2020-01-24,5.663
2020-01-25,5.663
2020-01-26,5.663
2020-01-27,5.476
2020-01-28,5.517
2020-01-29,5.478
2020-01-30,5.461
2020-01-31,5.299
2020-02-01,5.299
2020-02-02,5.299
2020-02-03,5.235
2020-02-04,6.718
2020-02-05,6.916
2020-02-06,6.907
2020-02-07,6.711
2020-02-08,6.711
2020-02-09,6.711
2020-02-10,6.759
2020-02-11,6.853
2020-02-12,7.024
2020-02-13,7.673
2020-02-14,7.578
2020-02-15,7.578
2020-02-16,7.578
2020-02-17,7.578
2020-02-18,7.501
2020-02-19,7.516
2020-02-20,7.52
2020-02-21,7.535
2020-02-22,7.535
2020-02-23,7.535
2020-02-24,7.259
2020-02-25,7.084
2020-02-26,7.043
2020-02-27,6.77
2020-02-28,6.823
2020-02-29,6.823
2020-03-01,6.823
2020-03-02,7.008
2020-03-03,6.831
2020-03-04,8.539
2020-03-05,8.175
2020-03-06,8.138
2020-03-07,8.138
2020-03-08,8.138
2020-03-09,6.975
2020-03-10,7.138
2020-03-11,6.749
2020-03-12,6.184
2020-03-13,6.679
2020-03-14,6.679
2020-03-15,6.679
2020-03-16,6.261
2020-03-17,6.716
2020-03-18,6.711
2020-03-19,6.904
2020-03-20,6.401
2020-03-21,6.401
2020-03-22,6.401
2020-03-23,6.156
2020-03-24,6.793
2020-03-25,7.016
2020-03-26,7.406
2020-03-27,7.067
2020-03-28,7.067
2020-03-29,7.067
2020-03-30,7.488
2020-03-31,7.778
2020-04-01,7.483
2020-04-02,7.845
2020-04-03,7.706
2020-04-04,7.706
2020-04-05,7.706
2020-04-06,8.093
2020-04-07,8.193
2020-04-08,9.46
2020-04-09,9.284
2020-04-10,9.284
2020-04-11,9.284
2020-04-12,9.284
2020-04-13,8.475
2020-04-14,8.649
2020-04-15,8.281
2020-04-16,8.407
2020-04-17,8.715
2020-04-18,8.715
2020-04-19,8.715
2020-04-20,8.588
2020-04-21,8.232
2020-04-22,8.291
2020-04-23,8.461
2020-04-24,8.546
2020-04-25,8.546
2020-04-26,8.546
2020-04-27,8.633
2020-04-28,8.652
2020-04-29,8.997
2020-04-30,8.721
2020-05-01,8.309
2020-05-02,8.309
2020-05-03,8.309
2020-05-04,8.072
2020-05-05,8.161
2020-05-06,8.068
2020-05-07,8.04
2020-05-08,8.401
2020-05-09,8.401
2020-05-10,8.401
2020-05-11,8.139
2020-05-12,7.868
2020-05-13,7.829
2020-05-14,7.957
2020-05-15,8.087
2020-05-16,8.087
2020-05-17,8.087
2020-05-18,8.619
2020-05-19,8.399
2020-05-20,8.669
2020-05-21,8.547
2020-05-22,8.428
2020-05-23,8.428
2020-05-24,8.428
2020-05-25,8.428
2020-05-26,8.798
2020-05-27,9.174
2020-05-28,9.048
2020-05-29,9.002
2020-05-30,9.002
2020-05-31,9.002
2020-06-01,9.03
2020-06-02,9.241
2020-06-03,9.523
2020-06-04,9.664
2020-06-05,10.125
2020-06-06,10.125
2020-06-07,10.125
2020-06-08,10.32
2020-06-09,10.056
2020-06-10,9.924
2020-06-11,9.108
2020-06-12,9.228
2020-06-13,9.228
2020-06-14,9.228
2020-06-15,9.263
2020-06-16,9.75
2020-06-17,9.609
2020-06-18,9.561
2020-06-19,9.551
2020-06-20,9.551
2020-06-21,9.551
2020-06-22,9.426
2020-06-23,9.461
2020-06-24,9.147
2020-06-25,9.345
2020-06-26,9.171
2020-06-27,9.171
2020-06-28,9.171
2020-06-29,9.386
2020-06-30,8.448
2020-07-01,8.419
2020-07-02,8.53
2020-07-03,8.53
2020-07-04,8.53
2020-07-05,8.53
2020-07-06,8.644
2020-07-07,8.495
2020-07-08,8.557
2020-07-09,8.421
2020-07-10,8.574
2020-07-11,8.574
2020-07-12,8.574
2020-07-13,8.745
2020-07-14,9.102
2020-07-15,9.2
2020-07-16,9.213
2020-07-17,9.171
2020-07-18,9.171
2020-07-19,9.171
2020-07-20,9.019
2020-07-21,9.102
2020-07-22,9.177
2020-07-23,9.151
2020-07-24,9.217
2020-07-25,9.217
2020-07-26,9.217
2020-07-27,9.372
2020-07-28,9.247
2020-07-29,9.414
2020-07-30,9.16
2020-07-31,8.969
2020-08-01,8.969
2020-08-02,8.969
2020-08-03,8.894
2020-08-04,8.877
2020-08-05,9.11
2020-08-06,9.071
2020-08-07,9.106
2020-08-08,9.106
2020-08-09,9.106
2020-08-10,9.999
2020-08-11,10.035
2020-08-12,10.038
2020-08-13,9.904
2020-08-14,9.854
2020-08-15,9.854
2020-08-16,9.854
2020-08-17,9.767
2020-08-18,9.742
2020-08-19,9.718
2020-08-20,9.68
2020-08-21,9.747
2020-08-22,9.747
2020-08-23,9.747
2020-08-24,9.976
2020-08-25,9.938
2020-08-26,9.986
2020-08-27,10.095
2020-08-28,10.113
2020-08-29,10.113
2020-08-30,10.113
2020-08-31,10.02
2020-09-01,10.283
2020-09-02,10.51
2020-09-03,10.333
2020-09-04,10.433
2020-09-05,10.433
2020-09-06,10.433
2020-09-07,10.433
2020-09-08,10.457
2020-09-09,10.751
2020-09-10,10.551
2020-09-11,10.831
2020-09-12,10.831
2020-09-13,10.831
2020-09-14,10.808
2020-09-15,10.463
2020-09-16,10.639
2020-09-17,10.834
2020-09-18,10.73
2020-09-19,10.73
2020-09-20,10.73
2020-09-21,10.233
2020-09-22,10.29
2020-09-23,10.097
2020-09-24,10.15
2020-09-25,10.204
2020-09-26,10.204
2020-09-27,10.204
2020-09-28,10.327
2020-09-29,10.309
2020-09-30,10.43
2020-10-01,10.26
2020-10-02,10.485
2020-10-03,10.485
2020-10-04,10.485
2020-10-05,10.734
2020-10-06,10.597
2020-10-07,10.823
2020-10-08,10.955
2020-10-09,11.115
2020-10-10,11.115
2020-10-11,11.115
2020-10-12,11.442
2020-10-13,11.239
2020-10-14,11.342
2020-10-15,11.441
2020-10-16,11.699
2020-10-17,11.699
2020-10-18,11.699
2020-10-19,11.767
2020-10-20,11.87
2020-10-21,11.758
2020-10-22,11.917
2020-10-23,11.914
2020-10-24,11.914
2020-10-25,11.914
2020-10-26,11.533
2020-10-27,11.169
2020-10-28,10.538
2020-10-29,10.783
2020-10-30,10.949
2020-10-31,10.949
2020-11-01,10.949
