,HUM US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,10.2
2020-01-11,10.2
2020-01-12,10.2
2020-01-13,9.997
2020-01-14,10.007
2020-01-15,10.198
2020-01-16,10.284
2020-01-17,10.268
2020-01-18,10.268
2020-01-19,10.268
2020-01-20,10.268
2020-01-21,10.221
2020-01-22,10.245
2020-01-23,10.185
2020-01-24,9.998
2020-01-25,9.998
2020-01-26,9.998
2020-01-27,9.718
2020-01-28,9.884
2020-01-29,9.848
2020-01-30,9.615
2020-01-31,9.419
2020-02-01,9.419
2020-02-02,9.419
2020-02-03,9.331
2020-02-04,9.601
2020-02-05,9.603
2020-02-06,9.455
2020-02-07,9.3
2020-02-08,9.3
2020-02-09,9.3
2020-02-10,9.293
2020-02-11,9.403
2020-02-12,9.842
2020-02-13,10.009
2020-02-14,9.894
2020-02-15,9.894
2020-02-16,9.894
2020-02-17,9.894
2020-02-18,9.796
2020-02-19,9.965
2020-02-20,9.766
2020-02-21,9.732
2020-02-22,9.732
2020-02-23,9.732
2020-02-24,9.113
2020-02-25,8.74
2020-02-26,8.652
2020-02-27,8.275
2020-02-28,8.416
2020-02-29,8.416
2020-03-01,8.416
2020-03-02,9.092
2020-03-03,8.565
2020-03-04,9.802
2020-03-05,9.756
2020-03-06,9.662
2020-03-07,9.662
2020-03-08,9.662
2020-03-09,8.877
2020-03-10,9.195
2020-03-11,8.64
2020-03-12,7.715
2020-03-13,8.264
2020-03-14,8.264
2020-03-15,8.264
2020-03-16,7.113
2020-03-17,7.176
2020-03-18,6.491
2020-03-19,6.744
2020-03-20,6.071
2020-03-21,6.071
2020-03-22,6.071
2020-03-23,5.645
2020-03-24,6.162
2020-03-25,7.082
2020-03-26,8.016
2020-03-27,7.82
2020-03-28,7.82
2020-03-29,7.82
2020-03-30,8.21
2020-03-31,8.284
2020-04-01,7.881
2020-04-02,7.917
2020-04-03,7.693
2020-04-04,7.693
2020-04-05,7.693
2020-04-06,8.639
2020-04-07,8.443
2020-04-08,8.897
2020-04-09,9.02
2020-04-10,9.02
2020-04-11,9.02
2020-04-12,9.02
2020-04-13,9.187
2020-04-14,9.292
2020-04-15,9.327
2020-04-16,9.954
2020-04-17,9.856
2020-04-18,9.856
2020-04-19,9.856
2020-04-20,9.69
2020-04-21,9.467
2020-04-22,9.686
2020-04-23,9.657
2020-04-24,10.136
2020-04-25,10.136
2020-04-26,10.136
2020-04-27,10.257
2020-04-28,9.965
2020-04-29,10.079
2020-04-30,11.394
2020-05-01,11.108
2020-05-02,11.108
2020-05-03,11.108
2020-05-04,11.275
2020-05-05,11.461
2020-05-06,11.19
2020-05-07,11.084
2020-05-08,11.265
2020-05-09,11.265
2020-05-10,11.265
2020-05-11,11.341
2020-05-12,11.451
2020-05-13,11.263
2020-05-14,11.513
2020-05-15,11.884
2020-05-16,11.884
2020-05-17,11.884
2020-05-18,11.709
2020-05-19,11.772
2020-05-20,11.674
2020-05-21,11.796
2020-05-22,11.77
2020-05-23,11.77
2020-05-24,11.77
2020-05-25,11.77
2020-05-26,11.85
2020-05-27,11.917
2020-05-28,12.05
2020-05-29,12.255
2020-05-30,12.255
2020-05-31,12.255
2020-06-01,11.981
2020-06-02,12.083
2020-06-03,11.75
2020-06-04,11.706
2020-06-05,11.634
2020-06-06,11.634
2020-06-07,11.634
2020-06-08,11.88
2020-06-09,11.644
2020-06-10,11.713
2020-06-11,11.147
2020-06-12,11.302
2020-06-13,11.302
2020-06-14,11.302
2020-06-15,11.306
2020-06-16,11.159
2020-06-17,11.218
2020-06-18,11.19
2020-06-19,11.233
2020-06-20,11.233
2020-06-21,11.233
2020-06-22,11.205
2020-06-23,11.263
2020-06-24,10.969
2020-06-25,11.097
2020-06-26,11.053
2020-06-27,11.053
2020-06-28,11.053
2020-06-29,11.211
2020-06-30,11.459
2020-07-01,11.571
2020-07-02,11.581
2020-07-03,11.581
2020-07-04,11.581
2020-07-05,11.581
2020-07-06,11.716
2020-07-07,11.575
2020-07-08,11.407
2020-07-09,11.316
2020-07-10,11.276
2020-07-11,11.276
2020-07-12,11.276
2020-07-13,11.285
2020-07-14,11.718
2020-07-15,11.684
2020-07-16,11.699
2020-07-17,11.953
2020-07-18,11.953
2020-07-19,11.953
2020-07-20,11.725
2020-07-21,11.749
2020-07-22,11.891
2020-07-23,11.754
2020-07-24,11.588
2020-07-25,11.588
2020-07-26,11.588
2020-07-27,11.555
2020-07-28,11.426
2020-07-29,11.714
2020-07-30,11.777
2020-07-31,11.597
2020-08-01,11.597
2020-08-02,11.597
2020-08-03,11.66
2020-08-04,11.56
2020-08-05,12.379
2020-08-06,12.404
2020-08-07,12.717
2020-08-08,12.717
2020-08-09,12.717
2020-08-10,12.773
2020-08-11,12.651
2020-08-12,12.782
2020-08-13,12.765
2020-08-14,12.841
2020-08-15,12.841
2020-08-16,12.841
2020-08-17,12.78
2020-08-18,12.694
2020-08-19,12.719
2020-08-20,12.596
2020-08-21,12.743
2020-08-22,12.743
2020-08-23,12.743
2020-08-24,12.356
2020-08-25,12.349
2020-08-26,12.285
2020-08-27,12.398
2020-08-28,12.416
2020-08-29,12.416
2020-08-30,12.416
2020-08-31,12.633
2020-09-01,12.623
2020-09-02,13.016
2020-09-03,12.819
2020-09-04,12.573
