,NGHC US Equity
,BEST_PE_RATIO
2020-01-01,6.552
2020-01-02,6.54
2020-01-03,6.585
2020-01-04,6.585
2020-01-05,6.585
2020-01-06,6.644
2020-01-07,6.582
2020-01-08,6.579
2020-01-09,6.573
2020-01-10,6.493
2020-01-11,6.493
2020-01-12,6.493
2020-01-13,6.588
2020-01-14,6.603
2020-01-15,6.585
2020-01-16,6.733
2020-01-17,6.788
2020-01-18,6.788
2020-01-19,6.788
2020-01-20,6.788
2020-01-21,6.752
2020-01-22,6.727
2020-01-23,6.699
2020-01-24,6.675
2020-01-25,6.675
2020-01-26,6.675
2020-01-27,6.621
2020-01-28,6.687
2020-01-29,6.588
2020-01-30,6.633
2020-01-31,6.49
2020-02-01,6.49
2020-02-02,6.49
2020-02-03,6.555
2020-02-04,6.558
2020-02-05,6.721
2020-02-06,6.635
2020-02-07,6.523
2020-02-08,6.523
2020-02-09,6.523
2020-02-10,6.58
2020-02-11,6.564
2020-02-12,6.511
2020-02-13,6.558
2020-02-14,6.49
2020-02-15,6.49
2020-02-16,6.49
2020-02-17,6.49
2020-02-18,6.499
2020-02-19,6.38
2020-02-20,6.351
2020-02-21,6.495
2020-02-22,6.495
2020-02-23,6.495
2020-02-24,6.394
2020-02-25,6.35
2020-02-26,6.217
2020-02-27,5.899
2020-02-28,5.75
2020-02-29,5.75
2020-03-01,5.75
2020-03-02,5.984
2020-03-03,5.759
2020-03-04,5.892
2020-03-05,5.756
2020-03-06,5.744
2020-03-07,5.744
2020-03-08,5.744
2020-03-09,5.219
2020-03-10,5.47
2020-03-11,5.077
2020-03-12,4.619
2020-03-13,4.953
2020-03-14,4.953
2020-03-15,4.953
2020-03-16,3.966
2020-03-17,4.23
2020-03-18,3.927
2020-03-19,4.099
2020-03-20,4.084
2020-03-21,4.084
2020-03-22,4.084
2020-03-23,4.197
2020-03-24,4.748
2020-03-25,4.55
2020-03-26,4.691
2020-03-27,4.494
2020-03-28,4.494
2020-03-29,4.494
2020-03-30,4.823
2020-03-31,4.977
2020-04-01,4.784
2020-04-02,4.865
2020-04-03,4.282
2020-04-04,4.282
2020-04-05,4.282
2020-04-06,4.619
2020-04-07,4.547
2020-04-08,4.849
2020-04-09,5.298
2020-04-10,5.298
2020-04-11,5.298
2020-04-12,5.298
2020-04-13,4.906
2020-04-14,4.978
2020-04-15,4.727
2020-04-16,4.622
2020-04-17,4.924
2020-04-18,4.924
2020-04-19,4.924
2020-04-20,5.001
2020-04-21,5.022
2020-04-22,4.968
2020-04-23,4.953
2020-04-24,4.971
2020-04-25,4.971
2020-04-26,4.971
2020-04-27,5.214
2020-04-28,5.323
2020-04-29,5.708
2020-04-30,5.598
2020-05-01,5.498
2020-05-02,5.498
2020-05-03,5.498
2020-05-04,5.491
2020-05-05,5.47
2020-05-06,5.434
2020-05-07,5.514
2020-05-08,5.687
2020-05-09,5.687
2020-05-10,5.687
2020-05-11,5.44
2020-05-12,5.185
2020-05-13,4.953
2020-05-14,5.024
2020-05-15,5.143
2020-05-16,5.143
2020-05-17,5.143
2020-05-18,5.559
2020-05-19,5.408
2020-05-20,5.571
2020-05-21,5.699
2020-05-22,5.734
2020-05-23,5.734
2020-05-24,5.734
2020-05-25,5.734
2020-05-26,5.926
2020-05-27,6.15
2020-05-28,6.017
2020-05-29,6.031
2020-05-30,6.031
2020-05-31,6.031
2020-06-01,5.883
2020-06-02,6.002
2020-06-03,6.248
2020-06-04,6.296
2020-06-05,6.635
2020-06-06,6.635
2020-06-07,6.635
2020-06-08,6.982
2020-06-09,6.652
2020-06-10,6.413
2020-06-11,5.922
2020-06-12,6.014
2020-06-13,6.014
2020-06-14,6.014
2020-06-15,6.147
2020-06-16,6.373
2020-06-17,6.219
2020-06-18,6.29
2020-06-19,6.242
2020-06-20,6.242
2020-06-21,6.242
2020-06-22,6.29
2020-06-23,6.275
2020-06-24,6.082
2020-06-25,6.245
2020-06-26,6.1
2020-06-27,6.1
2020-06-28,6.1
2020-06-29,6.272
2020-06-30,6.436
2020-07-01,6.251
2020-07-02,6.21
2020-07-03,6.21
2020-07-04,6.21
2020-07-05,6.21
2020-07-06,6.224
2020-07-07,6.079
2020-07-08,10.043
2020-07-09,10.017
2020-07-10,10.016
2020-07-11,10.016
2020-07-12,10.016
2020-07-13,10.001
2020-07-14,10.063
2020-07-15,10.052
2020-07-16,10.025
2020-07-17,10.031
2020-07-18,10.031
2020-07-19,10.031
2020-07-20,10.043
2020-07-21,10.047
2020-07-22,10.043
2020-07-23,10.05
2020-07-24,10.028
2020-07-25,10.028
2020-07-26,10.028
2020-07-27,10.055
2020-07-28,10.046
2020-07-29,10.063
2020-07-30,10.031
2020-07-31,10.023
2020-08-01,10.023
2020-08-02,10.023
2020-08-03,9.956
2020-08-04,9.994
2020-08-05,10.038
2020-08-06,9.979
2020-08-07,10.041
2020-08-08,10.041
2020-08-09,10.041
2020-08-10,10.056
2020-08-11,10.029
2020-08-12,10.041
2020-08-13,10.044
2020-08-14,10.026
2020-08-15,10.026
