,GM US Equity
,BEST_PE_RATIO
2020-01-01,3.994
2020-01-02,4.079
2020-01-03,3.964
2020-01-04,3.964
2020-01-05,3.964
2020-01-06,3.911
2020-01-07,3.836
2020-01-08,3.782
2020-01-09,3.828
2020-01-10,3.782
2020-01-11,3.782
2020-01-12,3.782
2020-01-13,3.818
2020-01-14,3.836
2020-01-15,3.836
2020-01-16,3.88
2020-01-17,3.885
2020-01-18,3.885
2020-01-19,3.885
2020-01-20,3.885
2020-01-21,3.819
2020-01-22,3.81
2020-01-23,3.807
2020-01-24,3.744
2020-01-25,3.744
2020-01-26,3.744
2020-01-27,3.646
2020-01-28,3.671
2020-01-29,3.667
2020-01-30,3.637
2020-01-31,3.644
2020-02-01,3.644
2020-02-02,3.644
2020-02-03,3.68
2020-02-04,3.751
2020-02-05,3.823
2020-02-06,3.747
2020-02-07,3.67
2020-02-08,3.67
2020-02-09,3.67
2020-02-10,3.738
2020-02-11,3.821
2020-02-12,3.873
2020-02-13,3.851
2020-02-14,3.794
2020-02-15,3.794
2020-02-16,3.794
2020-02-17,3.794
2020-02-18,3.755
2020-02-19,3.811
2020-02-20,3.851
2020-02-21,3.782
2020-02-22,3.782
2020-02-23,3.782
2020-02-24,3.611
2020-02-25,3.465
2020-02-26,3.492
2020-02-27,3.352
2020-02-28,3.329
2020-02-29,3.329
2020-03-01,3.329
2020-03-02,3.429
2020-03-03,3.331
2020-03-04,3.441
2020-03-05,3.325
2020-03-06,3.169
2020-03-07,3.169
2020-03-08,3.169
2020-03-09,2.727
2020-03-10,2.996
2020-03-11,2.872
2020-03-12,2.545
2020-03-13,2.73
2020-03-14,2.73
2020-03-15,2.73
2020-03-16,2.32
2020-03-17,2.245
2020-03-18,1.856
2020-03-19,1.956
2020-03-20,2.004
2020-03-21,2.004
2020-03-22,2.004
2020-03-23,1.944
2020-03-24,2.332
2020-03-25,2.374
2020-03-26,2.492
2020-03-27,2.362
2020-03-28,2.362
2020-03-29,2.362
2020-03-30,2.355
2020-03-31,2.295
2020-04-01,2.128
2020-04-02,2.009
2020-04-03,1.993
2020-04-04,1.993
2020-04-05,1.993
2020-04-06,2.16
2020-04-07,2.353
2020-04-08,2.555
2020-04-09,2.658
2020-04-10,2.658
2020-04-11,2.658
2020-04-12,2.658
2020-04-13,2.542
2020-04-14,2.539
2020-04-15,2.393
2020-04-16,2.305
2020-04-17,2.483
2020-04-18,2.483
2020-04-19,2.483
2020-04-20,2.472
2020-04-21,2.346
2020-04-22,2.353
2020-04-23,2.377
2020-04-24,2.425
2020-04-25,2.425
2020-04-26,2.425
2020-04-27,2.48
2020-04-28,2.45
2020-04-29,2.627
2020-04-30,2.462
2020-05-01,2.309
2020-05-02,2.309
2020-05-03,2.309
2020-05-04,2.292
2020-05-05,2.349
2020-05-06,2.418
2020-05-07,3.15
2020-05-08,3.359
2020-05-09,3.359
2020-05-10,3.359
2020-05-11,3.2
2020-05-12,3.166
2020-05-13,3.012
2020-05-14,3.131
2020-05-15,3.176
2020-05-16,3.176
2020-05-17,3.176
2020-05-18,3.482
2020-05-19,3.465
2020-05-20,3.576
2020-05-21,3.621
2020-05-22,3.646
2020-05-23,3.646
2020-05-24,3.646
2020-05-25,3.646
2020-05-26,3.846
2020-05-27,3.9
2020-05-28,3.745
2020-05-29,3.632
2020-05-30,3.632
2020-05-31,3.632
2020-06-01,4.001
2020-06-02,4.07
2020-06-03,4.317
2020-06-04,4.33
2020-06-05,4.546
2020-06-06,4.546
2020-06-07,4.546
2020-06-08,4.556
2020-06-09,4.434
2020-06-10,4.269
2020-06-11,4.041
2020-06-12,4.264
2020-06-13,4.264
2020-06-14,4.264
2020-06-15,4.235
2020-06-16,4.236
2020-06-17,4.142
2020-06-18,4.131
2020-06-19,4.055
2020-06-20,4.055
2020-06-21,4.055
2020-06-22,4.021
2020-06-23,4.003
2020-06-24,3.855
2020-06-25,3.847
2020-06-26,3.73
2020-06-27,3.73
2020-06-28,3.73
2020-06-29,3.858
2020-06-30,3.858
2020-07-01,4.206
2020-07-02,4.253
2020-07-03,4.253
2020-07-04,4.253
2020-07-05,4.253
2020-07-06,4.336
2020-07-07,4.235
2020-07-08,4.203
2020-07-09,3.946
2020-07-10,4.11
2020-07-11,4.11
2020-07-12,4.11
2020-07-13,4.189
2020-07-14,4.32
2020-07-15,4.529
2020-07-16,4.524
2020-07-17,4.457
2020-07-18,4.457
2020-07-19,4.457
2020-07-20,4.383
2020-07-21,4.406
2020-07-22,4.266
2020-07-23,4.34
2020-07-24,4.33
2020-07-25,4.33
2020-07-26,4.33
2020-07-27,4.24
2020-07-28,4.344
2020-07-29,4.271
2020-07-30,3.993
2020-07-31,3.944
2020-08-01,3.944
2020-08-02,3.944
2020-08-03,4.063
2020-08-04,4.088
2020-08-05,4.172
2020-08-06,4.218
2020-08-07,4.234
2020-08-08,4.234
2020-08-09,4.234
2020-08-10,4.433
2020-08-11,4.519
2020-08-12,4.441
2020-08-13,4.365
2020-08-14,4.414
2020-08-15,4.414
2020-08-16,4.414
2020-08-17,4.755
2020-08-18,4.728
2020-08-19,4.63
2020-08-20,4.568
2020-08-21,4.525
2020-08-22,4.525
2020-08-23,4.525
2020-08-24,4.802
2020-08-25,4.704
2020-08-26,4.671
2020-08-27,4.704
2020-08-28,4.757
2020-08-29,4.757
2020-08-30,4.757
2020-08-31,4.695
2020-09-01,4.72
2020-09-02,4.905
2020-09-03,4.671
2020-09-04,4.753
2020-09-05,4.753
2020-09-06,4.753
2020-09-07,4.753
2020-09-08,5.13
2020-09-09,5.505
2020-09-10,5.036
2020-09-11,5.085
2020-09-12,5.085
2020-09-13,5.085
2020-09-14,5.205
2020-09-15,5.272
2020-09-16,5.307
2020-09-17,5.328
2020-09-18,5.258
2020-09-19,5.258
2020-09-20,5.258
2020-09-21,5.008
2020-09-22,4.914
2020-09-23,4.898
2020-09-24,4.859
2020-09-25,4.841
2020-09-26,4.841
2020-09-27,4.841
2020-09-28,4.914
2020-09-29,4.798
2020-09-30,4.939
2020-10-01,5.071
2020-10-02,5.085
2020-10-03,5.085
2020-10-04,5.085
2020-10-05,5.168
2020-10-06,5.075
2020-10-07,5.278
2020-10-08,5.377
2020-10-09,5.368
2020-10-10,5.368
2020-10-11,5.368
2020-10-12,5.377
2020-10-13,5.32
2020-10-14,5.287
2020-10-15,5.44
2020-10-16,5.584
2020-10-17,5.584
2020-10-18,5.584
2020-10-19,5.567
2020-10-20,5.943
2020-10-21,5.971
2020-10-22,6.668
2020-10-23,6.564
2020-10-24,6.564
2020-10-25,6.564
2020-10-26,6.384
2020-10-27,6.218
2020-10-28,6.076
2020-10-29,6.218
2020-10-30,6.154
2020-10-31,6.154
2020-11-01,6.154
2020-11-02,6.158
2020-11-03,6.3
2020-11-04,6.281
2020-11-05,6.619
2020-11-06,5.714
2020-11-07,5.714
2020-11-08,5.714
2020-11-09,5.941
2020-11-10,6.264
2020-11-11,6.185
2020-11-12,5.996
2020-11-13,6.281
2020-11-14,6.281
2020-11-15,6.281
2020-11-16,6.424
2020-11-17,6.402
2020-11-18,6.514
2020-11-19,6.53
2020-11-20,6.563
2020-11-21,6.563
2020-11-22,6.563
2020-11-23,6.827
2020-11-24,7.085
2020-11-25,6.932
2020-11-26,6.932
2020-11-27,6.871
2020-11-28,6.871
2020-11-29,6.871
2020-11-30,6.685
2020-12-01,6.813
2020-12-02,6.798
2020-12-03,6.723
2020-12-04,6.771
2020-12-05,6.771
2020-12-06,6.771
2020-12-07,6.752
2020-12-08,6.674
2020-12-09,6.77
