,OEC US Equity
,BEST_PE_RATIO
2020-01-01,8.183
2020-01-02,8.136
2020-01-03,8.026
2020-01-04,8.026
2020-01-05,8.026
2020-01-06,7.886
2020-01-07,8.013
2020-01-08,8.017
2020-01-09,7.971
2020-01-10,8.013
2020-01-11,8.013
2020-01-12,8.013
2020-01-13,8.055
2020-01-14,7.966
2020-01-15,8.183
2020-01-16,8.072
2020-01-17,7.699
2020-01-18,7.699
2020-01-19,7.699
2020-01-20,7.699
2020-01-21,7.53
2020-01-22,7.318
2020-01-23,7.373
2020-01-24,7.208
2020-01-25,7.208
2020-01-26,7.208
2020-01-27,6.979
2020-01-28,7.089
2020-01-29,7.034
2020-01-30,7.021
2020-01-31,6.656
2020-02-01,6.656
2020-02-02,6.656
2020-02-03,6.61
2020-02-04,6.953
2020-02-05,7.034
2020-02-06,6.936
2020-02-07,6.584
2020-02-08,6.584
2020-02-09,6.584
2020-02-10,6.652
2020-02-11,6.826
2020-02-12,6.936
2020-02-13,6.83
2020-02-14,6.843
2020-02-15,6.843
2020-02-16,6.843
2020-02-17,6.843
2020-02-18,6.868
2020-02-19,6.996
2020-02-20,7.229
2020-02-21,7.479
2020-02-22,7.479
2020-02-23,7.479
2020-02-24,6.911
2020-02-25,6.322
2020-02-26,6.119
2020-02-27,5.778
2020-02-28,5.774
2020-02-29,5.774
2020-03-01,5.774
2020-03-02,5.847
2020-03-03,5.627
2020-03-04,5.668
2020-03-05,5.668
2020-03-06,6.011
2020-03-07,6.011
2020-03-08,6.011
2020-03-09,4.916
2020-03-10,5.848
2020-03-11,5.582
2020-03-12,5.103
2020-03-13,5.739
2020-03-14,5.739
2020-03-15,5.739
2020-03-16,4.52
2020-03-17,4.228
2020-03-18,3.572
2020-03-19,3.978
2020-03-20,3.9
2020-03-21,3.9
2020-03-22,3.9
2020-03-23,3.505
2020-03-24,3.791
2020-03-25,3.885
2020-03-26,4.664
2020-03-27,4.212
2020-03-28,4.212
2020-03-29,4.212
2020-03-30,4.28
2020-03-31,4.218
2020-04-01,3.613
2020-04-02,3.748
2020-04-03,3.59
2020-04-04,3.59
2020-04-05,3.59
2020-04-06,3.816
2020-04-07,3.958
2020-04-08,4.348
2020-04-09,4.981
2020-04-10,4.981
2020-04-11,4.981
2020-04-12,4.981
2020-04-13,4.981
2020-04-14,4.704
2020-04-15,4.319
2020-04-16,4.093
2020-04-17,4.28
2020-04-18,4.28
2020-04-19,4.28
2020-04-20,4.206
2020-04-21,4.076
2020-04-22,4.065
2020-04-23,4.195
2020-04-24,4.365
2020-04-25,4.365
2020-04-26,4.365
2020-04-27,4.743
2020-04-28,4.975
2020-04-29,5.298
2020-04-30,5.151
2020-05-01,4.743
2020-05-02,4.743
2020-05-03,4.743
2020-05-04,4.63
2020-05-05,4.67
2020-05-06,4.642
2020-05-07,5.015
2020-05-08,4.868
2020-05-09,4.868
2020-05-10,4.868
2020-05-11,4.821
2020-05-12,4.653
2020-05-13,4.245
2020-05-14,4.383
2020-05-15,4.233
2020-05-16,4.233
2020-05-17,4.233
2020-05-18,4.971
2020-05-19,5.103
2020-05-20,5.271
2020-05-21,5.331
2020-05-22,5.487
2020-05-23,5.487
2020-05-24,5.487
2020-05-25,5.487
2020-05-26,5.924
2020-05-27,7.064
2020-05-28,6.794
2020-05-29,6.632
2020-05-30,6.632
2020-05-31,6.632
2020-06-01,6.608
2020-06-02,6.746
2020-06-03,7.124
2020-06-04,7.4
2020-06-05,7.627
2020-06-06,7.627
2020-06-07,7.627
2020-06-08,7.831
2020-06-09,7.418
2020-06-10,6.944
2020-06-11,6.098
2020-06-12,6.38
2020-06-13,6.38
2020-06-14,6.38
2020-06-15,6.488
2020-06-16,6.692
2020-06-17,6.482
2020-06-18,6.548
2020-06-19,6.638
2020-06-20,6.638
2020-06-21,6.638
2020-06-22,6.464
2020-06-23,6.482
2020-06-24,6.05
2020-06-25,6.23
2020-06-26,5.828
2020-06-27,5.828
2020-06-28,5.828
2020-06-29,6.26
2020-06-30,6.35
2020-07-01,6.098
2020-07-02,6.194
2020-07-03,6.194
2020-07-04,6.194
2020-07-05,6.194
2020-07-06,6.278
2020-07-07,6.014
2020-07-08,6.152
2020-07-09,6.068
2020-07-10,6.494
2020-07-11,6.494
2020-07-12,6.494
2020-07-13,6.458
2020-07-14,6.422
2020-07-15,6.758
2020-07-16,6.572
2020-07-17,6.458
2020-07-18,6.458
2020-07-19,6.458
2020-07-20,6.386
2020-07-21,6.476
2020-07-22,6.488
2020-07-23,6.554
2020-07-24,6.338
2020-07-25,6.338
2020-07-26,6.338
2020-07-27,6.422
2020-07-28,6.206
2020-07-29,6.5
2020-07-30,6.236
2020-07-31,6.116
2020-08-01,6.116
2020-08-02,6.116
2020-08-03,6.314
2020-08-04,6.374
2020-08-05,6.908
2020-08-06,6.902
2020-08-07,7.034
2020-08-08,7.034
2020-08-09,7.034
2020-08-10,5.999
2020-08-11,6.158
2020-08-12,6.187
2020-08-13,6.192
2020-08-14,6.25
2020-08-15,6.25
2020-08-16,6.25
2020-08-17,6.014
2020-08-18,5.854
2020-08-19,5.84
2020-08-20,5.864
2020-08-21,5.796
2020-08-22,5.796
2020-08-23,5.796
2020-08-24,6.018
2020-08-25,6.014
2020-08-26,5.922
2020-08-27,5.821
2020-08-28,6.139
2020-08-29,6.139
2020-08-30,6.139
2020-08-31,5.864
2020-09-01,5.874
2020-09-02,6.096
2020-09-03,5.879
2020-09-04,6.25
2020-09-05,6.25
2020-09-06,6.25
2020-09-07,6.25
2020-09-08,6.178
2020-09-09,6.578
2020-09-10,6.882
2020-09-11,6.853
2020-09-12,6.853
2020-09-13,6.853
2020-09-14,7.095
2020-09-15,7.153
2020-09-16,7.186
2020-09-17,7.172
2020-09-18,7.186
2020-09-19,7.186
2020-09-20,7.186
2020-09-21,6.231
2020-09-22,6.158
2020-09-23,6.076
2020-09-24,5.888
2020-09-25,5.801
2020-09-26,5.801
2020-09-27,5.801
2020-09-28,6.052
2020-09-29,6.101
2020-09-30,6.038
2020-10-01,6.168
2020-10-02,6.535
2020-10-03,6.535
2020-10-04,6.535
2020-10-05,6.931
2020-10-06,6.887
2020-10-07,7.191
2020-10-08,7.254
2020-10-09,7.312
2020-10-10,7.312
2020-10-11,7.312
2020-10-12,7.201
2020-10-13,7.1
2020-10-14,7.114
2020-10-15,7.201
2020-10-16,7.235
2020-10-17,7.235
2020-10-18,7.235
2020-10-19,7.138
2020-10-20,7.206
2020-10-21,7.206
2020-10-22,7.22
2020-10-23,7.442
2020-10-24,7.442
2020-10-25,7.442
2020-10-26,7.167
2020-10-27,7.244
2020-10-28,6.878
2020-10-29,7.066
2020-10-30,7.08
2020-10-31,7.08
2020-11-01,7.08
2020-11-02,7.264
2020-11-03,7.495
2020-11-04,7.027
2020-11-05,7.471
2020-11-06,6.593
2020-11-07,6.593
2020-11-08,6.593
2020-11-09,7.686
2020-11-10,7.827
2020-11-11,7.655
2020-11-12,7.223
2020-11-13,7.473
2020-11-14,7.473
2020-11-15,7.473
2020-11-16,7.78
2020-11-17,7.665
2020-11-18,7.499
2020-11-19,7.457
2020-11-20,7.681
2020-11-21,7.681
2020-11-22,7.681
2020-11-23,8.264
2020-11-24,8.665
2020-11-25,8.394
2020-11-26,8.394
2020-11-27,8.306
2020-11-28,8.306
2020-11-29,8.306
2020-11-30,8.103
2020-12-01,8.092
2020-12-02,8.082
2020-12-03,8.249
2020-12-04,8.644
2020-12-05,8.644
2020-12-06,8.644
2020-12-07,8.478
2020-12-08,8.582
2020-12-09,8.384
2020-12-10,8.202
2020-12-11,8.045
2020-12-12,8.045
2020-12-13,8.045
2020-12-14,7.858
2020-12-15,8.238
2020-12-16,8.222
2020-12-17,8.295
2020-12-18,8.41
2020-12-19,8.41
2020-12-20,8.41
2020-12-21,8.082
2020-12-22,8.071
2020-12-23,8.426
2020-12-24,8.603
2020-12-25,8.603
2020-12-26,8.603
2020-12-27,8.603
2020-12-28,8.717
2020-12-29,8.524
2020-12-30,8.842
2020-12-31,8.925
2021-01-01,8.925
2021-01-02,8.925
2021-01-03,8.925
2021-01-04,8.629
2021-01-05,8.863
2021-01-06,9.394
2021-01-07,9.139
2021-01-08,9.717
2021-01-09,9.717
2021-01-10,9.717
2021-01-11,9.467
2021-01-12,9.582
2021-01-13,9.368
2021-01-14,9.134
2021-01-15,8.79
2021-01-16,8.79
2021-01-17,8.79
2021-01-18,8.79
2021-01-19,8.743
2021-01-20,8.78
2021-01-21,8.524
2021-01-22,8.696
2021-01-23,8.696
2021-01-24,8.696
2021-01-25,8.603
2021-01-26,8.488
2021-01-27,8.228
2021-01-28,8.332
2021-01-29,7.931
2021-01-30,7.931
2021-01-31,7.931
2021-02-01,8.42
2021-02-02,8.806
2021-02-03,8.686
2021-02-04,8.816
2021-02-05,8.931
2021-02-06,8.931
2021-02-07,8.931
2021-02-08,9.321
2021-02-09,9.17
2021-02-10,9.04
2021-02-11,8.92
2021-02-12,8.993
2021-02-13,8.993
2021-02-14,8.993
2021-02-15,8.993
2021-02-16,8.941
2021-02-17,8.811
2021-02-18,8.384
2021-02-19,8.639
2021-02-20,8.639
2021-02-21,8.639
2021-02-22,6.627
2021-02-23,6.966
2021-02-24,7.019
2021-02-25,7.067
2021-02-26,7.148
2021-02-27,7.148
2021-02-28,7.148
2021-03-01,7.572
2021-03-02,7.536
2021-03-03,7.637
2021-03-04,7.427
2021-03-05,7.907
2021-03-06,7.907
2021-03-07,7.907
2021-03-08,8.113
2021-03-09,7.907
2021-03-10,8.097
2021-03-11,8.198
2021-03-12,8.44
2021-03-13,8.44
2021-03-14,8.44
2021-03-15,8.073
2021-03-16,8.036
2021-03-17,8.315
2021-03-18,8.085
2021-03-19,8.141
2021-03-20,8.141
2021-03-21,8.141
2021-03-22,7.83
2021-03-23,7.483
2021-03-24,7.649
2021-03-25,7.891
2021-03-26,8.061
2021-03-27,8.061
2021-03-28,8.061
2021-03-29,7.826
2021-03-30,7.895
2021-03-31,7.964
2021-04-01,7.876
2021-04-02,7.876
2021-04-03,7.876
2021-04-04,7.876
2021-04-05,7.955
2021-04-06,7.856
2021-04-07,7.432
2021-04-08,7.365
2021-04-09,7.5
2021-04-10,7.5
2021-04-11,7.5
2021-04-12,7.492
2021-04-13,7.365
2021-04-14,7.504
2021-04-15,7.516
2021-04-16,7.571
2021-04-17,7.571
2021-04-18,7.571
2021-04-19,7.5
2021-04-20,7.306
2021-04-21,7.492
2021-04-22,7.33
2021-04-23,7.591
2021-04-24,7.591
2021-04-25,7.591
2021-04-26,7.638
2021-04-27,7.67
2021-04-28,7.828
2021-04-29,8.018
2021-04-30,7.86
2021-05-01,7.86
2021-05-02,7.86
2021-05-03,8.184
2021-05-04,8.351
2021-05-05,8.77
2021-05-06,8.786
2021-05-07,8.671
2021-05-08,8.671
2021-05-09,8.671
2021-05-10,8.279
2021-05-11,8.236
2021-05-12,7.959
2021-05-13,8.101
2021-05-14,8.188
2021-05-15,8.188
2021-05-16,8.188
2021-05-17,8.232
2021-05-18,8.006
2021-05-19,7.983
2021-05-20,7.915
2021-05-21,8.018
2021-05-22,8.018
2021-05-23,8.018
2021-05-24,8.058
2021-05-25,7.86
2021-05-26,7.951
2021-05-27,8.113
2021-05-28,8.01
2021-05-29,8.01
2021-05-30,8.01
2021-05-31,8.01
2021-06-01,8.355
2021-06-02,8.014
2021-06-03,8.101
2021-06-04,8.121
2021-06-05,8.121
2021-06-06,8.121
2021-06-07,7.923
2021-06-08,7.915
2021-06-09,7.808
2021-06-10,7.713
2021-06-11,7.709
2021-06-12,7.709
2021-06-13,7.709
2021-06-14,7.63
2021-06-15,7.666
2021-06-16,7.551
2021-06-17,7.337
2021-06-18,7.527
2021-06-19,7.527
2021-06-20,7.527
2021-06-21,7.686
2021-06-22,7.816
2021-06-23,7.773
2021-06-24,7.401
2021-06-25,7.468
2021-06-26,7.468
2021-06-27,7.468
2021-06-28,7.472
2021-06-29,7.472
2021-06-30,7.516
2021-07-01,7.642
2021-07-02,7.579
2021-07-03,7.579
2021-07-04,7.579
2021-07-05,7.579
2021-07-06,7.31
2021-07-07,7.468
2021-07-08,7.231
2021-07-09,7.484
2021-07-10,7.484
2021-07-11,7.484
2021-07-12,7.539
2021-07-13,7.373
2021-07-14,7.278
2021-07-15,7.238
2021-07-16,7.017
2021-07-17,7.017
2021-07-18,7.017
2021-07-19,6.688
2021-07-20,6.886
2021-07-21,6.946
2021-07-22,6.775
2021-07-23,6.866
2021-07-24,6.866
2021-07-25,6.866
2021-07-26,6.965
2021-07-27,6.985
2021-07-28,7.013
2021-07-29,7.159
2021-07-30,7.155
2021-07-31,7.155
2021-08-01,7.155
2021-08-02,7.001
2021-08-03,7.112
2021-08-04,6.874
2021-08-05,6.815
2021-08-06,6.973
2021-08-07,6.973
2021-08-08,6.973
2021-08-09,6.58
2021-08-10,6.392
2021-08-11,6.623
2021-08-12,6.48
2021-08-13,6.414
2021-08-14,6.414
2021-08-15,6.414
2021-08-16,6.307
2021-08-17,6.219
2021-08-18,6.296
2021-08-19,6.072
2021-08-20,6.226
2021-08-21,6.226
2021-08-22,6.226
2021-08-23,6.381
2021-08-24,6.491
2021-08-25,6.48
2021-08-26,6.392
2021-08-27,6.66
2021-08-28,6.66
2021-08-29,6.66
2021-08-30,6.627
2021-08-31,6.487
2021-09-01,6.505
2021-09-02,6.597
2021-09-03,6.623
2021-09-04,6.623
2021-09-05,6.623
2021-09-06,6.623
2021-09-07,6.803
2021-09-08,6.652
2021-09-09,6.667
2021-09-10,6.605
2021-09-11,6.605
2021-09-12,6.605
2021-09-13,6.656
2021-09-14,6.623
2021-09-15,6.818
2021-09-16,6.66
2021-09-17,6.601
2021-09-18,6.601
2021-09-19,6.601
2021-09-20,6.454
2021-09-21,6.377
2021-09-22,6.494
2021-09-23,6.707
2021-09-24,6.682
2021-09-25,6.682
2021-09-26,6.682
2021-09-27,6.84
2021-09-28,6.748
2021-09-29,6.781
2021-09-30,6.693
2021-10-01,6.924
2021-10-02,6.924
2021-10-03,6.924
2021-10-04,6.825
2021-10-05,6.957
2021-10-06,6.77
2021-10-07,6.88
2021-10-08,6.854
2021-10-09,6.854
2021-10-10,6.854
2021-10-11,6.799
2021-10-12,6.869
2021-10-13,6.795
2021-10-14,6.924
2021-10-15,6.928
2021-10-16,6.928
2021-10-17,6.928
2021-10-18,6.964
2021-10-19,6.88
2021-10-20,6.979
2021-10-21,7.005
2021-10-22,7.045
2021-10-23,7.045
2021-10-24,7.045
2021-10-25,7.063
2021-10-26,7.056
2021-10-27,6.807
2021-10-28,6.876
2021-10-29,6.902
2021-10-30,6.902
2021-10-31,6.902
2021-11-01,7.038
2021-11-02,7.174
2021-11-03,7.376
2021-11-04,7.343
2021-11-05,7.299
2021-11-06,7.299
2021-11-07,7.299
2021-11-08,7.245
2021-11-09,7.212
2021-11-10,6.759
2021-11-11,6.958
2021-11-12,6.917
2021-11-13,6.917
2021-11-14,6.917
2021-11-15,6.78
2021-11-16,6.674
2021-11-17,6.581
2021-11-18,6.437
2021-11-19,6.279
2021-11-20,6.279
2021-11-21,6.279
2021-11-22,6.324
2021-11-23,6.389
2021-11-24,6.351
2021-11-25,6.351
2021-11-26,6.159
2021-11-27,6.159
2021-11-28,6.159
2021-11-29,6.06
2021-11-30,6.019
2021-12-01,5.858
2021-12-02,6.142
2021-12-03,6.146
2021-12-04,6.146
2021-12-05,6.146
2021-12-06,6.259
2021-12-07,6.338
2021-12-08,6.345
2021-12-09,6.238
2021-12-10,6.221
2021-12-11,6.221
2021-12-12,6.221
2021-12-13,6.108
2021-12-14,6.053
2021-12-15,6.026
2021-12-16,6.029
2021-12-17,5.998
2021-12-18,5.998
2021-12-19,5.998
2021-12-20,5.827
2021-12-21,5.964
2021-12-22,6.002
2021-12-23,6.122
2021-12-24,6.122
2021-12-25,6.122
2021-12-26,6.122
2021-12-27,6.204
2021-12-28,6.245
2021-12-29,6.273
2021-12-30,6.211
2021-12-31,6.297
2022-01-01,6.297
2022-01-02,6.297
2022-01-03,6.3
2022-01-04,6.4
2022-01-05,6.314
2022-01-06,6.393
2022-01-07,6.359
2022-01-08,6.359
2022-01-09,6.359
2022-01-10,6.256
2022-01-11,6.431
2022-01-12,6.441
2022-01-13,6.503
2022-01-14,6.592
2022-01-15,6.592
2022-01-16,6.592
2022-01-17,6.592
2022-01-18,6.379
2022-01-19,6.228
2022-01-20,6.005
2022-01-21,5.936
2022-01-22,5.936
2022-01-23,5.936
2022-01-24,5.929
2022-01-25,5.919
2022-01-26,5.775
2022-01-27,5.778
2022-01-28,5.758
2022-01-29,5.758
2022-01-30,5.758
2022-01-31,5.871
2022-02-01,6.242
2022-02-02,6.348
2022-02-03,6.307
2022-02-04,6.317
2022-02-05,6.317
2022-02-06,6.317
2022-02-07,6.362
2022-02-08,6.626
2022-02-09,6.764
2022-02-10,6.764
2022-02-11,6.743
2022-02-12,6.743
2022-02-13,6.743
2022-02-14,6.664
2022-02-15,6.867
2022-02-16,6.843
2022-02-17,6.891
2022-02-18,6.573
2022-02-19,6.573
2022-02-20,6.573
2022-02-21,6.573
2022-02-22,6.082
2022-02-23,5.791
2022-02-24,5.708
2022-02-25,6.071
2022-02-26,6.071
2022-02-27,6.071
2022-02-28,5.882
2022-03-01,5.337
2022-03-02,5.481
2022-03-03,5.806
2022-03-04,5.901
2022-03-05,5.901
2022-03-06,5.901
2022-03-07,5.598
2022-03-08,5.677
2022-03-09,6.037
2022-03-10,6.185
2022-03-11,6.098
2022-03-12,6.098
2022-03-13,6.098
2022-03-14,6.132
2022-03-15,6.041
2022-03-16,6.151
2022-03-17,6.143
2022-03-18,6.132
2022-03-19,6.132
2022-03-20,6.132
2022-03-21,6.113
2022-03-22,6.033
2022-03-23,5.969
2022-03-24,5.942
2022-03-25,5.946
2022-03-26,5.946
2022-03-27,5.946
2022-03-28,6.037
2022-03-29,6.151
2022-03-30,6.132
2022-03-31,6.053
2022-04-01,6.003
2022-04-02,6.003
2022-04-03,6.003
2022-04-04,6.041
2022-04-05,5.882
2022-04-06,5.586
2022-04-07,5.556
2022-04-08,5.526
2022-04-09,5.526
2022-04-10,5.526
2022-04-11,5.548
2022-04-12,5.594
2022-04-13,5.818
2022-04-14,5.795
2022-04-15,5.795
