,WHR US Equity
,BEST_PE_RATIO
2020-06-25,4.3
2020-06-26,4.248
2020-06-27,4.248
2020-06-28,4.248
2020-06-29,4.399
2020-06-30,4.481
2020-07-01,4.395
2020-07-02,4.469
2020-07-03,4.469
2020-07-04,4.469
2020-07-05,4.469
2020-07-06,4.617
2020-07-07,4.624
2020-07-08,4.705
2020-07-09,4.607
2020-07-10,4.692
2020-07-11,4.692
2020-07-12,4.692
2020-07-13,4.721
2020-07-14,4.808
2020-07-15,4.952
2020-07-16,4.871
2020-07-17,4.812
2020-07-18,4.812
2020-07-19,4.812
2020-07-20,4.829
2020-07-21,4.852
2020-07-22,4.958
2020-07-23,5.293
2020-07-24,5.27
2020-07-25,5.27
2020-07-26,5.27
2020-07-27,5.53
2020-07-28,5.427
2020-07-29,5.424
2020-07-30,5.439
2020-07-31,5.443
2020-08-01,5.443
2020-08-02,5.443
2020-08-03,5.492
2020-08-04,5.589
2020-08-05,5.797
2020-08-06,5.735
2020-08-07,5.779
2020-08-08,5.779
2020-08-09,5.779
2020-08-10,5.905
2020-08-11,5.884
2020-08-12,5.959
2020-08-13,5.955
2020-08-14,6.037
2020-08-15,6.037
2020-08-16,6.037
2020-08-17,6.071
2020-08-18,6.073
2020-08-19,6.152
2020-08-20,6.103
2020-08-21,6.032
2020-08-22,6.032
2020-08-23,6.032
2020-08-24,6.052
2020-08-25,6.024
2020-08-26,6.004
2020-08-27,5.973
2020-08-28,6.009
2020-08-29,6.009
2020-08-30,6.009
2020-08-31,5.97
2020-09-01,5.988
2020-09-02,6.028
2020-09-03,5.763
2020-09-04,5.643
2020-09-05,5.643
2020-09-06,5.643
2020-09-07,5.643
2020-09-08,5.654
2020-09-09,5.772
2020-09-10,5.692
2020-09-11,5.804
2020-09-12,5.804
2020-09-13,5.804
2020-09-14,5.972
2020-09-15,5.992
2020-09-16,6.032
2020-09-17,5.937
2020-09-18,5.854
2020-09-19,5.854
2020-09-20,5.854
2020-09-21,5.971
2020-09-22,6.036
2020-09-23,5.903
2020-09-24,5.894
2020-09-25,5.983
2020-09-26,5.983
2020-09-27,5.983
2020-09-28,6.214
2020-09-29,6.072
2020-09-30,6.177
2020-10-01,6.153
2020-10-02,6.188
2020-10-03,6.188
2020-10-04,6.188
2020-10-05,6.483
2020-10-06,6.403
2020-10-07,6.589
2020-10-08,6.725
2020-10-09,6.765
2020-10-10,6.765
2020-10-11,6.765
2020-10-12,6.749
2020-10-13,6.764
2020-10-14,6.833
2020-10-15,6.709
2020-10-16,6.694
2020-10-17,6.694
2020-10-18,6.694
2020-10-19,6.605
2020-10-20,6.64
2020-10-21,6.537
2020-10-22,6.327
2020-10-23,6.468
2020-10-24,6.468
2020-10-25,6.468
2020-10-26,6.336
2020-10-27,6.393
2020-10-28,6.152
2020-10-29,6.085
2020-10-30,6.038
2020-10-31,6.038
2020-11-01,6.038
2020-11-02,6.292
2020-11-03,6.457
2020-11-04,6.347
2020-11-05,6.489
2020-11-06,6.583
2020-11-07,6.583
2020-11-08,6.583
2020-11-09,5.899
2020-11-10,5.976
2020-11-11,6.044
2020-11-12,6.005
2020-11-13,6.162
2020-11-14,6.162
2020-11-15,6.162
2020-11-16,6.157
2020-11-17,6.238
2020-11-18,6.339
2020-11-19,6.327
2020-11-20,6.339
2020-11-21,6.339
2020-11-22,6.339
2020-11-23,6.528
2020-11-24,6.579
2020-11-25,6.576
2020-11-26,6.576
2020-11-27,6.603
2020-11-28,6.603
2020-11-29,6.603
2020-11-30,6.395
2020-12-01,6.368
2020-12-02,6.039
2020-12-03,6.141
2020-12-04,6.048
2020-12-05,6.048
2020-12-06,6.048
2020-12-07,6.205
2020-12-08,6.084
2020-12-09,6.08
2020-12-10,5.994
2020-12-11,6.044
2020-12-12,6.044
2020-12-13,6.044
2020-12-14,6.047
2020-12-15,6.198
2020-12-16,6.148
2020-12-17,6.268
2020-12-18,6.19
2020-12-19,6.19
2020-12-20,6.19
2020-12-21,6.132
2020-12-22,6.171
2020-12-23,6.228
2020-12-24,6.348
2020-12-25,6.348
2020-12-26,6.348
2020-12-27,6.348
2020-12-28,6.085
2020-12-29,6.02
2020-12-30,6.059
2020-12-31,5.931
2021-01-01,5.931
2021-01-02,5.931
2021-01-03,5.931
2021-01-04,5.813
2021-01-05,5.873
2021-01-06,5.869
2021-01-07,5.996
2021-01-08,5.899
2021-01-09,5.899
2021-01-10,5.899
2021-01-11,5.921
2021-01-12,6.055
2021-01-13,6.308
2021-01-14,6.337
2021-01-15,6.392
2021-01-16,6.392
2021-01-17,6.392
2021-01-18,6.392
2021-01-19,6.54
2021-01-20,6.442
2021-01-21,6.42
2021-01-22,6.524
2021-01-23,6.524
2021-01-24,6.524
2021-01-25,6.682
2021-01-26,6.794
2021-01-27,6.991
2021-01-28,6.385
2021-01-29,6.073
2021-01-30,6.073
2021-01-31,6.073
2021-02-01,6.121
2021-02-02,6.237
2021-02-03,6.27
2021-02-04,6.165
2021-02-05,6.351
2021-02-06,6.351
2021-02-07,6.351
2021-02-08,6.576
2021-02-09,6.539
2021-02-10,6.484
2021-02-11,6.45
