,SYF US Equity
,BEST_PE_RATIO
2020-01-01,5.619
2020-01-02,5.651
2020-01-03,5.569
2020-01-04,5.569
2020-01-05,5.569
2020-01-06,5.568
2020-01-07,5.49
2020-01-08,5.532
2020-01-09,5.529
2020-01-10,5.535
2020-01-11,5.535
2020-01-12,5.535
2020-01-13,5.526
2020-01-14,5.524
2020-01-15,5.493
2020-01-16,5.537
2020-01-17,5.58
2020-01-18,5.58
2020-01-19,5.58
2020-01-20,5.58
2020-01-21,5.574
2020-01-22,5.683
2020-01-23,5.649
2020-01-24,5.092
2020-01-25,5.092
2020-01-26,5.092
2020-01-27,5.025
2020-01-28,5.083
2020-01-29,5.093
2020-01-30,5.168
2020-01-31,5.058
2020-02-01,5.058
2020-02-02,5.058
2020-02-03,5.059
2020-02-04,5.095
2020-02-05,5.217
2020-02-06,5.214
2020-02-07,5.214
2020-02-08,5.214
2020-02-09,5.214
2020-02-10,5.226
2020-02-11,5.236
2020-02-12,5.275
2020-02-13,5.313
2020-02-14,5.302
2020-02-15,5.302
2020-02-16,5.302
2020-02-17,5.302
2020-02-18,5.226
2020-02-19,5.242
2020-02-20,5.284
2020-02-21,5.236
2020-02-22,5.236
2020-02-23,5.236
2020-02-24,5.066
2020-02-25,4.832
2020-02-26,4.805
2020-02-27,4.662
2020-02-28,4.571
2020-02-29,4.571
2020-03-01,4.571
2020-03-02,4.774
2020-03-03,4.535
2020-03-04,4.734
2020-03-05,4.596
2020-03-06,4.438
2020-03-07,4.438
2020-03-08,4.438
2020-03-09,3.93
2020-03-10,4.127
2020-03-11,3.847
2020-03-12,3.404
2020-03-13,3.79
2020-03-14,3.79
2020-03-15,3.79
2020-03-16,2.804
2020-03-17,2.743
2020-03-18,2.188
2020-03-19,2.293
2020-03-20,2.106
2020-03-21,2.106
2020-03-22,2.106
2020-03-23,2.011
2020-03-24,2.315
2020-03-25,2.617
2020-03-26,2.989
2020-03-27,2.686
2020-03-28,2.686
2020-03-29,2.686
2020-03-30,2.634
2020-03-31,2.527
2020-04-01,2.279
2020-04-02,2.248
2020-04-03,2.081
2020-04-04,2.081
2020-04-05,2.081
2020-04-06,2.433
2020-04-07,2.532
2020-04-08,2.642
2020-04-09,2.768
2020-04-10,2.768
2020-04-11,2.768
2020-04-12,2.768
2020-04-13,2.548
2020-04-14,2.498
2020-04-15,2.348
2020-04-16,2.226
2020-04-17,2.454
2020-04-18,2.454
2020-04-19,2.454
2020-04-20,2.449
2020-04-21,2.383
2020-04-22,2.521
2020-04-23,2.529
2020-04-24,2.666
2020-04-25,2.666
2020-04-26,2.666
2020-04-27,2.768
2020-04-28,2.944
2020-04-29,3.307
2020-04-30,3.109
2020-05-01,2.94
2020-05-02,2.94
2020-05-03,2.94
2020-05-04,2.928
2020-05-05,2.859
2020-05-06,2.748
2020-05-07,2.858
2020-05-08,2.958
2020-05-09,2.958
2020-05-10,2.958
2020-05-11,2.816
2020-05-12,2.697
2020-05-13,2.521
2020-05-14,2.712
2020-05-15,2.627
2020-05-16,2.627
2020-05-17,2.627
2020-05-18,2.853
2020-05-19,2.801
2020-05-20,2.877
2020-05-21,2.88
2020-05-22,2.835
2020-05-23,2.835
2020-05-24,2.835
2020-05-25,2.835
2020-05-26,3.094
2020-05-27,3.391
2020-05-28,3.374
2020-05-29,3.236
2020-05-30,3.236
2020-05-31,3.236
2020-06-01,3.352
2020-06-02,3.506
2020-06-03,3.763
2020-06-04,3.865
2020-06-05,4.054
2020-06-06,4.054
2020-06-07,4.054
2020-06-08,4.268
2020-06-09,4.108
2020-06-10,3.871
2020-06-11,3.518
