,APO US Equity
,BEST_PE_RATIO
2020-01-01,5.051
2020-01-02,5.046
2020-01-03,5.008
2020-01-04,5.008
2020-01-05,5.008
2020-01-06,5.037
2020-01-07,5.042
2020-01-08,5.15
2020-01-09,5.273
2020-01-10,5.279
2020-01-11,5.279
2020-01-12,5.279
2020-01-13,5.305
2020-01-14,5.184
2020-01-15,5.167
2020-01-16,5.196
2020-01-17,5.331
2020-01-18,5.331
2020-01-19,5.331
2020-01-20,5.331
2020-01-21,5.374
2020-01-22,5.506
2020-01-23,5.52
2020-01-24,5.4
2020-01-25,5.4
2020-01-26,5.4
2020-01-27,5.277
2020-01-28,5.373
2020-01-29,5.416
2020-01-30,4.936
2020-01-31,5.01
2020-02-01,5.01
2020-02-02,5.01
2020-02-03,4.863
2020-02-04,4.982
2020-02-05,5.077
2020-02-06,4.981
2020-02-07,5.014
2020-02-08,5.014
2020-02-09,5.014
2020-02-10,5.03
2020-02-11,5.054
2020-02-12,5.0
2020-02-13,4.94
2020-02-14,4.932
2020-02-15,4.932
2020-02-16,4.932
2020-02-17,4.932
2020-02-18,4.927
2020-02-19,5.025
2020-02-20,5.012
2020-02-21,4.93
2020-02-22,4.93
2020-02-23,4.93
2020-02-24,4.847
2020-02-25,4.658
2020-02-26,4.661
2020-02-27,4.565
2020-02-28,4.495
2020-02-29,4.495
2020-03-01,4.495
2020-03-02,4.681
2020-03-03,4.619
2020-03-04,4.633
2020-03-05,4.611
2020-03-06,4.37
2020-03-07,4.37
2020-03-08,4.37
2020-03-09,3.675
2020-03-10,3.824
2020-03-11,3.66
2020-03-12,3.248
2020-03-13,3.879
2020-03-14,3.879
2020-03-15,3.879
2020-03-16,3.361
2020-03-17,3.366
2020-03-18,3.237
2020-03-19,3.225
2020-03-20,2.896
2020-03-21,2.896
2020-03-22,2.896
2020-03-23,2.568
2020-03-24,2.965
2020-03-25,3.743
2020-03-26,4.068
2020-03-27,3.826
2020-03-28,3.826
2020-03-29,3.826
2020-03-30,3.825
2020-03-31,3.614
2020-04-01,3.232
2020-04-02,3.341
2020-04-03,3.444
2020-04-04,3.444
2020-04-05,3.444
2020-04-06,3.875
2020-04-07,3.785
2020-04-08,4.021
2020-04-09,4.225
2020-04-10,4.225
2020-04-11,4.225
2020-04-12,4.225
2020-04-13,3.898
2020-04-14,3.923
2020-04-15,3.67
2020-04-16,3.92
2020-04-17,4.194
2020-04-18,4.194
2020-04-19,4.194
2020-04-20,4.021
2020-04-21,3.83
2020-04-22,3.897
2020-04-23,4.105
2020-04-24,4.201
2020-04-25,4.201
2020-04-26,4.201
2020-04-27,4.465
2020-04-28,4.383
2020-04-29,4.637
2020-04-30,4.369
2020-05-01,4.268
2020-05-02,4.268
2020-05-03,4.268
2020-05-04,4.31
2020-05-05,4.413
2020-05-06,4.497
2020-05-07,4.639
2020-05-08,4.74
2020-05-09,4.74
2020-05-10,4.74
2020-05-11,4.864
2020-05-12,4.765
2020-05-13,4.495
2020-05-14,4.507
2020-05-15,4.435
2020-05-16,4.435
2020-05-17,4.435
2020-05-18,4.742
2020-05-19,4.714
2020-05-20,4.903
2020-05-21,4.9
2020-05-22,4.927
2020-05-23,4.927
2020-05-24,4.927
2020-05-25,4.927
2020-05-26,5.189
2020-05-27,5.197
2020-05-28,5.144
2020-05-29,5.188
2020-05-30,5.188
2020-05-31,5.188
2020-06-01,5.259
2020-06-02,5.431
2020-06-03,5.624
2020-06-04,5.593
2020-06-05,5.793
2020-06-06,5.793
2020-06-07,5.793
2020-06-08,5.757
2020-06-09,5.675
2020-06-10,5.539
2020-06-11,5.13
2020-06-12,5.364
2020-06-13,5.364
2020-06-14,5.364
2020-06-15,5.59
2020-06-16,5.773
2020-06-17,5.779
2020-06-18,5.921
2020-06-19,5.785
2020-06-20,5.785
2020-06-21,5.785
2020-06-22,5.631
2020-06-23,5.592
2020-06-24,5.396
2020-06-25,5.399
2020-06-26,5.04
2020-06-27,5.04
2020-06-28,5.04
2020-06-29,5.218
2020-06-30,5.441
2020-07-01,5.467
2020-07-02,5.44
2020-07-03,5.44
2020-07-04,5.44
2020-07-05,5.44
2020-07-06,5.465
2020-07-07,5.343
2020-07-08,5.488
2020-07-09,5.438
2020-07-10,5.459
2020-07-11,5.459
2020-07-12,5.459
2020-07-13,5.362
2020-07-14,5.527
2020-07-15,5.651
2020-07-16,5.582
2020-07-17,5.648
2020-07-18,5.648
2020-07-19,5.648
2020-07-20,5.626
2020-07-21,5.825
2020-07-22,5.797
2020-07-23,5.733
2020-07-24,5.67
2020-07-25,5.67
2020-07-26,5.67
2020-07-27,5.682
2020-07-28,5.682
2020-07-29,5.889
2020-07-30,5.508
2020-07-31,5.351
2020-08-01,5.351
2020-08-02,5.351
2020-08-03,5.412
2020-08-04,5.347
2020-08-05,5.383
2020-08-06,5.295
2020-08-07,5.316
2020-08-08,5.316
2020-08-09,5.316
2020-08-10,5.315
2020-08-11,5.206
2020-08-12,5.242
2020-08-13,5.285
2020-08-14,5.217
2020-08-15,5.217
2020-08-16,5.217
2020-08-17,5.345
2020-08-18,5.275
2020-08-19,5.251
2020-08-20,5.137
2020-08-21,5.179
2020-08-22,5.179
2020-08-23,5.179
2020-08-24,5.017
2020-08-25,5.031
2020-08-26,5.164
2020-08-27,5.208
2020-08-28,5.13
2020-08-29,5.13
2020-08-30,5.13
2020-08-31,5.161
2020-09-01,5.304
2020-09-02,5.337
2020-09-03,5.11
2020-09-04,5.132
2020-09-05,5.132
2020-09-06,5.132
2020-09-07,5.132
2020-09-08,4.916
2020-09-09,4.992
2020-09-10,4.956
2020-09-11,4.925
2020-09-12,4.925
2020-09-13,4.925
2020-09-14,5.001
2020-09-15,4.994
2020-09-16,5.014
2020-09-17,4.897
2020-09-18,4.919
2020-09-19,4.919
2020-09-20,4.919
2020-09-21,4.812
2020-09-22,4.881
2020-09-23,4.837
2020-09-24,4.718
2020-09-25,4.924
2020-09-26,4.924
2020-09-27,4.924
2020-09-28,5.098
2020-09-29,4.994
2020-09-30,4.928
2020-10-01,5.179
2020-10-02,5.213
2020-10-03,5.213
2020-10-04,5.213
2020-10-05,5.295
2020-10-06,5.123
2020-10-07,5.065
2020-10-08,5.17
2020-10-09,5.126
2020-10-10,5.126
2020-10-11,5.126
2020-10-12,4.834
2020-10-13,4.749
2020-10-14,4.733
2020-10-15,4.739
2020-10-16,4.455
2020-10-17,4.455
2020-10-18,4.455
2020-10-19,4.292
2020-10-20,4.428
2020-10-21,4.543
2020-10-22,4.475
2020-10-23,4.531
2020-10-24,4.531
2020-10-25,4.531
2020-10-26,4.422
2020-10-27,4.426
2020-10-28,4.282
2020-10-29,4.169
2020-10-30,4.059
2020-10-31,4.059
2020-11-01,4.059
2020-11-02,4.231
2020-11-03,4.33
2020-11-04,4.485
2020-11-05,4.592
2020-11-06,4.587
2020-11-07,4.587
2020-11-08,4.587
2020-11-09,4.845
2020-11-10,4.841
2020-11-11,4.721
2020-11-12,4.715
2020-11-13,4.871
2020-11-14,4.871
2020-11-15,4.871
2020-11-16,4.994
2020-11-17,5.04
2020-11-18,4.996
2020-11-19,4.978
2020-11-20,4.809
2020-11-21,4.809
2020-11-22,4.809
2020-11-23,4.945
2020-11-24,5.076
2020-11-25,4.885
2020-11-26,4.885
2020-11-27,4.886
2020-11-28,4.886
2020-11-29,4.886
2020-11-30,4.858
2020-12-01,5.046
2020-12-02,5.123
2020-12-03,5.193
2020-12-04,5.401
2020-12-05,5.401
2020-12-06,5.401
2020-12-07,5.378
2020-12-08,5.381
2020-12-09,5.229
2020-12-10,5.293
2020-12-11,5.334
2020-12-12,5.334
2020-12-13,5.334
2020-12-14,5.327
2020-12-15,5.381
2020-12-16,5.494
2020-12-17,5.461
