,GWW US Equity
,BEST_PE_RATIO
2020-09-10,14.166
2020-09-11,14.322
2020-09-12,14.322
2020-09-13,14.322
2020-09-14,14.288
2020-09-15,14.301
2020-09-16,14.384
2020-09-17,14.332
2020-09-18,14.157
2020-09-19,14.157
2020-09-20,14.157
2020-09-21,13.773
2020-09-22,13.858
2020-09-23,13.706
2020-09-24,13.843
2020-09-25,14.042
2020-09-26,14.042
2020-09-27,14.042
2020-09-28,14.296
2020-09-29,14.231
2020-09-30,14.421
2020-10-01,14.472
2020-10-02,14.527
2020-10-03,14.527
2020-10-04,14.527
2020-10-05,15.002
2020-10-06,14.863
2020-10-07,15.214
2020-10-08,15.602
2020-10-09,15.579
2020-10-10,15.579
2020-10-11,15.579
2020-10-12,15.71
2020-10-13,15.528
2020-10-14,15.612
2020-10-15,15.588
2020-10-16,15.503
2020-10-17,15.503
2020-10-18,15.503
2020-10-19,15.147
2020-10-20,15.192
2020-10-21,15.095
2020-10-22,14.532
2020-10-23,14.409
2020-10-24,14.409
2020-10-25,14.409
2020-10-26,14.416
2020-10-27,14.27
2020-10-28,14.067
2020-10-29,13.97
2020-10-30,13.966
2020-10-31,13.966
2020-11-01,13.966
2020-11-02,14.493
2020-11-03,14.812
2020-11-04,14.951
2020-11-05,15.116
2020-11-06,15.65
2020-11-07,15.65
2020-11-08,15.65
2020-11-09,15.553
2020-11-10,16.205
2020-11-11,16.161
2020-11-12,15.952
2020-11-13,16.158
2020-11-14,16.158
2020-11-15,16.158
2020-11-16,16.607
2020-11-17,16.444
2020-11-18,16.627
2020-11-19,16.941
2020-11-20,16.398
2020-11-21,16.398
2020-11-22,16.398
2020-11-23,16.62
2020-11-24,16.849
2020-11-25,16.609
2020-11-26,16.609
2020-11-27,16.609
2020-11-28,16.609
2020-11-29,16.609
2020-11-30,16.758
2020-12-01,16.552
2020-12-02,16.318
2020-12-03,16.133
2020-12-04,16.216
2020-12-05,16.216
2020-12-06,16.216
2020-12-07,16.226
2020-12-08,16.292
2020-12-09,16.475
2020-12-10,16.118
2020-12-11,16.167
2020-12-12,16.167
2020-12-13,16.167
2020-12-14,16.044
2020-12-15,16.25
2020-12-16,16.281
2020-12-17,16.427
2020-12-18,16.444
2020-12-19,16.444
2020-12-20,16.444
2020-12-21,16.497
2020-12-22,16.439
2020-12-23,16.452
2020-12-24,16.649
2020-12-25,16.649
2020-12-26,16.649
2020-12-27,16.649
2020-12-28,16.598
2020-12-29,16.317
2020-12-30,16.299
2020-12-31,16.359
2021-01-01,16.359
2021-01-02,16.359
2021-01-03,16.359
2021-01-04,15.774
2021-01-05,15.819
2021-01-06,15.912
2021-01-07,16.026
2021-01-08,15.892
2021-01-09,15.892
2021-01-10,15.892
2021-01-11,15.693
2021-01-12,16.092
2021-01-13,15.564
2021-01-14,15.36
2021-01-15,15.571
2021-01-16,15.571
2021-01-17,15.571
2021-01-18,15.571
2021-01-19,15.804
2021-01-20,15.743
2021-01-21,15.671
2021-01-22,15.764
2021-01-23,15.764
2021-01-24,15.764
2021-01-25,15.542
2021-01-26,15.091
2021-01-27,14.842
2021-01-28,14.9
2021-01-29,14.599
2021-01-30,14.599
2021-01-31,14.599
2021-02-01,14.836
2021-02-02,14.948
2021-02-03,14.32
2021-02-04,14.55
2021-02-05,14.003
2021-02-06,14.003
