,MA US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,17.452
2020-01-11,17.452
2020-01-12,17.452
2020-01-13,17.679
2020-01-14,17.423
2020-01-15,17.625
2020-01-16,17.964
2020-01-17,18.153
2020-01-18,18.153
2020-01-19,18.153
2020-01-20,18.153
2020-01-21,18.056
2020-01-22,18.189
2020-01-23,18.227
2020-01-24,18.153
2020-01-25,18.153
2020-01-26,18.153
2020-01-27,17.71
2020-01-28,17.963
2020-01-29,17.966
2020-01-30,16.331
2020-01-31,15.902
2020-02-01,15.902
2020-02-02,15.902
2020-02-03,16.334
2020-02-04,16.566
2020-02-05,16.525
2020-02-06,16.575
2020-02-07,16.459
2020-02-08,16.459
2020-02-09,16.459
2020-02-10,16.624
2020-02-11,16.656
2020-02-12,16.819
2020-02-13,16.904
2020-02-14,17.161
2020-02-15,17.161
2020-02-16,17.161
2020-02-17,17.161
2020-02-18,17.176
2020-02-19,17.343
2020-02-20,17.337
2020-02-21,17.098
2020-02-22,17.098
2020-02-23,17.098
2020-02-24,16.342
2020-02-25,15.245
2020-02-26,15.001
2020-02-27,14.386
2020-02-28,14.609
2020-02-29,14.609
2020-03-01,14.609
2020-03-02,15.439
2020-03-03,14.697
2020-03-04,15.219
2020-03-05,14.633
2020-03-06,14.446
2020-03-07,14.446
2020-03-08,14.446
2020-03-09,13.188
2020-03-10,14.122
2020-03-11,13.578
2020-03-12,12.155
2020-03-13,13.59
2020-03-14,13.59
2020-03-15,13.59
2020-03-16,11.861
2020-03-17,11.973
2020-03-18,11.472
2020-03-19,11.433
2020-03-20,10.641
2020-03-21,10.641
2020-03-22,10.641
2020-03-23,10.233
2020-03-24,13.075
2020-03-25,14.145
2020-03-26,14.515
2020-03-27,13.658
2020-03-28,13.658
2020-03-29,13.658
2020-03-30,13.967
2020-03-31,13.322
2020-04-01,12.608
2020-04-02,13.934
2020-04-03,13.826
2020-04-04,13.826
2020-04-05,13.826
2020-04-06,15.513
2020-04-07,15.112
2020-04-08,15.829
2020-04-09,15.739
2020-04-10,15.739
2020-04-11,15.739
2020-04-12,15.739
2020-04-13,15.385
2020-04-14,15.816
2020-04-15,15.022
2020-04-16,14.416
2020-04-17,15.188
2020-04-18,15.188
2020-04-19,15.188
2020-04-20,14.706
2020-04-21,14.334
2020-04-22,15.358
2020-04-23,15.295
2020-04-24,15.468
2020-04-25,15.468
2020-04-26,15.468
2020-04-27,15.848
2020-04-28,15.817
2020-04-29,16.958
2020-04-30,17.344
2020-05-01,16.951
2020-05-02,16.951
2020-05-03,16.951
2020-05-04,16.983
2020-05-05,17.281
2020-05-06,17.184
2020-05-07,17.564
2020-05-08,17.815
2020-05-09,17.815
2020-05-10,17.815
2020-05-11,17.738
2020-05-12,17.163
2020-05-13,16.977
2020-05-14,17.491
2020-05-15,17.594
2020-05-16,17.594
2020-05-17,17.594
2020-05-18,18.285
2020-05-19,18.338
2020-05-20,18.847
2020-05-21,18.56
2020-05-22,18.601
2020-05-23,18.601
2020-05-24,18.601
2020-05-25,18.601
2020-05-26,19.132
2020-05-27,18.908
2020-05-28,19.067
2020-05-29,18.978
2020-05-30,18.978
2020-05-31,18.978
2020-06-01,19.011
2020-06-02,19.149
2020-06-03,19.368
2020-06-04,19.009
2020-06-05,19.672
2020-06-06,19.672
2020-06-07,19.672
2020-06-08,19.579
2020-06-09,19.647
2020-06-10,19.752
2020-06-11,18.37
2020-06-12,18.783
2020-06-13,18.783
2020-06-14,18.783
2020-06-15,18.744
2020-06-16,19.205
2020-06-17,19.16
2020-06-18,19.228
2020-06-19,18.702
2020-06-20,18.702
2020-06-21,18.702
2020-06-22,19.202
2020-06-23,19.356
2020-06-24,18.545
2020-06-25,18.797
2020-06-26,18.25
2020-06-27,18.25
2020-06-28,18.25
2020-06-29,18.476
2020-06-30,18.651
2020-07-01,18.996
2020-07-02,19.075
2020-07-03,19.075
2020-07-04,19.075
2020-07-05,19.075
2020-07-06,19.274
2020-07-07,18.917
2020-07-08,18.574
2020-07-09,18.23
2020-07-10,18.297
2020-07-11,18.297
2020-07-12,18.297
2020-07-13,17.957
2020-07-14,18.5
2020-07-15,18.918
2020-07-16,18.524
2020-07-17,18.816
2020-07-18,18.816
2020-07-19,18.816
2020-07-20,19.305
2020-07-21,19.035
2020-07-22,19.392
2020-07-23,19.177
2020-07-24,18.993
2020-07-25,18.993
2020-07-26,18.993
2020-07-27,19.113
2020-07-28,18.956
2020-07-29,19.14
2020-07-30,19.121
2020-07-31,19.195
2020-08-01,19.195
2020-08-02,19.195
2020-08-03,19.448
2020-08-04,19.56
2020-08-05,20.407
2020-08-06,20.54
2020-08-07,20.408
2020-08-08,20.408
2020-08-09,20.408
2020-08-10,20.088
2020-08-11,20.44
2020-08-12,20.384
2020-08-13,20.294
2020-08-14,20.332
2020-08-15,20.332
2020-08-16,20.332
2020-08-17,20.546
2020-08-18,20.593
2020-08-19,20.681
2020-08-20,20.987
2020-08-21,20.973
2020-08-22,20.973
2020-08-23,20.973
2020-08-24,21.38
2020-08-25,21.63
2020-08-26,21.839
2020-08-27,22.149
2020-08-28,22.778
2020-08-29,22.778
2020-08-30,22.778
2020-08-31,22.285
2020-09-01,22.205
2020-09-02,22.441
2020-09-03,21.392
2020-09-04,20.843
