,FDS US Equity
,BEST_PE_RATIO
2020-01-01,17.285
2020-01-02,17.312
2020-01-03,17.308
2020-01-04,17.308
2020-01-05,17.308
2020-01-06,17.211
2020-01-07,17.203
2020-01-08,17.335
2020-01-09,17.316
2020-01-10,17.064
2020-01-11,17.064
2020-01-12,17.064
2020-01-13,17.2
2020-01-14,17.277
2020-01-15,17.491
2020-01-16,17.806
2020-01-17,17.763
2020-01-18,17.763
2020-01-19,17.763
2020-01-20,17.763
2020-01-21,17.832
2020-01-22,17.989
2020-01-23,18.045
2020-01-24,17.817
2020-01-25,17.817
2020-01-26,17.817
2020-01-27,17.669
2020-01-28,17.938
2020-01-29,18.528
2020-01-30,18.713
2020-01-31,18.432
2020-02-01,18.432
2020-02-02,18.432
2020-02-03,18.681
2020-02-04,19.009
2020-02-05,18.69
2020-02-06,18.677
2020-02-07,18.451
2020-02-08,18.451
2020-02-09,18.451
2020-02-10,18.687
2020-02-11,18.831
2020-02-12,18.893
2020-02-13,19.123
2020-02-14,19.297
2020-02-15,19.297
2020-02-16,19.297
2020-02-17,19.297
2020-02-18,19.516
2020-02-19,19.885
2020-02-20,19.498
2020-02-21,19.3
2020-02-22,19.3
2020-02-23,19.3
2020-02-24,19.009
2020-02-25,18.558
2020-02-26,18.677
2020-02-27,17.988
2020-02-28,17.178
2020-02-29,17.178
2020-03-01,17.178
2020-03-02,18.165
2020-03-03,18.009
2020-03-04,18.978
2020-03-05,18.655
2020-03-06,18.024
2020-03-07,18.024
2020-03-08,18.024
2020-03-09,16.912
2020-03-10,17.477
2020-03-11,16.464
2020-03-12,15.075
2020-03-13,16.344
2020-03-14,16.344
2020-03-15,16.344
2020-03-16,14.604
2020-03-17,15.939
2020-03-18,14.17
2020-03-19,15.18
2020-03-20,14.078
2020-03-21,14.078
2020-03-22,14.078
2020-03-23,13.21
2020-03-24,14.942
2020-03-25,15.03
2020-03-26,16.634
2020-03-27,16.45
2020-03-28,16.45
2020-03-29,16.45
2020-03-30,17.313
2020-03-31,16.836
2020-04-01,16.504
2020-04-02,16.941
2020-04-03,16.347
2020-04-04,16.347
2020-04-05,16.347
2020-04-06,17.237
2020-04-07,17.299
2020-04-08,17.5
2020-04-09,18.029
2020-04-10,18.029
2020-04-11,18.029
2020-04-12,18.029
2020-04-13,17.545
2020-04-14,18.027
2020-04-15,17.898
2020-04-16,18.24
2020-04-17,18.154
2020-04-18,18.154
2020-04-19,18.154
2020-04-20,17.87
2020-04-21,17.214
2020-04-22,17.594
2020-04-23,17.656
2020-04-24,17.724
2020-04-25,17.724
2020-04-26,17.724
2020-04-27,18.475
2020-04-28,17.775
2020-04-29,18.307
2020-04-30,17.76
2020-05-01,17.401
2020-05-02,17.401
2020-05-03,17.401
2020-05-04,17.375
2020-05-05,17.613
2020-05-06,17.197
2020-05-07,17.808
2020-05-08,17.83
2020-05-09,17.83
2020-05-10,17.83
2020-05-11,18.447
2020-05-12,18.166
2020-05-13,18.024
2020-05-14,18.025
2020-05-15,18.152
2020-05-16,18.152
2020-05-17,18.152
2020-05-18,18.814
2020-05-19,18.562
2020-05-20,18.788
2020-05-21,18.756
2020-05-22,18.686
2020-05-23,18.686
2020-05-24,18.686
2020-05-25,18.686
2020-05-26,19.088
2020-05-27,19.423
2020-05-28,19.619
2020-05-29,19.911
2020-05-30,19.911
2020-05-31,19.911
2020-06-01,19.845
2020-06-02,19.746
2020-06-03,20.285
2020-06-04,20.149
2020-06-05,20.525
2020-06-06,20.525
2020-06-07,20.525
2020-06-08,20.378
2020-06-09,19.742
2020-06-10,19.806
2020-06-11,18.402
2020-06-12,18.582
2020-06-13,18.582
2020-06-14,18.582
2020-06-15,19.075
2020-06-16,19.173
2020-06-17,19.431
2020-06-18,19.517
2020-06-19,19.659
2020-06-20,19.659
2020-06-21,19.659
2020-06-22,20.015
2020-06-23,19.827
2020-06-24,19.244
2020-06-25,24.527
2020-06-26,23.558
2020-06-27,23.558
2020-06-28,23.558
2020-06-29,23.426
2020-06-30,23.545
2020-07-01,23.934
2020-07-02,24.078
2020-07-03,24.078
2020-07-04,24.078
2020-07-05,24.078
2020-07-06,24.283
2020-07-07,24.445
2020-07-08,25.048
2020-07-09,24.9
2020-07-10,25.159
2020-07-11,25.159
2020-07-12,25.159
2020-07-13,24.525
2020-07-14,25.201
2020-07-15,25.221
2020-07-16,25.092
2020-07-17,25.357
2020-07-18,25.357
2020-07-19,25.357
2020-07-20,25.465
2020-07-21,25.423
2020-07-22,25.412
2020-07-23,24.952
2020-07-24,24.941
2020-07-25,24.941
2020-07-26,24.941
2020-07-27,25.044
2020-07-28,24.57
2020-07-29,24.9
2020-07-30,24.782
2020-07-31,24.823
2020-08-01,24.823
2020-08-02,24.823
2020-08-03,25.003
2020-08-04,24.894
2020-08-05,25.093
2020-08-06,25.33
2020-08-07,25.506
2020-08-08,25.506
2020-08-09,25.506
2020-08-10,25.537
2020-08-11,25.502
2020-08-12,25.817
