,WDR US Equity
,BEST_PE_RATIO
2020-01-01,11.473
2020-01-02,11.254
2020-01-03,11.079
2020-01-04,11.079
2020-01-05,11.079
2020-01-06,11.079
2020-01-07,10.581
2020-01-08,10.601
2020-01-09,10.716
2020-01-10,10.768
2020-01-11,10.768
2020-01-12,10.768
2020-01-13,10.931
2020-01-14,10.964
2020-01-15,10.818
2020-01-16,10.985
2020-01-17,10.755
2020-01-18,10.755
2020-01-19,10.755
2020-01-20,10.755
2020-01-21,10.627
2020-01-22,10.71
2020-01-23,10.685
2020-01-24,10.512
2020-01-25,10.512
2020-01-26,10.512
2020-01-27,10.18
2020-01-28,10.225
2020-01-29,10.27
2020-01-30,10.5
2020-01-31,10.212
2020-02-01,10.212
2020-02-02,10.212
2020-02-03,10.346
2020-02-04,10.341
2020-02-05,10.578
2020-02-06,10.804
2020-02-07,10.465
2020-02-08,10.465
2020-02-09,10.465
2020-02-10,10.453
2020-02-11,10.894
2020-02-12,10.604
2020-02-13,10.471
2020-02-14,10.225
2020-02-15,10.225
2020-02-16,10.225
2020-02-17,10.225
2020-02-18,10.143
2020-02-19,10.282
2020-02-20,10.364
2020-02-21,10.156
2020-02-22,10.156
2020-02-23,10.156
2020-02-24,9.733
2020-02-25,9.418
2020-02-26,9.323
2020-02-27,8.733
2020-02-28,8.541
2020-02-29,8.541
2020-03-01,8.541
2020-03-02,8.863
2020-03-03,8.708
2020-03-04,8.932
2020-03-05,8.671
2020-03-06,8.41
2020-03-07,8.41
2020-03-08,8.41
2020-03-09,7.79
2020-03-10,8.122
2020-03-11,7.689
2020-03-12,7.157
2020-03-13,8.485
2020-03-14,8.485
2020-03-15,8.485
2020-03-16,8.221
2020-03-17,10.433
2020-03-18,10.146
2020-03-19,10.114
2020-03-20,9.413
2020-03-21,9.413
2020-03-22,9.413
2020-03-23,8.911
2020-03-24,9.046
2020-03-25,8.998
2020-03-26,9.397
2020-03-27,8.967
2020-03-28,8.967
2020-03-29,8.967
2020-03-30,9.675
2020-03-31,9.83
2020-04-01,9.714
2020-04-02,10.089
2020-04-03,10.155
2020-04-04,10.155
2020-04-05,10.155
2020-04-06,11.311
2020-04-07,11.187
2020-04-08,14.533
2020-04-09,15.602
2020-04-10,15.602
2020-04-11,15.602
2020-04-12,15.602
2020-04-13,16.869
2020-04-14,17.009
2020-04-15,16.353
2020-04-16,15.708
2020-04-17,16.247
2020-04-18,16.247
2020-04-19,16.247
2020-04-20,16.311
2020-04-21,15.299
2020-04-22,14.585
2020-04-23,14.066
2020-04-24,14.066
2020-04-25,14.066
2020-04-26,14.066
2020-04-27,15.046
2020-04-28,15.561
2020-04-29,16.037
2020-04-30,15.87
2020-05-01,15.368
2020-05-02,15.368
2020-05-03,15.368
2020-05-04,15.379
2020-05-05,14.91
2020-05-06,14.604
2020-05-07,14.779
2020-05-08,15.324
2020-05-09,15.324
2020-05-10,15.324
2020-05-11,15.51
2020-05-12,15.084
2020-05-13,14.135
2020-05-14,14.146
2020-05-15,14.015
2020-05-16,14.015
2020-05-17,14.015
2020-05-18,14.975
2020-05-19,14.299
2020-05-20,14.681
2020-05-21,14.626
2020-05-22,14.408
2020-05-23,14.408
2020-05-24,14.408
2020-05-25,14.408
2020-05-26,14.812
2020-05-27,15.302
2020-05-28,14.583
2020-05-29,14.223
2020-05-30,14.223
2020-05-31,14.223
2020-06-01,14.374
2020-06-02,14.492
2020-06-03,15.157
2020-06-04,15.347
2020-06-05,16.234
2020-06-06,16.234
2020-06-07,16.234
2020-06-08,16.846
2020-06-09,16.783
2020-06-10,16.328
2020-06-11,15.145
2020-06-12,15.501
2020-06-13,15.501
2020-06-14,15.501
2020-06-15,15.677
2020-06-16,15.812
2020-06-17,15.895
2020-06-18,16.05
2020-06-19,16.175
2020-06-20,16.175
2020-06-21,16.175
2020-06-22,16.019
2020-06-23,15.978
2020-06-24,15.542
2020-06-25,15.749
2020-06-26,15.282
2020-06-27,15.282
2020-06-28,15.282
2020-06-29,15.677
2020-06-30,16.102
2020-07-01,15.926
2020-07-02,15.703
2020-07-03,15.703
2020-07-04,15.703
2020-07-05,15.703
2020-07-06,15.764
2020-07-07,15.224
2020-07-08,15.429
2020-07-09,14.743
2020-07-10,14.592
2020-07-11,14.592
2020-07-12,14.592
2020-07-13,14.017
2020-07-14,12.823
2020-07-15,12.7
2020-07-16,12.708
2020-07-17,12.463
2020-07-18,12.463
2020-07-19,12.463
2020-07-20,12.202
2020-07-21,12.61
2020-07-22,12.202
2020-07-23,12.423
2020-07-24,12.145
2020-07-25,12.145
2020-07-26,12.145
