,FHB US Equity
,BEST_PE_RATIO
2020-01-01,11.319
2020-01-02,11.272
2020-01-03,11.264
2020-01-04,11.264
2020-01-05,11.264
2020-01-06,11.179
2020-01-07,11.056
2020-01-08,11.091
2020-01-09,11.128
2020-01-10,11.13
2020-01-11,11.13
2020-01-12,11.13
2020-01-13,11.162
2020-01-14,11.201
2020-01-15,11.209
2020-01-16,11.338
2020-01-17,11.35
2020-01-18,11.35
2020-01-19,11.35
2020-01-20,11.35
2020-01-21,11.262
2020-01-22,11.307
2020-01-23,11.346
2020-01-24,11.224
2020-01-25,11.224
2020-01-26,11.224
2020-01-27,11.193
2020-01-28,11.303
2020-01-29,11.421
2020-01-30,11.476
2020-01-31,11.401
2020-02-01,11.401
2020-02-02,11.401
2020-02-03,11.684
2020-02-04,11.758
2020-02-05,12.111
2020-02-06,11.893
2020-02-07,11.652
2020-02-08,11.652
2020-02-09,11.652
2020-02-10,11.57
2020-02-11,11.554
2020-02-12,11.546
2020-02-13,11.609
2020-02-14,11.621
2020-02-15,11.621
2020-02-16,11.621
2020-02-17,11.621
2020-02-18,11.303
2020-02-19,11.35
2020-02-20,11.46
2020-02-21,11.203
2020-02-22,11.203
2020-02-23,11.203
2020-02-24,10.922
2020-02-25,10.482
2020-02-26,10.274
2020-02-27,9.9
2020-02-28,9.481
2020-02-29,9.481
2020-03-01,9.481
2020-03-02,9.865
2020-03-03,9.58
2020-03-04,9.465
2020-03-05,9.045
2020-03-06,8.717
2020-03-07,8.717
2020-03-08,8.717
2020-03-09,7.707
2020-03-10,7.905
2020-03-11,7.402
2020-03-12,6.995
2020-03-13,7.577
2020-03-14,7.577
2020-03-15,7.577
2020-03-16,7.125
2020-03-17,7.794
2020-03-18,7.616
2020-03-19,7.569
2020-03-20,6.884
2020-03-21,6.884
2020-03-22,6.884
2020-03-23,6.207
2020-03-24,6.528
2020-03-25,6.48
2020-03-26,6.939
2020-03-27,6.48
2020-03-28,6.48
2020-03-29,6.48
2020-03-30,6.603
2020-03-31,6.543
2020-04-01,5.95
2020-04-02,5.938
2020-04-03,5.676
2020-04-04,5.676
2020-04-05,5.676
2020-04-06,6.001
2020-04-07,6.005
2020-04-08,6.381
2020-04-09,6.975
2020-04-10,6.975
2020-04-11,6.975
2020-04-12,6.975
2020-04-13,6.532
2020-04-14,6.342
2020-04-15,5.962
2020-04-16,6.1
2020-04-17,6.488
2020-04-18,6.488
2020-04-19,6.488
2020-04-20,6.508
2020-04-21,6.409
2020-04-22,6.298
2020-04-23,6.46
2020-04-24,6.611
2020-04-25,6.611
2020-04-26,6.611
2020-04-27,7.173
2020-04-28,6.971
2020-04-29,7.236
2020-04-30,6.963
2020-05-01,6.753
2020-05-02,6.753
2020-05-03,6.753
2020-05-04,6.718
2020-05-05,6.492
2020-05-06,6.326
2020-05-07,6.334
2020-05-08,6.537
2020-05-09,6.537
2020-05-10,6.537
2020-05-11,6.302
2020-05-12,5.874
2020-05-13,5.613
2020-05-14,5.621
2020-05-15,5.534
2020-05-16,5.534
2020-05-17,5.534
2020-05-18,6.12
2020-05-19,5.886
2020-05-20,6.262
2020-05-21,6.44
2020-05-22,6.392
2020-05-23,6.392
2020-05-24,6.392
2020-05-25,6.392
2020-05-26,6.891
2020-05-27,7.213
2020-05-28,7.008
2020-05-29,6.939
2020-05-30,6.939
2020-05-31,6.939
2020-06-01,6.919
2020-06-02,6.935
2020-06-03,7.241
2020-06-04,7.533
2020-06-05,8.066
2020-06-06,8.066
2020-06-07,8.066
2020-06-08,8.518
2020-06-09,8.219
2020-06-10,7.563
2020-06-11,7.008
2020-06-12,7.148
2020-06-13,7.148
2020-06-14,7.148
2020-06-15,7.108
2020-06-16,7.386
2020-06-17,7.14
2020-06-18,7.185
2020-06-19,7.217
2020-06-20,7.217
2020-06-21,7.217
2020-06-22,7.148
2020-06-23,7.132
2020-06-24,6.762
2020-06-25,6.971
2020-06-26,6.535
2020-06-27,6.535
2020-06-28,6.535
2020-06-29,6.702
2020-06-30,6.935
2020-07-01,6.722
2020-07-02,6.666
2020-07-03,6.666
2020-07-04,6.666
2020-07-05,6.666
2020-07-06,6.734
2020-07-07,6.292
2020-07-08,6.268
2020-07-09,6.034
2020-07-10,6.356
2020-07-11,6.356
2020-07-12,6.356
2020-07-13,6.457
2020-07-14,6.284
2020-07-15,6.682
2020-07-16,6.609
2020-07-17,6.392
2020-07-18,6.392
2020-07-19,6.392
2020-07-20,6.247
2020-07-21,7.148
2020-07-22,7.213
2020-07-23,7.478
2020-07-24,7.096
2020-07-25,7.096
2020-07-26,7.096
2020-07-27,6.799
2020-07-28,6.839
2020-07-29,7.048
2020-07-30,6.959
2020-07-31,6.992
2020-08-01,6.992
2020-08-02,6.992
2020-08-03,6.863
2020-08-04,6.746
2020-08-05,7.0
2020-08-06,7.0
2020-08-07,7.277
2020-08-08,7.277
2020-08-09,7.277
2020-08-10,7.35
2020-08-11,7.434
2020-08-12,7.35
2020-08-13,7.217
2020-08-14,7.285
2020-08-15,7.285
2020-08-16,7.285
2020-08-17,7.213
2020-08-18,6.803
2020-08-19,6.859
