,1917130D US Equity
,BEST_PE_RATIO
2020-01-01,23.55
2020-01-02,23.845
2020-01-03,23.896
2020-01-04,23.896
2020-01-05,23.896
2020-01-06,24.695
2020-01-07,23.924
2020-01-08,24.746
2020-01-09,25.0
2020-01-10,24.97
2020-01-11,24.97
2020-01-12,24.97
2020-01-13,25.144
2020-01-14,26.23
2020-01-15,26.345
2020-01-16,27.525
2020-01-17,26.952
2020-01-18,26.952
2020-01-19,26.952
2020-01-20,26.952
2020-01-21,26.076
2020-01-22,26.27
2020-01-23,26.497
2020-01-24,25.906
2020-01-25,25.906
2020-01-26,25.906
2020-01-27,25.518
2020-01-28,25.717
2020-01-29,25.837
2020-01-30,25.214
2020-01-31,24.363
2020-02-01,24.363
2020-02-02,24.363
2020-02-03,24.612
2020-02-04,25.523
2020-02-05,26.788
2020-02-06,26.609
2020-02-07,25.553
2020-02-08,25.553
2020-02-09,25.553
2020-02-10,25.946
2020-02-11,26.046
2020-02-12,26.429
2020-02-13,26.798
2020-02-14,26.653
2020-02-15,26.653
2020-02-16,26.653
2020-02-17,26.653
2020-02-18,26.504
2020-02-19,26.783
2020-02-20,27.171
2020-02-21,25.961
2020-02-22,25.961
2020-02-23,25.961
2020-02-24,25.406
2020-02-25,24.768
2020-02-26,23.919
2020-02-27,20.984
2020-02-28,19.916
2020-02-29,19.916
2020-03-01,19.916
2020-03-02,20.266
2020-03-03,20.34
2020-03-04,20.695
2020-03-05,20.005
2020-03-06,19.669
2020-03-07,19.669
2020-03-08,19.669
2020-03-09,17.972
2020-03-10,18.508
2020-03-11,17.506
2020-03-12,16.019
2020-03-13,17.17
2020-03-14,17.17
2020-03-15,17.17
2020-03-16,14.685
2020-03-17,15.152
2020-03-18,13.487
2020-03-19,14.824
2020-03-20,14.706
2020-03-21,14.706
2020-03-22,14.706
2020-03-23,14.301
2020-03-24,15.882
2020-03-25,15.859
2020-03-26,17.798
2020-03-27,17.388
2020-03-28,17.388
2020-03-29,17.388
2020-03-30,18.632
2020-03-31,18.165
2020-04-01,16.58
2020-04-02,17.67
2020-04-03,16.925
2020-04-04,16.925
2020-04-05,16.925
2020-04-06,18.741
2020-04-07,20.733
2020-04-08,21.224
2020-04-09,22.167
2020-04-10,22.167
2020-04-11,22.167
2020-04-12,22.167
2020-04-13,21.122
2020-04-14,22.679
2020-04-15,22.756
2020-04-16,22.018
2020-04-17,22.587
2020-04-18,22.587
2020-04-19,22.587
2020-04-20,21.921
2020-04-21,21.568
2020-04-22,21.465
2020-04-23,22.818
2020-04-24,22.582
2020-04-25,22.582
2020-04-26,22.582
2020-04-27,23.842
2020-04-28,23.581
2020-04-29,24.534
2020-04-30,23.929
2020-05-01,23.315
2020-05-02,23.315
2020-05-03,23.315
2020-05-04,22.408
2020-05-05,23.181
2020-05-06,24.419
2020-05-07,28.155
2020-05-08,29.155
2020-05-09,29.155
2020-05-10,29.155
2020-05-11,28.211
2020-05-12,26.863
2020-05-13,25.845
2020-05-14,24.932
2020-05-15,25.795
2020-05-16,25.795
2020-05-17,25.795
2020-05-18,27.714
2020-05-19,27.199
2020-05-20,27.584
2020-05-21,27.839
2020-05-22,28.217
2020-05-23,28.217
2020-05-24,28.217
2020-05-25,28.217
2020-05-26,29.068
2020-05-27,29.801
2020-05-28,29.323
2020-05-29,29.304
2020-05-30,29.304
2020-05-31,29.304
2020-06-01,29.366
2020-06-02,29.578
2020-06-03,30.391
2020-06-04,30.298
2020-06-05,31.18
2020-06-06,31.18
2020-06-07,31.18
2020-06-08,31.385
2020-06-09,31.099
2020-06-10,30.217
2020-06-11,27.95
2020-06-12,28.783
2020-06-13,28.783
2020-06-14,28.783
2020-06-15,28.739
2020-06-16,28.876
