,LMT US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,14.508
2020-01-30,14.577
2020-01-31,14.317
2020-02-01,14.317
2020-02-02,14.317
2020-02-03,14.175
2020-02-04,14.406
2020-02-05,14.554
2020-02-06,14.68
2020-02-07,14.687
2020-02-08,14.687
2020-02-09,14.687
2020-02-10,14.706
2020-02-11,14.709
2020-02-12,14.601
2020-02-13,14.537
2020-02-14,14.642
2020-02-15,14.642
2020-02-16,14.642
2020-02-17,14.642
2020-02-18,14.566
2020-02-19,14.53
2020-02-20,14.245
2020-02-21,14.306
2020-02-22,14.306
2020-02-23,14.306
2020-02-24,14.024
2020-02-25,13.389
2020-02-26,13.407
2020-02-27,12.862
2020-02-28,12.447
2020-02-29,12.447
2020-03-01,12.447
2020-03-02,12.833
2020-03-03,12.7
2020-03-04,13.529
2020-03-05,12.946
2020-03-06,12.871
2020-03-07,12.871
2020-03-08,12.871
2020-03-09,11.846
2020-03-10,12.356
2020-03-11,12.011
2020-03-12,10.478
2020-03-13,11.058
2020-03-14,11.058
2020-03-15,11.058
2020-03-16,9.69
2020-03-17,10.729
2020-03-18,11.22
2020-03-19,10.573
2020-03-20,9.8
2020-03-21,9.8
2020-03-22,9.8
2020-03-23,9.315
2020-03-24,9.722
2020-03-25,10.757
2020-03-26,11.789
2020-03-27,11.724
2020-03-28,11.724
2020-03-29,11.724
2020-03-30,11.739
2020-03-31,11.368
2020-04-01,11.353
2020-04-02,11.871
2020-04-03,11.755
2020-04-04,11.755
2020-04-05,11.755
2020-04-06,12.341
2020-04-07,11.916
2020-04-08,12.121
2020-04-09,12.443
2020-04-10,12.443
2020-04-11,12.443
2020-04-12,12.443
2020-04-13,12.407
2020-04-14,12.746
2020-04-15,12.556
2020-04-16,12.674
2020-04-17,13.466
2020-04-18,13.466
2020-04-19,13.466
2020-04-20,12.852
2020-04-21,12.466
2020-04-22,11.732
2020-04-23,11.619
2020-04-24,11.775
2020-04-25,11.775
2020-04-26,11.775
2020-04-27,11.676
2020-04-28,11.866
2020-04-29,11.964
2020-04-30,11.999
2020-05-01,11.827
2020-05-02,11.827
2020-05-03,11.827
2020-05-04,11.725
2020-05-05,12.038
2020-05-06,11.676
2020-05-07,11.613
2020-05-08,11.671
2020-05-09,11.671
2020-05-10,11.671
2020-05-11,11.614
2020-05-12,11.446
2020-05-13,11.232
2020-05-14,10.988
2020-05-15,11.115
2020-05-16,11.115
2020-05-17,11.115
2020-05-18,11.644
2020-05-19,11.457
2020-05-20,11.18
2020-05-21,11.375
2020-05-22,11.381
2020-05-23,11.381
2020-05-24,11.381
2020-05-25,11.381
2020-05-26,11.479
2020-05-27,12.248
2020-05-28,12.289
2020-05-29,12.053
2020-05-30,12.053
2020-05-31,12.053
2020-06-01,12.069
2020-06-02,12.094
2020-06-03,12.493
2020-06-04,12.525
2020-06-05,12.745
2020-06-06,12.745
2020-06-07,12.745
2020-06-08,12.855
2020-06-09,12.677
2020-06-10,12.528
2020-06-11,11.911
2020-06-12,11.849
2020-06-13,11.849
2020-06-14,11.849
2020-06-15,11.582
2020-06-16,11.877
2020-06-17,11.856
2020-06-18,11.741
2020-06-19,11.549
2020-06-20,11.549
2020-06-21,11.549
2020-06-22,11.666
2020-06-23,11.533
2020-06-24,11.165
2020-06-25,11.258
2020-06-26,11.07
2020-06-27,11.07
2020-06-28,11.07
2020-06-29,11.403
2020-06-30,11.323
2020-07-01,11.183
2020-07-02,11.232
2020-07-03,11.232
2020-07-04,11.232
2020-07-05,11.232
2020-07-06,11.251
2020-07-07,10.962
2020-07-08,10.867
2020-07-09,10.549
2020-07-10,10.837
2020-07-11,10.837
2020-07-12,10.837
2020-07-13,10.955
2020-07-14,11.036
2020-07-15,11.312
2020-07-16,11.353
2020-07-17,11.434
2020-07-18,11.434
2020-07-19,11.434
2020-07-20,11.342
2020-07-21,11.927
2020-07-22,12.22
2020-07-23,12.02
2020-07-24,11.976
2020-07-25,11.976
2020-07-26,11.976
2020-07-27,11.848
2020-07-28,11.99
2020-07-29,12.01
2020-07-30,11.837
2020-07-31,11.752
2020-08-01,11.752
2020-08-02,11.752
2020-08-03,11.694
2020-08-04,11.721
2020-08-05,11.892
2020-08-06,11.776
2020-08-07,11.958
2020-08-08,11.958
2020-08-09,11.958
2020-08-10,12.071
2020-08-11,12.155
2020-08-12,12.169
2020-08-13,12.07
2020-08-14,12.138
2020-08-15,12.138
2020-08-16,12.138
2020-08-17,12.061
2020-08-18,12.102
2020-08-19,12.095
2020-08-20,12.028
2020-08-21,12.08
2020-08-22,12.08
2020-08-23,12.08
2020-08-24,12.25
2020-08-25,12.244
2020-08-26,12.262
2020-08-27,12.249
2020-08-28,12.267
2020-08-29,12.267
2020-08-30,12.267
2020-08-31,12.176
2020-09-01,12.068
2020-09-02,12.419
2020-09-03,12.052
2020-09-04,12.012
2020-09-05,12.012
2020-09-06,12.012
2020-09-07,12.012
2020-09-08,11.863
2020-09-09,12.019
