,WMT US Equity
,BEST_PE_RATIO
2020-01-01,15.444
2020-01-02,15.457
2020-01-03,15.321
2020-01-04,15.321
2020-01-05,15.321
2020-01-06,15.29
2020-01-07,15.148
2020-01-08,15.096
2020-01-09,15.252
2020-01-10,15.125
2020-01-11,15.125
2020-01-12,15.125
2020-01-13,15.06
2020-01-14,15.099
2020-01-15,14.982
2020-01-16,15.062
2020-01-17,14.94
2020-01-18,14.94
2020-01-19,14.94
2020-01-20,14.94
2020-01-21,15.022
2020-01-22,15.088
2020-01-23,15.051
2020-01-24,14.863
2020-01-25,14.863
2020-01-26,14.863
2020-01-27,15.057
2020-01-28,15.153
2020-01-29,15.061
2020-01-30,15.151
2020-01-31,14.879
2020-02-01,14.879
2020-02-02,14.879
2020-02-03,14.85
2020-02-04,14.98
2020-02-05,15.18
2020-02-06,15.115
2020-02-07,15.134
2020-02-08,15.134
2020-02-09,15.134
2020-02-10,14.978
2020-02-11,14.997
2020-02-12,15.056
2020-02-13,15.262
2020-02-14,15.321
2020-02-15,15.321
2020-02-16,15.321
2020-02-17,15.321
2020-02-18,15.547
2020-02-19,15.39
2020-02-20,15.391
2020-02-21,15.507
2020-02-22,15.507
2020-02-23,15.507
2020-02-24,15.212
2020-02-25,14.959
2020-02-26,14.88
2020-02-27,14.438
2020-02-28,14.082
2020-02-29,14.082
2020-03-01,14.082
2020-03-02,15.154
2020-03-03,14.766
2020-03-04,15.271
2020-03-05,15.16
2020-03-06,15.331
2020-03-07,15.331
2020-03-08,15.331
2020-03-09,15.322
2020-03-10,15.666
2020-03-11,14.965
2020-03-12,13.607
2020-03-13,14.922
2020-03-14,14.922
2020-03-15,14.922
2020-03-16,13.962
2020-03-17,15.596
2020-03-18,16.031
2020-03-19,15.69
2020-03-20,14.97
2020-03-21,14.97
2020-03-22,14.97
2020-03-23,15.011
2020-03-24,15.11
2020-03-25,14.37
2020-03-26,14.425
2020-03-27,14.394
2020-03-28,14.394
2020-03-29,14.394
2020-03-30,15.131
2020-03-31,14.925
2020-04-01,14.993
2020-04-02,15.585
2020-04-03,15.694
2020-04-04,15.694
2020-04-05,15.694
2020-04-06,16.56
2020-04-07,16.024
2020-04-08,16.004
2020-04-09,15.999
2020-04-10,15.999
2020-04-11,15.999
2020-04-12,15.999
2020-04-13,16.459
2020-04-14,16.945
2020-04-15,16.913
2020-04-16,17.382
2020-04-17,17.355
2020-04-18,17.355
2020-04-19,17.355
2020-04-20,17.056
2020-04-21,16.972
2020-04-22,17.285
2020-04-23,16.883
2020-04-24,17.003
2020-04-25,17.003
2020-04-26,17.003
2020-04-27,16.853
2020-04-28,16.813
2020-04-29,16.235
2020-04-30,15.966
2020-05-01,16.146
2020-05-02,16.146
2020-05-03,16.146
2020-05-04,16.249
2020-05-05,16.384
2020-05-06,16.196
2020-05-07,16.081
2020-05-08,16.22
2020-05-09,16.22
2020-05-10,16.22
2020-05-11,16.316
2020-05-12,16.956
2020-05-13,16.947
2020-05-14,16.907
2020-05-15,17.252
2020-05-16,17.252
2020-05-17,17.252
2020-05-18,17.541
2020-05-19,17.094
2020-05-20,17.163
2020-05-21,17.1
2020-05-22,17.009
2020-05-23,17.009
2020-05-24,17.009
2020-05-25,17.009
2020-05-26,16.945
2020-05-27,16.756
2020-05-28,16.922
2020-05-29,16.972
2020-05-30,16.972
2020-05-31,16.972
2020-06-01,16.959
2020-06-02,16.956
2020-06-03,16.892
2020-06-04,16.706
2020-06-05,16.63
2020-06-06,16.63
2020-06-07,16.63
2020-06-08,16.587
2020-06-09,16.602
2020-06-10,16.576
2020-06-11,16.429
2020-06-12,16.108
2020-06-13,16.108
2020-06-14,16.108
2020-06-15,16.154
2020-06-16,16.369
2020-06-17,16.284
2020-06-18,16.142
2020-06-19,16.396
2020-06-20,16.396
2020-06-21,16.396
2020-06-22,16.647
2020-06-23,16.563
2020-06-24,16.458
2020-06-25,16.377
2020-06-26,16.187
2020-06-27,16.187
2020-06-28,16.187
2020-06-29,16.288
2020-06-30,16.387
2020-07-01,16.375
2020-07-02,16.309
2020-07-03,16.309
2020-07-04,16.309
2020-07-05,16.309
2020-07-06,16.265
2020-07-07,17.368
2020-07-08,17.024
2020-07-09,17.477
2020-07-10,17.878
2020-07-11,17.878
2020-07-12,17.878
2020-07-13,17.719
2020-07-14,18.06
2020-07-15,18.059
2020-07-16,18.086
2020-07-17,18.023
