,NUE US Equity
,BEST_PE_RATIO
2020-01-01,8.959
2020-01-02,8.774
2020-01-03,8.658
2020-01-04,8.658
2020-01-05,8.658
2020-01-06,8.585
2020-01-07,8.565
2020-01-08,8.545
2020-01-09,8.516
2020-01-10,8.4
2020-01-11,8.4
2020-01-12,8.4
2020-01-13,8.495
2020-01-14,8.596
2020-01-15,8.505
2020-01-16,8.492
2020-01-17,8.565
2020-01-18,8.565
2020-01-19,8.565
2020-01-20,8.565
2020-01-21,8.349
2020-01-22,8.287
2020-01-23,8.252
2020-01-24,8.025
2020-01-25,8.025
2020-01-26,8.025
2020-01-27,7.842
2020-01-28,7.888
2020-01-29,7.663
2020-01-30,7.791
2020-01-31,7.573
2020-02-01,7.573
2020-02-02,7.573
2020-02-03,7.644
2020-02-04,8.564
2020-02-05,8.683
2020-02-06,8.6
2020-02-07,8.402
2020-02-08,8.402
2020-02-09,8.402
2020-02-10,8.357
2020-02-11,8.476
2020-02-12,8.481
2020-02-13,8.408
2020-02-14,8.267
2020-02-15,8.267
2020-02-16,8.267
2020-02-17,8.267
2020-02-18,8.309
2020-02-19,8.366
2020-02-20,8.39
2020-02-21,8.516
2020-02-22,8.516
2020-02-23,8.516
2020-02-24,8.292
2020-02-25,7.885
2020-02-26,7.657
2020-02-27,7.331
2020-02-28,7.25
2020-02-29,7.25
2020-03-01,7.25
2020-03-02,7.487
2020-03-03,7.342
2020-03-04,7.573
2020-03-05,7.149
2020-03-06,6.945
2020-03-07,6.945
2020-03-08,6.945
2020-03-09,6.088
2020-03-10,6.51
2020-03-11,6.212
2020-03-12,5.571
2020-03-13,5.571
2020-03-14,5.571
2020-03-15,5.571
2020-03-16,5.571
2020-03-17,5.571
2020-03-18,5.571
2020-03-19,5.571
2020-03-20,5.571
2020-03-21,5.571
2020-03-22,5.571
2020-03-23,5.571
2020-03-24,5.571
2020-03-25,5.571
2020-03-26,5.571
2020-03-27,5.571
2020-03-28,5.571
2020-03-29,5.571
2020-03-30,5.571
2020-03-31,5.571
2020-04-01,5.571
2020-04-02,5.571
2020-04-03,5.571
2020-04-04,5.571
2020-04-05,5.571
2020-04-06,5.571
2020-04-07,5.571
2020-04-08,5.571
2020-04-09,5.571
2020-04-10,5.571
2020-04-11,5.571
2020-04-12,5.571
2020-04-13,5.571
2020-04-14,5.571
2020-04-15,5.571
2020-04-16,5.571
2020-04-17,5.571
2020-04-18,5.571
2020-04-19,5.571
2020-04-20,5.571
2020-04-21,5.571
2020-04-22,5.571
2020-04-23,5.571
2020-04-24,5.571
2020-04-25,5.571
2020-04-26,5.571
2020-04-27,5.571
2020-04-28,5.571
2020-04-29,5.571
2020-04-30,5.571
2020-05-01,5.571
2020-05-02,5.571
2020-05-03,5.571
2020-05-04,5.571
2020-05-05,5.571
2020-05-06,5.571
2020-05-07,5.571
2020-05-08,5.571
2020-05-09,5.571
2020-05-10,5.571
2020-05-11,5.571
2020-05-12,5.571
2020-05-13,5.571
2020-05-14,5.571
2020-05-15,5.571
2020-05-16,5.571
2020-05-17,5.571
2020-05-18,5.571
2020-05-19,5.571
2020-05-20,5.571
2020-05-21,5.571
2020-05-22,5.571
2020-05-23,5.571
2020-05-24,5.571
2020-05-25,5.571
2020-05-26,5.571
2020-05-27,5.571
2020-05-28,5.571
2020-05-29,5.571
2020-05-30,5.571
2020-05-31,5.571
2020-06-01,5.571
2020-06-02,5.571
2020-06-03,5.571
2020-06-04,5.571
2020-06-05,5.571
2020-06-06,5.571
2020-06-07,5.571
2020-06-08,5.571
2020-06-09,5.571
2020-06-10,5.571
2020-06-11,5.571
2020-06-12,5.571
2020-06-13,5.571
2020-06-14,5.571
2020-06-15,5.571
2020-06-16,5.571
2020-06-17,5.571
2020-06-18,5.571
2020-06-19,5.571
2020-06-20,5.571
2020-06-21,5.571
2020-06-22,9.749
2020-06-23,9.73
2020-06-24,9.373
2020-06-25,9.546
2020-06-26,9.357
2020-06-27,9.357
2020-06-28,9.357
2020-06-29,9.52
2020-06-30,9.639
2020-07-01,9.399
2020-07-02,9.637
2020-07-03,9.637
2020-07-04,9.637
2020-07-05,9.637
2020-07-06,9.695
2020-07-07,9.585
2020-07-08,9.232
2020-07-09,9.031
2020-07-10,9.416
2020-07-11,9.416
2020-07-12,9.416
2020-07-13,9.297
2020-07-14,9.558
2020-07-15,9.702
2020-07-16,9.72
2020-07-17,9.604
2020-07-18,9.604
2020-07-19,9.604
2020-07-20,9.474
2020-07-21,9.751
2020-07-22,9.837
2020-07-23,9.914
2020-07-24,9.974
2020-07-25,9.974
2020-07-26,9.974
2020-07-27,10.879
2020-07-28,10.591
2020-07-29,10.737
2020-07-30,10.598
2020-07-31,10.412
2020-08-01,10.412
2020-08-02,10.412
2020-08-03,10.638
2020-08-04,10.675
2020-08-05,10.792
2020-08-06,10.737
2020-08-07,11.005
2020-08-08,11.005
2020-08-09,11.005
2020-08-10,11.442
2020-08-11,11.271
2020-08-12,11.39
2020-08-13,11.293
2020-08-14,11.477
2020-08-15,11.477
2020-08-16,11.477
2020-08-17,11.509
2020-08-18,11.509
2020-08-19,11.365
2020-08-20,11.331
2020-08-21,11.092
2020-08-22,11.092
2020-08-23,11.092
2020-08-24,11.422
2020-08-25,11.311
2020-08-26,11.293
2020-08-27,11.306
2020-08-28,11.415
2020-08-29,11.415
2020-08-30,11.415
2020-08-31,11.283
2020-09-01,11.576
2020-09-02,11.78
2020-09-03,11.569
2020-09-04,11.641
2020-09-05,11.641
2020-09-06,11.641
2020-09-07,11.641
2020-09-08,11.316
2020-09-09,11.432
2020-09-10,11.266
2020-09-11,11.4
2020-09-12,11.4
2020-09-13,11.4
2020-09-14,11.599
2020-09-15,11.614
2020-09-16,11.805
2020-09-17,12.155
2020-09-18,12.174
2020-09-19,12.174
2020-09-20,12.174
2020-09-21,11.338
2020-09-22,11.308
2020-09-23,11.058
2020-09-24,11.08
2020-09-25,11.202
2020-09-26,11.202
2020-09-27,11.202
2020-09-28,11.454
2020-09-29,11.173
2020-09-30,11.203
2020-10-01,10.578
2020-10-02,10.811
2020-10-03,10.811
2020-10-04,10.811
2020-10-05,11.102
2020-10-06,11.02
2020-10-07,11.424
2020-10-08,11.609
2020-10-09,11.473
2020-10-10,11.473
2020-10-11,11.473
2020-10-12,11.572
2020-10-13,11.428
2020-10-14,11.595
2020-10-15,11.567
2020-10-16,11.583
2020-10-17,11.583
2020-10-18,11.583
2020-10-19,11.499
2020-10-20,11.391
2020-10-21,11.374
2020-10-22,11.717
2020-10-23,11.741
2020-10-24,11.741
2020-10-25,11.741
2020-10-26,11.295
2020-10-27,11.337
2020-10-28,10.951
2020-10-29,11.271
2020-10-30,11.229
2020-10-31,11.229
2020-11-01,11.229
2020-11-02,11.49
2020-11-03,11.767
2020-11-04,11.038
2020-11-05,11.473
2020-11-06,11.384
2020-11-07,11.384
2020-11-08,11.384
2020-11-09,11.934
2020-11-10,12.174
2020-11-11,11.946
2020-11-12,11.664
2020-11-13,11.556
2020-11-14,11.556
2020-11-15,11.556
2020-11-16,12.146
2020-11-17,12.048
2020-11-18,11.837
2020-11-19,11.817
2020-11-20,11.755
2020-11-21,11.755
2020-11-22,11.755
2020-11-23,12.005
2020-11-24,12.62
2020-11-25,12.253
2020-11-26,12.253
2020-11-27,12.318
2020-11-28,12.318
2020-11-29,12.318
2020-11-30,12.012
2020-12-01,12.287
2020-12-02,12.325
2020-12-03,12.258
2020-12-04,12.62
2020-12-05,12.62
2020-12-06,12.62
2020-12-07,12.513
2020-12-08,12.647
2020-12-09,12.623
2020-12-10,12.775
2020-12-11,12.669
2020-12-12,12.669
2020-12-13,12.669
2020-12-14,12.45
2020-12-15,12.654
2020-12-16,12.625
2020-12-17,12.403
2020-12-18,12.679
2020-12-19,12.679
2020-12-20,12.679
2020-12-21,12.729
2020-12-22,12.482
2020-12-23,12.359
2020-12-24,12.329
2020-12-25,12.329
2020-12-26,12.329
2020-12-27,12.329
2020-12-28,12.251
2020-12-29,12.244
2020-12-30,12.544
2020-12-31,12.603
2021-01-01,12.603
2021-01-02,12.603
2021-01-03,12.603
2021-01-04,12.442
2021-01-05,12.812
2021-01-06,13.511
2021-01-07,13.314
2021-01-08,12.689
2021-01-09,12.689
2021-01-10,12.689
2021-01-11,12.866
2021-01-12,13.16
2021-01-13,12.845
2021-01-14,12.839
2021-01-15,12.565
2021-01-16,12.565
2021-01-17,12.565
2021-01-18,12.565
2021-01-19,12.657
2021-01-20,12.63
2021-01-21,12.327
2021-01-22,12.408
2021-01-23,12.408
2021-01-24,12.408
2021-01-25,12.349
2021-01-26,11.96
2021-01-27,11.627
2021-01-28,11.4
2021-01-29,11.038
2021-01-30,11.038
2021-01-31,11.038
2021-02-01,11.278
2021-02-02,11.612
2021-02-03,11.885
2021-02-04,11.968
2021-02-05,12.189
2021-02-06,12.189
2021-02-07,12.189
2021-02-08,12.355
2021-02-09,12.58
2021-02-10,12.645
2021-02-11,12.619
2021-02-12,12.962
2021-02-13,12.962
2021-02-14,12.962
2021-02-15,12.962
2021-02-16,13.192
2021-02-17,13.114
2021-02-18,12.999
2021-02-19,13.353
2021-02-20,13.353
2021-02-21,13.353
2021-02-22,13.774
2021-02-23,14.002
2021-02-24,14.501
2021-02-25,14.152
2021-02-26,13.763
2021-02-27,13.763
2021-02-28,13.763
2021-03-01,14.154
2021-03-02,14.221
2021-03-03,14.333
2021-03-04,13.896
2021-03-05,14.476
2021-03-06,14.476
2021-03-07,14.476
2021-03-08,15.27
2021-03-09,15.153
2021-03-10,15.521
2021-03-11,15.606
2021-03-12,15.934
2021-03-13,15.934
