,IBP US Equity
,BEST_PE_RATIO
2020-01-01,6.489
2020-01-02,6.507
2020-01-03,6.552
2020-01-04,6.552
2020-01-05,6.552
2020-01-06,6.579
2020-01-07,6.505
2020-01-08,6.604
2020-01-09,6.535
2020-01-10,6.588
2020-01-11,6.588
2020-01-12,6.588
2020-01-13,6.718
2020-01-14,6.842
2020-01-15,7.14
2020-01-16,7.062
2020-01-17,7.041
2020-01-18,7.041
2020-01-19,7.041
2020-01-20,7.041
2020-01-21,7.166
2020-01-22,7.208
2020-01-23,7.453
2020-01-24,7.258
2020-01-25,7.258
2020-01-26,7.258
2020-01-27,7.196
2020-01-28,7.285
2020-01-29,7.221
2020-01-30,7.216
2020-01-31,6.985
2020-02-01,6.985
2020-02-02,6.985
2020-02-03,7.113
2020-02-04,7.076
2020-02-05,7.224
2020-02-06,7.204
2020-02-07,7.139
2020-02-08,7.139
2020-02-09,7.139
2020-02-10,7.153
2020-02-11,7.141
2020-02-12,7.021
2020-02-13,7.04
2020-02-14,7.103
2020-02-15,7.103
2020-02-16,7.103
2020-02-17,7.103
2020-02-18,7.092
2020-02-19,7.282
2020-02-20,7.338
2020-02-21,7.457
2020-02-22,7.457
2020-02-23,7.457
2020-02-24,7.288
2020-02-25,6.64
2020-02-26,6.564
2020-02-27,6.483
2020-02-28,6.223
2020-02-29,6.223
2020-03-01,6.223
2020-03-02,6.108
2020-03-03,6.191
2020-03-04,6.798
2020-03-05,6.54
2020-03-06,6.108
2020-03-07,6.108
2020-03-08,6.108
2020-03-09,5.064
2020-03-10,5.239
2020-03-11,4.674
2020-03-12,3.971
2020-03-13,4.399
2020-03-14,4.399
2020-03-15,4.399
2020-03-16,3.244
2020-03-17,3.449
2020-03-18,2.857
2020-03-19,3.4
2020-03-20,3.424
2020-03-21,3.424
2020-03-22,3.424
2020-03-23,3.265
2020-03-24,3.687
2020-03-25,4.185
2020-03-26,4.437
2020-03-27,4.169
2020-03-28,4.169
2020-03-29,4.169
2020-03-30,3.844
2020-03-31,3.757
2020-04-01,3.183
2020-04-02,3.237
2020-04-03,2.969
2020-04-04,2.969
2020-04-05,2.969
2020-04-06,3.597
2020-04-07,3.589
2020-04-08,4.114
2020-04-09,4.223
2020-04-10,4.223
2020-04-11,4.223
2020-04-12,4.223
2020-04-13,3.848
2020-04-14,3.908
2020-04-15,3.632
2020-04-16,3.44
2020-04-17,3.896
2020-04-18,3.896
2020-04-19,3.896
2020-04-20,3.655
2020-04-21,3.561
2020-04-22,3.517
2020-04-23,3.595
2020-04-24,3.799
2020-04-25,3.799
2020-04-26,3.799
2020-04-27,4.044
2020-04-28,4.382
2020-04-29,4.975
