,DISCK US Equity
,BEST_PE_RATIO
2020-01-01,5.646
2020-01-02,5.59
2020-01-03,5.558
2020-01-04,5.558
2020-01-05,5.558
2020-01-06,5.548
2020-01-07,5.554
2020-01-08,5.583
2020-01-09,5.6
2020-01-10,5.533
2020-01-11,5.533
2020-01-12,5.533
2020-01-13,5.52
2020-01-14,5.549
2020-01-15,5.609
2020-01-16,5.667
2020-01-17,5.644
2020-01-18,5.644
2020-01-19,5.644
2020-01-20,5.644
2020-01-21,5.572
2020-01-22,5.572
2020-01-23,5.322
2020-01-24,5.305
2020-01-25,5.305
2020-01-26,5.305
2020-01-27,5.284
2020-01-28,5.357
2020-01-29,5.228
2020-01-30,5.255
2020-01-31,5.143
2020-02-01,5.143
2020-02-02,5.143
2020-02-03,4.131
2020-02-04,4.218
2020-02-05,4.339
2020-02-06,4.26
2020-02-07,4.231
2020-02-08,4.231
2020-02-09,4.231
2020-02-10,4.233
2020-02-11,4.276
2020-02-12,4.307
2020-02-13,4.313
2020-02-14,4.288
2020-02-15,4.288
2020-02-16,4.288
2020-02-17,4.288
2020-02-18,4.351
2020-02-19,4.375
2020-02-20,4.31
2020-02-21,4.209
2020-02-22,4.209
2020-02-23,4.209
2020-02-24,4.089
2020-02-25,3.964
2020-02-26,3.831
2020-02-27,3.586
2020-02-28,3.601
2020-02-29,3.601
2020-03-01,3.601
2020-03-02,3.611
2020-03-03,3.598
2020-03-04,3.603
2020-03-05,3.418
2020-03-06,3.453
2020-03-07,3.453
2020-03-08,3.453
2020-03-09,3.113
2020-03-10,3.29
2020-03-11,3.175
2020-03-12,2.927
2020-03-13,2.94
2020-03-14,2.94
2020-03-15,2.94
2020-03-16,2.61
2020-03-17,2.698
2020-03-18,2.436
2020-03-19,2.609
2020-03-20,2.33
2020-03-21,2.33
2020-03-22,2.33
2020-03-23,2.273
2020-03-24,2.497
2020-03-25,2.599
2020-03-26,2.59
2020-03-27,2.37
2020-03-28,2.37
2020-03-29,2.37
2020-03-30,2.479
2020-03-31,2.423
2020-04-01,2.436
2020-04-02,2.358
2020-04-03,2.326
2020-04-04,2.326
2020-04-05,2.326
2020-04-06,2.497
2020-04-07,2.584
2020-04-08,2.684
2020-04-09,2.782
2020-04-10,2.782
2020-04-11,2.782
2020-04-12,2.782
2020-04-13,2.742
2020-04-14,2.796
2020-04-15,2.685
2020-04-16,2.695
2020-04-17,2.79
2020-04-18,2.79
2020-04-19,2.79
2020-04-20,2.727
2020-04-21,2.625
2020-04-22,2.563
2020-04-23,3.228
2020-04-24,3.323
2020-04-25,3.323
2020-04-26,3.323
2020-04-27,3.594
2020-04-28,3.696
2020-04-29,3.913
2020-04-30,3.55
2020-05-01,3.398
2020-05-02,3.398
2020-05-03,3.398
2020-05-04,3.467
2020-05-05,3.367
2020-05-06,3.379
2020-05-07,3.349
2020-05-08,3.434
2020-05-09,3.434
2020-05-10,3.434
2020-05-11,4.487
2020-05-12,4.35
2020-05-13,4.209
2020-05-14,4.49
2020-05-15,4.542
2020-05-16,4.542
2020-05-17,4.542
2020-05-18,4.684
2020-05-19,4.644
2020-05-20,4.64
2020-05-21,4.527
2020-05-22,4.458
2020-05-23,4.458
2020-05-24,4.458
2020-05-25,4.458
2020-05-26,4.803
2020-05-27,4.983
2020-05-28,4.836
2020-05-29,4.755
2020-05-30,4.755
2020-05-31,4.755
2020-06-01,4.818
2020-06-02,4.777
2020-06-03,4.908
2020-06-04,5.063
2020-06-05,5.425
2020-06-06,5.425
2020-06-07,5.425
2020-06-08,5.684
2020-06-09,5.223
2020-06-10,5.056
2020-06-11,4.852
2020-06-12,4.782
2020-06-13,4.782
2020-06-14,4.782
2020-06-15,4.905
2020-06-16,4.862
2020-06-17,4.854
2020-06-18,4.934
2020-06-19,4.888
2020-06-20,4.888
2020-06-21,4.888
2020-06-22,4.825
2020-06-23,4.869
2020-06-24,4.777
2020-06-25,4.677
2020-06-26,4.493
2020-06-27,4.493
2020-06-28,4.493
2020-06-29,4.697
2020-06-30,4.675
2020-07-01,4.671
2020-07-02,4.595
2020-07-03,4.595
2020-07-04,4.595
2020-07-05,4.595
2020-07-06,4.665
2020-07-07,4.459
2020-07-08,4.415
2020-07-09,4.187
2020-07-10,4.387
2020-07-11,4.387
2020-07-12,4.387
2020-07-13,4.43
2020-07-14,4.644
2020-07-15,4.916
2020-07-16,4.958
2020-07-17,4.825
2020-07-18,4.825
2020-07-19,4.825
2020-07-20,4.659
2020-07-21,4.734
2020-07-22,4.76
2020-07-23,4.807
2020-07-24,4.765
2020-07-25,4.765
2020-07-26,4.765
2020-07-27,4.704
2020-07-28,4.684
2020-07-29,4.477
2020-07-30,4.491
2020-07-31,4.498
2020-08-01,4.498
2020-08-02,4.498
2020-08-03,4.541
2020-08-04,4.674
2020-08-05,4.175
2020-08-06,4.49
2020-08-07,4.3
2020-08-08,4.3
2020-08-09,4.3
2020-08-10,4.445
2020-08-11,4.619
2020-08-12,4.471
2020-08-13,4.523
2020-08-14,4.626
2020-08-15,4.626
2020-08-16,4.626
2020-08-17,4.525
2020-08-18,4.529
2020-08-19,4.543
2020-08-20,4.516
2020-08-21,4.465
