,RS US Equity
,BEST_PE_RATIO
2020-01-01,10.761
2020-01-02,10.715
2020-01-03,10.676
2020-01-04,10.676
2020-01-05,10.676
2020-01-06,10.65
2020-01-07,10.68
2020-01-08,10.669
2020-01-09,10.755
2020-01-10,10.605
2020-01-11,10.605
2020-01-12,10.605
2020-01-13,10.83
2020-01-14,10.894
2020-01-15,10.903
2020-01-16,10.858
2020-01-17,10.918
2020-01-18,10.918
2020-01-19,10.918
2020-01-20,10.918
2020-01-21,11.079
2020-01-22,11.123
2020-01-23,11.185
2020-01-24,11.06
2020-01-25,11.06
2020-01-26,11.06
2020-01-27,10.893
2020-01-28,10.964
2020-01-29,10.873
2020-01-30,11.146
2020-01-31,10.876
2020-02-01,10.876
2020-02-02,10.876
2020-02-03,11.003
2020-02-04,11.057
2020-02-05,11.272
2020-02-06,11.235
2020-02-07,10.995
2020-02-08,10.995
2020-02-09,10.995
2020-02-10,11.038
2020-02-11,11.162
2020-02-12,11.081
2020-02-13,11.025
2020-02-14,10.994
2020-02-15,10.994
2020-02-16,10.994
2020-02-17,10.994
2020-02-18,10.991
2020-02-19,11.103
2020-02-20,10.364
2020-02-21,10.511
2020-02-22,10.511
2020-02-23,10.511
2020-02-24,10.303
2020-02-25,10.18
2020-02-26,10.29
2020-02-27,9.899
2020-02-28,9.691
2020-02-29,9.691
2020-03-01,9.691
2020-03-02,10.02
2020-03-03,9.983
2020-03-04,10.299
2020-03-05,9.974
2020-03-06,9.729
2020-03-07,9.729
2020-03-08,9.729
2020-03-09,8.929
2020-03-10,9.378
2020-03-11,9.045
2020-03-12,8.206
2020-03-13,8.206
2020-03-14,8.206
2020-03-15,8.206
2020-03-16,8.206
2020-03-17,8.206
2020-03-18,8.206
2020-03-19,8.206
2020-03-20,8.206
2020-03-21,8.206
2020-03-22,8.206
2020-03-23,8.206
2020-03-24,8.206
2020-03-25,8.206
2020-03-26,8.206
2020-03-27,8.206
2020-03-28,8.206
2020-03-29,8.206
2020-03-30,8.206
2020-03-31,8.206
2020-04-01,8.206
2020-04-02,8.206
2020-04-03,8.206
2020-04-04,8.206
2020-04-05,8.206
2020-04-06,8.206
2020-04-07,8.206
2020-04-08,8.206
2020-04-09,8.206
2020-04-10,8.206
2020-04-11,8.206
2020-04-12,8.206
2020-04-13,8.206
2020-04-14,8.206
2020-04-15,8.206
2020-04-16,8.206
2020-04-17,8.206
2020-04-18,8.206
2020-04-19,8.206
2020-04-20,8.206
2020-04-21,8.206
2020-04-22,8.206
2020-04-23,8.206
2020-04-24,8.206
2020-04-25,8.206
2020-04-26,8.206
2020-04-27,8.206
2020-04-28,8.206
2020-04-29,8.206
2020-04-30,8.206
2020-05-01,8.206
2020-05-02,8.206
2020-05-03,8.206
2020-05-04,8.206
2020-05-05,8.206
2020-05-06,8.206
2020-05-07,8.206
2020-05-08,8.206
2020-05-09,8.206
2020-05-10,8.206
2020-05-11,8.206
2020-05-12,8.206
2020-05-13,8.206
2020-05-14,8.206
2020-05-15,8.206
2020-05-16,8.206
2020-05-17,8.206
2020-05-18,8.206
2020-05-19,8.206
2020-05-20,8.206
2020-05-21,8.206
2020-05-22,8.206
2020-05-23,8.206
2020-05-24,8.206
2020-05-25,8.206
2020-05-26,8.206
2020-05-27,8.206
2020-05-28,8.206
2020-05-29,8.206
2020-05-30,8.206
2020-05-31,8.206
2020-06-01,8.206
2020-06-02,8.206
2020-06-03,8.206
2020-06-04,8.206
2020-06-05,8.206
2020-06-06,8.206
2020-06-07,8.206
2020-06-08,8.206
2020-06-09,8.206
2020-06-10,8.206
2020-06-11,8.206
2020-06-12,8.206
2020-06-13,8.206
2020-06-14,8.206
2020-06-15,8.206
2020-06-16,8.206
2020-06-17,8.206
2020-06-18,8.206
2020-06-19,8.206
2020-06-20,8.206
2020-06-21,8.206
2020-06-22,8.206
2020-06-23,8.206
2020-06-24,8.206
2020-06-25,8.206
2020-06-26,8.206
2020-06-27,8.206
2020-06-28,8.206
2020-06-29,8.206
2020-06-30,8.206
2020-07-01,8.206
2020-07-02,8.206
2020-07-03,8.206
2020-07-04,8.206
2020-07-05,8.206
2020-07-06,8.206
2020-07-07,8.206
2020-07-08,8.206
2020-07-09,8.206
