,HLIO US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,11.347
2020-07-16,11.176
2020-07-17,11.396
2020-07-18,11.396
2020-07-19,11.396
2020-07-20,11.278
2020-07-21,11.424
2020-07-22,11.306
2020-07-23,11.539
2020-07-24,11.378
2020-07-25,11.378
2020-07-26,11.378
2020-07-27,11.741
2020-07-28,11.371
2020-07-29,11.905
2020-07-30,11.859
2020-07-31,11.738
2020-08-01,11.738
2020-08-02,11.738
2020-08-03,11.871
2020-08-04,12.277
2020-08-05,11.607
2020-08-06,11.646
2020-08-07,11.923
2020-08-08,11.923
2020-08-09,11.923
2020-08-10,12.141
2020-08-11,12.254
2020-08-12,12.251
2020-08-13,12.036
2020-08-14,12.028
2020-08-15,12.028
2020-08-16,12.028
2020-08-17,11.906
2020-08-18,11.886
2020-08-19,11.762
2020-08-20,11.604
2020-08-21,11.48
2020-08-22,11.48
2020-08-23,11.48
2020-08-24,11.652
2020-08-25,11.587
2020-08-26,11.59
2020-08-27,11.556
2020-08-28,11.717
2020-08-29,11.717
2020-08-30,11.717
2020-08-31,11.612
2020-09-01,11.991
2020-09-02,12.056
2020-09-03,11.612
2020-09-04,11.598
2020-09-05,11.598
2020-09-06,11.598
2020-09-07,11.598
2020-09-08,11.305
2020-09-09,11.355
2020-09-10,11.141
2020-09-11,11.155
2020-09-12,11.155
2020-09-13,11.155
2020-09-14,11.361
2020-09-15,11.118
2020-09-16,11.042
2020-09-17,10.966
2020-09-18,10.886
2020-09-19,10.886
2020-09-20,10.886
2020-09-21,10.183
2020-09-22,10.296
2020-09-23,10.259
2020-09-24,10.248
2020-09-25,10.16
2020-09-26,10.16
2020-09-27,10.16
2020-09-28,10.432
2020-09-29,10.429
2020-09-30,10.282
2020-10-01,10.443
2020-10-02,10.579
2020-10-03,10.579
2020-10-04,10.579
2020-10-05,10.938
2020-10-06,10.995
2020-10-07,11.111
2020-10-08,11.196
2020-10-09,11.292
2020-10-10,11.292
2020-10-11,11.292
2020-10-12,12.773
2020-10-13,12.682
2020-10-14,12.448
2020-10-15,12.937
2020-10-16,12.889
2020-10-17,12.889
2020-10-18,12.889
2020-10-19,12.819
2020-10-20,13.159
2020-10-21,13.439
2020-10-22,13.485
2020-10-23,13.424
2020-10-24,13.424
