,FLO US Equity
,BEST_PE_RATIO
2020-01-01,17.846
2020-01-02,17.435
2020-01-03,17.526
2020-01-04,17.526
2020-01-05,17.526
2020-01-06,17.55
2020-01-07,17.624
2020-01-08,17.493
2020-01-09,17.747
2020-01-10,17.871
2020-01-11,17.871
2020-01-12,17.871
2020-01-13,18.01
2020-01-14,18.01
2020-01-15,18.068
2020-01-16,18.182
2020-01-17,18.15
2020-01-18,18.15
2020-01-19,18.15
2020-01-20,18.15
2020-01-21,18.076
2020-01-22,17.854
2020-01-23,17.887
2020-01-24,17.78
2020-01-25,17.78
2020-01-26,17.78
2020-01-27,17.912
2020-01-28,17.715
2020-01-29,17.879
2020-01-30,18.035
2020-01-31,17.674
2020-02-01,17.674
2020-02-02,17.674
2020-02-03,17.871
2020-02-04,17.871
2020-02-05,17.838
2020-02-06,17.944
2020-02-07,18.306
2020-02-08,18.306
2020-02-09,18.306
2020-02-10,17.386
2020-02-11,17.394
2020-02-12,17.285
2020-02-13,17.386
2020-02-14,17.487
2020-02-15,17.487
2020-02-16,17.487
2020-02-17,17.487
2020-02-18,17.308
2020-02-19,17.215
2020-02-20,17.246
2020-02-21,17.13
2020-02-22,17.13
2020-02-23,17.13
2020-02-24,17.075
2020-02-25,16.842
2020-02-26,17.285
2020-02-27,17.489
2020-02-28,16.862
2020-02-29,16.862
2020-03-01,16.862
2020-03-02,17.567
2020-03-03,17.919
2020-03-04,18.429
2020-03-05,18.248
2020-03-06,18.382
2020-03-07,18.382
2020-03-08,18.382
2020-03-09,17.559
2020-03-10,17.559
2020-03-11,17.136
2020-03-12,16.063
2020-03-13,17.708
2020-03-14,17.708
2020-03-15,17.708
2020-03-16,16.666
2020-03-17,19.016
2020-03-18,18.327
2020-03-19,17.943
2020-03-20,16.76
2020-03-21,16.76
2020-03-22,16.76
2020-03-23,15.249
2020-03-24,14.92
2020-03-25,13.894
2020-03-26,15.335
2020-03-27,15.304
2020-03-28,15.304
2020-03-29,15.304
2020-03-30,16.51
2020-03-31,16.071
2020-04-01,16.251
2020-04-02,16.049
2020-04-03,16.026
2020-04-04,16.026
2020-04-05,16.026
2020-04-06,16.563
2020-04-07,16.593
2020-04-08,16.593
2020-04-09,16.759
2020-04-10,16.759
2020-04-11,16.759
2020-04-12,16.759
2020-04-13,16.661
2020-04-14,17.515
2020-04-15,17.145
2020-04-16,17.682
2020-04-17,17.493
2020-04-18,17.493
2020-04-19,17.493
2020-04-20,17.591
2020-04-21,17.024
2020-04-22,17.084
2020-04-23,16.722
2020-04-24,16.805
2020-04-25,16.805
2020-04-26,16.805
2020-04-27,17.153
2020-04-28,17.266
2020-04-29,16.911
2020-04-30,16.555
2020-05-01,16.51
2020-05-02,16.51
2020-05-03,16.51
2020-05-04,16.272
2020-05-05,16.354
2020-05-06,15.893
2020-05-07,15.997
2020-05-08,16.622
2020-05-09,16.622
2020-05-10,16.622
2020-05-11,16.666
2020-05-12,16.681
2020-05-13,16.8
2020-05-14,16.948
2020-05-15,17.456
2020-05-16,17.456
2020-05-17,17.456
2020-05-18,17.848
2020-05-19,17.764
2020-05-20,17.595
2020-05-21,17.556
2020-05-22,17.61
2020-05-23,17.61
2020-05-24,17.61
2020-05-25,17.61
2020-05-26,17.518
2020-05-27,17.787
2020-05-28,18.01
2020-05-29,18.149
2020-05-30,18.149
2020-05-31,18.149
2020-06-01,18.11
2020-06-02,17.925
2020-06-03,17.595
2020-06-04,17.564
2020-06-05,17.664
2020-06-06,17.664
2020-06-07,17.664
2020-06-08,18.014
2020-06-09,17.921
2020-06-10,17.827
2020-06-11,17.331
2020-06-12,17.253
2020-06-13,17.253
2020-06-14,17.253
2020-06-15,17.571
2020-06-16,17.75
2020-06-17,17.827
2020-06-18,17.765
2020-06-19,17.695
2020-06-20,17.695
2020-06-21,17.695
2020-06-22,17.393
2020-06-23,17.253
2020-06-24,17.323
2020-06-25,17.323
2020-06-26,17.075
2020-06-27,17.075
2020-06-28,17.075
2020-06-29,17.238
2020-06-30,17.354
2020-07-01,17.269
2020-07-02,17.23
2020-07-03,17.23
2020-07-04,17.23
2020-07-05,17.23
2020-07-06,17.113
2020-07-07,17.09
2020-07-08,17.044
2020-07-09,16.834
2020-07-10,17.051
2020-07-11,17.051
2020-07-12,17.051
2020-07-13,16.927
2020-07-14,17.175
2020-07-15,17.075
2020-07-16,17.075
2020-07-17,16.997
2020-07-18,16.997
2020-07-19,16.997
2020-07-20,16.95
2020-07-21,17.695
2020-07-22,17.47
2020-07-23,17.486
2020-07-24,17.408
2020-07-25,17.408
2020-07-26,17.408
2020-07-27,17.509
2020-07-28,16.819
2020-07-29,16.856
2020-07-30,16.79
2020-07-31,16.909
2020-08-01,16.909
2020-08-02,16.909
2020-08-03,17.28
2020-08-04,17.503
2020-08-05,17.28
2020-08-06,17.392
2020-08-07,17.674
2020-08-08,17.674
2020-08-09,17.674
2020-08-10,15.409
2020-08-11,15.537
2020-08-12,15.754
2020-08-13,15.665
2020-08-14,15.697
2020-08-15,15.697
2020-08-16,15.697
2020-08-17,15.85
2020-08-18,16.062
2020-08-19,16.017
2020-08-20,15.889
2020-08-21,15.78
2020-08-22,15.78
2020-08-23,15.78
2020-08-24,15.927
2020-08-25,16.023
2020-08-26,15.933
2020-08-27,15.972
2020-08-28,15.759
2020-08-29,15.759
2020-08-30,15.759
2020-08-31,15.785
2020-09-01,15.598
2020-09-02,15.817
2020-09-03,15.546
2020-09-04,15.52
2020-09-05,15.52
2020-09-06,15.52
2020-09-07,15.52
2020-09-08,15.185
2020-09-09,15.314
2020-09-10,15.153
2020-09-11,15.107
2020-09-12,15.107
2020-09-13,15.107
2020-09-14,15.017
2020-09-15,15.017
2020-09-16,15.107
2020-09-17,15.114
2020-09-18,15.172
2020-09-19,15.172
2020-09-20,15.172
2020-09-21,15.133
2020-09-22,15.191
2020-09-23,15.043
2020-09-24,15.204
2020-09-25,15.314
2020-09-26,15.314
2020-09-27,15.314
2020-09-28,15.501
2020-09-29,15.553
2020-09-30,15.701
2020-10-01,15.759
2020-10-02,15.895
2020-10-03,15.895
2020-10-04,15.895
2020-10-05,16.082
2020-10-06,15.895
2020-10-07,15.869
2020-10-08,15.817
2020-10-09,15.933
2020-10-10,15.933
2020-10-11,15.933
2020-10-12,16.108
2020-10-13,16.101
2020-10-14,16.03
2020-10-15,16.101
2020-10-16,16.056
2020-10-17,16.056
2020-10-18,16.056
2020-10-19,15.914
2020-10-20,15.65
2020-10-21,15.508
2020-10-22,15.527
2020-10-23,15.65
2020-10-24,15.65
2020-10-25,15.65
2020-10-26,15.585
2020-10-27,15.617
2020-10-28,15.327
2020-10-29,15.359
2020-10-30,15.217
2020-10-31,15.217
2020-11-01,15.217
2020-11-02,15.424
2020-11-03,15.469
2020-11-04,15.598
2020-11-05,15.753
2020-11-06,14.998
2020-11-07,14.998
2020-11-08,14.998
2020-11-09,14.718
2020-11-10,14.79
2020-11-11,14.948
2020-11-12,14.645
2020-11-13,14.652
2020-11-14,14.652
2020-11-15,14.652
2020-11-16,14.501
2020-11-17,14.613
2020-11-18,14.567
2020-11-19,14.744
2020-11-20,14.645
2020-11-21,14.645
2020-11-22,14.645
2020-11-23,14.724
2020-11-24,14.823
2020-11-25,14.69
2020-11-26,14.69
2020-11-27,14.763
2020-11-28,14.763
2020-11-29,14.763
2020-11-30,14.717
2020-12-01,14.929
2020-12-02,14.67
2020-12-03,14.737
2020-12-04,14.869
2020-12-05,14.869
2020-12-06,14.869
2020-12-07,14.916
2020-12-08,14.916
2020-12-09,14.982
2020-12-10,14.883
2020-12-11,14.909
2020-12-12,14.909
2020-12-13,14.909
2020-12-14,15.194
2020-12-15,15.261
2020-12-16,15.141
2020-12-17,15.194
2020-12-18,14.962
2020-12-19,14.962
2020-12-20,14.962
2020-12-21,14.975
2020-12-22,15.029
2020-12-23,15.254
2020-12-24,15.36
2020-12-25,15.36
2020-12-26,15.36
2020-12-27,15.36
2020-12-28,15.241
2020-12-29,15.115
2020-12-30,14.989
2020-12-31,15.009
2021-01-01,15.009
2021-01-02,15.009
2021-01-03,15.009
2021-01-04,15.194
2021-01-05,15.055
2021-01-06,15.035
2021-01-07,14.889
2021-01-08,14.677
2021-01-09,14.677
2021-01-10,14.677
2021-01-11,14.677
2021-01-12,14.551
2021-01-13,14.458
2021-01-14,14.684
2021-01-15,14.823
2021-01-16,14.823
2021-01-17,14.823
2021-01-18,14.823
2021-01-19,14.624
2021-01-20,14.823
2021-01-21,14.69
2021-01-22,14.883
2021-01-23,14.883
2021-01-24,14.883
2021-01-25,15.221
2021-01-26,15.254
2021-01-27,15.387
2021-01-28,15.36
2021-01-29,15.227
2021-01-30,15.227
2021-01-31,15.227
2021-02-01,14.982
2021-02-02,15.009
2021-02-03,14.764
2021-02-04,15.026
2021-02-05,15.074
2021-02-06,15.074
2021-02-07,15.074
2021-02-08,15.188
2021-02-09,15.276
2021-02-10,15.255
2021-02-11,15.074
2021-02-12,15.293
