,DHI US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,7.918
2020-01-29,7.834
2020-01-30,7.779
2020-01-31,7.637
2020-02-01,7.637
2020-02-02,7.637
2020-02-03,7.578
2020-02-04,7.44
2020-02-05,7.699
2020-02-06,7.818
2020-02-07,7.853
2020-02-08,7.853
2020-02-09,7.853
2020-02-10,7.959
2020-02-11,8.003
2020-02-12,7.97
2020-02-13,7.979
2020-02-14,7.997
2020-02-15,7.997
2020-02-16,7.997
2020-02-17,7.997
2020-02-18,7.999
2020-02-19,8.006
2020-02-20,8.028
2020-02-21,8.006
2020-02-22,8.006
2020-02-23,8.006
2020-02-24,7.818
2020-02-25,7.515
2020-02-26,7.319
2020-02-27,7.227
2020-02-28,6.892
2020-02-29,6.892
2020-03-01,6.892
2020-03-02,7.094
2020-03-03,7.192
2020-03-04,7.576
2020-03-05,7.337
2020-03-06,7.09
2020-03-07,7.09
2020-03-08,7.09
2020-03-09,6.355
2020-03-10,6.597
2020-03-11,5.902
2020-03-12,5.074
2020-03-13,5.084
2020-03-14,5.084
2020-03-15,5.084
2020-03-16,4.056
2020-03-17,4.04
2020-03-18,3.723
2020-03-19,3.883
2020-03-20,4.06
2020-03-21,4.06
2020-03-22,4.06
2020-03-23,3.824
2020-03-24,4.255
2020-03-25,4.791
2020-03-26,5.081
2020-03-27,4.771
2020-03-28,4.771
2020-03-29,4.771
2020-03-30,4.766
2020-03-31,4.399
2020-04-01,4.228
2020-04-02,4.218
2020-04-03,4.383
2020-04-04,4.383
2020-04-05,4.383
2020-04-06,5.025
2020-04-07,4.983
2020-04-08,5.407
2020-04-09,5.596
2020-04-10,5.596
2020-04-11,5.596
2020-04-12,5.596
2020-04-13,5.268
2020-04-14,5.476
2020-04-15,5.143
2020-04-16,5.277
2020-04-17,5.438
2020-04-18,5.438
2020-04-19,5.438
2020-04-20,5.221
2020-04-21,5.184
2020-04-22,5.303
2020-04-23,5.343
2020-04-24,5.583
2020-04-25,5.583
2020-04-26,5.583
2020-04-27,5.742
2020-04-28,6.399
2020-04-29,6.527
2020-04-30,6.349
2020-05-01,6.257
2020-05-02,6.257
2020-05-03,6.257
2020-05-04,6.202
2020-05-05,6.376
2020-05-06,6.354
2020-05-07,6.341
2020-05-08,6.692
2020-05-09,6.692
2020-05-10,6.692
2020-05-11,6.549
2020-05-12,6.353
2020-05-13,6.166
2020-05-14,6.229
2020-05-15,6.371
2020-05-16,6.371
2020-05-17,6.371
2020-05-18,7.005
2020-05-19,7.015
2020-05-20,7.071
2020-05-21,7.152
2020-05-22,7.295
2020-05-23,7.295
2020-05-24,7.295
2020-05-25,7.295
2020-05-26,7.542
2020-05-27,7.939
2020-05-28,7.545
2020-05-29,7.463
2020-05-30,7.463
2020-05-31,7.463
2020-06-01,7.421
2020-06-02,7.449
2020-06-03,7.648
2020-06-04,7.231
2020-06-05,7.622
2020-06-06,7.622
2020-06-07,7.622
2020-06-08,7.438
2020-06-09,7.494
2020-06-10,7.595
2020-06-11,6.892
2020-06-12,7.287
2020-06-13,7.287
2020-06-14,7.287
2020-06-15,7.541
2020-06-16,7.828
2020-06-17,7.899
2020-06-18,7.734
2020-06-19,7.565
2020-06-20,7.565
2020-06-21,7.565
2020-06-22,7.618
2020-06-23,7.611
2020-06-24,7.299
2020-06-25,7.302
2020-06-26,7.156
2020-06-27,7.156
2020-06-28,7.156
2020-06-29,7.371
2020-06-30,7.483
2020-07-01,7.268
2020-07-02,7.297
2020-07-03,7.297
2020-07-04,7.297
2020-07-05,7.297
2020-07-06,7.546
2020-07-07,7.631
2020-07-08,7.942
2020-07-09,7.832
2020-07-10,7.916
2020-07-11,7.916
2020-07-12,7.916
2020-07-13,7.68
2020-07-14,7.982
2020-07-15,8.104
2020-07-16,8.44
2020-07-17,8.567
2020-07-18,8.567
2020-07-19,8.567
2020-07-20,8.569
2020-07-21,8.463
2020-07-22,8.745
2020-07-23,8.621
2020-07-24,8.603
2020-07-25,8.603
2020-07-26,8.603
2020-07-27,8.984
2020-07-28,8.715
2020-07-29,7.884
2020-07-30,7.818
2020-07-31,7.831
2020-08-01,7.831
2020-08-02,7.831
2020-08-03,8.087
2020-08-04,7.971
2020-08-05,8.06
2020-08-06,8.004
2020-08-07,8.094
2020-08-08,8.094
2020-08-09,8.094
2020-08-10,8.25
2020-08-11,8.193
2020-08-12,8.456
2020-08-13,8.482
2020-08-14,8.472
2020-08-15,8.472
2020-08-16,8.472
2020-08-17,8.702
2020-08-18,8.727
2020-08-19,8.785
2020-08-20,8.853
2020-08-21,9.134
2020-08-22,9.134
2020-08-23,9.134
2020-08-24,9.039
2020-08-25,8.957
2020-08-26,8.79
2020-08-27,8.604
2020-08-28,8.525
2020-08-29,8.525
2020-08-30,8.525
2020-08-31,8.469
2020-09-01,8.706
2020-09-02,8.65
2020-09-03,8.373
2020-09-04,8.097
2020-09-05,8.097
2020-09-06,8.097
2020-09-07,8.097
2020-09-08,8.071
