,GRA US Equity
,BEST_PE_RATIO
2020-01-01,12.713
2020-01-02,12.713
2020-01-03,12.613
2020-01-04,12.613
2020-01-05,12.613
2020-01-06,12.483
2020-01-07,12.452
2020-01-08,12.498
2020-01-09,12.472
2020-01-10,12.552
2020-01-11,12.552
2020-01-12,12.552
2020-01-13,12.629
2020-01-14,12.686
2020-01-15,12.868
2020-01-16,13.085
2020-01-17,13.016
2020-01-18,13.016
2020-01-19,13.016
2020-01-20,13.016
2020-01-21,13.033
2020-01-22,12.914
2020-01-23,12.849
2020-01-24,12.692
2020-01-25,12.692
2020-01-26,12.692
2020-01-27,12.538
2020-01-28,12.631
2020-01-29,12.699
2020-01-30,12.576
2020-01-31,12.331
2020-02-01,12.331
2020-02-02,12.331
2020-02-03,12.172
2020-02-04,11.634
2020-02-05,11.647
2020-02-06,11.541
2020-02-07,11.388
2020-02-08,11.388
2020-02-09,11.388
2020-02-10,11.491
2020-02-11,11.675
2020-02-12,11.738
2020-02-13,11.768
2020-02-14,11.733
2020-02-15,11.733
2020-02-16,11.733
2020-02-17,11.733
2020-02-18,11.662
2020-02-19,11.822
2020-02-20,11.883
2020-02-21,11.76
2020-02-22,11.76
2020-02-23,11.76
2020-02-24,11.235
2020-02-25,10.772
2020-02-26,10.619
2020-02-27,10.153
2020-02-28,10.587
2020-02-29,10.587
2020-03-01,10.587
2020-03-02,10.941
2020-03-03,10.709
2020-03-04,10.578
2020-03-05,10.203
2020-03-06,10.074
2020-03-07,10.074
2020-03-08,10.074
2020-03-09,8.593
2020-03-10,8.912
2020-03-11,8.73
2020-03-12,8.139
2020-03-13,7.83
2020-03-14,7.83
2020-03-15,7.83
2020-03-16,6.399
2020-03-17,5.978
2020-03-18,5.252
2020-03-19,5.909
2020-03-20,5.965
2020-03-21,5.965
2020-03-22,5.965
2020-03-23,5.893
2020-03-24,6.303
2020-03-25,6.629
2020-03-26,7.451
2020-03-27,7.466
2020-03-28,7.466
2020-03-29,7.466
2020-03-30,7.51
2020-03-31,7.149
2020-04-01,6.781
2020-04-02,6.837
2020-04-03,6.941
2020-04-04,6.941
2020-04-05,6.941
2020-04-06,7.824
2020-04-07,8.337
2020-04-08,8.562
2020-04-09,9.052
2020-04-10,9.052
2020-04-11,9.052
2020-04-12,9.052
2020-04-13,8.594
2020-04-14,8.566
2020-04-15,8.123
2020-04-16,8.02
2020-04-17,8.615
2020-04-18,8.615
2020-04-19,8.615
2020-04-20,8.502
2020-04-21,8.206
2020-04-22,8.406
2020-04-23,8.738
2020-04-24,8.973
2020-04-25,8.973
2020-04-26,8.973
2020-04-27,9.411
2020-04-28,9.696
2020-04-29,10.686
2020-04-30,10.693
2020-05-01,10.517
2020-05-02,10.517
2020-05-03,10.517
2020-05-04,11.01
2020-05-05,11.412
2020-05-06,11.476
2020-05-07,11.708
2020-05-08,12.491
2020-05-09,12.491
2020-05-10,12.491
2020-05-11,12.261
2020-05-12,11.7
2020-05-13,10.931
2020-05-14,11.153
2020-05-15,11.227
2020-05-16,11.227
2020-05-17,11.227
2020-05-18,11.967
2020-05-19,11.967
2020-05-20,12.3
2020-05-21,12.392
2020-05-22,12.554
2020-05-23,12.554
2020-05-24,12.554
2020-05-25,12.554
2020-05-26,13.093
2020-05-27,13.119
2020-05-28,12.576
2020-05-29,12.609
2020-05-30,12.609
2020-05-31,12.609
2020-06-01,12.798
2020-06-02,13.064
2020-06-03,13.692
2020-06-04,13.829
2020-06-05,13.974
2020-06-06,13.974
2020-06-07,13.974
2020-06-08,14.139
2020-06-09,13.989
2020-06-10,13.602
2020-06-11,12.151
2020-06-12,12.187
2020-06-13,12.187
2020-06-14,12.187
2020-06-15,12.315
2020-06-16,12.468
2020-06-17,11.948
2020-06-18,12.011
2020-06-19,12.144
2020-06-20,12.144
2020-06-21,12.144
2020-06-22,12.069
2020-06-23,12.129
2020-06-24,11.587
2020-06-25,11.943
2020-06-26,11.837
2020-06-27,11.837
2020-06-28,11.837
2020-06-29,12.173
2020-06-30,12.289
2020-07-01,12.55
2020-07-02,12.461
2020-07-03,12.461
2020-07-04,12.461
2020-07-05,12.461
2020-07-06,12.393
2020-07-07,12.11
2020-07-08,11.936
2020-07-09,11.503
2020-07-10,11.691
2020-07-11,11.691
2020-07-12,11.691
2020-07-13,11.609
2020-07-14,11.786
2020-07-15,12.28
2020-07-16,12.241
2020-07-17,12.186
2020-07-18,12.186
2020-07-19,12.186
2020-07-20,11.891
2020-07-21,12.055
2020-07-22,12.077
2020-07-23,12.074
2020-07-24,11.99
2020-07-25,11.99
2020-07-26,11.99
2020-07-27,12.096
2020-07-28,11.833
2020-07-29,12.106
2020-07-30,11.502
2020-07-31,11.218
2020-08-01,11.218
2020-08-02,11.218
2020-08-03,11.072
2020-08-04,11.224
2020-08-05,11.249
2020-08-06,11.247
2020-08-07,11.556
2020-08-08,11.556
2020-08-09,11.556
2020-08-10,11.62
2020-08-11,11.706
2020-08-12,11.531
2020-08-13,11.369
2020-08-14,11.205
2020-08-15,11.205
2020-08-16,11.205
2020-08-17,11.015
2020-08-18,10.79
2020-08-19,10.54
2020-08-20,10.582
2020-08-21,10.273
2020-08-22,10.273
2020-08-23,10.273
2020-08-24,10.782
2020-08-25,10.493
2020-08-26,10.408
2020-08-27,10.643
2020-08-28,10.559
2020-08-29,10.559
2020-08-30,10.559
2020-08-31,10.098
2020-09-01,10.428
2020-09-02,10.767
2020-09-03,10.433
2020-09-04,10.601
2020-09-05,10.601
2020-09-06,10.601
2020-09-07,10.601
2020-09-08,10.606
2020-09-09,10.591
2020-09-10,10.594
2020-09-11,10.713
2020-09-12,10.713
2020-09-13,10.713
2020-09-14,10.864
2020-09-15,10.75
2020-09-16,11.006
2020-09-17,11.731
2020-09-18,11.208
2020-09-19,11.208
2020-09-20,11.208
2020-09-21,10.582
2020-09-22,10.136
2020-09-23,9.967
2020-09-24,10.301
2020-09-25,10.334
2020-09-26,10.334
2020-09-27,10.334
2020-09-28,10.441
2020-09-29,10.141
2020-09-30,10.049
2020-10-01,9.864
2020-10-02,10.002
2020-10-03,10.002
2020-10-04,10.002
2020-10-05,10.056
2020-10-06,9.98
2020-10-07,10.1
2020-10-08,10.381
2020-10-09,10.329
2020-10-10,10.329
2020-10-11,10.329
2020-10-12,10.263
2020-10-13,10.055
2020-10-14,10.976
2020-10-15,12.008
2020-10-16,11.652
2020-10-17,11.652
2020-10-18,11.652
2020-10-19,11.627
2020-10-20,11.753
2020-10-21,11.819
2020-10-22,12.045
2020-10-23,12.29
2020-10-24,12.29
2020-10-25,12.29
2020-10-26,11.864
2020-10-27,11.732
2020-10-28,10.965
2020-10-29,11.454
2020-10-30,11.357
2020-10-31,11.357
2020-11-01,11.357
2020-11-02,11.482
2020-11-03,11.464
2020-11-04,11.158
2020-11-05,11.604
2020-11-06,11.428
2020-11-07,11.428
2020-11-08,11.428
2020-11-09,14.529
2020-11-10,14.118
2020-11-11,13.983
