,OMC US Equity
,BEST_PE_RATIO
2020-01-01,9.29
2020-01-02,9.158
2020-01-03,9.165
2020-01-04,9.165
2020-01-05,9.165
2020-01-06,9.119
2020-01-07,9.071
2020-01-08,9.095
2020-01-09,9.144
2020-01-10,9.087
2020-01-11,9.087
2020-01-12,9.087
2020-01-13,9.136
2020-01-14,9.131
2020-01-15,9.111
2020-01-16,9.139
2020-01-17,9.229
2020-01-18,9.229
2020-01-19,9.229
2020-01-20,9.229
2020-01-21,9.204
2020-01-22,9.112
2020-01-23,9.03
2020-01-24,8.909
2020-01-25,8.909
2020-01-26,8.909
2020-01-27,8.814
2020-01-28,8.794
2020-01-29,9.522
2020-01-30,8.733
2020-01-31,8.655
2020-02-01,8.655
2020-02-02,8.655
2020-02-03,8.693
2020-02-04,8.818
2020-02-05,8.938
2020-02-06,8.802
2020-02-07,8.705
2020-02-08,8.705
2020-02-09,8.705
2020-02-10,8.849
2020-02-11,8.921
2020-02-12,8.442
2020-02-13,8.515
2020-02-14,8.257
2020-02-15,8.257
2020-02-16,8.257
2020-02-17,8.257
2020-02-18,8.307
2020-02-19,8.308
2020-02-20,8.325
2020-02-21,8.271
2020-02-22,8.271
2020-02-23,8.271
2020-02-24,8.056
2020-02-25,7.822
2020-02-26,7.652
2020-02-27,7.346
2020-02-28,7.321
2020-02-29,7.321
2020-03-01,7.321
2020-03-02,7.435
2020-03-03,7.311
2020-03-04,7.5
2020-03-05,7.198
2020-03-06,6.955
2020-03-07,6.955
2020-03-08,6.955
2020-03-09,6.443
2020-03-10,7.046
2020-03-11,6.831
2020-03-12,6.208
2020-03-13,6.907
2020-03-14,6.907
2020-03-15,6.907
2020-03-16,6.283
2020-03-17,6.533
2020-03-18,6.151
2020-03-19,6.021
2020-03-20,5.435
2020-03-21,5.435
2020-03-22,5.435
2020-03-23,5.876
2020-03-24,6.262
2020-03-25,6.345
2020-03-26,6.855
2020-03-27,6.323
2020-03-28,6.323
2020-03-29,6.323
2020-03-30,6.681
2020-03-31,6.678
2020-04-01,6.285
2020-04-02,6.339
2020-04-03,6.032
2020-04-04,6.032
2020-04-05,6.032
2020-04-06,6.532
2020-04-07,5.384
2020-04-08,5.425
2020-04-09,5.636
2020-04-10,5.636
2020-04-11,5.636
