,ED US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,14.316
2020-01-18,14.316
2020-01-19,14.316
2020-01-20,14.316
2020-01-21,14.41
2020-01-22,14.462
2020-01-23,14.717
2020-01-24,14.851
2020-01-25,14.851
2020-01-26,14.851
2020-01-27,14.819
2020-01-28,14.941
2020-01-29,14.982
2020-01-30,15.03
2020-01-31,14.913
2020-02-01,14.913
2020-02-02,14.913
2020-02-03,14.889
2020-02-04,14.681
2020-02-05,14.817
2020-02-06,14.829
2020-02-07,14.719
2020-02-08,14.719
2020-02-09,14.719
2020-02-10,14.767
2020-02-11,14.783
2020-02-12,14.733
2020-02-13,14.856
2020-02-14,14.96
2020-02-15,14.96
2020-02-16,14.96
2020-02-17,14.96
2020-02-18,15.091
2020-02-19,15.015
2020-02-20,15.127
2020-02-21,14.424
2020-02-22,14.424
2020-02-23,14.424
2020-02-24,14.217
2020-02-25,14.115
2020-02-26,14.025
2020-02-27,13.306
2020-02-28,12.607
2020-02-29,12.607
2020-03-01,12.607
2020-03-02,13.52
2020-03-03,13.41
2020-03-04,14.077
2020-03-05,14.008
2020-03-06,14.059
2020-03-07,14.059
2020-03-08,14.059
2020-03-09,14.18
2020-03-10,14.299
2020-03-11,14.299
2020-03-12,14.299
2020-03-13,14.299
2020-03-14,14.299
2020-03-15,14.299
2020-03-16,14.299
2020-03-17,14.299
2020-03-18,14.299
2020-03-19,14.299
2020-03-20,14.299
2020-03-21,14.299
2020-03-22,14.299
2020-03-23,14.299
2020-03-24,14.299
2020-03-25,14.299
2020-03-26,14.299
2020-03-27,14.299
2020-03-28,14.299
2020-03-29,14.299
2020-03-30,14.299
2020-03-31,14.299
2020-04-01,14.299
2020-04-02,14.299
2020-04-03,14.299
2020-04-04,14.299
2020-04-05,14.299
2020-04-06,14.299
2020-04-07,14.299
2020-04-08,14.299
2020-04-09,14.299
2020-04-10,14.299
2020-04-11,14.299
2020-04-12,14.299
2020-04-13,14.299
2020-04-14,14.299
2020-04-15,14.299
2020-04-16,14.299
2020-04-17,14.299
2020-04-18,14.299
2020-04-19,14.299
2020-04-20,14.299
2020-04-21,14.299
2020-04-22,14.299
2020-04-23,14.299
2020-04-24,14.299
2020-04-25,14.299
2020-04-26,14.299
2020-04-27,14.299
2020-04-28,14.299
2020-04-29,14.299
2020-04-30,14.299
2020-05-01,14.299
2020-05-02,14.299
2020-05-03,14.299
2020-05-04,14.299
2020-05-05,14.299
2020-05-06,14.299
2020-05-07,14.299
2020-05-08,10.819
2020-05-09,10.819
2020-05-10,10.819
2020-05-11,11.385
2020-05-12,11.674
2020-05-13,11.653
2020-05-14,11.682
2020-05-15,11.474
2020-05-16,11.474
2020-05-17,11.474
2020-05-18,11.922
2020-05-19,11.558
2020-05-20,11.536
2020-05-21,11.402
2020-05-22,11.444
2020-05-23,11.444
2020-05-24,11.444
2020-05-25,11.444
2020-05-26,11.609
2020-05-27,11.619
2020-05-28,11.929
2020-05-29,12.24
2020-05-30,12.24
2020-05-31,12.24
2020-06-01,12.242
2020-06-02,12.201
2020-06-03,12.339
2020-06-04,12.202
2020-06-05,12.284
2020-06-06,12.284
2020-06-07,12.284
2020-06-08,12.672
2020-06-09,12.507
2020-06-10,12.548
2020-06-11,12.176
2020-06-12,12.292
2020-06-13,12.292
2020-06-14,12.292
2020-06-15,12.393
2020-06-16,12.519
2020-06-17,12.342
2020-06-18,12.273
2020-06-19,11.711
2020-06-20,11.711
2020-06-21,11.711
2020-06-22,11.708
2020-06-23,11.629
2020-06-24,11.726
2020-06-25,11.577
2020-06-26,11.685
2020-06-27,11.685
2020-06-28,11.685
2020-06-29,11.918
2020-06-30,11.791
2020-07-01,11.983
2020-07-02,12.1
2020-07-03,12.1
2020-07-04,12.1
2020-07-05,12.1
2020-07-06,11.983
2020-07-07,11.885
2020-07-08,11.873
2020-07-09,11.755
2020-07-10,11.882
2020-07-11,11.882
2020-07-12,11.882
2020-07-13,11.829
2020-07-14,11.831
2020-07-15,11.723
2020-07-16,11.777
2020-07-17,12.142
2020-07-18,12.142
2020-07-19,12.142
2020-07-20,12.01
2020-07-21,12.177
2020-07-22,12.419
2020-07-23,12.5
2020-07-24,12.39
2020-07-25,12.39
2020-07-26,12.39
2020-07-27,12.255
2020-07-28,12.518
2020-07-29,12.573
2020-07-30,12.613
2020-07-31,12.595
2020-08-01,12.595
2020-08-02,12.595
2020-08-03,12.444
2020-08-04,12.442
2020-08-05,12.075
2020-08-06,12.118
2020-08-07,12.313
2020-08-08,12.313
2020-08-09,12.313
2020-08-10,12.357
2020-08-11,12.01
2020-08-12,12.173
2020-08-13,12.093
2020-08-14,12.054
2020-08-15,12.054
2020-08-16,12.054
2020-08-17,12.198
2020-08-18,12.149
2020-08-19,12.164
2020-08-20,11.992
2020-08-21,11.959
2020-08-22,11.959
2020-08-23,11.959
2020-08-24,12.31
2020-08-25,12.093
2020-08-26,11.723
2020-08-27,11.772
2020-08-28,11.747
2020-08-29,11.747
2020-08-30,11.747
2020-08-31,11.816
2020-09-01,11.536
2020-09-02,11.964
2020-09-03,11.992
2020-09-04,11.885
2020-09-05,11.885
2020-09-06,11.885
