,VZ US Equity
,BEST_PE_RATIO
2020-01-01,8.337
2020-01-02,8.29
2020-01-03,8.201
2020-01-04,8.201
2020-01-05,8.201
2020-01-06,8.184
2020-01-07,8.093
2020-01-08,8.108
2020-01-09,8.074
2020-01-10,8.093
2020-01-11,8.093
2020-01-12,8.093
2020-01-13,8.115
2020-01-14,8.1
2020-01-15,8.108
2020-01-16,8.187
2020-01-17,8.25
2020-01-18,8.25
2020-01-19,8.25
2020-01-20,8.25
2020-01-21,8.276
2020-01-22,8.298
2020-01-23,8.302
2020-01-24,8.27
2020-01-25,8.27
2020-01-26,8.27
2020-01-27,8.22
2020-01-28,8.328
2020-01-29,8.167
2020-01-30,8.259
2020-01-31,8.27
2020-02-01,8.27
2020-02-02,8.27
2020-02-03,8.076
2020-02-04,8.11
2020-02-05,8.227
2020-02-06,8.27
2020-02-07,8.339
2020-02-08,8.339
2020-02-09,8.339
2020-02-10,8.381
2020-02-11,8.165
2020-02-12,8.101
2020-02-13,8.16
2020-02-14,8.14
2020-02-15,8.14
2020-02-16,8.14
2020-02-17,8.14
2020-02-18,8.057
2020-02-19,8.1
2020-02-20,8.082
2020-02-21,8.097
2020-02-22,8.097
2020-02-23,8.097
2020-02-24,8.068
2020-02-25,7.947
2020-02-26,7.95
2020-02-27,7.66
2020-02-28,7.535
2020-02-29,7.535
2020-03-01,7.535
2020-03-02,7.975
2020-03-03,7.749
2020-03-04,8.086
2020-03-05,7.953
2020-03-06,7.912
2020-03-07,7.912
2020-03-08,7.912
2020-03-09,7.767
2020-03-10,7.863
2020-03-11,7.628
2020-03-12,7.123
2020-03-13,7.537
2020-03-14,7.537
2020-03-15,7.537
2020-03-16,7.094
2020-03-17,7.556
2020-03-18,7.557
2020-03-19,7.46
2020-03-20,7.207
2020-03-21,7.207
2020-03-22,7.207
2020-03-23,6.999
2020-03-24,6.955
2020-03-25,6.948
2020-03-26,7.449
2020-03-27,7.413
2020-03-28,7.413
2020-03-29,7.413
2020-03-30,7.694
2020-03-31,7.548
2020-04-01,7.434
2020-04-02,7.762
2020-04-03,7.691
2020-04-04,7.691
2020-04-05,7.691
2020-04-06,7.973
2020-04-07,8.077
2020-04-08,8.193
2020-04-09,8.229
2020-04-10,8.229
2020-04-11,8.229
2020-04-12,8.229
2020-04-13,8.119
2020-04-14,8.33
2020-04-15,8.156
2020-04-16,8.261
2020-04-17,8.375
2020-04-18,8.375
2020-04-19,8.375
2020-04-20,8.328
2020-04-21,8.14
2020-04-22,8.308
2020-04-23,8.251
2020-04-24,8.521
2020-04-25,8.521
2020-04-26,8.521
2020-04-27,8.503
2020-04-28,8.506
2020-04-29,8.475
2020-04-30,8.226
2020-05-01,8.328
2020-05-02,8.328
2020-05-03,8.328
2020-05-04,8.242
2020-05-05,8.281
2020-05-06,8.154
2020-05-07,8.145
2020-05-08,8.353
2020-05-09,8.353
2020-05-10,8.353
2020-05-11,8.265
2020-05-12,8.128
2020-05-13,8.038
2020-05-14,8.047
2020-05-15,8.018
2020-05-16,8.018
2020-05-17,8.018
