,JLL US Equity
2020-09-13,6.948
2020-09-14,7.306
2020-09-15,7.379
2020-09-16,7.374
2020-09-17,7.315
2020-09-18,7.119
2020-09-19,7.119
2020-09-20,7.119
2020-09-21,6.809
2020-09-22,6.613
2020-09-23,6.364
2020-09-24,6.505
2020-09-25,6.552
2020-09-26,6.552
2020-09-27,6.552
2020-09-28,6.722
2020-09-29,6.629
2020-09-30,6.597
2020-10-01,6.655
2020-10-02,6.841
2020-10-03,6.841
2020-10-04,6.841
2020-10-05,7.005
2020-10-06,7.174
2020-10-07,7.272
2020-10-08,7.446
2020-10-09,7.388
2020-10-10,7.388
2020-10-11,7.388
2020-10-12,7.465
2020-10-13,7.455
2020-10-14,7.472
2020-10-15,7.609
2020-10-16,7.506
2020-10-17,7.506
2020-10-18,7.506
2020-10-19,7.526
2020-10-20,7.574
2020-10-21,7.614
2020-10-22,7.631
2020-10-23,7.662
2020-10-24,7.662
2020-10-25,7.662
2020-10-26,7.566
2020-10-27,7.251
2020-10-28,6.961
2020-10-29,7.747
2020-10-30,7.73
2020-10-31,7.73
2020-11-01,7.73
2020-11-02,8.07
2020-11-03,7.895
2020-11-04,7.81
2020-11-05,8.208
2020-11-06,7.997
2020-11-07,7.997
2020-11-08,7.997
2020-11-09,9.392
2020-11-10,9.154
2020-11-11,8.864
2020-11-12,8.746
2020-11-13,9.072
2020-11-14,9.072
2020-11-15,9.072
2020-11-16,9.455
2020-11-17,9.645
2020-11-18,9.425
2020-11-19,9.194
2020-11-20,9.028
2020-11-21,9.028
2020-11-22,9.028
2020-11-23,9.314
2020-11-24,9.639
2020-11-25,9.401
2020-11-26,9.401
2020-11-27,9.175
2020-11-28,9.175
2020-11-29,9.175
2020-11-30,9.061
2020-12-01,9.172
2020-12-02,9.261
2020-12-03,9.516
2020-12-04,9.939
2020-12-05,9.939
2020-12-06,9.939
2020-12-07,10.131
2020-12-08,10.22
2020-12-09,10.281
2020-12-10,10.457
2020-12-11,10.155
2020-12-12,10.155
2020-12-13,10.155
2020-12-14,9.956
2020-12-15,10.334
2020-12-16,10.356
2020-12-17,10.103
2020-12-18,10.16
2020-12-19,10.16
2020-12-20,10.16
2020-12-21,10.045
2020-12-22,10.21
2020-12-23,10.401
2020-12-24,10.532
2020-12-25,10.532
2020-12-26,10.532
2020-12-27,10.532
2020-12-28,10.466
2020-12-29,10.334
2020-12-30,10.221
2020-12-31,10.162
2021-01-01,10.162
2021-01-02,10.162
2021-01-03,10.162
2021-01-04,9.749
2021-01-05,9.816
2021-01-06,9.107
2021-01-07,9.087
2021-01-08,9.198
2021-01-09,9.198
2021-01-10,9.198
2021-01-11,9.229
2021-01-12,9.388
2021-01-13,9.047
2021-01-14,9.159
2021-01-15,9.112
2021-01-16,9.112
2021-01-17,9.112
2021-01-18,9.112
2021-01-19,9.199
2021-01-20,9.469
2021-01-21,9.483
2021-01-22,9.662
2021-01-23,9.662
2021-01-24,9.662
2021-01-25,9.586
2021-01-26,9.23
2021-01-27,9.2
2021-01-28,9.292
2021-01-29,8.834
2021-01-30,8.834
2021-01-31,8.834
2021-02-01,9.137
2021-02-02,9.207
2021-02-03,9.063
2021-02-04,9.261
2021-02-05,9.321
2021-02-06,9.321
2021-02-07,9.321
2021-02-08,9.469
2021-02-09,9.444
2021-02-10,9.353
2021-02-11,9.499
2021-02-12,9.438
2021-02-13,9.438
2021-02-14,9.438
2021-02-15,9.438
2021-02-16,9.385
2021-02-17,9.177
2021-02-18,9.127
2021-02-19,9.51
2021-02-20,9.51
2021-02-21,9.51
2021-02-22,10.095
2021-02-23,10.428
2021-02-24,10.568
2021-02-25,10.391
2021-02-26,10.544
2021-02-27,10.544
2021-02-28,10.544
2021-03-01,10.844
2021-03-02,10.803
2021-03-03,11.017
2021-03-04,10.544
2021-03-05,10.738
2021-03-06,10.738
2021-03-07,10.738
2021-03-08,10.745
2021-03-09,10.64
2021-03-10,10.551
2021-03-11,10.622
2021-03-12,10.655
2021-03-13,10.655
2021-03-14,10.655
2021-03-15,10.916
2021-03-16,10.896
2021-03-17,11.101
2021-03-18,10.987
2021-03-19,10.817
2021-03-20,10.817
2021-03-21,10.817
2021-03-22,10.841
2021-03-23,10.671
2021-03-24,10.548
2021-03-25,10.824
2021-03-26,11.192
2021-03-27,11.192
2021-03-28,11.192
2021-03-29,10.986
2021-03-30,11.071
2021-03-31,11.066
2021-04-01,11.404
2021-04-02,11.404
2021-04-03,11.404
2021-04-04,11.404
2021-04-05,11.262
2021-04-06,11.057
2021-04-07,10.951
2021-04-08,11.044
2021-04-09,11.11
2021-04-10,11.11
2021-04-11,11.11
2021-04-12,11.032
2021-04-13,10.859
2021-04-14,10.887
2021-04-15,10.943
2021-04-16,10.859
2021-04-17,10.859
2021-04-18,10.859
2021-04-19,10.869
2021-04-20,10.69
2021-04-21,10.764
2021-04-22,10.678
2021-04-23,10.801
2021-04-24,10.801
2021-04-25,10.801
2021-04-26,10.856
2021-04-27,10.968
2021-04-28,10.828
2021-04-29,11.279
2021-04-30,11.388
2021-05-01,11.388
2021-05-02,11.388
2021-05-03,11.603
2021-05-04,11.578
2021-05-05,11.256
2021-05-06,12.113
2021-05-07,12.478
2021-05-08,12.478
2021-05-09,12.478
2021-05-10,12.571
2021-05-11,12.443
2021-05-12,12.422
2021-05-13,12.497
2021-05-14,12.568
2021-05-15,12.568
2021-05-16,12.568
2021-05-17,12.722
2021-05-18,12.603
2021-05-19,12.771
2021-05-20,12.986
2021-05-21,12.971
2021-05-22,12.971
2021-05-23,12.971
2021-05-24,13.107
2021-05-25,12.799
2021-05-26,12.821
2021-05-27,12.631
2021-05-28,12.68
2021-05-29,12.68
2021-05-30,12.68
2021-05-31,12.68
2021-06-01,12.85
2021-06-02,12.926
2021-06-03,12.944
2021-06-04,12.698
2021-06-05,12.698
2021-06-06,12.698
2021-06-07,12.915
2021-06-08,13.154
2021-06-09,13.179
2021-06-10,13.073
2021-06-11,13.268
2021-06-12,13.268
2021-06-13,13.268
2021-06-14,12.978
2021-06-15,12.942
2021-06-16,12.86
2021-06-17,12.595
2021-06-18,12.475
2021-06-19,12.475
2021-06-20,12.475
2021-06-21,12.882
2021-06-22,12.732
2021-06-23,12.734
2021-06-24,12.79
2021-06-25,12.807
2021-06-26,12.807
2021-06-27,12.807
2021-06-28,12.678
2021-06-29,12.436
2021-06-30,12.255
2021-07-01,12.484
2021-07-02,12.196
2021-07-03,12.196
2021-07-04,12.196
2021-07-05,12.196
2021-07-06,11.951
2021-07-07,11.93
2021-07-08,11.957
2021-07-09,12.172
2021-07-10,12.172
2021-07-11,12.172
2021-07-12,12.227
2021-07-13,11.97
2021-07-14,12.12
2021-07-15,12.089
2021-07-16,12.024
2021-07-17,12.024
2021-07-18,12.024
2021-07-19,11.604
2021-07-20,12.209
2021-07-21,12.605
2021-07-22,12.614
2021-07-23,12.811
2021-07-24,12.811
2021-07-25,12.811
2021-07-26,13.115
2021-07-27,13.322
2021-07-28,13.633
2021-07-29,13.897
2021-07-30,13.954
2021-07-31,13.954
2021-08-01,13.954
2021-08-02,13.698
2021-08-03,13.878
2021-08-04,11.976
2021-08-05,12.301
2021-08-06,12.441
2021-08-07,12.441
2021-08-08,12.441
2021-08-09,12.275
2021-08-10,12.346
2021-08-11,12.507
2021-08-12,12.38
2021-08-13,12.335
2021-08-14,12.335
2021-08-15,12.335
2021-08-16,12.087
2021-08-17,11.941
2021-08-18,11.736
2021-08-19,11.642
2021-08-20,11.696
2021-08-21,11.696
2021-08-22,11.696
2021-08-23,11.84
2021-08-24,11.855
2021-08-25,11.927
2021-08-26,11.75
2021-08-27,12.104
2021-08-28,12.104
2021-08-29,12.104
2021-08-30,12.003
2021-08-31,11.981
2021-09-01,12.162
2021-09-02,12.021
2021-09-03,12.059
2021-09-04,12.059
2021-09-05,12.059
2021-09-06,12.059
2021-09-07,11.96
2021-09-08,12.007
2021-09-09,11.951
2021-09-10,11.635
2021-09-11,11.635
2021-09-12,11.635
2021-09-13,11.861
2021-09-14,11.741
2021-09-15,11.903
2021-09-16,11.927
2021-09-17,11.818
2021-09-18,11.818
2021-09-19,11.818
2021-09-20,11.706
2021-09-21,11.603
2021-09-22,11.931
2021-09-23,12.209
2021-09-24,12.33
2021-09-25,12.33
2021-09-26,12.33
2021-09-27,12.289
2021-09-28,12.32
2021-09-29,12.309
2021-09-30,12.26
2021-10-01,12.751
2021-10-02,12.751
2021-10-03,12.751
2021-10-04,12.495
2021-10-05,12.625
2021-10-06,12.453
2021-10-07,12.516
2021-10-08,12.433
2021-10-09,12.433
2021-10-10,12.433
2021-10-11,12.601
2021-10-12,12.604
2021-10-13,12.671
2021-10-14,12.651
2021-10-15,12.535
2021-10-16,12.535
2021-10-17,12.535
2021-10-18,12.574
2021-10-19,12.445
2021-10-20,12.568
2021-10-21,12.597
2021-10-22,12.975
2021-10-23,12.975
2021-10-24,12.975
2021-10-25,13.113
2021-10-26,12.986
2021-10-27,12.844
2021-10-28,13.032
2021-10-29,12.73
2021-10-30,12.73
2021-10-31,12.73
2021-11-01,12.708
2021-11-02,12.719
2021-11-03,12.694
2021-11-04,12.119
2021-11-05,12.333
2021-11-06,12.333
2021-11-07,12.333
2021-11-08,12.399
2021-11-09,12.448
2021-11-10,12.222
2021-11-11,12.297
2021-11-12,12.184
2021-11-13,12.184
2021-11-14,12.184
2021-11-15,12.268
2021-11-16,12.256
2021-11-17,12.027
2021-11-18,11.968
2021-11-19,11.989
2021-11-20,11.989
2021-11-21,11.989
2021-11-22,11.881
2021-11-23,12.021
2021-11-24,12.219
2021-11-25,12.219
2021-11-26,11.409
2021-11-27,11.409
2021-11-28,11.409
2021-11-29,11.467
2021-11-30,10.825
2021-12-01,10.564
2021-12-02,11.133
2021-12-03,11.081
2021-12-04,11.081
2021-12-05,11.081
2021-12-06,11.6
2021-12-07,11.826
2021-12-08,12.0
2021-12-09,11.942
2021-12-10,11.982
2021-12-11,11.982
2021-12-12,11.982
2021-12-13,11.866
2021-12-14,11.736
2021-12-15,11.831
2021-12-16,12.632
2021-12-17,12.357
2021-12-18,12.357
2021-12-19,12.357
2021-12-20,11.875
2021-12-21,12.594
2021-12-22,12.905
2021-12-23,13.143
2021-12-24,13.143
2021-12-25,13.143
2021-12-26,13.143
2021-12-27,13.275
2021-12-28,13.338
2021-12-29,13.54
2021-12-30,13.488
2021-12-31,13.365
2022-01-01,13.365
2022-01-02,13.365
2022-01-03,13.29
2022-01-04,13.614
2022-01-05,13.003
2022-01-06,12.852
2022-01-07,12.784
2022-01-08,12.784
2022-01-09,12.784
2022-01-10,12.549
2022-01-11,12.901
2022-01-12,13.023
2022-01-13,12.947
2022-01-14,12.637
2022-01-15,12.637
2022-01-16,12.637
2022-01-17,12.637
2022-01-18,12.397
2022-01-19,12.072
2022-01-20,12.133
2022-01-21,12.006
2022-01-22,12.006
2022-01-23,12.006
2022-01-24,12.181
2022-01-25,11.773
2022-01-26,11.771
2022-01-27,11.601
2022-01-28,11.865
2022-01-29,11.865
2022-01-30,11.865
2022-01-31,12.252
2022-02-01,12.327
2022-02-02,12.453
2022-02-03,12.408
2022-02-04,12.24
2022-02-05,12.24
2022-02-06,12.24
2022-02-07,12.255
2022-02-08,12.366
2022-02-09,12.81
2022-02-10,12.572
2022-02-11,12.319
2022-02-12,12.319
2022-02-13,12.319
2022-02-14,11.952
2022-02-15,12.223
2022-02-16,12.335
2022-02-17,11.974
2022-02-18,11.854
2022-02-19,11.854
2022-02-20,11.854
2022-02-21,11.854
2022-02-22,11.975
2022-02-23,11.469
2022-02-24,11.456
2022-02-25,11.915
2022-02-26,11.915
2022-02-27,11.915
2022-02-28,11.64
2022-03-01,11.301
2022-03-02,11.358
2022-03-03,11.015
2022-03-04,10.27
2022-03-05,10.27
2022-03-06,10.27
2022-03-07,9.823
2022-03-08,9.773
2022-03-09,10.188
2022-03-10,10.063
2022-03-11,10.282
2022-03-12,10.282
2022-03-13,10.282
2022-03-14,10.265
2022-03-15,10.286
2022-03-16,10.921
2022-03-17,10.869
2022-03-18,10.755
2022-03-19,10.755
2022-03-20,10.755
2022-03-21,10.407
2022-03-22,10.623
2022-03-23,10.318
2022-03-24,10.496
2022-03-25,10.668
2022-03-26,10.668
2022-03-27,10.668
2022-03-28,10.765
2022-03-29,11.164
2022-03-30,11.035
2022-03-31,10.865
2022-04-01,10.735
2022-04-02,10.735
2022-04-03,10.735
2022-04-04,10.82
2022-04-05,10.267
2022-04-06,10.218
2022-04-07,9.881
2022-04-08,9.851
2022-04-09,9.851
2022-04-10,9.851
2022-04-11,10.044
2022-04-12,9.952
2022-04-13,10.111
2022-04-14,10.063
2022-04-15,10.063
2022-04-16,10.063
2022-04-17,10.063
2022-04-18,10.089
2022-04-19,10.325
2022-04-20,10.397
2022-04-21,10.248
2022-04-22,10.032
2022-04-23,10.032
2022-04-24,10.032
2022-04-25,10.09
2022-04-26,9.816
2022-04-27,9.861
2022-04-28,10.14
2022-04-29,9.847
2022-04-30,9.847
2022-05-01,9.847
2022-05-02,9.719
2022-05-03,9.852
2022-05-04,9.96
2022-05-05,9.44
2022-05-06,9.1
2022-05-07,9.1
2022-05-08,9.1
2022-05-09,8.762
2022-05-10,8.668
2022-05-11,8.529
2022-05-12,8.468
2022-05-13,8.683
2022-05-14,8.683
2022-05-15,8.683
2022-05-16,8.603
2022-05-17,8.896
2022-05-18,8.589
2022-05-19,8.641
2022-05-20,8.54
2022-05-21,8.54
2022-05-22,8.54
2022-05-23,8.683
2022-05-24,8.555
2022-05-25,8.632
2022-05-26,8.94
2022-05-27,9.236
2022-05-28,9.236
2022-05-29,9.236
2022-05-30,9.236
2022-05-31,9.031
2022-06-01,8.233
2022-06-02,8.563
2022-06-03,8.285
2022-06-04,8.285
2022-06-05,8.285
2022-06-06,8.297
2022-06-07,8.349
2022-06-08,8.121
2022-06-09,7.809
2022-06-10,7.564
2022-06-11,7.564
2022-06-12,7.564
2022-06-13,7.128
2022-06-14,7.253
2022-06-15,7.287
2022-06-16,6.835
2022-06-17,7.329
2022-06-18,7.329
2022-06-19,7.329
2022-06-20,7.329
2022-06-21,7.438
2022-06-22,7.479
2022-06-23,7.523
2022-06-24,7.699
2022-06-25,7.699
2022-06-26,7.699
2022-06-27,7.753
2022-06-28,7.76
2022-06-29,7.75
2022-06-30,7.673
2022-07-01,7.95
2022-07-02,7.95
2022-07-03,7.95
2022-07-04,7.95
2022-07-05,7.926
2022-07-06,7.47
2022-07-07,7.557
2022-07-08,7.531
2022-07-09,7.531
2022-07-10,7.531
2022-07-11,7.488
2022-07-12,7.55
2022-07-13,7.432
2022-07-14,7.324
2022-07-15,7.555
2022-07-16,7.555
2022-07-17,7.555
2022-07-18,7.832
2022-07-19,8.079
2022-07-20,8.2
2022-07-21,8.347
2022-07-22,8.333
2022-07-23,8.333
2022-07-24,8.333
2022-07-25,8.409
2022-07-26,8.291
2022-07-27,8.395
2022-07-28,8.563
2022-07-29,8.632
2022-07-30,8.632
2022-07-31,8.632
2022-08-01,8.558
2022-08-02,8.339
2022-08-03,8.249
2022-08-04,7.969
2022-08-05,7.929
2022-08-06,7.929
2022-08-07,7.929
2022-08-08,8.044
2022-08-09,8.016
2022-08-10,8.173
2022-08-11,8.278
2022-08-12,8.45
2022-08-13,8.45
2022-08-14,8.45
2022-08-15,8.472
2022-08-16,8.462
2022-08-17,8.515
2022-08-18,8.483
2022-08-19,8.299
2022-08-20,8.299
2022-08-21,8.299
2022-08-22,7.924
2022-08-23,7.972
2022-08-24,8.019
2022-08-25,8.209
2022-08-26,7.986
2022-08-27,7.986
2022-08-28,7.986
2022-08-29,7.879
2022-08-30,7.822
2022-08-31,7.805
2022-09-01,7.744
2022-09-02,7.645
2022-09-03,7.645
2022-09-04,7.645
2022-09-05,7.645
2022-09-06,7.48
2022-09-07,7.726
2022-09-08,7.881
2022-09-09,7.963
2022-09-10,7.963
2022-09-11,7.963
2022-09-12,8.079
2022-09-13,7.621
2022-09-14,7.556
2022-09-15,7.499
2022-09-16,7.371
2022-09-17,7.371
2022-09-18,7.371
2022-09-19,7.455
2022-09-20,7.267
2022-09-21,7.278
2022-09-22,7.222
2022-09-23,7.102
2022-09-24,7.102
2022-09-25,7.102
2022-09-26,7.021
2022-09-27,7.017
2022-09-28,7.173
2022-09-29,6.884
2022-09-30,6.997
2022-10-01,6.997
2022-10-02,6.997
2022-10-03,7.294
2022-10-04,7.757
2022-10-05,7.652
2022-10-06,7.565
2022-10-07,7.257
2022-10-08,7.257
2022-10-09,7.257
2022-10-10,7.456
2022-10-11,7.48
2022-10-12,7.437
2022-10-13,7.475
2022-10-14,7.265
2022-10-15,7.265
2022-10-16,7.265
2022-10-17,7.51
2022-10-18,7.709
2022-10-19,7.425
2022-10-20,7.4
2022-10-21,7.59
2022-10-22,7.59
2022-10-23,7.59
2022-10-24,7.596
2022-10-25,7.801
2022-10-26,7.91
2022-10-27,7.795
2022-10-28,7.749
2022-10-29,7.749
2022-10-30,7.749
2022-10-31,7.59
2022-11-01,7.724
2022-11-02,7.073
2022-11-03,6.906
2022-11-04,7.078
2022-11-05,7.078
2022-11-06,7.078
2022-11-07,7.622
2022-11-08,7.696
2022-11-09,7.576
2022-11-10,8.609
2022-11-11,8.806
2022-11-12,8.806
2022-11-13,8.806
2022-11-14,8.798
2022-11-15,8.843
2022-11-16,8.861
2022-11-17,8.559
2022-11-18,8.581
2022-11-19,8.581
2022-11-20,8.581
2022-11-21,8.668
2022-11-22,8.905
2022-11-23,8.944
2022-11-24,8.944
2022-11-25,9.028
2022-11-26,9.028
2022-11-27,9.028
2022-11-28,8.77
2022-11-29,8.923
2022-11-30,9.255
2022-12-01,9.242
2022-12-02,9.179
2022-12-03,9.179
2022-12-04,9.179
2022-12-05,8.911
2022-12-06,8.903
2022-12-07,8.875
2022-12-08,8.902
2022-12-09,8.861
2022-12-10,8.861
2022-12-11,8.861
2022-12-12,8.995
2022-12-13,9.417
2022-12-14,9.227
2022-12-15,8.954
2022-12-16,8.745
2022-12-17,8.745
2022-12-18,8.745
2022-12-19,8.561
2022-12-20,8.622
2022-12-21,8.761
2022-12-22,8.659
2022-12-23,8.752
2022-12-24,8.752
2022-12-25,8.752
2022-12-26,8.752
2022-12-27,8.719
2022-12-28,8.54
2022-12-29,8.898
2022-12-30,8.799
2022-12-31,8.799
2023-01-01,8.799
2023-01-02,8.799
2023-01-03,8.971
2023-01-04,9.121
2023-01-05,8.974
2023-01-06,9.293
2023-01-07,9.293
2023-01-08,9.293
2023-01-09,9.299
2023-01-10,9.323
2023-01-11,9.575
2023-01-12,9.633
2023-01-13,9.781
2023-01-14,9.781
2023-01-15,9.781
2023-01-16,9.781
2023-01-17,9.738
2023-01-18,9.706
2023-01-19,9.781
2023-01-20,10.036
2023-01-21,10.036
2023-01-22,10.036
2023-01-23,10.23
2023-01-24,10.044
2023-01-25,10.093
2023-01-26,10.356
2023-01-27,10.378
2023-01-28,10.378
2023-01-29,10.378
2023-01-30,10.295
2023-01-31,10.664
2023-02-01,10.353
2023-02-02,10.672
2023-02-03,10.491
2023-02-04,10.491
2023-02-05,10.491
2023-02-06,10.174
2023-02-07,10.239
2023-02-08,9.879
2023-02-09,10.202
2023-02-10,10.262
2023-02-11,10.262
2023-02-12,10.262
2023-02-13,10.4
2023-02-14,10.442
2023-02-15,10.473
2023-02-16,10.139
2023-02-17,10.141
2023-02-18,10.141
2023-02-19,10.141
2023-02-20,10.141
2023-02-21,9.838
2023-02-22,9.841
2023-02-23,9.903
2023-02-24,9.758
2023-02-25,9.758
2023-02-26,9.758
2023-02-27,9.785
2023-02-28,10.126
2023-03-01,10.181
2023-03-02,9.972
2023-03-03,10.083
2023-03-04,10.083
2023-03-05,10.083
2023-03-06,9.864
2023-03-07,9.661
2023-03-08,9.766
2023-03-09,9.461
2023-03-10,8.937
2023-03-11,8.937
2023-03-12,8.937
2023-03-13,8.692
2023-03-14,8.653
2023-03-15,8.45
2023-03-16,8.61
2023-03-17,8.463
2023-03-18,8.463
2023-03-19,8.463
2023-03-20,8.487
2023-03-21,8.636
2023-03-22,8.163
2023-03-23,7.936
2023-03-24,7.95
2023-03-25,7.95
2023-03-26,7.95
2023-03-27,7.977
2023-03-28,7.896
2023-03-29,8.033
2023-03-30,8.064
2023-03-31,8.308
2023-04-01,8.308
2023-04-02,8.308
2023-04-03,8.299
2023-04-04,8.034
2023-04-05,7.893
2023-04-06,7.888
2023-04-07,7.888
2023-04-08,7.888
2023-04-09,7.888
2023-04-10,7.852
2023-04-11,7.921
2023-04-12,7.795
2023-04-13,7.83
2023-04-14,7.744
2023-04-15,7.744
2023-04-16,7.744
2023-04-17,8.052
2023-04-18,7.955
2023-04-19,7.974
2023-04-20,7.898
2023-04-21,7.759
2023-04-22,7.759
2023-04-23,7.759
2023-04-24,7.659
2023-04-25,7.63
2023-04-26,7.579
2023-04-27,8.112
2023-04-28,8.343
2023-04-29,8.343
2023-04-30,8.343
2023-05-01,8.33
2023-05-02,8.178
2023-05-03,8.067
2023-05-04,7.974
2023-05-05,8.101
2023-05-06,8.101
2023-05-07,8.101
2023-05-08,7.875
2023-05-09,7.915
2023-05-10,8.19
2023-05-11,8.179
2023-05-12,8.197
2023-05-13,8.197
2023-05-14,8.197
2023-05-15,8.279
2023-05-16,8.233
2023-05-17,8.466
2023-05-18,8.771
2023-05-19,8.635
2023-05-20,8.635
2023-05-21,8.635
2023-05-22,8.755
2023-05-23,8.49
2023-05-24,8.365
2023-05-25,8.493
2023-05-26,8.715
2023-05-27,8.715
2023-05-28,8.715
2023-05-29,8.715
2023-05-30,8.606
2023-05-31,8.48
2023-06-01,8.577
2023-06-02,8.937
2023-06-03,8.937
2023-06-04,8.937
2023-06-05,8.699
2023-06-06,8.996
2023-06-07,9.34
2023-06-08,9.035
2023-06-09,9.094
2023-06-10,9.094
2023-06-11,9.094
2023-06-12,9.038
2023-06-13,9.107
2023-06-14,9.014
2023-06-15,9.026
2023-06-16,9.009
2023-06-17,9.009
2023-06-18,9.009
2023-06-19,9.009
2023-06-20,8.829
2023-06-21,8.799
2023-06-22,8.847
2023-06-23,8.641
2023-06-24,8.641
2023-06-25,8.641
2023-06-26,8.837
2023-06-27,8.995
2023-06-28,9.022
2023-06-29,9.215
2023-06-30,9.244
2023-07-01,9.244
2023-07-02,9.244
2023-07-03,9.223
2023-07-04,9.223
