,MTOR US Equity
,BEST_PE_RATIO
2020-01-01,6.162
2020-01-02,6.268
2020-01-03,6.221
2020-01-04,6.221
2020-01-05,6.221
2020-01-06,6.16
2020-01-07,6.127
2020-01-08,6.129
2020-01-09,6.005
2020-01-10,5.976
2020-01-11,5.976
2020-01-12,5.976
2020-01-13,6.007
2020-01-14,6.002
2020-01-15,5.962
2020-01-16,5.927
2020-01-17,5.896
2020-01-18,5.896
2020-01-19,5.896
2020-01-20,5.896
2020-01-21,5.802
2020-01-22,5.666
2020-01-23,5.652
2020-01-24,5.489
2020-01-25,5.489
2020-01-26,5.489
2020-01-27,5.358
2020-01-28,5.461
2020-01-29,5.487
2020-01-30,5.544
2020-01-31,5.397
2020-02-01,5.397
2020-02-02,5.397
2020-02-03,5.557
2020-02-04,5.798
2020-02-05,6.155
2020-02-06,6.099
2020-02-07,6.03
2020-02-08,6.03
2020-02-09,6.03
2020-02-10,6.012
2020-02-11,6.2
2020-02-12,6.323
2020-02-13,6.305
2020-02-14,6.305
2020-02-15,6.305
2020-02-16,6.305
2020-02-17,6.305
2020-02-18,6.318
2020-02-19,6.182
2020-02-20,6.342
2020-02-21,6.325
2020-02-22,6.325
2020-02-23,6.325
2020-02-24,5.894
2020-02-25,5.675
2020-02-26,5.527
2020-02-27,5.557
2020-02-28,5.589
2020-02-29,5.589
2020-03-01,5.589
2020-03-02,5.564
2020-03-03,5.283
2020-03-04,5.328
2020-03-05,4.847
2020-03-06,4.567
2020-03-07,4.567
2020-03-08,4.567
2020-03-09,4.163
2020-03-10,4.384
2020-03-11,4.227
2020-03-12,4.084
2020-03-13,4.288
2020-03-14,4.288
2020-03-15,4.288
2020-03-16,5.72
2020-03-17,5.388
2020-03-18,4.844
2020-03-19,5.28
2020-03-20,4.876
2020-03-21,4.876
2020-03-22,4.876
2020-03-23,5.02
2020-03-24,5.588
2020-03-25,6.088
2020-03-26,6.192
2020-03-27,5.848
2020-03-28,5.848
2020-03-29,5.848
2020-03-30,5.432
2020-03-31,5.3
2020-04-01,3.946
2020-04-02,4.189
2020-04-03,3.965
2020-04-04,3.965
2020-04-05,3.965
2020-04-06,4.694
2020-04-07,4.771
2020-04-08,5.085
2020-04-09,5.27
2020-04-10,5.27
2020-04-11,5.27
2020-04-12,5.27
2020-04-13,5.05
2020-04-14,4.954
2020-04-15,4.698
2020-04-16,4.544
2020-04-17,5.056
2020-04-18,5.056
2020-04-19,5.056
2020-04-20,4.88
2020-04-21,4.816
2020-04-22,5.517
2020-04-23,5.803
2020-04-24,5.927
2020-04-25,5.927
2020-04-26,5.927
2020-04-27,6.325
2020-04-28,6.578
2020-04-29,7.108
2020-04-30,6.577
2020-05-01,6.428
2020-05-02,6.428
2020-05-03,6.428
2020-05-04,6.228
2020-05-05,6.345
2020-05-06,6.138
2020-05-07,6.043
2020-05-08,6.562
2020-05-09,6.562
2020-05-10,6.562
2020-05-11,6.365
2020-05-12,5.94
2020-05-13,5.679
2020-05-14,5.86
2020-05-15,5.906
2020-05-16,5.906
2020-05-17,5.906
2020-05-18,6.525
2020-05-19,6.395
2020-05-20,6.435
2020-05-21,6.348
2020-05-22,6.365
2020-05-23,6.365
2020-05-24,6.365
2020-05-25,6.365
2020-05-26,7.14
2020-05-27,7.301
2020-05-28,6.91
2020-05-29,6.816
2020-05-30,6.816
2020-05-31,6.816
2020-06-01,7.08
2020-06-02,7.1
2020-06-03,7.244
2020-06-04,7.365
2020-06-05,7.512
2020-06-06,7.512
2020-06-07,7.512
2020-06-08,7.973
2020-06-09,7.692
2020-06-10,6.715
2020-06-11,6.085
2020-06-12,6.266
2020-06-13,6.266
2020-06-14,6.266
2020-06-15,6.37
2020-06-16,6.542
2020-06-17,6.292
2020-06-18,6.21
2020-06-19,6.232
2020-06-20,6.232
2020-06-21,6.232
2020-06-22,6.248
2020-06-23,6.298
2020-06-24,5.897
2020-06-25,6.069
2020-06-26,5.856
2020-06-27,5.856
2020-06-28,5.856
2020-06-29,6.263
2020-06-30,6.207
2020-07-01,5.962
2020-07-02,6.27
2020-07-03,6.27
2020-07-04,6.27
2020-07-05,6.27
2020-07-06,6.313
2020-07-07,5.74
2020-07-08,5.758
2020-07-09,5.505
2020-07-10,5.665
2020-07-11,5.665
2020-07-12,5.665
2020-07-13,5.829
2020-07-14,6.219
2020-07-15,6.533
2020-07-16,6.582
2020-07-17,6.515
2020-07-18,6.515
2020-07-19,6.515
2020-07-20,6.494
2020-07-21,6.765
2020-07-22,6.903
2020-07-23,7.089
2020-07-24,7.171
2020-07-25,7.171
2020-07-26,7.171
2020-07-27,7.644
2020-07-28,7.606
2020-07-29,6.596
2020-07-30,6.372
2020-07-31,6.276
2020-08-01,6.276
2020-08-02,6.276
2020-08-03,6.403
2020-08-04,6.441
2020-08-05,6.643
2020-08-06,6.497
2020-08-07,6.646
2020-08-08,6.646
2020-08-09,6.646
2020-08-10,7.032
2020-08-11,7.034
2020-08-12,6.963
2020-08-13,6.839
2020-08-14,6.869
2020-08-15,6.869
2020-08-16,6.869
2020-08-17,6.792
2020-08-18,6.706
2020-08-19,6.646
2020-08-20,6.651
2020-08-21,6.618
2020-08-22,6.618
2020-08-23,6.618
2020-08-24,6.695
2020-08-25,6.615
2020-08-26,6.483
2020-08-27,6.469
2020-08-28,6.535
2020-08-29,6.535
2020-08-30,6.535
2020-08-31,6.279
2020-09-01,6.607
2020-09-02,6.61
2020-09-03,6.364
2020-09-04,6.433
2020-09-05,6.433
2020-09-06,6.433
2020-09-07,6.433
