,SC US Equity
,BEST_PE_RATIO
2020-01-01,6.73
2020-01-02,6.756
2020-01-03,6.673
2020-01-04,6.673
2020-01-05,6.673
2020-01-06,6.676
2020-01-07,6.66
2020-01-08,6.721
2020-01-09,6.724
2020-01-10,6.686
2020-01-11,6.686
2020-01-12,6.686
2020-01-13,6.642
2020-01-14,6.62
2020-01-15,6.687
2020-01-16,6.751
2020-01-17,6.794
2020-01-18,6.794
2020-01-19,6.794
2020-01-20,6.794
2020-01-21,6.794
2020-01-22,6.976
2020-01-23,7.023
2020-01-24,6.905
2020-01-25,6.905
2020-01-26,6.905
2020-01-27,6.702
2020-01-28,6.91
2020-01-29,7.775
2020-01-30,8.274
2020-01-31,8.202
2020-02-01,8.202
2020-02-02,8.202
2020-02-03,8.321
2020-02-04,8.303
2020-02-05,8.309
2020-02-06,8.318
2020-02-07,8.312
2020-02-08,8.312
2020-02-09,8.312
2020-02-10,8.324
2020-02-11,8.375
2020-02-12,8.403
2020-02-13,8.52
2020-02-14,8.416
2020-02-15,8.416
2020-02-16,8.416
2020-02-17,8.416
2020-02-18,8.378
2020-02-19,8.369
2020-02-20,8.394
2020-02-21,8.394
2020-02-22,8.394
2020-02-23,8.394
2020-02-24,8.271
2020-02-25,8.132
2020-02-26,8.176
2020-02-27,8.06
2020-02-28,7.703
2020-02-29,7.703
2020-03-01,7.703
2020-03-02,7.492
2020-03-03,7.314
2020-03-04,7.682
2020-03-05,7.204
2020-03-06,7.115
2020-03-07,7.115
2020-03-08,7.115
2020-03-09,6.269
2020-03-10,6.667
2020-03-11,6.463
2020-03-12,5.833
2020-03-13,6.215
2020-03-14,6.215
2020-03-15,6.215
2020-03-16,4.992
2020-03-17,4.864
2020-03-18,4.143
2020-03-19,4.0
2020-03-20,3.683
2020-03-21,3.683
2020-03-22,3.683
2020-03-23,3.263
2020-03-24,4.163
2020-03-25,5.067
2020-03-26,5.225
2020-03-27,4.908
2020-03-28,4.908
2020-03-29,4.908
2020-03-30,5.028
2020-03-31,4.93
2020-04-01,4.384
2020-04-02,4.547
2020-04-03,4.207
2020-04-04,4.207
2020-04-05,4.207
2020-04-06,4.911
2020-04-07,5.221
2020-04-08,5.648
2020-04-09,6.682
2020-04-10,6.682
2020-04-11,6.682
2020-04-12,6.682
2020-04-13,6.336
2020-04-14,6.048
2020-04-15,5.66
2020-04-16,5.271
2020-04-17,5.81
2020-04-18,5.81
2020-04-19,5.81
2020-04-20,5.72
2020-04-21,5.373
2020-04-22,5.304
2020-04-23,5.458
2020-04-24,5.561
2020-04-25,5.561
2020-04-26,5.561
2020-04-27,5.592
2020-04-28,6.031
2020-04-29,7.113
2020-04-30,7.263
2020-05-01,6.96
2020-05-02,6.96
2020-05-03,6.96
2020-05-04,6.866
2020-05-05,6.87
2020-05-06,6.834
2020-05-07,7.026
2020-05-08,7.304
2020-05-09,7.304
2020-05-10,7.304
2020-05-11,7.116
2020-05-12,6.691
2020-05-13,6.266
2020-05-14,6.936
2020-05-15,6.776
2020-05-16,6.776
2020-05-17,6.776
2020-05-18,7.35
2020-05-19,7.572
2020-05-20,7.718
2020-05-21,7.601
2020-05-22,7.543
2020-05-23,7.543
2020-05-24,7.543
2020-05-25,7.543
2020-05-26,8.143
2020-05-27,8.772
2020-05-28,8.425
