,CVI US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,12.987
2020-01-15,12.735
2020-01-16,12.574
2020-01-17,12.288
2020-01-18,12.288
2020-01-19,12.288
2020-01-20,12.288
2020-01-21,12.18
2020-01-22,12.2
2020-01-23,12.026
2020-01-24,11.904
2020-01-25,11.904
2020-01-26,11.904
2020-01-27,11.435
2020-01-28,11.638
2020-01-29,11.389
2020-01-30,11.586
2020-01-31,11.359
2020-02-01,11.359
2020-02-02,11.359
2020-02-03,11.231
2020-02-04,11.054
2020-02-05,11.372
2020-02-06,11.041
2020-02-07,11.13
2020-02-08,11.13
2020-02-09,11.13
2020-02-10,11.428
2020-02-11,11.507
2020-02-12,11.369
2020-02-13,11.208
2020-02-14,11.103
2020-02-15,11.103
2020-02-16,11.103
2020-02-17,11.103
2020-02-18,10.906
2020-02-19,11.218
2020-02-20,11.51
2020-02-21,11.313
2020-02-22,11.313
2020-02-23,11.313
2020-02-24,10.818
2020-02-25,10.427
2020-02-26,9.873
2020-02-27,9.646
2020-02-28,9.589
2020-02-29,9.589
2020-03-01,9.589
2020-03-02,9.41
2020-03-03,9.062
2020-03-04,8.863
2020-03-05,8.273
2020-03-06,8.195
2020-03-07,8.195
2020-03-08,8.195
2020-03-09,7.129
2020-03-10,6.971
2020-03-11,6.319
2020-03-12,5.142
2020-03-13,7.018
2020-03-14,7.018
2020-03-15,7.018
2020-03-16,6.056
2020-03-17,6.572
2020-03-18,6.397
2020-03-19,6.684
2020-03-20,6.778
2020-03-21,6.778
2020-03-22,6.778
2020-03-23,5.557
2020-03-24,5.176
2020-03-25,5.23
2020-03-26,4.303
2020-03-27,3.764
2020-03-28,3.764
2020-03-29,3.764
2020-03-30,3.901
2020-03-31,4.104
2020-04-01,3.64
2020-04-02,3.618
2020-04-03,3.546
2020-04-04,3.546
2020-04-05,3.546
2020-04-06,4.008
2020-04-07,4.353
2020-04-08,4.675
2020-04-09,4.477
2020-04-10,4.477
2020-04-11,4.477
2020-04-12,4.477
2020-04-13,5.831
2020-04-14,5.91
2020-04-15,5.482
2020-04-16,5.124
2020-04-17,5.809
2020-04-18,5.809
2020-04-19,5.809
2020-04-20,5.828
2020-04-21,5.609
2020-04-22,5.59
2020-04-23,6.068
2020-04-24,5.954
2020-04-25,5.954
2020-04-26,5.954
2020-04-27,6.531
2020-04-28,6.797
2020-04-29,7.491
2020-04-30,7.558
2020-05-01,6.531
2020-05-02,6.531
2020-05-03,6.531
2020-05-04,7.105
2020-05-05,6.781
2020-05-06,6.468
2020-05-07,6.335
2020-05-08,6.949
2020-05-09,6.949
2020-05-10,6.949
2020-05-11,6.354
2020-05-12,6.327
2020-05-13,5.919
2020-05-14,5.802
2020-05-15,5.652
2020-05-16,5.652
2020-05-17,5.652
2020-05-18,6.532
2020-05-19,6.133
2020-05-20,6.44
2020-05-21,6.295
2020-05-22,6.375
2020-05-23,6.375
2020-05-24,6.375
2020-05-25,6.375
2020-05-26,6.78
2020-05-27,6.857
2020-05-28,6.473
2020-05-29,6.256
2020-05-30,6.256
2020-05-31,6.256
2020-06-01,6.335
2020-06-02,6.562
2020-06-03,6.805
2020-06-04,6.571
2020-06-05,7.479
2020-06-06,7.479
2020-06-07,7.479
2020-06-08,7.629
2020-06-09,7.292
2020-06-10,6.912
2020-06-11,6.05
2020-06-12,6.302
2020-06-13,6.302
2020-06-14,6.302
2020-06-15,6.452
2020-06-16,6.755
2020-06-17,6.317
2020-06-18,6.811
2020-06-19,6.841
2020-06-20,6.841
2020-06-21,6.841
2020-06-22,6.798
2020-06-23,6.633
2020-06-24,5.906
2020-06-25,5.934
2020-06-26,5.839
2020-06-27,5.839
2020-06-28,5.839
2020-06-29,5.912
2020-06-30,6.167
2020-07-01,5.854
2020-07-02,5.734
2020-07-03,5.734
2020-07-04,5.734
2020-07-05,5.734
2020-07-06,5.839
2020-07-07,5.529
2020-07-08,5.658
2020-07-09,5.428
2020-07-10,5.753
2020-07-11,5.753
2020-07-12,5.753
2020-07-13,5.602
2020-07-14,5.716
2020-07-15,6.044
2020-07-16,6.01
2020-07-17,5.9
2020-07-18,5.9
2020-07-19,5.9
2020-07-20,5.832
2020-07-21,6.185
2020-07-22,6.161
2020-07-23,6.139
2020-07-24,6.081
2020-07-25,6.081
2020-07-26,6.081
2020-07-27,5.98
2020-07-28,5.949
2020-07-29,6.243
2020-07-30,4.984
2020-07-31,4.976
2020-08-01,4.976
2020-08-02,4.976
2020-08-03,4.921
2020-08-04,4.587
2020-08-05,4.666
2020-08-06,4.562
2020-08-07,4.784
2020-08-08,4.784
2020-08-09,4.784
2020-08-10,4.982
2020-08-11,5.089
2020-08-12,5.012
2020-08-13,4.943
2020-08-14,4.96
2020-08-15,4.96
2020-08-16,4.96
2020-08-17,5.193
2020-08-18,5.004
2020-08-19,4.949
2020-08-20,4.749
2020-08-21,4.622
2020-08-22,4.622
2020-08-23,4.622
2020-08-24,4.943
2020-08-25,4.883
2020-08-26,4.776
2020-08-27,4.636
2020-08-28,4.894
2020-08-29,4.894
2020-08-30,4.894
2020-08-31,4.579
2020-09-01,4.48
2020-09-02,4.461
2020-09-03,4.428
2020-09-04,4.34
2020-09-05,4.34
