,SCHW US Equity
,BEST_PE_RATIO
2020-01-01,12.264
2020-01-02,12.437
2020-01-03,12.123
2020-01-04,12.123
2020-01-05,12.123
2020-01-06,12.208
2020-01-07,12.28
2020-01-08,12.355
2020-01-09,12.406
2020-01-10,12.326
2020-01-11,12.326
2020-01-12,12.326
2020-01-13,12.383
2020-01-14,12.303
2020-01-15,12.151
2020-01-16,12.636
2020-01-17,12.466
2020-01-18,12.466
2020-01-19,12.466
2020-01-20,12.466
2020-01-21,12.494
2020-01-22,12.618
2020-01-23,12.486
2020-01-24,12.159
2020-01-25,12.159
2020-01-26,12.159
2020-01-27,11.8
2020-01-28,11.874
2020-01-29,11.785
2020-01-30,12.103
2020-01-31,11.682
2020-02-01,11.682
2020-02-02,11.682
2020-02-03,11.715
2020-02-04,12.326
2020-02-05,12.643
2020-02-06,12.523
2020-02-07,12.387
2020-02-08,12.387
2020-02-09,12.387
2020-02-10,12.245
2020-02-11,12.481
2020-02-12,12.512
2020-02-13,12.428
2020-02-14,12.412
2020-02-15,12.412
2020-02-16,12.412
2020-02-17,12.412
2020-02-18,12.281
2020-02-19,12.468
2020-02-20,12.767
2020-02-21,12.139
2020-02-22,12.139
2020-02-23,12.139
2020-02-24,11.511
2020-02-25,10.933
2020-02-26,10.886
2020-02-27,11.014
2020-02-28,10.709
2020-02-29,10.709
2020-03-01,10.709
2020-03-02,11.033
2020-03-03,10.066
2020-03-04,9.766
2020-03-05,11.221
2020-03-06,11.005
2020-03-07,11.005
2020-03-08,11.005
2020-03-09,9.761
2020-03-10,10.622
2020-03-11,10.457
2020-03-12,9.167
2020-03-13,10.922
2020-03-14,10.922
2020-03-15,10.922
2020-03-16,9.037
2020-03-17,9.96
2020-03-18,9.587
2020-03-19,9.41
2020-03-20,9.093
2020-03-21,9.093
2020-03-22,9.093
2020-03-23,8.428
2020-03-24,9.084
2020-03-25,10.104
2020-03-26,10.101
2020-03-27,9.939
2020-03-28,9.939
2020-03-29,9.939
2020-03-30,12.013
2020-03-31,11.764
2020-04-01,11.534
2020-04-02,12.034
2020-04-03,11.757
2020-04-04,11.757
2020-04-05,11.757
2020-04-06,12.625
2020-04-07,12.226
2020-04-08,12.769
2020-04-09,12.786
2020-04-10,12.786
2020-04-11,12.786
2020-04-12,12.786
2020-04-13,12.167
2020-04-14,12.004
2020-04-15,10.079
2020-04-16,10.058
2020-04-17,10.404
2020-04-18,10.404
2020-04-19,10.404
2020-04-20,10.637
2020-04-21,10.448
2020-04-22,12.575
2020-04-23,12.494
2020-04-24,11.966
2020-04-25,11.966
2020-04-26,11.966
2020-04-27,12.453
2020-04-28,13.155
2020-04-29,13.762
2020-04-30,13.383
2020-05-01,12.932
2020-05-02,12.932
2020-05-03,12.932
2020-05-04,12.883
2020-05-05,12.619
2020-05-06,12.5
2020-05-07,12.783
2020-05-08,13.27
2020-05-09,13.27
2020-05-10,13.27
2020-05-11,13.027
2020-05-12,12.474
2020-05-13,12.049
2020-05-14,12.14
2020-05-15,11.835
2020-05-16,11.835
2020-05-17,11.835
2020-05-18,12.434
2020-05-19,11.991
2020-05-20,12.245
2020-05-21,12.074
2020-05-22,11.933
2020-05-23,11.933
2020-05-24,11.933
2020-05-25,11.933
2020-05-26,12.54
2020-05-27,13.481
2020-05-28,13.088
2020-05-29,13.052
2020-05-30,13.052
