,MPC US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,7.987
2020-01-15,7.759
2020-01-16,7.679
2020-01-17,7.593
2020-01-18,7.593
2020-01-19,7.593
2020-01-20,7.593
2020-01-21,7.498
2020-01-22,7.47
2020-01-23,7.385
2020-01-24,7.273
2020-01-25,7.273
2020-01-26,7.273
2020-01-27,7.034
2020-01-28,7.065
2020-01-29,7.153
2020-01-30,10.172
2020-01-31,10.2
2020-02-01,10.2
2020-02-02,10.2
2020-02-03,9.743
2020-02-04,9.992
2020-02-05,10.394
2020-02-06,10.379
2020-02-07,10.235
2020-02-08,10.235
2020-02-09,10.235
2020-02-10,10.306
2020-02-11,10.623
2020-02-12,11.029
2020-02-13,11.135
2020-02-14,10.917
2020-02-15,10.917
2020-02-16,10.917
2020-02-17,10.917
2020-02-18,10.675
2020-02-19,10.905
2020-02-20,11.391
2020-02-21,11.177
2020-02-22,11.177
2020-02-23,11.177
2020-02-24,10.561
2020-02-25,10.041
2020-02-26,9.881
2020-02-27,9.06
2020-02-28,8.964
2020-02-29,8.964
2020-03-01,8.964
2020-03-02,9.022
2020-03-03,8.539
2020-03-04,8.673
2020-03-05,7.79
2020-03-06,7.401
2020-03-07,7.401
2020-03-08,7.401
2020-03-09,6.393
2020-03-10,6.525
2020-03-11,5.928
2020-03-12,4.327
2020-03-13,4.711
2020-03-14,4.711
2020-03-15,4.711
2020-03-16,3.835
2020-03-17,3.837
2020-03-18,3.166
2020-03-19,3.161
2020-03-20,3.582
2020-03-21,3.582
2020-03-22,3.582
2020-03-23,3.142
2020-03-24,3.308
2020-03-25,3.99
2020-03-26,4.313
2020-03-27,4.315
2020-03-28,4.315
2020-03-29,4.315
2020-03-30,4.535
2020-03-31,4.403
2020-04-01,3.89
2020-04-02,3.955
2020-04-03,3.739
2020-04-04,3.739
2020-04-05,3.739
2020-04-06,4.304
2020-04-07,4.196
2020-04-08,4.531
2020-04-09,4.777
2020-04-10,4.777
2020-04-11,4.777
2020-04-12,4.777
2020-04-13,6.45
2020-04-14,6.648
2020-04-15,6.062
2020-04-16,5.548
2020-04-17,6.433
2020-04-18,6.433
2020-04-19,6.433
2020-04-20,6.281
2020-04-21,6.175
2020-04-22,6.428
2020-04-23,6.654
2020-04-24,9.955
2020-04-25,9.955
2020-04-26,9.955
2020-04-27,10.222
2020-04-28,10.987
2020-04-29,12.769
2020-04-30,12.398
2020-05-01,11.3
2020-05-02,11.3
2020-05-03,11.3
2020-05-04,12.185
2020-05-05,12.034
2020-05-06,9.01
2020-05-07,9.391
2020-05-08,10.078
2020-05-09,10.078
2020-05-10,10.078
2020-05-11,9.977
2020-05-12,5.056
2020-05-13,4.874
2020-05-14,4.848
2020-05-15,4.756
2020-05-16,4.756
2020-05-17,4.756
2020-05-18,5.486
2020-05-19,5.506
2020-05-20,5.877
2020-05-21,5.696
2020-05-22,5.677
2020-05-23,5.677
2020-05-24,5.677
2020-05-25,5.677
2020-05-26,5.878
2020-05-27,5.838
2020-05-28,5.615
2020-05-29,5.609
2020-05-30,5.609
2020-05-31,5.609
2020-06-01,5.826
2020-06-02,6.02
2020-06-03,6.159
2020-06-04,6.071
2020-06-05,6.633
2020-06-06,6.633
2020-06-07,6.633
2020-06-08,6.737
2020-06-09,6.45
2020-06-10,6.255
2020-06-11,5.639
2020-06-12,5.845
2020-06-13,5.845
2020-06-14,5.845
2020-06-15,6.039
2020-06-16,6.167
2020-06-17,5.926
2020-06-18,6.14
2020-06-19,6.095
2020-06-20,6.095
2020-06-21,6.095
2020-06-22,6.162
2020-06-23,6.193
2020-06-24,5.783
2020-06-25,5.856
2020-06-26,5.645
2020-06-27,5.645
2020-06-28,5.645
2020-06-29,5.65
2020-06-30,5.966
2020-07-01,5.695
2020-07-02,5.757
2020-07-03,5.757
2020-07-04,5.757
2020-07-05,5.757
2020-07-06,5.803
2020-07-07,5.537
2020-07-08,5.451
2020-07-09,5.323
2020-07-10,5.778
2020-07-11,5.778
2020-07-12,5.778
2020-07-13,5.636
2020-07-14,5.966
2020-07-15,6.192
2020-07-16,6.162
2020-07-17,6.251
2020-07-18,6.251
2020-07-19,6.251
2020-07-20,6.057
2020-07-21,6.352
2020-07-22,6.383
2020-07-23,6.408
2020-07-24,6.378
2020-07-25,6.378
2020-07-26,6.378
2020-07-27,6.349
2020-07-28,6.283
2020-07-29,6.578
2020-07-30,6.276
2020-07-31,6.296
2020-08-01,6.296
2020-08-02,6.296
2020-08-03,6.357
2020-08-04,6.58
2020-08-05,6.36
2020-08-06,6.238
2020-08-07,6.402
2020-08-08,6.402
2020-08-09,6.402
2020-08-10,6.482
2020-08-11,6.45
2020-08-12,6.656
2020-08-13,6.505
2020-08-14,6.695
2020-08-15,6.695
2020-08-16,6.695
2020-08-17,6.747
2020-08-18,6.6
2020-08-19,6.59
2020-08-20,6.313
2020-08-21,6.274
2020-08-22,6.274
2020-08-23,6.274
2020-08-24,6.524
2020-08-25,6.46
2020-08-26,6.262
2020-08-27,6.2
2020-08-28,6.574
2020-08-29,6.574
2020-08-30,6.574
2020-08-31,6.285
2020-09-01,6.198
2020-09-02,6.205
2020-09-03,16.187
2020-09-04,15.894
2020-09-05,15.894
