,AXP US Equity
,BEST_PE_RATIO
2020-01-01,10.811
2020-01-02,10.967
2020-01-03,10.858
2020-01-04,10.858
2020-01-05,10.858
2020-01-06,10.811
2020-01-07,10.755
2020-01-08,10.94
2020-01-09,11.138
2020-01-10,11.092
2020-01-11,11.092
2020-01-12,11.092
2020-01-13,11.202
2020-01-14,11.224
2020-01-15,11.313
2020-01-16,11.377
2020-01-17,11.461
2020-01-18,11.461
2020-01-19,11.461
2020-01-20,11.461
2020-01-21,11.375
2020-01-22,11.459
2020-01-23,11.448
2020-01-24,11.774
2020-01-25,11.774
2020-01-26,11.774
2020-01-27,11.385
2020-01-28,11.542
2020-01-29,11.475
2020-01-30,11.609
2020-01-31,11.318
2020-02-01,11.318
2020-02-02,11.318
2020-02-03,11.416
2020-02-04,11.49
2020-02-05,11.643
2020-02-06,11.612
2020-02-07,11.487
2020-02-08,11.487
2020-02-09,11.487
2020-02-10,11.524
2020-02-11,11.558
2020-02-12,11.611
2020-02-13,11.718
2020-02-14,11.84
2020-02-15,11.84
2020-02-16,11.84
2020-02-17,11.84
2020-02-18,11.817
2020-02-19,11.933
2020-02-20,11.902
2020-02-21,11.756
2020-02-22,11.756
2020-02-23,11.756
2020-02-24,11.171
2020-02-25,10.536
2020-02-26,10.327
2020-02-27,9.831
2020-02-28,9.58
2020-02-29,9.58
2020-03-01,9.58
2020-03-02,9.923
2020-03-03,9.413
2020-03-04,10.083
2020-03-05,9.668
2020-03-06,9.433
2020-03-07,9.433
2020-03-08,9.433
2020-03-09,8.565
2020-03-10,9.002
2020-03-11,8.312
2020-03-12,7.279
2020-03-13,8.68
2020-03-14,8.68
2020-03-15,8.68
2020-03-16,7.483
2020-03-17,7.545
2020-03-18,6.427
2020-03-19,6.716
2020-03-20,6.459
2020-03-21,6.459
2020-03-22,6.459
2020-03-23,6.01
2020-03-24,7.325
2020-03-25,7.858
2020-03-26,8.13
2020-03-27,7.732
2020-03-28,7.732
2020-03-29,7.732
2020-03-30,7.867
