,WSM US Equity
,BEST_PE_RATIO
2020-01-01,10.106
2020-01-02,9.996
2020-01-03,9.923
2020-01-04,9.923
2020-01-05,9.923
2020-01-06,9.96
2020-01-07,10.15
2020-01-08,10.217
2020-01-09,10.334
2020-01-10,10.383
2020-01-11,10.383
2020-01-12,10.383
2020-01-13,10.543
2020-01-14,10.612
2020-01-15,10.55
2020-01-16,10.683
2020-01-17,10.693
2020-01-18,10.693
2020-01-19,10.693
2020-01-20,10.693
2020-01-21,10.633
2020-01-22,10.571
2020-01-23,10.604
2020-01-24,10.536
2020-01-25,10.536
2020-01-26,10.536
2020-01-27,10.306
2020-01-28,10.498
2020-01-29,10.348
2020-01-30,10.222
2020-01-31,9.846
2020-02-01,9.846
2020-02-02,9.846
2020-02-03,9.862
2020-02-04,10.012
2020-02-05,10.429
2020-02-06,10.119
2020-02-07,9.984
2020-02-08,9.984
2020-02-09,9.984
2020-02-10,10.047
2020-02-11,10.227
2020-02-12,10.465
2020-02-13,10.396
2020-02-14,10.4
2020-02-15,10.4
2020-02-16,10.4
2020-02-17,10.4
2020-02-18,10.415
2020-02-19,10.268
2020-02-20,10.417
2020-02-21,10.351
2020-02-22,10.351
2020-02-23,10.351
2020-02-24,9.658
2020-02-25,9.349
2020-02-26,9.124
2020-02-27,8.908
2020-02-28,8.766
2020-02-29,8.766
2020-03-01,8.766
2020-03-02,9.076
2020-03-03,8.776
2020-03-04,9.154
2020-03-05,8.588
2020-03-06,8.451
2020-03-07,8.451
2020-03-08,8.451
2020-03-09,7.587
2020-03-10,7.676
2020-03-11,7.163
2020-03-12,5.988
2020-03-13,6.382
2020-03-14,6.382
2020-03-15,6.382
2020-03-16,4.999
2020-03-17,4.925
2020-03-18,4.308
2020-03-19,6.018
2020-03-20,5.72
2020-03-21,5.72
2020-03-22,5.72
2020-03-23,5.86
2020-03-24,7.081
2020-03-25,7.289
2020-03-26,7.321
2020-03-27,7.007
2020-03-28,7.007
2020-03-29,7.007
2020-03-30,7.227
2020-03-31,7.086
2020-04-01,6.266
2020-04-02,6.341
2020-04-03,6.364
2020-04-04,6.364
2020-04-05,6.364
2020-04-06,7.724
2020-04-07,7.521
2020-04-08,7.942
2020-04-09,8.512
2020-04-10,8.512
2020-04-11,8.512
2020-04-12,8.512
2020-04-13,8.557
2020-04-14,8.905
2020-04-15,8.207
2020-04-16,8.099
2020-04-17,8.605
2020-04-18,8.605
2020-04-19,8.605
2020-04-20,8.46
2020-04-21,8.72
2020-04-22,8.824
2020-04-23,9.224
2020-04-24,9.75
2020-04-25,9.75
2020-04-26,9.75
2020-04-27,10.342
2020-04-28,10.448
2020-04-29,10.995
2020-04-30,10.4
2020-05-01,10.132
2020-05-02,10.132
2020-05-03,10.132
2020-05-04,10.529
2020-05-05,10.933
2020-05-06,11.126
2020-05-07,11.237
2020-05-08,11.488
2020-05-09,11.488
2020-05-10,11.488
2020-05-11,11.484
2020-05-12,11.417
2020-05-13,10.891
2020-05-14,11.209
2020-05-15,11.443
2020-05-16,11.443
2020-05-17,11.443
2020-05-18,12.09
2020-05-19,11.723
2020-05-20,11.415
2020-05-21,11.446
2020-05-22,11.438
2020-05-23,11.438
2020-05-24,11.438
2020-05-25,11.438
2020-05-26,11.981
2020-05-27,12.618
2020-05-28,12.563
2020-05-29,14.044
2020-05-30,14.044
2020-05-31,14.044
2020-06-01,13.037
2020-06-02,13.802
2020-06-03,13.693
2020-06-04,12.98
2020-06-05,13.059
2020-06-06,13.059
2020-06-07,13.059
2020-06-08,13.029
2020-06-09,13.107
2020-06-10,12.888
2020-06-11,12.138
2020-06-12,12.245
2020-06-13,12.245
2020-06-14,12.245
2020-06-15,12.627
2020-06-16,13.021
2020-06-17,13.233
2020-06-18,13.154
2020-06-19,13.076
2020-06-20,13.076
2020-06-21,13.076
2020-06-22,12.987
2020-06-23,12.942
2020-06-24,12.769
2020-06-25,12.78
2020-06-26,12.706
2020-06-27,12.706
2020-06-28,12.706
2020-06-29,12.519
2020-06-30,12.522
2020-07-01,12.951
2020-07-02,12.703
2020-07-03,12.703
2020-07-04,12.703
2020-07-05,12.703
2020-07-06,12.826
2020-07-07,12.774
2020-07-08,13.128
2020-07-09,12.922
2020-07-10,12.981
2020-07-11,12.981
2020-07-12,12.981
2020-07-13,12.659
2020-07-14,12.722
2020-07-15,12.955
2020-07-16,12.884
2020-07-17,12.795
2020-07-18,12.795
2020-07-19,12.795
2020-07-20,12.45
2020-07-21,12.601
2020-07-22,13.25
2020-07-23,13.098
2020-07-24,13.037
2020-07-25,13.037
2020-07-26,13.037
2020-07-27,13.295
2020-07-28,12.82
2020-07-29,13.143
2020-07-30,13.457
2020-07-31,13.376
2020-08-01,13.376
2020-08-02,13.376
2020-08-03,13.351
2020-08-04,13.494
2020-08-05,13.614
2020-08-06,13.778
2020-08-07,14.305
2020-08-08,14.305
2020-08-09,14.305
2020-08-10,14.408
2020-08-11,14.27
2020-08-12,14.386
2020-08-13,14.388
2020-08-14,14.521
2020-08-15,14.521
2020-08-16,14.521
2020-08-17,14.967
2020-08-18,14.818
2020-08-19,14.709
2020-08-20,14.296
2020-08-21,14.871
2020-08-22,14.871
2020-08-23,14.871
2020-08-24,14.895
2020-08-25,14.31
2020-08-26,14.85
2020-08-27,13.053
2020-08-28,11.692
2020-08-29,11.692
2020-08-30,11.692
2020-08-31,11.457
2020-09-01,11.496
2020-09-02,11.532
2020-09-03,11.19
2020-09-04,11.04
2020-09-05,11.04
2020-09-06,11.04
2020-09-07,11.04
2020-09-08,11.277
2020-09-09,11.733
2020-09-10,11.841
2020-09-11,11.935
2020-09-12,11.935
2020-09-13,11.935
2020-09-14,12.196
2020-09-15,12.147
2020-09-16,11.942
2020-09-17,11.7
2020-09-18,11.38
2020-09-19,11.38
2020-09-20,11.38
2020-09-21,11.242
2020-09-22,11.473
2020-09-23,11.541
2020-09-24,11.325
2020-09-25,11.34
2020-09-26,11.34
2020-09-27,11.34
2020-09-28,11.536
2020-09-29,11.652
2020-09-30,11.807
2020-10-01,12.241
2020-10-02,12.339
2020-10-03,12.339
2020-10-04,12.339
2020-10-05,12.929
2020-10-06,12.69
2020-10-07,11.964
2020-10-08,12.225
2020-10-09,12.39
2020-10-10,12.39
2020-10-11,12.39
2020-10-12,12.332
2020-10-13,13.081
2020-10-14,12.908
2020-10-15,13.022
2020-10-16,12.987
2020-10-17,12.987
2020-10-18,12.987
2020-10-19,12.983
2020-10-20,12.712
2020-10-21,12.193
2020-10-22,12.144
2020-10-23,12.358
2020-10-24,12.358
2020-10-25,12.358
2020-10-26,12.036
2020-10-27,11.959
2020-10-28,11.779
2020-10-29,11.717
2020-10-30,11.342
2020-10-31,11.342
2020-11-01,11.342
2020-11-02,11.456
2020-11-03,11.969
2020-11-04,12.285
2020-11-05,12.305
2020-11-06,12.409
2020-11-07,12.409
2020-11-08,12.409
2020-11-09,11.17
2020-11-10,11.313
2020-11-11,11.911
2020-11-12,11.485
2020-11-13,11.635
2020-11-14,11.635
2020-11-15,11.635
2020-11-16,12.589
2020-11-17,12.68
2020-11-18,12.753
2020-11-19,13.262
2020-11-20,10.31
2020-11-21,10.31
2020-11-22,10.31
2020-11-23,10.776
2020-11-24,11.16
2020-11-25,11.066
2020-11-26,11.066
2020-11-27,10.861
2020-11-28,10.861
2020-11-29,10.861
2020-11-30,10.815
2020-12-01,10.941
2020-12-02,10.882
2020-12-03,10.977
2020-12-04,11.043
2020-12-05,11.043
2020-12-06,11.043
2020-12-07,10.509
2020-12-08,10.627
2020-12-09,10.69
2020-12-10,10.361
2020-12-11,10.373
2020-12-12,10.373
2020-12-13,10.373
2020-12-14,10.572
2020-12-15,10.912
2020-12-16,11.1
2020-12-17,11.154
2020-12-18,10.832
2020-12-19,10.832
2020-12-20,10.832
2020-12-21,10.765
2020-12-22,10.654
2020-12-23,10.65
2020-12-24,10.638
2020-12-25,10.638
2020-12-26,10.638
2020-12-27,10.638
2020-12-28,10.286
2020-12-29,10.31
2020-12-30,10.222
2020-12-31,10.061
2021-01-01,10.061
2021-01-02,10.061
2021-01-03,10.061
2021-01-04,10.171
2021-01-05,10.29
2021-01-06,10.43
2021-01-07,10.59
2021-01-08,10.525
2021-01-09,10.525
2021-01-10,10.525
2021-01-11,10.846
2021-01-12,11.536
2021-01-13,11.7
2021-01-14,12.207
2021-01-15,12.181
2021-01-16,12.181
2021-01-17,12.181
2021-01-18,12.181
2021-01-19,12.194
2021-01-20,12.54
2021-01-21,12.413
2021-01-22,12.962
2021-01-23,12.962
2021-01-24,12.962
2021-01-25,12.986
2021-01-26,13.362
2021-01-27,14.459
2021-01-28,13.119
2021-01-29,12.629
2021-01-30,12.629
2021-01-31,12.629
2021-02-01,12.284
2021-02-02,12.317
2021-02-03,12.42
2021-02-04,12.523
2021-02-05,12.612
2021-02-06,12.612
2021-02-07,12.612
2021-02-08,12.602
2021-02-09,12.645
2021-02-10,12.455
2021-02-11,12.504
2021-02-12,12.403
2021-02-13,12.403
2021-02-14,12.403
2021-02-15,12.403
2021-02-16,12.221
2021-02-17,12.18
2021-02-18,12.483
2021-02-19,12.718
2021-02-20,12.718
2021-02-21,12.718
2021-02-22,12.497
2021-02-23,12.598
2021-02-24,12.647
2021-02-25,12.564
2021-02-26,12.861
2021-02-27,12.861
2021-02-28,12.861
2021-03-01,13.268
2021-03-02,13.295
2021-03-03,12.986
2021-03-04,12.389
2021-03-05,12.556
2021-03-06,12.556
2021-03-07,12.556
2021-03-08,12.883
2021-03-09,12.652
2021-03-10,13.004
2021-03-11,13.172
2021-03-12,13.232
2021-03-13,13.232
2021-03-14,13.232
2021-03-15,13.421
2021-03-16,13.567
2021-03-17,13.361
2021-03-18,13.213
2021-03-19,12.923
2021-03-20,12.923
2021-03-21,12.923
2021-03-22,13.305
2021-03-23,13.306
2021-03-24,12.257
2021-03-25,12.903
2021-03-26,13.393
2021-03-27,13.393
2021-03-28,13.393
2021-03-29,13.45
2021-03-30,13.784
2021-03-31,13.425
2021-04-01,13.64
2021-04-02,13.64
2021-04-03,13.64
2021-04-04,13.64
2021-04-05,13.7
2021-04-06,14.001
2021-04-07,13.38
2021-04-08,13.632
2021-04-09,13.478
2021-04-10,13.478
2021-04-11,13.478
2021-04-12,13.013
2021-04-13,12.856
2021-04-14,12.699
2021-04-15,12.659
2021-04-16,12.639
2021-04-17,12.639
2021-04-18,12.639
2021-04-19,12.25
2021-04-20,12.201
2021-04-21,12.426
2021-04-22,12.267
2021-04-23,12.565
2021-04-24,12.565
2021-04-25,12.565
2021-04-26,12.945
2021-04-27,13.012
2021-04-28,12.809
2021-04-29,12.753
2021-04-30,12.39
2021-05-01,12.39
2021-05-02,12.39
2021-05-03,12.724
2021-05-04,12.492
2021-05-05,12.736
2021-05-06,13.29
2021-05-07,13.548
2021-05-08,13.548
2021-05-09,13.548
2021-05-10,13.572
2021-05-11,13.145
2021-05-12,12.197
2021-05-13,12.162
2021-05-14,12.464
2021-05-15,12.464
2021-05-16,12.464
2021-05-17,12.43
2021-05-18,12.357
2021-05-19,11.871
2021-05-20,11.85
2021-05-21,11.828
2021-05-22,11.828
2021-05-23,11.828
2021-05-24,11.93
2021-05-25,12.078
2021-05-26,12.185
2021-05-27,11.686
2021-05-28,11.579
2021-05-29,11.579
2021-05-30,11.579
2021-05-31,11.579
2021-06-01,11.551
2021-06-02,11.716
2021-06-03,11.096
2021-06-04,11.251
2021-06-05,11.251
2021-06-06,11.251
2021-06-07,11.478
2021-06-08,11.511
2021-06-09,11.306
2021-06-10,11.263
2021-06-11,11.47
2021-06-12,11.47
2021-06-13,11.47
2021-06-14,11.166
2021-06-15,10.913
2021-06-16,10.795
2021-06-17,10.544
2021-06-18,10.199
2021-06-19,10.199
2021-06-20,10.199
2021-06-21,10.499
2021-06-22,10.474
2021-06-23,10.663
2021-06-24,10.697
2021-06-25,10.761
2021-06-26,10.761
2021-06-27,10.761
2021-06-28,10.777
2021-06-29,10.895
2021-06-30,10.788
2021-07-01,10.829
2021-07-02,10.918
2021-07-03,10.918
2021-07-04,10.918
2021-07-05,10.918
