,ALXN US Equity
,BEST_PE_RATIO
2020-01-01,8.901
2020-01-02,8.875
2020-01-03,8.757
2020-01-04,8.757
2020-01-05,8.757
2020-01-06,8.771
2020-01-07,8.796
2020-01-08,8.943
2020-01-09,9.12
2020-01-10,9.017
2020-01-11,9.017
2020-01-12,9.017
2020-01-13,9.372
2020-01-14,9.276
2020-01-15,9.234
2020-01-16,9.232
2020-01-17,9.294
2020-01-18,9.294
2020-01-19,9.294
2020-01-20,9.294
2020-01-21,9.272
2020-01-22,9.14
2020-01-23,8.898
2020-01-24,8.629
2020-01-25,8.629
2020-01-26,8.629
2020-01-27,8.632
2020-01-28,8.823
2020-01-29,8.823
2020-01-30,8.297
2020-01-31,8.281
2020-02-01,8.281
2020-02-02,8.281
2020-02-03,8.403
2020-02-04,8.577
2020-02-05,8.636
2020-02-06,8.669
2020-02-07,8.379
2020-02-08,8.379
2020-02-09,8.379
2020-02-10,8.445
2020-02-11,8.566
2020-02-12,8.794
2020-02-13,8.646
2020-02-14,8.575
2020-02-15,8.575
2020-02-16,8.575
2020-02-17,8.575
2020-02-18,8.541
2020-02-19,8.629
2020-02-20,8.573
2020-02-21,8.619
2020-02-22,8.619
2020-02-23,8.619
2020-02-24,8.274
2020-02-25,8.034
2020-02-26,7.92
2020-02-27,7.695
2020-02-28,7.857
2020-02-29,7.857
2020-03-01,7.857
2020-03-02,8.035
2020-03-03,7.832
2020-03-04,8.124
2020-03-05,7.87
2020-03-06,7.686
2020-03-07,7.686
2020-03-08,7.686
2020-03-09,7.222
2020-03-10,7.424
2020-03-11,7.0
2020-03-12,6.41
2020-03-13,6.722
2020-03-14,6.722
2020-03-15,6.722
2020-03-16,6.314
2020-03-17,6.894
2020-03-18,6.906
2020-03-19,6.99
2020-03-20,6.695
2020-03-21,6.695
2020-03-22,6.695
2020-03-23,6.76
2020-03-24,7.193
2020-03-25,7.071
2020-03-26,7.211
2020-03-27,7.032
2020-03-28,7.032
2020-03-29,7.032
2020-03-30,7.305
2020-03-31,7.516
2020-04-01,7.528
2020-04-02,7.563
2020-04-03,7.515
2020-04-04,7.515
2020-04-05,7.515
2020-04-06,8.029
2020-04-07,7.929
2020-04-08,8.25
2020-04-09,8.055
2020-04-10,8.055
2020-04-11,8.055
2020-04-12,8.055
2020-04-13,8.084
2020-04-14,8.324
2020-04-15,8.12
2020-04-16,8.259
2020-04-17,8.667
2020-04-18,8.667
2020-04-19,8.667
2020-04-20,8.946
2020-04-21,8.666
2020-04-22,8.71
2020-04-23,8.729
2020-04-24,9.063
2020-04-25,9.063
2020-04-26,9.063
2020-04-27,9.293
2020-04-28,8.962
2020-04-29,9.091
2020-04-30,9.008
2020-05-01,8.71
2020-05-02,8.71
2020-05-03,8.71
2020-05-04,8.704
2020-05-05,8.25
2020-05-06,8.222
2020-05-07,8.374
2020-05-08,8.41
2020-05-09,8.41
2020-05-10,8.41
2020-05-11,8.767
2020-05-12,8.794
2020-05-13,8.863
2020-05-14,8.731
2020-05-15,8.819
2020-05-16,8.819
2020-05-17,8.819
2020-05-18,8.887
2020-05-19,8.757
2020-05-20,8.99
2020-05-21,8.75
2020-05-22,8.781
2020-05-23,8.781
2020-05-24,8.781
2020-05-25,8.781
2020-05-26,8.894
2020-05-27,9.182
2020-05-28,9.869
2020-05-29,10.342
2020-05-30,10.342
2020-05-31,10.342
2020-06-01,10.257
2020-06-02,10.029
2020-06-03,9.813
2020-06-04,9.805
2020-06-05,9.937
2020-06-06,9.937
2020-06-07,9.937
2020-06-08,10.328
2020-06-09,10.004
2020-06-10,10.034
2020-06-11,9.472
2020-06-12,9.427
2020-06-13,9.427
2020-06-14,9.427
2020-06-15,9.526
2020-06-16,9.781
2020-06-17,9.964
2020-06-18,10.033
2020-06-19,10.294
2020-06-20,10.294
2020-06-21,10.294
2020-06-22,10.085
2020-06-23,9.961
2020-06-24,9.656
2020-06-25,9.787
