,LLY US Equity
,BEST_PE_RATIO
2020-01-01,12.793
2020-01-02,12.869
2020-01-03,12.704
2020-01-04,12.704
2020-01-05,12.704
2020-01-06,12.751
2020-01-07,12.775
2020-01-08,12.891
2020-01-09,13.104
2020-01-10,13.305
2020-01-11,13.305
2020-01-12,13.305
2020-01-13,13.395
2020-01-14,13.56
2020-01-15,13.604
2020-01-16,13.635
2020-01-17,13.457
2020-01-18,13.457
2020-01-19,13.457
2020-01-20,13.457
2020-01-21,13.585
2020-01-22,13.648
2020-01-23,13.56
2020-01-24,13.353
2020-01-25,13.353
2020-01-26,13.353
2020-01-27,13.28
2020-01-28,13.371
2020-01-29,13.435
2020-01-30,13.549
2020-01-31,13.262
2020-02-01,13.262
2020-02-02,13.262
2020-02-03,13.324
2020-02-04,13.554
2020-02-05,13.924
2020-02-06,13.919
2020-02-07,13.835
2020-02-08,13.835
2020-02-09,13.835
2020-02-10,13.75
2020-02-11,13.631
2020-02-12,13.561
2020-02-13,13.469
2020-02-14,13.404
2020-02-15,13.404
2020-02-16,13.404
2020-02-17,13.404
2020-02-18,13.394
2020-02-19,13.377
2020-02-20,13.488
2020-02-21,13.492
2020-02-22,13.492
2020-02-23,13.492
2020-02-24,13.122
2020-02-25,12.862
2020-02-26,12.683
2020-02-27,12.222
2020-02-28,11.932
2020-02-29,11.932
2020-03-01,11.932
2020-03-02,12.567
2020-03-03,12.328
2020-03-04,13.281
2020-03-05,13.259
2020-03-06,13.383
2020-03-07,13.383
2020-03-08,13.383
2020-03-09,12.84
2020-03-10,13.357
2020-03-11,13.246
2020-03-12,11.922
2020-03-13,13.185
2020-03-14,13.185
2020-03-15,13.185
2020-03-16,12.24
2020-03-17,13.547
2020-03-18,13.537
2020-03-19,12.591
2020-03-20,11.58
2020-03-21,11.58
2020-03-22,11.58
2020-03-23,11.263
2020-03-24,11.626
2020-03-25,11.536
2020-03-26,12.71
2020-03-27,12.687
2020-03-28,12.687
2020-03-29,12.687
2020-03-30,13.097
2020-03-31,13.124
2020-04-01,12.906
2020-04-02,13.451
2020-04-03,13.212
2020-04-04,13.212
2020-04-05,13.212
2020-04-06,13.397
2020-04-07,13.422
2020-04-08,13.833
2020-04-09,13.787
2020-04-10,13.787
2020-04-11,13.787
2020-04-12,13.787
2020-04-13,13.565
2020-04-14,14.194
2020-04-15,14.406
2020-04-16,14.744
2020-04-17,14.988
2020-04-18,14.988
2020-04-19,14.988
2020-04-20,15.039
2020-04-21,14.551
2020-04-22,14.936
2020-04-23,14.983
2020-04-24,15.264
2020-04-25,15.264
2020-04-26,15.264
2020-04-27,14.594
2020-04-28,14.233
2020-04-29,14.039
2020-04-30,13.992
2020-05-01,13.901
2020-05-02,13.901
2020-05-03,13.901
2020-05-04,13.869
2020-05-05,14.286
2020-05-06,14.177
2020-05-07,13.841
2020-05-08,13.89
2020-05-09,13.89
2020-05-10,13.89
2020-05-11,14.346
2020-05-12,14.271
2020-05-13,14.29
2020-05-14,14.398
2020-05-15,14.475
2020-05-16,14.475
2020-05-17,14.475
2020-05-18,14.36
2020-05-19,14.245
2020-05-20,13.921
2020-05-21,13.843
2020-05-22,13.741
2020-05-23,13.741
2020-05-24,13.741
2020-05-25,13.741
2020-05-26,13.451
2020-05-27,13.245
2020-05-28,13.695
2020-05-29,13.904
2020-05-30,13.904
2020-05-31,13.904
2020-06-01,13.813
2020-06-02,13.94
2020-06-03,13.82
2020-06-04,13.655
2020-06-05,13.519
2020-06-06,13.519
2020-06-07,13.519
2020-06-08,13.519
2020-06-09,13.512
2020-06-10,13.681
2020-06-11,13.054
2020-06-12,13.005
2020-06-13,13.005
2020-06-14,13.005
2020-06-15,12.822
2020-06-16,14.61
2020-06-17,13.633
2020-06-18,13.749
2020-06-19,13.652
2020-06-20,13.652
2020-06-21,13.652
2020-06-22,13.696
2020-06-23,13.601
2020-06-24,13.404
2020-06-25,13.902
2020-06-26,13.899
