,MKC/V US Equity
,BEST_PE_RATIO
2020-01-01,44.347
2020-01-02,43.266
2020-01-03,44.119
2020-01-04,44.119
2020-01-05,44.119
2020-01-06,44.07
2020-01-07,43.979
2020-01-08,43.663
2020-01-09,41.672
2020-01-10,42.566
2020-01-11,42.566
2020-01-12,42.566
2020-01-13,42.903
2020-01-14,43.033
2020-01-15,43.753
2020-01-16,43.117
2020-01-17,43.616
2020-01-18,43.616
2020-01-19,43.616
2020-01-20,43.616
2020-01-21,43.981
2020-01-22,44.588
2020-01-23,44.744
2020-01-24,44.778
2020-01-25,44.778
2020-01-26,44.778
2020-01-27,44.894
2020-01-28,43.082
2020-01-29,43.082
2020-01-30,42.771
2020-01-31,42.509
2020-02-01,42.509
2020-02-02,42.509
2020-02-03,42.278
2020-02-04,41.99
2020-02-05,41.747
2020-02-06,41.959
2020-02-07,41.998
2020-02-08,41.998
2020-02-09,41.998
2020-02-10,41.998
2020-02-11,42.406
2020-02-12,42.406
2020-02-13,43.097
2020-02-14,43.292
2020-02-15,43.292
2020-02-16,43.292
2020-02-17,43.292
2020-02-18,42.773
2020-02-19,42.664
2020-02-20,42.203
2020-02-21,42.106
2020-02-22,42.106
2020-02-23,42.106
2020-02-24,41.988
2020-02-25,41.218
2020-02-26,39.717
2020-02-27,39.069
2020-02-28,37.524
2020-02-29,37.524
2020-03-01,37.524
2020-03-02,39.471
2020-03-03,39.048
2020-03-04,39.663
2020-03-05,39.458
2020-03-06,38.677
2020-03-07,38.677
2020-03-08,38.677
2020-03-09,38.677
2020-03-10,38.677
2020-03-11,38.677
2020-03-12,34.058
2020-03-13,34.841
2020-03-14,34.841
2020-03-15,34.841
2020-03-16,30.88
2020-03-17,34.843
2020-03-18,35.6
2020-03-19,32.448
2020-03-20,32.326
2020-03-21,32.326
2020-03-22,32.326
2020-03-23,29.573
2020-03-24,30.869
2020-03-25,32.586
2020-03-26,34.169
2020-03-27,34.374
2020-03-28,34.374
2020-03-29,34.374
2020-03-30,36.992
2020-03-31,36.922
2020-04-01,35.45
2020-04-02,37.589
2020-04-03,37.628
2020-04-04,37.628
2020-04-05,37.628
2020-04-06,38.519
2020-04-07,38.688
2020-04-08,38.495
2020-04-09,39.602
2020-04-10,39.602
2020-04-11,39.602
2020-04-12,39.602
2020-04-13,38.501
2020-04-14,39.595
2020-04-15,39.571
2020-04-16,41.146
2020-04-17,40.402
2020-04-18,40.402
2020-04-19,40.402
2020-04-20,41.648
2020-04-21,41.648
2020-04-22,39.548
2020-04-23,39.28
2020-04-24,39.28
2020-04-25,39.28
2020-04-26,39.28
2020-04-27,41.313
2020-04-28,41.068
2020-04-29,41.068
2020-04-30,40.758
2020-05-01,41.648
2020-05-02,41.648
2020-05-03,41.648
2020-05-04,41.648
2020-05-05,41.651
2020-05-06,42.067
2020-05-07,41.656
2020-05-08,42.396
2020-05-09,42.396
2020-05-10,42.396
2020-05-11,43.054
2020-05-12,43.723
2020-05-13,43.688
2020-05-14,45.414
2020-05-15,46.805
2020-05-16,46.805
2020-05-17,46.805
2020-05-18,46.105
2020-05-19,45.043
2020-05-20,44.928
2020-05-21,44.358
2020-05-22,44.827
2020-05-23,44.827
2020-05-24,44.827
2020-05-25,44.827
2020-05-26,44.775
2020-05-27,44.416
2020-05-28,44.395
2020-05-29,45.686
2020-05-30,45.686
2020-05-31,45.686
2020-06-01,46.077
2020-06-02,45.483
2020-06-03,45.777
2020-06-04,44.527
2020-06-05,44.444
2020-06-06,44.444
2020-06-07,44.444
2020-06-08,44.905
2020-06-09,44.905
2020-06-10,44.905
2020-06-11,44.363
2020-06-12,43.77
2020-06-13,43.77
2020-06-14,43.77
2020-06-15,43.492
2020-06-16,45.051
2020-06-17,45.132
2020-06-18,45.142
2020-06-19,45.155
2020-06-20,45.155
2020-06-21,45.155
2020-06-22,45.108
2020-06-23,45.394
2020-06-24,44.53
2020-06-25,46.55
2020-06-26,32.882
2020-06-27,32.882
2020-06-28,32.882
2020-06-29,34.127
2020-06-30,33.312
2020-07-01,33.722
2020-07-02,34.202
2020-07-03,34.202
2020-07-04,34.202
2020-07-05,34.202
2020-07-06,34.212
2020-07-07,34.445
2020-07-08,34.445
2020-07-09,34.381
2020-07-10,34.81
2020-07-11,34.81
2020-07-12,34.81
2020-07-13,34.528
2020-07-14,35.751
2020-07-15,30.169
2020-07-16,30.187
2020-07-17,29.99
2020-07-18,29.99
2020-07-19,29.99
2020-07-20,30.23
2020-07-21,30.738
2020-07-22,30.445
2020-07-23,30.97
2020-07-24,30.71
2020-07-25,30.71
2020-07-26,30.71
2020-07-27,30.672
2020-07-28,30.505
2020-07-29,31.0
2020-07-30,30.668
2020-07-31,30.905
2020-08-01,30.905
2020-08-02,30.905
2020-08-03,31.067
2020-08-04,31.323
2020-08-05,31.008
2020-08-06,31.485
2020-08-07,31.954
2020-08-08,31.954
2020-08-09,31.954
2020-08-10,31.905
2020-08-11,31.358
2020-08-12,32.081
2020-08-13,31.986
2020-08-14,31.937
2020-08-15,31.937
2020-08-16,31.937
2020-08-17,32.05
2020-08-18,32.382
2020-08-19,32.018
2020-08-20,32.176
2020-08-21,32.135
2020-08-22,32.135
2020-08-23,32.135
2020-08-24,32.106
2020-08-25,32.098
2020-08-26,32.691
2020-08-27,32.686
2020-08-28,32.347
2020-08-29,32.347
2020-08-30,32.347
2020-08-31,32.382
2020-09-01,32.453
2020-09-02,33.156
2020-09-03,32.109
2020-09-04,31.596
2020-09-05,31.596
2020-09-06,31.596
2020-09-07,31.596
2020-09-08,31.469
2020-09-09,32.511
2020-09-10,32.511
2020-09-11,31.322
2020-09-12,31.322
2020-09-13,31.322
2020-09-14,31.883
2020-09-15,31.724
2020-09-16,31.724
2020-09-17,30.67
2020-09-18,29.981
2020-09-19,29.981
2020-09-20,29.981
2020-09-21,29.878
2020-09-22,30.526
2020-09-23,29.735
2020-09-24,29.955
2020-09-25,29.903
2020-09-26,29.903
2020-09-27,29.903
2020-09-28,30.83
2020-09-29,30.5
2020-09-30,31.384
2020-10-01,30.838
2020-10-02,30.656
2020-10-03,30.656
2020-10-04,30.656
2020-10-05,31.422
2020-10-06,30.769
2020-10-07,30.769
2020-10-08,30.769
2020-10-09,30.769
2020-10-10,30.769
2020-10-11,30.769
2020-10-12,32.303
2020-10-13,32.96
2020-10-14,32.227
2020-10-15,31.981
2020-10-16,32.258
2020-10-17,32.258
2020-10-18,32.258
2020-10-19,31.742
2020-10-20,31.728
2020-10-21,31.728
2020-10-22,31.354
2020-10-23,31.434
2020-10-24,31.434
2020-10-25,31.434
2020-10-26,31.354
2020-10-27,31.133
2020-10-28,31.133
2020-10-29,29.743
2020-10-30,28.815
2020-10-31,28.815
2020-11-01,28.815
2020-11-02,29.621
2020-11-03,30.475
2020-11-04,30.669
2020-11-05,30.912
2020-11-06,30.665
2020-11-07,30.665
2020-11-08,30.665
2020-11-09,28.754
2020-11-10,29.555
2020-11-11,29.993
2020-11-12,29.524
2020-11-13,29.661
2020-11-14,29.661
2020-11-15,29.661
2020-11-16,29.661
2020-11-17,29.661
2020-11-18,29.661
2020-11-19,29.661
2020-11-20,29.323
2020-11-21,29.323
2020-11-22,29.323
2020-11-23,29.8
2020-11-24,29.99
2020-11-25,29.643
2020-11-26,29.643
2020-11-27,29.588
2020-11-28,29.588
2020-11-29,29.588
2020-11-30,29.459
2020-12-01,29.869
2020-12-02,27.889
2020-12-03,27.986
2020-12-04,28.104
2020-12-05,28.104
2020-12-06,28.104
2020-12-07,28.01
2020-12-08,28.246
2020-12-09,27.859
2020-12-10,27.983
2020-12-11,28.675
2020-12-12,28.675
2020-12-13,28.675
2020-12-14,28.469
2020-12-15,27.886
2020-12-16,28.629
2020-12-17,28.659
2020-12-18,27.829
2020-12-19,27.829
2020-12-20,27.829
2020-12-21,27.98
2020-12-22,27.92
2020-12-23,27.941
2020-12-24,27.941
2020-12-25,27.941
2020-12-26,27.941
2020-12-27,27.941
2020-12-28,28.656
2020-12-29,28.678
2020-12-30,28.528
2020-12-31,28.999
2021-01-01,28.999
2021-01-02,28.999
2021-01-03,28.999
2021-01-04,28.371
2021-01-05,28.708
2021-01-06,29.546
2021-01-07,28.884
2021-01-08,28.538
2021-01-09,28.538
2021-01-10,28.538
2021-01-11,28.367
2021-01-12,28.022
